排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,拼多多概念,BK0957,2067.85,114.48,5.86,266196474000,11.29,25,3,光云科技,20.0
2,昨日连板,BK0816,2508.34,135.78,5.72,228245484000,13.93,11,5,三江购物,10.01
3,昨日连板_含一字,BK1051,1686.25,88.17,5.52,555377824000,14.28,25,6,三维通信,9.99
4,Kimi概念,BK1169,1610.02,82.72,5.42,698873392000,15.45,22,2,人民网,10.01
5,快手概念,BK0972,2175.79,111.75,5.41,470657760000,17.41,29,2,三维通信,9.99
6,MLOps概念,BK1132,1395.21,69.78,5.26,188948150000,9.07,10,0,科大国创,20.01
7,AI语料,BK1172,1441.75,67.95,4.95,629041344000,15.99,29,2,利欧股份,9.97
8,腾讯云,BK1189,1212.93,57.03,4.93,709982560000,10.21,23,0,宏景科技,20.0
9,国资云概念,BK1008,1864.48,80.58,4.52,463945184000,7.34,19,0,数据港,9.99
10,ChatGPT概念,BK1126,2623.86,111.69,4.45,2857619168000,11.18,64,7,光云科技,20.0
11,AI智能体,BK0809,1540.09,63.7,4.31,1929858656000,14.93,101,10,利欧股份,9.97
12,智谱AI,BK1182,1582.85,65.22,4.3,591615792000,17.34,33,3,值得买,20.0
13,Web3.0,BK1110,2444.64,100.31,4.28,683355648000,14.99,45,3,安妮股份,9.97
14,远程办公,BK0912,1922.32,77.6,4.21,921275968000,9.41,33,5,石基信息,9.97
15,数据确权,BK1118,1954.41,77.64,4.14,349520720000,13.83,31,3,人民网,10.01
16,智慧政务,BK0886,1868.38,73.69,4.11,900225072000,11.01,77,9,人民网,10.01
17,虚拟机器人,BK1190,1543.65,60.94,4.11,801621024000,8.76,15,1,大胜达,10.02
18,财税数字化,BK1176,2313.1,91.18,4.1,635592208000,11.97,39,1,外服控股,10.04
19,ERP概念,BK1133,1692.92,66.62,4.1,359253664000,9.5,17,6,光云科技,20.0
20,华为昇腾,BK0995,1953.35,76.6,4.08,696363216000,11.14,38,5,直真科技,9.99
21,AIGC概念,BK1111,2749.69,106.71,4.04,2890975264000,14.48,110,14,利欧股份,9.97
22,华为欧拉,BK1013,1719.35,66.6,4.03,273936368000,11.92,13,2,天源迪科,18.61
23,DRG/DIP,BK1054,1500.99,58.04,4.02,218086982000,14.78,16,2,佳缘科技,20.0
24,昨日触板,BK0817,37.19,1.43,4.0,1302036512000,13.44,49,30,光云科技,20.0
25,昨日涨停_含一字,BK1050,14332.15,546.1,3.96,1149163072000,15.74,52,22,三变科技,10.01
26,Sora概念,BK1159,2321.38,87.57,3.92,689128992000,22.12,36,5,新华网,10.0
