排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,互联网服务,BK0447,38383.23,1718.11,4.69,2479980432000,13.12,132,14,三维通信,9.99
2,软件开发,BK0737,1508.63,53.17,3.65,3002405712000,10.5,175,19,石基信息,9.97
3,文化传媒,BK0486,12871.37,356.33,2.85,1343798288000,9.43,85,13,人民网,10.01
4,采掘行业,BK1017,1676.86,37.06,2.26,375871024000,3.28,14,6,科力股份,14.56
5,通信设备,BK0448,23766.8,523.12,2.25,3363069664000,11.99,82,22,大唐电信,10.01
6,贵金属,BK0732,2317.23,46.18,2.03,628400480000,4.29,9,1,湖南白银,9.98
7,通信服务,BK0736,1335.33,25.93,1.98,3283665600000,1.66,29,10,会畅科技,17.02
8,电子化学品,BK1039,2401.64,40.38,1.71,444314592000,6.93,22,4,天承科技,14.28
9,半导体,BK1036,2181.6,36.23,1.69,8259347200000,4.48,134,35,灿芯股份,14.82
10,旅游酒店,BK0485,17747.01,289.65,1.66,454553296000,5.02,30,8,众信旅游,9.99
11,化纤行业,BK0471,19510.97,294.06,1.53,679928064000,2.6,21,9,尤夫股份,10.06
12,医疗服务,BK0727,1533.49,21.78,1.44,964671584000,7.63,24,19,新里程,10.0
13,电源设备,BK1034,3209.75,45.53,1.44,645365584000,5.5,21,10,爱科赛博,12.81
14,计算机设备,BK0735,1928.49,26.98,1.42,1164567584000,7.1,33,17,司南导航,11.32
15,光学光电子,BK1038,2044.5,27.29,1.35,1312973200000,5.43,72,25,翰博高新,20.01
16,珠宝首饰,BK0734,496.01,6.26,1.28,169418274000,3.08,9,6,明牌珠宝,10.01
17,医药商业,BK1042,1382.34,15.77,1.15,381376256000,8.65,17,15,海王生物,10.05
18,家用轻工,BK0440,55044.57,613.56,1.13,361688192000,4.58,30,13,明月镜片,8.45
19,专用设备,BK0910,3777.58,40.34,1.08,2379157968000,5.68,157,109,南矿集团,10.02
20,工程咨询服务,BK0726,927.75,9.33,1.02,224846505000,3.72,25,18,勘设股份,9.98
21,游戏,BK1046,1818.57,17.98,1.0,634553424000,10.65,18,7,浙数文化,7.54
22,教育,BK0740,787.81,7.34,0.94,98999108000,18.23,12,3,创业黑马,3.64
23,专业服务,BK1043,1631.73,14.49,0.9,294100416000,4.11,23,17,外服控股,10.04
24,消费电子,BK1037,2062.64,17.8,0.87,3408662544000,4.33,72,28,雷神科技,12.1
25,贸易行业,BK0484,12212.82,102.91,0.85,398739632000,5.23,21,12,跨境通,7.92
26,装修建材,BK0476,17201.45,143.63,0.84,503223040000,3.57,30,35,康欣新材,10.03
27,电子元件,BK0459,37721.56,304.17,0.81,3380156704000,4.68,101,47,本川智能,16.87
28,石油行业,BK0464,6651.69,52.77,0.8,4098812688000,0.67,8,9,和顺石油,10.01
29,综合行业,BK0539,14018.36,106.77,0.77,279046096000,3.3,9,10,东阳光,6.08
30,装修装饰,BK0725,884.85,6.46,0.74,220624308000,2.84,20,17,亚翔集成,10.0
