日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2025-10-10,1019.066,1042.882,1014.01,1034.409,748130160,20990956000.0
2025-10-13,1013.13,1068.471,1012.844,1065.211,1696455200,55561399000.0
2025-10-14,1094.287,1095.62,1055.577,1058.108,2253286900,73291333000.0
2025-10-15,1067.165,1069.639,1048.783,1069.639,3356493400,84472139000.0
2025-10-16,1067.404,1068.166,1051.958,1055.786,2832134000,62245563000.0
2025-10-17,1057.122,1062.604,1033.498,1034.792,2657235900,59496144000.0
2025-10-20,1049.207,1053.981,1037.123,1045.657,2525788600,56874005000.0
2025-10-21,1046.545,1062.41,1042.822,1062.099,2496670300,59147866000.0
2025-10-22,1055.143,1056.383,1048.046,1050.436,2243179800,50685378000.0
2025-10-23,1046.541,1052.862,1032.146,1050.994,2089255400,44442824000.0
2025-10-24,1058.146,1070.395,1057.067,1070.395,2352757600,61134031000.0
2025-10-27,1081.714,1090.208,1079.908,1090.111,2911812800,82600027000.0
2025-10-28,1088.096,1097.431,1084.537,1089.404,2714192300,73177520000.0
2025-10-29,1088.709,1100.442,1086.861,1100.442,2605478600,68953487000.0
2025-10-30,1098.619,1098.757,1085.023,1086.155,3005023000,81012978000.0
2025-10-31,1086.751,1093.231,1079.081,1079.962,2547759200,64014118000.0
2025-11-03,1079.578,1079.732,1055.773,1070.568,2261407300,56759970000.0
2025-11-04,1069.166,1069.166,1045.828,1053.401,1897436800,46491828000.0
2025-11-05,1040.054,1063.897,1039.665,1059.497,1850101100,43284991000.0
2025-11-06,1061.909,1073.964,1061.909,1073.356,2035888100,47088626000.0
2025-11-07,1069.175,1076.945,1064.047,1069.843,2231522300,50675478000.0
2025-11-10,1072.884,1075.598,1064.015,1069.564,2143395900,49577234000.0
2025-11-11,1072.101,1073.662,1062.525,1064.507,2014260800,46462072000.0
2025-11-12,1063.817,1064.982,1051.039,1059.264,1738398200,40926673000.0
2025-11-13,1059.609,1076.815,1057.7,1074.979,2025943500,45033064000.0
2025-11-14,1066.409,1072.612,1063.013,1063.269,1859652100,39896142000.0
2025-11-17,1063.035,1066.173,1056.209,1060.691,1810119800,40464536000.0
2025-11-18,1057.227,1062.058,1042.505,1047.917,1864222200,41332994000.0
2025-11-19,1045.721,1052.4,1035.145,1040.089,1698123800,41526036000.0
2025-11-20,1045.471,1047.285,1029.657,1031.634,1538363400,37705496000.0
2025-11-21,1018.738,1020.796,988.737,988.737,1900087600,42767083000.0
2025-11-24,996.133,1009.185,991.27,1003.415,1711070000,43188901000.0
2025-11-25,1008.702,1027.292,1007.987,1018.379,1553125200,44523096000.0
2025-11-26,1017.033,1029.145,1015.735,1018.668,1445346500,43603451000.0
2025-11-27,1018.836,1031.928,1018.836,1021.98,1317975250,40781713000.0
2025-11-28,1022.159,1034.076,1020.221,1034.076,1248750320,34658703000.0
2025-12-01,1036.953,1045.511,1036.953,1043.069,1640508700,50148920000.0
2025-12-02,1040.586,1040.586,1032.202,1034.471,1258044430,36798307000.0
2025-12-03,1034.688,1037.16,1022.635,1026.485,1392359000,41558190000.0
2025-12-04,1026.416,1028.816,1017.017,1023.384,1161773200,34308686000.0
2025-12-05,1023.065,1037.655,1017.003,1036.462,1397118600,39123479000.0
2025-12-08,1037.963,1048.01,1037.963,1044.585,1622797000,47015859000.0
2025-12-09,1042.14,1048.925,1038.744,1039.813,1455349500,47010445000.0
2025-12-10,1037.825,1045.396,1032.235,1044.147,1292505760,40979336000.0
2025-12-11,1045.419,1046.136,1031.547,1031.824,1392634300,39565544000.0
2025-12-12,1032.547,1044.554,1028.623,1041.701,1582804300,50373531000.0
2025-12-15,1036.047,1047.447,1035.563,1037.777,1529872700,39175401000.0
2025-12-16,1036.832,1036.832,1014.599,1018.621,1585374300,38393463000.0
2025-12-17,1019.303,1040.241,1017.101,1039.395,1799753100,43518430000.0
2025-12-18,1033.685,1046.766,1032.944,1035.597,1802502300,37325493000.0
2025-12-19,1039.168,1050.505,1039.168,1048.743,2319582000,42616723000.0
2025-12-22,1052.476,1061.612,1052.476,1058.011,1893978900,44042113000.0
2025-12-23,1056.874,1066.248,1054.216,1061.353,1947299700,46350338000.0
2025-12-24,1062.406,1076.305,1060.327,1075.487,1823184900,46026484000.0
2025-12-25,1074.784,1089.128,1073.52,1087.086,1883987300,49894082000.0
2025-12-26,1087.49,1090.838,1077.317,1086.761,1950885300,46702457000.0
2025-12-29,1089.027,1091.588,1081.517,1084.357,2087707100,47140022000.0
2025-12-30,1078.806,1090.357,1076.676,1084.848,1918278600,47701599000.0
2025-12-31,1087.009,1087.219,1077.76,1081.289,1708856500,41536246000.0
2026-01-05,1088.808,1106.771,1088.808,1106.771,2384036900,58726343000.0
2026-01-06,1107.579,1122.266,1106.359,1122.266,2563876700,65099056000.0
2026-01-07,1125.231,1133.318,1122.146,1131.532,2670301900,76646268000.0
2026-01-08,1127.982,1139.075,1127.949,1135.212,2663937900,70078707000.0
2026-01-09,1137.937,1152.361,1137.609,1151.219,2864705200,76890791000.0
2026-01-12,1160.155,1175.824,1152.064,1175.561,3442547900,96489534000.0
2026-01-13,1181.244,1181.366,1153.33,1156.892,3127116700,81930568000.0
2026-01-14,,,,1155.313,0,
