日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1616.471,1636.894,1615.086,1635.848,804819520,7651928200.0
2020-01-03,1636.995,1645.946,1634.19,1641.757,841654320,7398624500.0
2020-01-06,1639.575,1673.097,1637.259,1663.608,1073457810,9976593600.0
2020-01-07,1666.289,1689.962,1666.112,1689.962,974585630,9196153300.0
2020-01-08,1681.778,1697.553,1666.583,1670.576,1071783830,10099135000.0
2020-01-09,1683.75,1694.226,1678.561,1694.226,928892680,9686440800.0
2020-01-10,1696.996,1698.254,1670.693,1682.206,694545720,7282104300.0
2020-01-13,1681.584,1701.991,1669.779,1701.991,642440340,6944191600.0
2020-01-14,1707.308,1715.917,1698.214,1698.935,749353310,7730136100.0
2020-01-15,1699.05,1699.085,1675.294,1686.04,540867240,5614070200.0
2020-01-16,1690.303,1696.402,1682.595,1687.378,552635340,5999501700.0
2020-01-17,1695.273,1699.21,1678.23,1680.412,614868740,7195953100.0
2020-01-20,1684.771,1708.388,1676.27,1708.388,807192240,8973924200.0
2020-01-21,1704.956,1704.956,1685.781,1688.026,791773530,8518033900.0
2020-01-22,1679.342,1698.056,1653.055,1693.179,698832380,8146505800.0
2020-01-23,1671.998,1684.772,1609.388,1624.904,887881910,9968988800.0
2020-02-03,1461.578,1468.037,1461.578,1467.307,239702580,2889736100.0
2020-02-04,1369.685,1455.046,1369.685,1447.598,1112969760,9423181100.0
2020-02-05,1455.51,1506.314,1455.283,1489.16,958698060,9069053500.0
2020-02-06,1495.637,1535.22,1485.81,1529.471,965265760,9536371300.0
2020-02-07,1544.147,1551.983,1519.432,1550.784,1058249830,11508922500.0
2020-02-10,1549.762,1577.962,1543.249,1577.399,1079031210,10238207700.0
2020-02-11,1578.552,1581.951,1559.387,1569.302,906031080,8991711900.0
2020-02-12,1563.388,1598.077,1559.439,1597.869,882754390,9361930200.0
2020-02-13,1594.395,1600.671,1575.888,1583.064,929753330,9904957600.0
2020-02-14,1578.128,1598.559,1573.376,1586.445,803972640,9184508400.0
2020-02-17,1597.261,1653.277,1597.261,1653.277,1047018580,11501818900.0
2020-02-18,1662.747,1683.83,1653.916,1683.83,1054382690,12171942900.0
2020-02-19,1684.558,1710.944,1679.921,1688.106,1205452670,13825425000.0
2020-02-20,1696.475,1718.891,1679.365,1718.299,1271621020,13801785000.0
2020-02-21,1717.545,1752.23,1715.596,1735.109,1318479520,15570195000.0
2020-02-24,1734.806,1765.994,1723.029,1759.517,1364862100,15952690000.0
2020-02-25,1717.159,1767.468,1683.371,1765.414,1641981700,18391457000.0
2020-02-26,1739.064,1778.682,1733.639,1739.407,1718563700,16706999000.0
2020-02-27,1752.06,1761.919,1726.756,1754.521,1354690800,13012335000.0
2020-02-28,1683.07,1710.92,1646.623,1646.623,1599436600,14663734000.0
2020-03-02,1657.857,1719.174,1657.857,1714.056,1328258890,12878231300.0
2020-03-03,1743.634,1773.923,1722.822,1734.854,1319613360,13726646000.0
2020-03-04,1725.382,1750.143,1713.594,1750.143,1145592820,10235697100.0
2020-03-05,1771.012,1786.051,1763.271,1786.051,1306096980,12960420300.0
2020-03-06,1767.218,1800.291,1762.99,1786.313,1112871560,10999021300.0
2020-03-09,1760.893,1775.893,1711.858,1712.285,1233694070,12299640800.0
2020-03-10,1685.357,1763.391,1666.3,1763.387,1157213740,12303368400.0
2020-03-11,1765.925,1781.88,1737.65,1739.637,1120095510,12235407100.0
2020-03-12,1711.457,1723.469,1691.365,1707.729,958719720,10055100000.0
2020-03-13,1614.887,1697.322,1613.526,1678.997,1087008300,11722155800.0
2020-03-16,1696.988,1698.816,1592.685,1599.164,973489430,10502352200.0
2020-03-17,1607.253,1626.448,1555.018,1607.039,882072680,8792069900.0
2020-03-18,1626.48,1645.926,1570.968,1571.009,958992910,9619971800.0
2020-03-19,1568.179,1594.932,1540.261,1587.53,888990610,8571231300.0
2020-03-20,1605.383,1612.933,1589.124,1612.697,882485870,8067100700.0
2020-03-23,1575.85,1590.965,1544.647,1550.618,861016530,8188308400.0
2020-03-24,1581.271,1588.76,1538.475,1584.924,868830300,8442686700.0
