日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,2404.47,2450.716,2396.502,2449.104,4237845800,61281821000.0
2020-01-03,2456.885,2478.623,2451.33,2473.817,4370624000,65926890000.0
2020-01-06,2459.243,2520.598,2451.774,2501.947,5119010000,72868723000.0
2020-01-07,2508.355,2533.285,2498.692,2533.285,4663781600,63738427000.0
2020-01-08,2520.304,2536.654,2480.458,2488.566,5578033600,72170966000.0
2020-01-09,2513.39,2548.005,2513.39,2548.005,5163115900,72724898000.0
2020-01-10,2554.333,2556.012,2523.534,2540.82,4216416600,64597809000.0
2020-01-13,2536.914,2589.55,2527.957,2589.55,4405413700,71012865000.0
2020-01-14,2598.406,2601.467,2574.344,2575.869,4758717600,71280740000.0
2020-01-15,2572.265,2585.436,2547.759,2580.177,4157274700,60236935000.0
2020-01-16,2578.611,2591.291,2565.686,2570.448,4206475500,61270018000.0
2020-01-17,2575.365,2586.791,2555.761,2561.954,3832347000,61124995000.0
2020-01-20,2557.784,2608.139,2543.155,2608.139,4605866600,71738168000.0
2020-01-21,2598.386,2602.482,2572.738,2572.76,4037245500,66286048000.0
2020-01-22,2549.039,2618.611,2515.535,2609.427,4643622200,77621466000.0
2020-01-23,2570.752,2600.046,2473.876,2503.136,5310163000,86571701000.0
2020-02-03,2255.913,2262.003,2254.924,2257.056,1789731300,31213918000.0
2020-02-04,2085.821,2232.454,2085.821,2216.938,6006580500,80919849000.0
2020-02-05,2227.526,2321.194,2227.526,2275.9,5476594100,77789582000.0
2020-02-06,2271.151,2347.439,2262.414,2339.355,5744056300,79192417000.0
2020-02-07,2342.786,2402.547,2334.768,2402.547,6071737700,87123373000.0
2020-02-10,2401.629,2439.224,2394.176,2439.007,5617513000,84155513000.0
2020-02-11,2445.938,2459.141,2414.926,2437.554,4980346500,76510845000.0
2020-02-12,2430.573,2501.741,2427.594,2499.428,5303700800,82461276000.0
2020-02-13,2497.381,2513.37,2462.593,2470.417,6170721000,91807347000.0
2020-02-14,2464.52,2531.689,2463.552,2496.542,5623118000,87743772000.0
2020-02-17,2526.198,2617.532,2526.198,2617.532,6697275300,105362059000.0
2020-02-18,2626.28,2704.16,2625.189,2704.16,7455831400,117042272000.0
2020-02-19,2697.067,2745.491,2679.123,2686.138,7541668100,123635042000.0
2020-02-20,2692.548,2751.81,2662.52,2750.069,7174964800,116249590000.0
2020-02-21,2754.085,2840.811,2752.495,2814.105,8442756800,137996370000.0
2020-02-24,2833.216,2970.712,2833.216,2961.303,9679619300,162157020000.0
2020-02-25,2888.218,3022.43,2815.072,3010.551,11789540800,206453150000.0
2020-02-26,2961.233,2998.188,2856.054,2867.844,10871921900,176340110000.0
2020-02-27,2881.931,2914.135,2796.454,2852.778,8317779000,134076452000.0
2020-02-28,2707.545,2756.55,2634.829,2636.501,8736070200,136044680000.0
2020-03-02,2680.937,2801.741,2666.258,2784.363,7834682200,128599465000.0
2020-03-03,2864.415,2916.048,2788.872,2817.785,9023947100,153023730000.0
2020-03-04,2789.12,2847.148,2752.232,2818.713,6953153200,115886829000.0
2020-03-05,2913.422,2927.347,2835.268,2870.441,7972387500,128722164000.0
2020-03-06,2817.634,2883.651,2814.097,2852.762,6696080900,96975653000.0
2020-03-09,2802.692,2889.047,2770.399,2770.543,8201093500,124297539000.0
2020-03-10,2734.521,2937.781,2715.672,2937.781,9670359900,150929080000.0
2020-03-11,2962.136,3010.408,2875.46,2875.46,9502387700,153907990000.0
2020-03-12,2804.457,2879.344,2797.864,2855.41,7717828000,115401241000.0
2020-03-13,2692.862,2890.123,2692.862,2852.713,8712513200,129059202000.0
2020-03-16,2871.475,2871.475,2636.893,2647.312,8710528800,135052630000.0
2020-03-17,2679.587,2705.005,2533.786,2645.174,7129355600,106808160000.0
2020-03-18,2672.267,2724.671,2577.316,2577.316,7068359100,105648585000.0
2020-03-19,2577.076,2684.36,2556.839,2667.749,6932422000,104082630000.0
2020-03-20,2708.417,2712.15,2636.821,2675.667,6032674400,91155587000.0
2020-03-23,2584.924,2667.23,2549.438,2564.539,6925727300,90771735000.0
2020-03-24,2628.901,2635.809,2503.476,2620.848,7269761100,96865592000.0
2020-03-25,2677.27,2687.936,2643.285,2666.424,7274146000,98238633000.0
2020-03-26,2632.596,2647.836,2593.007,2600.966,5529829600,75683739000.0
2020-03-27,2636.83,2639.94,2552.465,2554.062,4950275300,68055748000.0
2020-03-30,2493.318,2493.318,2411.333,2446.713,5504439600,73422264000.0
2020-03-31,2478.349,2484.227,2418.865,2419.308,4348060100,57010253000.0
2020-04-01,2412.884,2480.81,2406.649,2426.919,5067471500,65828880000.0
2020-04-02,2422.853,2533.965,2422.372,2533.965,5641407400,80013599000.0
2020-04-03,2523.855,2528.857,2477.726,2491.084,4668126700,68875970000.0
2020-04-07,2549.76,2587.607,2545.273,2583.075,5765925900,80453878000.0
2020-04-08,2571.444,2627.284,2566.136,2611.975,5958001500,80642523000.0
2020-04-09,2636.308,2649.261,2618.22,2635.433,5420044700,71419656000.0
2020-04-10,2630.55,2630.55,2523.839,2531.254,6134918300,81353159000.0
2020-04-13,2503.753,2504.035,2462.712,2475.276,4485621700,55232743000.0
2020-04-14,2495.844,2538.995,2493.81,2538.995,4679118000,60242892000.0
2020-04-15,2537.945,2549.118,2507.989,2509.041,5256123100,66387962000.0
2020-04-16,2489.028,2530.952,2476.065,2525.515,4718440100,55295700000.0
2020-04-17,2545.037,2576.407,2530.046,2532.823,6297377500,80171994000.0
2020-04-20,2536.321,2568.039,2528.534,2568.039,4805733700,61349923000.0
2020-04-21,2553.124,2560.359,2522.716,2559.051,5049466000,64236175000.0
2020-04-22,2532.588,2581.834,2527.301,2581.834,4377756800,53655074000.0
2020-04-23,2584.507,2585.248,2529.782,2529.902,4804160700,57483018000.0
