日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-03-02,1007.274,1070.347,1007.081,1056.089,1711623300,22172098000.0
2023-03-03,1052.303,1071.733,1043.135,1059.534,1911724400,23025827000.0
2023-03-06,1065.899,1120.226,1065.899,1112.036,2092517700,28014123000.0
2023-03-07,1104.741,1107.517,1076.211,1077.14,2771857000,30680881000.0
2023-03-08,1067.867,1137.056,1067.744,1137.056,2475966500,27563882000.0
2023-03-09,1135.986,1170.271,1123.985,1156.917,3381294100,36691709000.0
2023-03-10,1135.271,1152.583,1123.915,1123.915,2976687700,34678301000.0
2023-03-13,1116.356,1157.186,1116.356,1157.164,3199946900,38127173000.0
2023-03-14,1149.511,1173.719,1131.061,1148.306,3532050600,43433613000.0
2023-03-15,1145.228,1147.679,1128.403,1140.583,2474155600,30321622000.0
2023-03-16,1129.392,1148.013,1123.191,1124.4,2409057800,30310846000.0
2023-03-17,1130.931,1153.794,1128.023,1148.526,3020588700,36992925000.0
2023-03-20,1146.369,1148.02,1116.73,1117.064,3635289300,42940346000.0
2023-03-21,1116.768,1129.078,1110.28,1129.078,2658990400,32978577000.0
2023-03-22,1124.024,1150.199,1119.468,1150.199,2577895400,34311155000.0
2023-03-23,1143.048,1180.173,1141.68,1180.173,3400024300,46434949000.0
2023-03-24,1176.09,1176.999,1157.116,1171.407,3435677300,46312047000.0
2023-03-27,1165.282,1180.407,1159.164,1176.533,3329589300,43081668000.0
2023-03-28,1169.121,1169.332,1144.874,1145.877,2715967500,34098261000.0
2023-03-29,1140.932,1152.902,1128.819,1145.848,2423316900,30169301000.0
2023-03-30,1146.047,1153.91,1126.758,1129.007,2570410300,32372143000.0
2023-03-31,1126.165,1143.367,1117.006,1141.652,2123045400,25724207000.0
2023-04-03,1139.172,1170.959,1139.172,1170.595,3053123700,41264428000.0
2023-04-04,1166.932,1180.046,1161.977,1172.848,3344665600,41620712000.0
2023-04-06,1160.013,1186.346,1156.718,1177.91,2686844200,38118851000.0
2023-04-07,1179.878,1183.465,1168.413,1177.79,2216437700,35600075000.0
2023-04-10,1177.707,1182.969,1137.684,1140.071,2429050100,34410826000.0
2023-04-11,1139.374,1145.552,1123.131,1135.466,1927459700,25392460000.0
2023-04-12,1134.167,1170.198,1129.297,1166.992,2672482700,33316389000.0
