日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2024-03-04,1047.786,1119.137,1047.727,1095.061,87990778,2987287300.0
2024-03-05,1111.236,1170.552,1107.416,1162.896,279944320,6318157300.0
2024-03-06,1162.06,1167.603,1135.61,1147.477,622961270,13531787000.0
2024-03-07,1136.257,1147.237,1086.691,1086.691,568523470,11616067000.0
2024-03-08,1090.326,1143.537,1090.326,1141.486,556358560,12780330600.0
2024-03-11,1114.446,1148.872,1108.412,1148.021,510219840,11088049100.0
2024-03-12,1147.111,1177.193,1146.078,1148.208,508266560,10808118300.0
2024-03-13,1154.669,1159.778,1137.05,1144.028,446667420,9570821400.0
2024-03-14,1127.947,1135.032,1099.443,1113.545,399236100,9128151400.0
2024-03-15,1110.682,1138.012,1101.467,1137.268,415193490,9574482500.0
2024-03-18,1148.237,1197.065,1147.81,1197.065,676468340,15104803000.0
2024-03-19,1194.609,1230.656,1193.441,1201.181,657160180,14830723000.0
2024-03-20,1195.074,1221.253,1191.677,1221.189,624384830,13846248000.0
2024-03-21,1219.978,1223.039,1199.522,1202.306,517536970,12429425200.0
2024-03-22,1197.751,1205.149,1181.354,1189.729,639613630,14430700000.0
2024-03-25,1188.536,1192.502,1130.024,1132.235,565802230,11806810800.0
2024-03-26,1126.053,1146.081,1113.594,1125.54,493599820,10496305700.0
2024-03-27,1122.099,1125.143,1073.239,1073.81,582422940,9824807000.0
2024-03-28,1073.355,1135.138,1073.355,1120.565,683104390,12675265500.0
2024-03-29,1113.524,1149.33,1099.101,1146.648,603178660,11085896300.0
2024-04-01,1145.323,1161.504,1145.323,1160.136,572654440,10793090200.0
2024-04-02,1157.166,1158.097,1133.92,1143.33,493009160,8800868600.0
2024-04-03,1139.544,1143.149,1115.186,1134.505,482677090,9806823700.0
2024-04-08,1123.539,1123.734,1096.677,1096.677,399569090,8057316700.0
2024-04-09,1100.659,1117.757,1089.839,1116.233,480977750,7832484800.0
2024-04-10,1111.484,1111.484,1067.919,1073.787,510326110,8244169700.0
2024-04-11,1065.049,1087.986,1064.695,1068.023,404641740,7487767600.0
2024-04-12,1070.309,1083.931,1057.704,1060.035,423803710,7634602100.0
2024-04-15,1055.385,1065.432,1030.373,1043.195,516106530,9973845600.0
