日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2025-01-24,1061.667,1112.695,1061.667,1112.695,848594770,21373948000.0
2025-01-27,1151.533,1153.113,1119.249,1128.927,3771413000,63724102000.0
2025-02-05,1175.869,1197.066,1165.604,1184.955,5394181900,95602296000.0
2025-02-06,1179.271,1221.928,1169.635,1219.169,7522314600,134835290000.0
2025-02-07,1216.876,1274.591,1215.927,1254.427,10063008200,187651350000.0
2025-02-10,1273.15,1315.742,1270.085,1315.742,11302639400,191246420000.0
2025-02-11,1306.574,1337.43,1289.375,1306.313,11750725200,188309910000.0
2025-02-12,1305.275,1346.128,1305.275,1346.128,10964452600,186381150000.0
2025-02-13,1349.251,1359.29,1315.834,1334.422,12082295500,202725140000.0
2025-02-14,1331.736,1384.697,1322.828,1375.872,13217899200,214471560000.0
2025-02-17,1405.035,1410.521,1366.703,1383.116,12405203800,214311060000.0
2025-02-18,1369.943,1378.701,1313.542,1317.55,11104284000,182909510000.0
2025-02-19,1321.393,1355.186,1309.638,1354.749,10073267900,167970640000.0
2025-02-20,1351.343,1367.517,1340.759,1357.055,9495859700,152662670000.0
2025-02-21,1367.286,1403.239,1343.819,1399.858,12368741300,219951120000.0
2025-02-24,1395.323,1406.28,1371.786,1389.118,10943095000,197918040000.0
2025-02-25,1352.1,1388.966,1349.157,1363.782,9309811300,169153930000.0
2025-02-26,1369.501,1383.463,1355.64,1379.378,8223882300,153280160000.0
2025-02-27,1375.986,1388.004,1329.275,1358.036,8375389100,154862990000.0
2025-02-28,1347.052,1348.698,1275.291,1279.35,7653514300,132749965000.0
2025-03-03,1291.009,1320.84,1271.853,1293.971,6797459800,117272297000.0
2025-03-04,1278.211,1323.565,1277.931,1323.184,6439088100,104847477000.0
2025-03-05,1323.839,1340.781,1312.33,1340.576,7463724400,116640734000.0
2025-03-06,1368.646,1435.046,1368.646,1424.964,11302048500,196366300000.0
2025-03-07,1440.43,1461.67,1407.843,1421.57,14956195000,229578260000.0
2025-03-10,1421.765,1423.979,1388.732,1404.461,11057051400,160594610000.0
2025-03-11,1377.976,1405.45,1377.794,1402.108,9676675900,134874090000.0
2025-03-12,1417.082,1436.693,1410.224,1419.403,11893405500,181062190000.0
2025-03-13,1411.221,1412.625,1370.234,1390.897,10842796500,166969810000.0
2025-03-14,1383.19,1410.075,1370.106,1406.799,9238744300,154208030000.0
2025-03-17,1407.809,1413.726,1393.596,1404.497,8673621800,143550220000.0
2025-03-18,1409.936,1425.87,1404.682,1411.516,8601109500,138239270000.0
2025-03-19,1404.337,1405.829,1385.078,1390.908,8136284000,127620634000.0
2025-03-20,1387.681,1404.647,1377.547,1383.289,8172110200,138743720000.0
2025-03-21,1372.509,1375.051,1343.647,1345.384,8687788300,140941640000.0
2025-03-24,1342.781,1343.85,1280.294,1312.8,8122983100,122435597000.0
2025-03-25,1311.07,1311.315,1279.688,1283.78,6247339800,95012670000.0
2025-03-26,1280.883,1297.46,1280.883,1290.308,5056774900,75041255000.0
2025-03-27,1286.49,1297.264,1268.778,1280.165,5244224600,79876416000.0
2025-03-28,1277.699,1289.504,1267.684,1267.684,4718866500,68455488000.0
2025-03-31,1252.909,1274.657,1228.683,1270.684,6386016900,95588439000.0
2025-04-01,1272.747,1281.501,1262.295,1263.52,5135258300,80761802000.0
2025-04-02,1260.476,1278.006,1260.21,1268.494,4306189200,66761294000.0
2025-04-03,1251.186,1274.341,1243.494,1251.902,4375163700,69162863000.0
2025-04-07,1159.881,1175.284,1058.46,1067.633,6622495700,100307337000.0
2025-04-08,1065.915,1108.035,1047.854,1078.602,8463009000,111994008000.0
2025-04-09,1058.863,1130.414,1002.9,1121.119,8823228300,118228691000.0
2025-04-10,1148.445,1182.297,1148.445,1155.945,7831008400,113679153000.0
2025-04-11,1146.003,1181.909,1146.003,1168.446,6044969400,87508256000.0
2025-04-14,1188.42,1202.997,1184.394,1189.86,5785564500,83619524000.0
2025-04-15,1190.292,1196.396,1175.117,1186.213,5210931000,75433944000.0
2025-04-16,1180.821,1185.777,1145.474,1165.37,5294863900,74261416000.0
2025-04-17,1155.652,1180.715,1155.652,1167.036,4723925400,67363385000.0
2025-04-18,1164.512,1172.792,1155.407,1163.881,4713777700,65692599000.0
2025-04-21,1159.667,1202.187,1153.363,1202.187,6152996200,83275346000.0
2025-04-22,1203.826,1208.094,1193.248,1196.077,7075492500,89681630000.0
2025-04-23,1203.946,1218.129,1200.441,1206.622,7141642400,100067813000.0
2025-04-24,1203.187,1203.187,1170.765,1174.505,5830427000,81295576000.0
2025-04-25,1178.565,1194.112,1171.698,1181.377,5942812800,81745210000.0
2025-04-28,1180.377,1190.389,1170.718,1173.209,5997484400,82892416000.0
2025-04-29,1164.022,1188.241,1156.935,1184.749,6689287800,88407550000.0
2025-04-30,1189.751,1219.349,1189.431,1215.458,7857456800,109967306000.0
2025-05-06,1227.873,1260.968,1227.873,1260.968,9192665800,129270662000.0
2025-05-07,1279.535,1282.481,1245.771,1259.461,9529234800,132380935000.0
2025-05-08,1254.146,1276.572,1253.998,1274.182,8280751600,111321860000.0
2025-05-09,1270.805,1270.805,1245.009,1246.612,7123106800,102622699000.0
2025-05-12,1257.784,1267.838,1254.126,1267.838,6115611600,90748359000.0
2025-05-13,1283.171,1287.95,1263.255,1265.191,6666870000,97361283000.0
2025-05-14,1262.318,1281.723,1256.78,1274.691,6468582000,99436986000.0
2025-05-15,1271.277,1271.277,1239.249,1239.456,6015333200,88073235000.0
2025-05-16,1232.911,1248.794,1229.223,1240.325,4571260600,67773315000.0
2025-05-19,1240.777,1246.612,1224.907,1246.111,4895909300,68872609000.0
2025-05-20,1246.505,1261.91,1235.991,1258.864,5354290800,73786864000.0
2025-05-21,1257.924,1258.09,1241.084,1245.042,4801530600,70438984000.0
2025-05-22,1241.813,1253.739,1232.177,1236.389,4884970000,72108235000.0
2025-05-23,1236.405,1245.818,1212.33,1212.33,5599999100,86760195000.0
2025-05-26,1212.51,1231.171,1212.51,1231.171,4493973400,70599746000.0
2025-05-27,1229.227,1229.227,1217.225,1225.409,4052745900,62189913000.0
2025-05-28,1225.775,1230.501,1212.537,1217.014,4877807900,68016532000.0
2025-05-29,1215.959,1259.024,1215.959,1259.024,6839563800,101160362000.0
2025-05-30,1256.518,1256.518,1233.554,1236.537,6084975100,94847584000.0
2025-06-03,1234.008,1255.359,1234.008,1242.085,5616137800,89002338000.0
2025-06-04,1242.248,1252.315,1239.951,1251.089,5066668500,81188700000.0
2025-06-05,1252.02,1276.078,1250.796,1272.209,7021304600,113100144000.0
2025-06-06,1269.792,1275.999,1260.857,1268.954,5788428000,93020646000.0
2025-06-09,1272.442,1290.048,1270.473,1289.818,6243529200,98160606000.0
2025-06-10,1291.008,1291.314,1249.286,1268.063,6691673700,103430328000.0
2025-06-11,1267.777,1282.489,1263.871,1275.434,5575904400,87995621000.0
2025-06-12,1270.042,1287.234,1266.653,1280.045,5845887400,91050710000.0
2025-06-13,1274.849,1275.055,1245.3,1246.065,6855871100,105776261000.0
2025-06-16,1241.015,1274.686,1241.015,1274.686,6088065500,105104442000.0
2025-06-17,1275.27,1279.299,1266.003,1271.776,6471258200,108953265000.0
2025-06-18,1266.58,1271.815,1255.839,1267.166,5552138800,95022810000.0
2025-06-19,1268.214,1273.707,1240.259,1243.678,6076736200,102235176000.0
2025-06-20,1240.065,1242.062,1215.319,1218.012,5074696500,85763659000.0
