日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2024-08-14,1032.849,1084.836,1014.62,1080.065,288737870,6942313500.0
2024-08-15,1086.178,1148.925,1085.86,1130.206,1181643440,18778165000.0
2024-08-16,1144.471,1179.424,1144.471,1168.342,1823677100,23896078000.0
2024-08-19,1150.16,1152.734,1126.858,1130.384,1883925100,22545969000.0
2024-08-20,1115.19,1140.938,1111.788,1114.952,1783391900,20602270000.0
2024-08-21,1104.017,1133.278,1103.967,1115.213,2176866800,23265858000.0
2024-08-22,1110.009,1119.103,1088.439,1092.597,1797175000,19764178000.0
2024-08-23,1083.533,1112.07,1076.571,1100.597,2037901000,21159404000.0
2024-08-26,1098.576,1125.629,1094.728,1121.18,2206094900,22132065000.0
2024-08-27,1109.127,1109.127,1073.983,1076.251,2127186400,22255557000.0
2024-08-28,1070.136,1089.716,1070.136,1083.872,1740200700,17727202000.0
2024-08-29,1076.289,1114.079,1075.287,1106.32,2202304900,22793059000.0
2024-08-30,1108.385,1167.222,1108.385,1148.318,2961495900,33552543000.0
2024-09-02,1143.83,1151.661,1123.382,1123.695,2528893300,26412552000.0
2024-09-03,1117.028,1140.256,1116.728,1137.397,2111389100,21124939000.0
2024-09-04,1121.587,1122.095,1099.96,1113.366,1840656300,18928869000.0
2024-09-05,1109.798,1121.782,1102.919,1117.296,1618426800,16841950000.0
2024-09-06,1115.782,1115.94,1084.246,1084.327,1841542100,19374724000.0
2024-09-09,1082.608,1090.036,1073.75,1079.367,1543150800,16358624000.0
2024-09-10,1079.012,1095.115,1060.73,1089.138,1426487500,14718631000.0
2024-09-11,1082.996,1085.969,1070.708,1075.353,1206643530,12250980200.0
2024-09-12,1077.755,1081.459,1060.437,1060.564,1265192100,13675329000.0
2024-09-13,1059.136,1062.283,1040.9,1040.9,1232059030,13033133300.0
2024-09-18,1042.337,1044.658,1017.321,1029.679,1154407000,12185230200.0
2024-09-19,1035.695,1054.668,1028.914,1049.362,1259681930,13393710200.0
2024-09-20,1050.008,1061.223,1048.684,1059.66,1409187100,14678540000.0
2024-09-23,1059.771,1073.662,1051.299,1062.73,1440135900,16544276000.0
2024-09-24,1062.299,1097.951,1050.903,1097.951,2117413900,23393309000.0
2024-09-25,1102.71,1131.284,1102.71,1110.141,2449380000,27449966000.0
2024-09-26,1105.314,1138.105,1100.112,1138.105,2290402300,28127642000.0
2024-09-27,1149.514,1216.128,1146.73,1202.659,3065380600,36819352000.0
2024-09-30,1253.216,1376.56,1235.757,1369.596,4429717900,57711277000.0
2024-10-08,1585.613,1585.613,1434.564,1559.629,5504659500,82683270000.0
2024-10-09,1505.53,1534.155,1414.747,1418.161,4682615200,75039566000.0
2024-10-10,1433.363,1454.466,1378.551,1402.544,3041344900,48866300000.0
2024-10-11,1390.307,1393.182,1305.343,1322.485,2423558500,36561178000.0
2024-10-14,1327.106,1394.324,1306.478,1394.324,2617305400,40466802000.0
