日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2024-03-25,1009.453,1010.539,956.537,956.677,1238871950,22856461000.0
2024-03-26,946.963,953.006,911.092,915.126,1269243750,25477642000.0
2024-03-27,910.774,918.763,874.899,875.68,1149858050,21904236000.0
2024-03-28,868.837,920.987,868.355,912.273,1192877860,25502112000.0
2024-03-29,905.154,905.934,886.075,896.974,956879050,18502873000.0
2024-04-01,902.86,923.863,902.86,923.863,1220840890,21999053000.0
2024-04-02,921.469,921.469,886.017,892.666,1276887630,20833215000.0
2024-04-03,887.865,888.321,857.074,859.421,970855150,16067817000.0
2024-04-08,856.024,856.024,837.541,839.414,812703610,13476742000.0
2024-04-09,840.831,846.289,828.605,842.365,811903670,12085463900.0
2024-04-10,838.694,838.694,805.352,813.083,960074510,13848624000.0
2024-04-11,807.79,847.831,807.79,834.513,1232240450,19654806000.0
2024-04-12,831.43,836.803,816.402,817.172,1040122010,15428702000.0
2024-04-15,812.217,820.299,779.065,791.816,1100294340,15888692000.0
2024-04-16,782.81,787.904,739.366,739.833,1091515350,14712584000.0
2024-04-17,752.006,789.811,752.006,788.332,1119993720,15504718000.0
2024-04-18,785.966,797.264,771.969,781.486,1121795860,16057784000.0
2024-04-19,776.754,780.719,761.582,766.085,904708710,13931209000.0
2024-04-22,752.252,766.087,739.223,756.949,724737420,11094255000.0
2024-04-23,761.836,772.419,761.836,767.388,926688810,14618370000.0
2024-04-24,769.992,792.457,765.578,792.457,1053855210,15535399000.0
2024-04-25,785.182,796.735,779.509,787.542,867599100,12630023000.0
2024-04-26,786.989,818.223,786.989,813.107,1491801500,21631333000.0
2024-04-29,817.031,840.639,817.031,837.154,1678191200,22455703000.0
2024-04-30,835.211,841.768,823.958,832.072,1338824060,17258971000.0
2024-05-06,844.597,851.154,834.828,838.483,1264907120,17376945000.0
2024-05-07,846.523,862.645,844.789,847.89,1317680160,18530501000.0
2024-05-08,838.864,838.864,817.285,818.889,1272787120,16341480000.0
2024-05-09,817.017,829.58,817.017,824.848,845487770,11416768200.0
2024-05-10,829.275,837.131,817.254,820.47,1030880040,14154823000.0
2024-05-13,813.06,813.236,798.543,802.879,980334750,13900529000.0
2024-05-14,810.116,818.372,802.092,811.414,1020256020,14183281000.0
2024-05-15,808.558,811.705,798.524,798.992,864982990,11856704300.0
2024-05-16,801.435,813.315,800.608,803.995,874564640,12034034600.0
2024-05-17,803.27,808.536,793.868,808.536,796897970,10971796800.0
2024-05-20,804.71,821.673,798.686,814.819,985051890,13809998000.0
2024-05-21,814.74,821.497,808.208,810.401,792871590,10537063000.0
2024-05-22,808.61,818.776,801.774,818.348,839025380,10747432300.0
2024-05-23,814.768,814.768,788.603,790.127,910084980,11876250100.0
2024-05-24,789.346,794.089,771.515,771.629,786293020,10098832700.0
2024-05-27,773.476,778.138,757.278,777.804,791903980,9788894800.0
2024-05-28,773.114,774.993,761.329,761.842,630572620,7993787000.0
2024-05-29,760.909,770.023,757.006,761.053,643140990,7329765400.0
2024-05-30,757.539,764.712,748.898,758.791,558194590,7187299700.0
2024-05-31,759.128,770.535,758.926,766.301,581150450,7389389700.0
2024-06-03,766.851,766.851,746.908,753.41,696305170,8260430100.0
2024-06-04,746.518,746.518,733.732,742.474,819218060,8352567200.0
2024-06-05,739.326,743.991,727.009,727.009,679689040,7581699300.0
2024-06-06,728.586,731.275,690.672,694.707,988509160,10259081800.0
2024-06-07,703.252,710.781,693.913,705.338,673325230,8058463900.0
2024-06-11,703.534,715.943,692.536,715.175,580956760,6577623800.0
2024-06-12,715.597,734.067,715.597,731.242,695348510,9218747100.0
2024-06-13,729.937,734.408,723.908,728.733,554020010,7058294300.0
2024-06-14,728.26,733.503,724.442,731.416,608346300,8852003900.0
2024-06-17,727.929,729.166,721.579,722.751,500302950,6722538200.0
2024-06-18,722.911,733.645,721.347,732.277,577627650,7433772000.0
2024-06-19,733.85,736.943,724.242,724.242,526548050,6466174500.0
2024-06-20,722.821,723.512,701.537,701.537,625110340,7556312400.0
2024-06-21,700.8,704.493,691.615,699.485,432039370,5062071400.0
2024-06-24,694.805,694.805,667.801,667.914,627932940,6765310500.0
2024-06-25,670.221,676.984,655.422,661.343,529310480,6026586400.0
2024-06-26,663.59,714.829,660.143,714.741,1165523540,16984710000.0
2024-06-27,712.704,725.226,708.031,708.464,1038347440,15614744000.0
2024-06-28,706.739,717.085,701.019,703.099,838170950,12390241500.0
2024-07-01,700.625,707.135,691.427,705.014,697505060,9260409900.0
2024-07-02,709.67,723.957,709.67,712.557,793070180,10784651400.0
2024-07-03,712.755,712.755,697.1,697.354,570078390,8166252100.0
2024-07-04,698.821,699.634,674.745,675.592,638300330,8429904100.0
2024-07-05,674.244,687.579,665.472,683.507,611368260,8119766100.0
2024-07-08,679.498,679.498,656.35,657.969,614858310,7780948700.0
2024-07-09,657.94,672.365,644.967,671.254,700586650,8478731100.0
2024-07-10,666.617,678.56,662.557,665.59,669490120,7393744900.0
2024-07-11,679.22,686.325,674.717,685.589,702385850,8135442100.0
2024-07-12,683.173,688.974,675.843,676.999,565297910,6604349000.0
2024-07-15,675.599,675.599,664.676,666.724,677786170,6287745800.0
2024-07-16,664.667,673.821,659.343,672.066,716734950,6891238000.0
2024-07-17,671.067,681.684,667.493,667.493,714018250,8552905100.0
2024-07-18,661.232,662.519,646.144,660.153,665978180,7871405100.0
2024-07-19,658.047,672.324,657.042,669.097,604957070,7908656100.0
2024-07-22,670.736,678.254,666.403,675.634,650560850,7542076500.0
2024-07-23,674.069,676.86,660.035,660.035,672282520,7770941100.0
2024-07-24,656.754,662.851,645.393,645.952,627088420,6825900200.0
2024-07-25,642.103,655.846,638.169,649.619,546460860,6190767900.0
2024-07-26,649.373,661.477,649.35,659.406,572147200,6378927500.0
2024-07-29,660.245,665.314,651.106,661.682,602277530,5608280300.0
2024-07-30,658.816,667.868,656.694,664.505,490199810,5079824700.0
2024-07-31,664.371,694.595,664.266,694.544,966957360,11902856500.0
2024-08-01,694.541,699.508,688.692,692.466,675157390,8292052300.0
2024-08-02,686.962,697.393,680.23,680.974,658149280,7678548900.0
2024-08-05,675.709,691.296,659.719,659.719,737821400,8664415300.0
2024-08-06,668.66,673.964,663.45,672.993,588393750,7593232300.0
2024-08-07,672.917,678.076,670.822,671.121,502447360,6137021400.0
2024-08-08,668.094,671.219,654.111,665.073,556865830,6147439100.0
2024-08-09,667.355,669.379,654.726,654.726,446493820,5086607500.0
2024-08-12,653.64,656.209,645.119,647.777,456481350,5201176100.0
2024-08-13,646.837,651.04,641.3,651.04,410832450,4373997700.0
2024-08-14,650.75,657.088,647.167,651.683,509000300,6327770300.0
2024-08-15,649.027,671.275,645.408,663.283,756016370,8456678400.0
2024-08-16,662.926,664.65,659.205,659.568,506945630,5441712700.0
2024-08-19,659.76,671.521,658.799,666.627,939432870,8820944100.0
2024-08-20,664.928,667.353,652.543,653.888,1126781760,9445627300.0
2024-08-21,651.508,659.705,647.577,648.368,830965290,7315849600.0
2024-08-22,648.041,653.943,628.693,628.884,851428630,7912628900.0
2024-08-23,628.992,640.275,625.918,635.486,866937090,7675910200.0
2024-08-26,639.495,642.574,631.338,638.277,984869600,7863236600.0
2024-08-27,640.598,645.567,627.941,633.166,942540980,7595414100.0
2024-08-28,628.26,638.423,620.055,635.127,839148970,7237468600.0
2024-08-29,630.11,643.108,627.88,641.052,865254400,7274147000.0
2024-08-30,640.635,674.411,640.306,666.51,1393372500,12748311600.0
2024-09-02,662.917,666.608,646.769,647.108,985683250,8665104800.0
2024-09-03,648.609,660.82,648.609,658.467,813421810,7030453100.0
2024-09-04,652.018,659.528,650.74,652.272,890437480,6717963000.0
2024-09-05,653.255,668.676,653.255,665.395,1021008400,8975062200.0
2024-09-06,665.013,666.623,651.119,651.758,812476410,7784463900.0
2024-09-09,649.331,657.881,642.768,651.953,627892260,5697112600.0
2024-09-10,653.654,664.154,641.682,661.521,920788560,7633383500.0
2024-09-11,659.298,660.845,653.916,657.439,659146890,6380026000.0
2024-09-12,661.249,670.805,659.097,659.097,779841590,7642242500.0
2024-09-13,661.378,661.735,650.453,650.975,923006160,8121960600.0
2024-09-18,648.824,652.578,632.586,641.267,786699420,6758579700.0
2024-09-19,645.817,663.068,640.862,661.08,1047939660,9701125200.0
2024-09-20,660.684,670.307,660.289,669.091,1129858770,9521160200.0
2024-09-23,668.072,676.718,664.685,672.556,966794140,8452130000.0
2024-09-24,673.874,693.531,663.276,693.455,1486698900,15807667000.0
2024-09-25,700.499,732.563,700.499,713.683,2019666200,22600396000.0
2024-09-26,711.312,738.201,710.84,738.201,1672723400,19330889000.0
2024-09-27,748.152,794.13,746.885,787.612,2031500700,27457041000.0
2024-09-30,829.739,898.561,817.533,893.809,3444794200,44732328000.0
2024-10-08,1024.632,1024.632,929.801,1010.327,4265651300,63020169000.0
2024-10-09,970.235,993.619,909.017,913.889,3571000000,62240373000.0
2024-10-10,933.771,945.52,887.513,901.237,2505263500,41088714000.0
2024-10-11,883.622,888.791,833.261,845.297,1883780100,28248834000.0
2024-10-14,848.33,881.375,828.68,881.375,2022540700,28859152000.0
2024-10-15,874.312,911.34,864.177,875.373,2320627100,33343763000.0
