日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2025-02-05,1127.478,1147.271,1124.988,1147.271,501616000,18384232000.0
2025-02-06,1201.458,1266.682,1191.843,1257.36,3130416100,56774087000.0
2025-02-07,1279.858,1359.673,1279.858,1329.048,6778680200,128308273000.0
2025-02-10,1370.06,1437.602,1368.105,1437.536,8671585800,173448530000.0
2025-02-11,1436.42,1488.421,1418.116,1442.672,11311287400,212793660000.0
2025-02-12,1444.142,1496.137,1444.142,1496.137,11568354900,222481610000.0
2025-02-13,1506.179,1534.222,1467.167,1502.225,14763545000,289146480000.0
2025-02-14,1498.548,1569.245,1495.982,1552.581,20835479000,369287410000.0
2025-02-17,1589.09,1598.061,1551.576,1568.79,24660966000,440766200000.0
2025-02-18,1551.386,1560.586,1497.81,1501.499,20834748000,363905080000.0
2025-02-19,1503.758,1548.126,1497.062,1547.847,19721988000,342897440000.0
2025-02-20,1545.628,1563.01,1537.358,1554.471,20015553000,338051270000.0
2025-02-21,1567.065,1608.969,1544.291,1604.507,27252060000,487561600000.0
2025-02-24,1600.47,1609.494,1573.351,1591.656,25290066000,444448370000.0
2025-02-25,1552.242,1596.929,1549.586,1574.045,22438749000,399875720000.0
2025-02-26,1580.571,1596.792,1567.39,1593.302,20824956000,368603750000.0
2025-02-27,1590.156,1600.663,1543.862,1574.135,21401045000,373513830000.0
2025-02-28,1564.14,1566.718,1490.09,1494.39,19618221000,333592150000.0
2025-03-03,1505.203,1530.231,1485.797,1504.873,17079283000,282672170000.0
2025-03-04,1488.451,1535.036,1488.335,1534.778,16672061000,266913890000.0
2025-03-05,1536.384,1550.358,1522.348,1550.228,18929911000,312515520000.0
2025-03-06,1565.934,1618.727,1565.934,1609.81,26088973000,447686920000.0
2025-03-07,1608.172,1624.064,1583.069,1595.185,26267782000,434868730000.0
2025-03-10,1595.62,1597.435,1570.708,1584.781,20686478000,327989160000.0
2025-03-11,1558.22,1588.266,1558.005,1588.266,19307530000,291810500000.0
2025-03-12,1601.268,1620.909,1596.112,1603.435,23986427000,379583880000.0
