日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-03-21,999.64,1013.48,994.462,1007.227,482815240,9252112500.0
2023-03-22,1005.072,1019.254,1004.316,1018.2,623357820,12926832900.0
2023-03-23,1008.415,1016.82,999.823,1015.043,551452680,10869327000.0
2023-03-24,1015.636,1042.458,1002.808,1040.2,660283130,14541491000.0
2023-03-27,1054.408,1066.039,1037.115,1061.7,769141590,17679763000.0
2023-03-28,1055.042,1061.702,1037.339,1040.156,572774400,12675955400.0
2023-03-29,1038.528,1045.995,1021.698,1028.354,466442480,10298409000.0
2023-03-30,1027.553,1027.553,1001.083,1007.01,444206140,8928095500.0
2023-03-31,1006.838,1040.011,999.063,1037.011,450093200,9759677300.0
2023-04-03,1037.944,1075.96,1026.164,1073.577,731977340,16475993000.0
2023-04-04,1072.65,1077.967,1052.84,1069.123,824602470,17775907000.0
2023-04-06,1052.048,1055.747,1033.968,1043.606,672239660,13292289800.0
2023-04-07,1046.692,1063.135,1034.826,1063.135,528181760,11253536300.0
2023-04-10,1053.539,1055.917,1004.628,1012.278,569662910,12216335800.0
2023-04-11,1010.17,1029.605,1001.493,1021.609,377667070,7638157500.0
2023-04-12,1019.472,1045.886,1016.745,1042.902,377752280,7765333300.0
2023-04-13,1037.828,1049.171,1027.174,1029.453,424434840,8570193500.0
2023-04-14,1033.275,1041.889,1008.68,1032.274,402487940,7831604600.0
2023-04-17,1034.334,1037.029,1015.546,1026.139,357237370,7565885300.0
2023-04-18,1020.52,1032.254,1007.372,1023.923,317256190,6327267300.0
2023-04-19,1024.508,1040.92,1021.906,1026.431,398838700,8217182900.0
2023-04-20,1026.043,1042.14,1016.596,1042.14,433330140,9967797600.0
2023-04-21,1040.95,1041.735,981.779,981.779,568592590,12068906400.0
2023-04-24,978.197,985.755,965.321,969.038,367806360,7451921000.0
2023-04-25,964.334,966.2,930.946,947.998,398577380,7088462000.0
2023-04-26,940.236,953.557,919.306,924.668,364248780,6830025700.0
2023-04-27,925.73,943.799,919.966,926.191,310155250,6355297300.0
2023-04-28,921.151,953.028,921.151,952.533,314844930,6266000300.0
2023-05-04,950.396,960.792,933.2,944.369,335996410,6341533100.0
2023-05-05,943.272,956.578,937.806,953.043,292743260,5614935200.0
2023-05-08,957.604,971.305,949.654,966.746,299609960,6515072600.0
2023-05-09,966.153,976.731,955.604,956.823,286756900,6380962900.0
2023-05-10,954.133,963.915,941.941,948.927,251784240,5946456900.0
2023-05-11,952.515,958.344,943.279,945.696,243625270,5000618000.0
2023-05-12,947.147,953.911,935.588,936.178,244097060,4702846300.0
2023-05-15,933.601,935.706,907.847,930.534,274609960,5530433000.0
2023-05-16,932.28,932.487,908.668,910.753,220591140,4358986800.0
2023-05-17,912.365,931.572,911.605,930.855,177273990,3397781400.0
2023-05-18,937.454,954.835,933.176,949.89,255949920,6250005800.0
2023-05-19,949.628,951.462,936.828,947.389,234153770,5227263600.0
2023-05-22,946.444,946.444,931.186,938.349,197236890,4293226000.0
2023-05-23,938.187,938.38,925.865,926.036,185517100,4061305400.0
2023-05-24,922.132,935.785,917.059,929.401,177626880,3788556200.0
2023-05-25,927.583,936.09,906.016,921.368,200674020,4216294900.0
2023-05-26,919.154,942.609,915.387,940.081,214719970,4746634300.0
2023-05-29,944.806,948.791,929.012,933.544,249370560,6118427700.0
2023-05-30,933.989,950.508,920.569,950.508,281420070,6135580100.0
2023-05-31,950.258,964.438,944.436,960.739,324567250,7186840500.0
2023-06-01,953.877,978.07,947.478,973.79,391306640,8267553600.0
2023-06-02,972.569,990.327,971.974,987.765,368614490,8775137400.0
2023-06-05,991.263,994.816,984.178,992.264,331928900,8148262000.0
2023-06-06,990.619,991.098,965.099,968.175,346431180,7569797100.0
2023-06-07,965.742,982.306,961.411,979.713,254142400,5760197100.0
2023-06-08,977.688,977.962,958.357,968.291,283949560,6734063600.0
2023-06-09,965.907,979.233,962.268,979.052,286645810,6738399700.0
2023-06-12,980.908,1003.796,978.231,1000.229,349907820,7703323600.0
2023-06-13,1001.518,1020.142,998.728,1018.601,393991020,7965955500.0
2023-06-14,1016.159,1019.216,1004.308,1012.254,377414610,7800948100.0
2023-06-15,1013.55,1015.782,1005.309,1005.951,395207930,8071329800.0
2023-06-16,1005.771,1037.033,998.531,1035.244,471373750,9208455100.0
2023-06-19,1040.909,1073.561,1040.909,1071.755,522483810,11724432600.0
2023-06-20,1072.682,1090.215,1069.437,1085.804,610528710,13749765000.0
2023-06-21,1090.552,1092.951,1065.548,1065.906,536456170,12438355000.0
2023-06-26,1049.526,1059.807,1018.201,1023.981,481838840,10224846100.0
2023-06-27,1020.25,1030.811,1016.187,1022.44,353534640,7872700600.0
2023-06-28,1019.44,1019.44,972.979,997.279,480746260,8921942900.0
2023-06-29,993.068,1031.937,992.456,1025.717,453123680,8443670900.0
2023-06-30,1018.548,1039.735,1016.104,1036.337,455892360,9098689700.0
2023-07-03,1036.094,1040.364,1011.02,1035.878,418669500,8873081700.0
2023-07-04,1028.941,1046.485,1026.476,1045.348,329410370,6980640300.0
2023-07-05,1047.202,1054.282,1024.876,1025.089,343527040,7243987700.0
2023-07-06,1022.289,1037.81,1013.759,1027.269,320219670,6865630500.0
2023-07-07,1024.019,1024.847,995.912,1010.984,392982830,7288589100.0
2023-07-10,1013.155,1022.14,1011.544,1015.629,324133850,6141403500.0
2023-07-11,1017.629,1023.39,1014.831,1019.002,287641390,5720073000.0
2023-07-12,1014.458,1027.394,998.057,999.274,411833310,7816488600.0
2023-07-13,998.72,1008.41,992.686,1004.802,383888300,6615298200.0
2023-07-14,1003.923,1032.666,1003.301,1024.623,499224090,9094013300.0
2023-07-17,1022.999,1028.251,1012.085,1017.788,351224620,6322333000.0
2023-07-18,1018.678,1018.678,998.481,999.85,315857080,5453447100.0
2023-07-19,1014.81,1039.216,1014.81,1024.309,425717880,7850468900.0
2023-07-20,1026.159,1037.054,1008.172,1010.38,422310010,8869609300.0
2023-07-21,1011.994,1016.028,990.295,990.369,358667140,7389176700.0
2023-07-24,985.706,1013.778,984.357,1001.255,296192690,6130932000.0
2023-07-25,1011.463,1031.0,1005.239,1022.631,396210230,8090545600.0
2023-07-26,1020.338,1020.898,1006.212,1009.603,339648880,6847496200.0
2023-07-27,1003.298,1008.136,985.433,986.888,296744580,5710796400.0
2023-07-28,984.759,998.99,978.1,997.629,282440770,5755971000.0
2023-07-31,998.658,1013.896,994.675,1006.508,323101010,7324585200.0
2023-08-01,1004.751,1019.905,997.437,1013.45,321113420,7942748100.0
2023-08-02,1006.009,1017.66,1004.232,1015.212,238818720,5822494300.0
2023-08-03,1010.061,1017.527,1006.212,1009.999,233162930,5367604600.0
2023-08-04,1010.122,1035.023,1009.719,1024.207,327303210,7226286000.0
2023-08-07,1019.254,1028.167,1017.403,1019.991,246188510,5462986800.0
2023-08-08,1017.305,1020.406,1008.757,1009.244,200718110,4278298900.0
2023-08-09,1004.258,1025.859,1003.949,1004.913,274069090,5572097500.0
2023-08-10,998.085,1010.408,996.173,1007.769,230330220,4892822700.0
2023-08-11,1004.119,1007.152,986.105,986.965,208620200,4526718700.0
2023-08-14,979.19,1010.31,977.159,1007.353,209063630,5097563800.0
2023-08-15,1010.053,1010.053,982.026,994.961,230042430,5614995000.0
2023-08-16,991.423,994.634,972.52,972.52,228892510,5496625900.0
2023-08-17,967.623,982.144,958.305,978.429,199049750,4508473100.0
2023-08-18,976.782,982.971,955.413,955.413,236859720,5042844800.0
2023-08-21,954.549,975.973,954.549,958.525,213196690,4433445300.0
2023-08-22,965.483,976.133,946.113,974.106,262766410,5478564800.0
2023-08-23,970.962,971.362,951.671,951.671,221027860,4550198100.0
2023-08-24,952.156,959.144,940.057,942.39,232720610,4743739400.0
2023-08-25,931.047,932.042,900.23,904.848,288776330,5222522400.0
2023-08-28,964.012,966.669,905.729,907.643,293743670,5464137600.0
2023-08-29,903.446,952.307,903.446,948.221,288195860,5590155200.0
2023-08-30,952.865,976.441,952.683,973.281,337788420,6663182500.0
2023-08-31,971.563,973.142,959.576,963.068,240922920,4850556300.0
2023-09-01,962.074,966.415,950.071,953.284,204265760,4157465600.0
2023-09-04,954.888,968.784,945.925,968.637,331870280,6385045800.0
2023-09-05,967.047,978.099,961.662,963.66,448994890,9304382200.0
2023-09-06,960.164,981.383,954.606,979.854,454949560,8771989000.0
2023-09-07,979.692,987.458,970.708,972.217,464918220,10096305100.0
2023-09-08,968.797,984.995,957.871,975.383,529127560,11005432200.0
2023-09-11,971.407,985.763,960.068,979.101,471432110,9667945500.0
2023-09-12,974.52,985.423,974.52,977.731,389158880,8116844100.0
2023-09-13,976.098,976.098,947.166,955.188,368158210,7269439700.0
2023-09-14,953.216,953.749,938.016,945.138,360995690,7575997800.0
2023-09-15,945.51,949.786,936.678,940.834,293732330,6092287400.0
2023-09-18,935.812,958.03,934.692,951.111,326576590,6769627000.0
2023-09-19,949.946,949.946,930.451,932.157,271912400,5293193700.0
2023-09-20,930.833,940.122,924.688,925.539,254926430,5107062300.0
2023-09-21,921.482,932.091,914.971,921.71,292483420,5963912700.0
2023-09-22,919.133,956.731,918.499,956.731,397458340,7936221100.0
2023-09-25,960.788,961.766,944.168,945.708,471905050,10026839400.0
2023-09-26,941.568,958.955,940.823,953.635,426587940,8704202400.0
2023-09-27,952.405,969.486,951.202,958.246,377802020,7391183200.0
2023-09-28,956.616,962.843,952.262,957.674,319609900,6246815000.0
2023-10-09,953.761,957.586,946.842,954.322,309770380,6317001000.0
2023-10-10,955.383,983.555,955.383,978.284,624488200,13846678000.0
2023-10-11,977.406,989.289,967.317,980.962,591065180,13064560700.0
2023-10-12,985.094,989.018,976.021,977.583,514053740,11460352300.0
2023-10-13,971.774,974.257,965.308,969.155,510151630,12155846200.0
2023-10-16,968.573,970.456,955.58,961.786,480920300,11600587400.0
2023-10-17,961.982,962.983,946.633,960.864,394085460,8676374800.0
2023-10-18,951.895,952.075,934.231,947.833,440510910,10256738100.0
2023-10-19,939.834,958.34,930.705,931.19,429432690,9721125500.0
2023-10-20,927.106,934.761,906.073,906.919,332371040,6763236900.0
2023-10-23,897.623,899.047,872.026,876.717,309519040,6003844600.0
2023-10-24,880.979,904.017,870.395,900.856,384758460,7515173300.0
2023-10-25,908.218,931.663,902.688,927.838,482022790,10114979500.0
2023-10-26,922.216,946.95,920.07,946.444,520933880,11978675100.0
2023-10-27,950.125,953.421,936.069,950.836,477713900,9957862500.0
2023-10-30,950.31,975.751,949.226,971.746,455298440,9989481200.0
2023-10-31,972.88,975.619,953.766,964.163,518731830,12017519300.0
2023-11-01,959.172,966.143,956.148,960.011,317689430,7469971600.0
2023-11-02,956.65,962.105,945.84,945.935,381071950,8259606500.0
2023-11-03,947.655,971.656,947.655,966.496,457483350,9491087600.0
2023-11-06,972.051,994.734,971.309,993.741,478851020,10194512100.0
2023-11-07,993.324,1004.538,989.709,1001.802,449269810,9322012800.0
2023-11-08,1001.464,1018.769,998.779,1012.515,579324150,13039929500.0
2023-11-09,1009.624,1020.314,997.928,1002.246,402227540,8977114600.0
2023-11-10,1001.013,1006.227,993.461,997.33,494765620,11289678300.0
2023-11-13,1008.002,1032.833,1008.002,1032.833,642276710,14642765000.0
2023-11-14,1033.995,1046.923,1030.443,1045.929,659486360,16663753000.0
2023-11-15,1054.09,1065.23,1050.573,1055.382,760082510,17825567000.0
2023-11-16,1050.403,1059.898,1045.813,1052.634,695198200,15774862000.0
2023-11-17,1049.902,1059.357,1048.306,1055.47,532554740,12344709300.0
2023-11-20,1057.52,1069.263,1051.328,1067.478,524193210,13093719300.0
2023-11-21,1068.661,1071.352,1043.89,1047.171,504613420,11858789800.0
2023-11-22,1043.707,1056.661,1031.492,1031.569,377365960,8511381300.0
2023-11-23,1030.264,1046.662,1017.002,1046.612,392826390,9224831400.0
2023-11-24,1047.219,1047.393,1013.691,1016.827,357232830,7795710300.0
2023-11-27,1017.845,1032.645,1016.276,1022.041,578721120,8906883500.0
2023-11-28,1024.046,1032.778,1018.27,1032.778,689300700,9966460000.0
2023-11-29,1032.866,1036.732,1022.0,1022.543,709810240,10578036100.0
2023-11-30,1019.094,1026.383,997.707,1009.454,584166470,9157659500.0
2023-12-01,1007.644,1042.72,1005.998,1038.897,628939490,10583125900.0
2023-12-04,1042.4,1056.889,1041.424,1045.017,552665720,11371175200.0
2023-12-05,1041.054,1041.14,1006.86,1006.86,492539310,9251171400.0
2023-12-06,1005.407,1022.13,997.657,1012.15,379767490,6884134500.0
2023-12-07,1012.93,1025.815,1008.889,1021.244,361554280,7019406200.0
2023-12-08,1021.832,1033.736,1018.331,1023.214,480827470,9711681400.0
2023-12-11,1023.046,1044.712,1015.502,1044.175,459524200,9905316900.0
2023-12-12,1049.243,1057.435,1047.373,1053.722,442305600,10189781100.0
2023-12-13,1056.239,1057.174,1043.759,1044.347,461254400,8418795700.0
2023-12-14,1048.337,1057.826,1036.137,1037.986,503375010,8564915200.0
2023-12-15,1038.375,1038.75,1025.122,1029.168,471620630,9177678800.0
2023-12-18,1025.259,1030.649,1003.889,1007.331,371603530,7141990500.0
2023-12-19,1007.65,1021.863,1003.008,1018.018,367624910,7991760700.0
2023-12-20,1017.571,1017.586,995.031,995.943,372012570,7365873100.0
2023-12-21,989.767,1006.509,978.949,1000.813,419579100,8624406900.0
2023-12-22,996.273,997.375,961.334,966.082,422507270,8400677300.0
2023-12-25,965.645,972.125,952.528,959.902,251209150,4908913000.0
2023-12-26,961.863,961.863,935.856,939.606,288468000,5519734500.0
2023-12-27,937.684,948.182,936.727,946.578,269750010,5178521800.0
2023-12-28,940.968,965.572,931.264,960.169,415777400,8009590800.0
2023-12-29,958.234,981.378,958.219,980.077,500068490,10368689100.0
2024-01-02,984.902,986.692,969.836,970.12,406715120,8289012100.0
2024-01-03,968.33,972.622,955.121,966.185,381296680,8122255200.0
2024-01-04,964.3,976.456,957.728,965.265,407666620,9925698600.0
2024-01-05,965.567,969.155,943.768,949.658,340395590,7554625700.0
2024-01-08,943.351,944.297,926.979,926.979,288703210,6495831900.0
2024-01-09,930.425,939.612,917.409,925.407,298935660,5687278100.0
2024-01-10,922.722,922.722,900.433,903.616,271645470,5234635500.0
2024-01-11,902.102,931.84,902.102,929.698,372812150,8796425200.0
2024-01-12,926.31,929.971,909.417,909.838,318477740,7012247900.0
2024-01-15,908.681,911.57,900.48,904.421,236875180,5215496200.0
2024-01-16,904.95,904.95,878.743,895.456,319412860,6316582700.0
2024-01-17,896.594,897.748,875.056,875.056,279044580,6610548200.0
2024-01-18,869.859,879.546,852.291,877.579,365430510,7666812800.0
2024-01-19,874.836,878.497,860.486,860.486,316873570,6900892900.0
2024-01-22,856.996,859.511,801.841,810.028,413899900,7399231700.0
2024-01-23,808.872,822.854,800.367,818.663,331679540,5645103400.0
2024-01-24,822.727,834.454,795.496,833.318,365976490,6351152200.0
2024-01-25,829.683,862.692,824.778,861.042,387530140,6987665600.0
2024-01-26,858.825,867.895,849.825,852.32,357365850,6196102100.0
2024-01-29,853.686,856.743,813.951,814.047,299498640,5042562800.0
2024-01-30,807.57,816.971,783.764,785.41,262751460,4234979100.0
2024-01-31,783.732,785.215,738.967,740.108,395325100,5823247400.0
2024-02-01,739.29,757.337,723.572,738.988,320995970,5221741200.0
2024-02-02,741.986,751.431,679.772,706.719,400612140,5971196100.0
2024-02-05,700.635,700.635,628.052,640.787,489521990,6523670000.0
2024-02-06,624.84,686.119,605.918,668.561,476960260,6590930300.0
2024-02-07,666.529,685.856,650.995,659.573,487999400,7103040600.0
2024-02-08,665.43,717.382,659.467,716.75,481983170,6919693400.0
2024-02-19,734.736,754.675,732.515,754.137,501655620,8305198500.0
2024-02-20,749.347,759.338,737.594,757.289,371171160,6090497100.0
2024-02-21,750.51,796.136,746.603,771.086,437728810,7164638200.0
2024-02-22,775.856,798.45,775.629,798.45,472334350,7782938000.0
2024-02-23,804.581,830.747,795.04,830.747,534117580,9785208900.0
2024-02-26,829.71,852.122,817.664,835.437,506206490,9422362100.0
2024-02-27,829.123,865.713,826.644,865.713,502321510,9482479300.0
2024-02-28,866.097,878.93,800.297,800.818,668539030,12119960800.0
2024-02-29,792.302,838.418,792.302,838.418,492030160,9774379700.0
2024-03-01,840.036,862.229,838.967,860.534,495331210,10058370900.0
2024-03-04,864.309,867.472,837.494,857.107,463626610,9838227100.0
2024-03-05,849.163,856.361,836.673,845.23,477930650,11196512200.0
2024-03-06,841.28,856.663,834.588,849.451,391538460,8808657000.0
2024-03-07,853.537,860.612,831.214,831.214,433764350,9970293300.0
2024-03-08,830.73,837.271,819.59,835.355,307347970,6822277800.0
2024-03-11,830.686,853.87,827.103,853.87,430918790,11016165400.0
2024-03-12,857.406,866.28,850.557,866.28,458308040,10016691700.0
2024-03-13,868.363,887.945,867.516,879.999,606275770,12504439800.0
2024-03-14,873.859,873.962,850.454,865.623,478191230,9889882700.0
2024-03-15,863.214,869.711,851.571,869.667,371188640,8121669200.0
2024-03-18,871.956,884.843,867.246,884.843,458813860,9946767900.0
2024-03-19,881.909,905.804,881.909,898.279,562037660,11355420100.0
2024-03-20,894.224,917.089,894.224,917.089,518237570,10401058600.0
2024-03-21,918.016,928.169,912.929,920.234,601902080,10301075500.0
2024-03-22,919.847,926.906,896.296,915.498,743029310,11436782800.0
2024-03-25,911.006,917.773,877.288,877.288,586992290,10334925400.0
2024-03-26,875.001,883.598,849.581,862.535,486574420,9090213700.0
2024-03-27,863.976,864.8,827.591,827.591,436800730,7806888600.0
2024-03-28,824.649,867.405,824.649,858.359,453763760,8256040100.0
2024-03-29,859.285,861.604,843.436,860.656,387260550,6540665000.0
2024-04-01,864.705,879.633,864.705,879.326,415580340,7607122100.0
2024-04-02,877.631,877.724,854.159,859.703,380667770,7179528000.0
2024-04-03,858.63,858.63,830.367,838.875,338156440,5848034700.0
2024-04-08,836.52,843.723,827.153,831.176,482203000,9363579600.0
2024-04-09,829.769,838.333,825.988,838.333,349834290,7157972900.0
2024-04-10,837.05,837.139,808.805,816.486,388617130,7456194300.0
2024-04-11,809.447,830.731,808.162,818.971,367564850,6976236200.0
2024-04-12,817.702,826.965,803.532,804.716,402920780,6166104300.0
2024-04-15,800.653,807.539,760.225,773.116,458379810,6889919500.0
2024-04-16,763.237,763.237,717.233,717.806,402063820,5963025300.0
2024-04-17,725.729,764.856,725.729,764.856,371468680,5992575300.0
2024-04-18,763.118,773.548,748.38,758.569,323449080,6077933400.0
2024-04-19,754.045,761.362,745.01,750.841,262778820,4741229100.0
2024-04-22,744.008,753.911,727.539,747.631,242389680,4157075400.0
2024-04-23,750.062,764.423,750.062,760.23,220025510,3602633100.0
2024-04-24,762.187,791.693,762.187,791.62,343032220,5933430800.0
2024-04-25,787.205,796.838,782.021,791.321,293166920,4941361200.0
2024-04-26,792.861,815.594,787.566,813.504,397403970,7554169000.0
2024-04-29,823.109,842.921,823.109,841.683,495680500,9152003900.0
2024-04-30,843.056,848.433,830.649,839.33,419868270,8123491900.0
