日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1070.29,1089.709,1065.876,1088.149,581970710,8421474100.0
2020-01-03,1089.291,1101.502,1085.427,1101.502,619594050,8713638000.0
2020-01-06,1093.639,1115.242,1087.017,1107.129,815693190,10143431800.0
2020-01-07,1107.973,1128.75,1107.966,1128.75,791022450,10534949000.0
2020-01-08,1126.237,1133.842,1110.701,1113.538,845142780,12324714800.0
2020-01-09,1128.546,1145.14,1128.546,1144.404,756492290,11490500900.0
2020-01-10,1153.438,1155.528,1139.452,1146.304,655637730,11648292600.0
2020-01-13,1144.14,1176.385,1144.14,1176.385,701611150,12250671300.0
2020-01-14,1180.903,1180.903,1168.175,1168.813,838083030,13899194000.0
2020-01-15,1165.493,1174.828,1158.975,1173.942,782048580,11949528100.0
2020-01-16,1171.63,1184.151,1171.63,1177.85,905903890,12967619300.0
2020-01-17,1180.996,1188.608,1173.655,1175.618,759412970,11417713600.0
2020-01-20,1177.769,1194.671,1170.161,1193.06,657873000,10536970900.0
2020-01-21,1193.351,1193.351,1176.944,1178.191,716478790,11577257000.0
2020-01-22,1170.042,1195.16,1156.975,1189.676,771676930,11753077000.0
2020-01-23,1175.752,1190.399,1132.13,1144.907,830826150,12535928800.0
2020-02-03,1030.335,1033.011,1030.335,1031.986,153685060,2026059900.0
2020-02-04,952.331,1024.506,952.331,1017.944,947090600,12430199700.0
2020-02-05,1023.937,1062.719,1023.746,1044.312,803311200,11442581400.0
2020-02-06,1045.622,1083.554,1040.551,1078.223,878880320,11691208000.0
2020-02-07,1081.788,1103.719,1070.238,1103.679,938402450,13136176200.0
2020-02-10,1108.077,1115.332,1094.168,1112.652,813022620,11557708600.0
2020-02-11,1117.309,1119.057,1102.065,1110.202,741848150,10824627400.0
2020-02-12,1106.287,1138.995,1105.812,1138.246,846241080,12531277200.0
2020-02-13,1139.144,1146.325,1125.437,1132.338,932592660,15424852000.0
2020-02-14,1127.402,1152.972,1125.338,1138.978,836104730,13785582000.0
2020-02-17,1148.977,1183.129,1148.977,1183.129,950916250,15095673000.0
2020-02-18,1184.289,1226.946,1182.864,1226.946,1074362310,17342209000.0
2020-02-19,1222.326,1236.34,1213.931,1214.55,1142366740,19503744000.0
2020-02-20,1214.845,1235.996,1199.098,1235.473,1028909080,16890955000.0
2020-02-21,1232.767,1272.095,1231.619,1259.664,1128118720,19049200000.0
2020-02-24,1269.993,1299.824,1264.238,1290.54,1221007720,21718640000.0
2020-02-25,1253.836,1299.161,1223.344,1297.83,1525032300,25901712000.0
2020-02-26,1278.046,1292.941,1246.501,1252.777,1414144500,22117375000.0
2020-02-27,1261.379,1286.184,1237.303,1263.404,1345085800,20238575000.0
2020-02-28,1209.174,1228.91,1166.387,1166.387,1232140260,18535284000.0
2020-03-02,1187.519,1231.34,1180.132,1224.747,1044331170,15445845000.0
2020-03-03,1248.836,1279.999,1225.945,1241.909,1221025010,19222352000.0
2020-03-04,1231.645,1258.833,1223.699,1254.9,977120110,15960730000.0
2020-03-05,1276.927,1280.803,1247.974,1265.723,1099172750,17303894000.0
2020-03-06,1242.87,1254.892,1236.935,1245.228,815115290,12624996600.0
2020-03-09,1217.775,1224.416,1178.773,1178.975,914726790,13317033700.0
2020-03-10,1160.843,1234.601,1160.843,1234.601,1018109480,14176310000.0
2020-03-11,1245.675,1258.863,1218.013,1218.5,1148168940,15238871000.0
2020-03-12,1192.797,1213.121,1182.519,1196.223,798302310,10776853500.0
