日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-06-14,988.806,1005.655,969.054,1005.365,379512920,4411749300.0
2022-06-15,1004.212,1017.961,1000.203,1000.203,403458610,4575008600.0
2022-06-16,998.37,1017.665,998.318,1010.629,340562320,3954614300.0
2022-06-17,1003.192,1013.612,993.568,1012.214,335362410,3836955100.0
2022-06-20,1012.083,1015.795,1006.548,1011.243,314956200,3606526200.0
2022-06-21,1011.945,1021.134,1001.066,1015.221,309358330,3735553400.0
2022-06-22,1016.44,1016.943,992.214,993.146,298275180,3687581700.0
2022-06-23,992.438,1019.41,987.526,1019.053,339337540,4068270000.0
2022-06-24,1022.579,1034.864,1022.579,1032.521,387217630,5233612000.0
2022-06-27,1037.413,1041.673,1030.559,1039.312,384600230,4613005500.0
2022-06-28,1040.438,1059.06,1031.56,1055.759,413483800,5265667100.0
2022-06-29,1055.992,1059.455,1032.838,1035.195,569141150,7048366500.0
2022-06-30,1035.059,1049.944,1032.92,1038.643,395028310,5031439400.0
2022-07-01,1037.751,1053.346,1037.751,1045.297,384508250,4271639100.0
2022-07-04,1049.76,1052.097,1041.425,1041.983,565051140,5816515000.0
2022-07-05,1038.082,1043.651,1015.808,1030.032,468868130,4959930800.0
2022-07-06,1029.741,1040.389,1021.031,1028.929,443643030,4555791700.0
2022-07-07,1030.627,1041.434,1023.627,1033.493,442997280,5335578200.0
2022-07-08,1038.904,1055.41,1035.796,1052.664,482262960,5902702400.0
2022-07-11,1051.331,1051.331,1023.959,1030.85,382494150,4692182400.0
2022-07-12,1030.158,1032.787,1015.486,1015.564,269387510,3279287700.0
2022-07-13,1015.835,1028.759,1015.835,1026.102,312965600,3552304700.0
2022-07-14,1026.87,1040.79,1023.609,1034.681,344921160,4247685100.0
2022-07-15,1029.21,1033.655,1017.712,1017.712,296751850,3551917300.0
2022-07-18,1017.589,1053.41,1017.589,1053.41,329263830,4236613100.0
2022-07-19,1055.081,1070.448,1052.892,1068.523,319304910,4607995600.0
2022-07-20,1073.069,1085.464,1069.516,1084.339,370801330,4836248600.0
2022-07-21,1082.486,1091.49,1077.94,1078.073,327001380,4138302900.0
2022-07-22,1085.668,1092.349,1072.481,1083.083,337743010,4581755400.0
2022-07-25,1084.751,1087.668,1057.276,1064.258,430767670,5125953700.0
2022-07-26,1066.177,1080.999,1059.764,1080.792,295083210,3589373400.0
2022-07-27,1081.3,1092.383,1076.951,1090.411,349327970,4558932100.0
2022-07-28,1093.856,1103.02,1093.795,1095.84,482237900,6453789800.0
2022-07-29,1097.97,1097.97,1081.496,1083.508,353494880,4418973200.0
2022-08-01,1082.049,1101.879,1078.816,1099.912,355347060,4799804600.0
2022-08-02,1090.87,1090.87,1040.653,1052.369,421134940,5063006700.0
2022-08-03,1053.319,1085.271,1051.037,1054.666,385072520,5187995400.0
2022-08-04,1062.498,1074.715,1057.598,1074.694,293273230,3481509700.0
2022-08-05,1077.393,1101.932,1075.654,1101.932,379318920,4705808700.0
2022-08-08,1105.839,1116.24,1096.125,1115.236,368900190,4429581600.0
2022-08-09,1116.335,1129.062,1108.386,1128.141,365110340,4592422500.0
2022-08-10,1119.514,1121.638,1113.104,1117.732,297154690,3708790100.0
2022-08-11,1121.238,1140.033,1121.238,1137.096,347733500,4534412800.0
2022-08-12,1134.724,1137.831,1119.878,1120.001,300328250,3911206100.0
2022-08-15,1120.518,1126.07,1112.581,1125.084,263070280,3368843100.0
2022-08-16,1125.367,1131.365,1122.796,1129.008,306397070,4120377100.0
2022-08-17,1129.091,1142.332,1124.267,1142.332,311715030,4544916600.0
2022-08-18,1142.127,1170.771,1141.145,1168.739,457635880,6548363200.0
2022-08-19,1169.718,1179.017,1145.13,1145.286,442797030,6286678800.0
2022-08-22,1141.145,1152.368,1134.283,1144.766,357561310,5228339500.0
2022-08-23,1139.049,1149.806,1136.494,1143.304,325549290,4772064600.0
2022-08-24,1141.77,1142.02,1090.368,1093.753,357620200,4832317600.0
2022-08-25,1100.111,1101.559,1068.522,1081.296,277147860,3637303200.0
2022-08-26,1086.819,1091.981,1067.999,1070.802,232120880,3064824300.0
2022-08-29,1050.46,1069.344,1041.686,1069.344,236708690,3224493700.0
2022-08-30,1071.056,1090.032,1068.188,1077.135,394880390,5504487000.0
2022-08-31,1077.645,1084.728,1048.403,1050.117,475728240,5785267600.0
2022-09-01,1051.175,1071.112,1049.772,1052.398,372137690,4779468500.0
2022-09-02,1055.873,1088.871,1054.048,1083.931,364250690,4658971700.0
2022-09-05,1082.423,1089.407,1072.029,1082.003,321869540,4161104800.0
2022-09-06,1083.754,1095.87,1078.928,1095.452,346701880,4262115400.0
2022-09-07,1093.932,1102.548,1091.094,1096.584,290638370,3766356300.0
