日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-06-21,997.247,1036.32,997.062,1028.459,1005887050,26479117000.0
2021-06-22,1035.34,1039.413,1014.331,1019.165,1077735530,26909053000.0
2021-06-23,1013.839,1063.663,1010.514,1047.866,1101072140,36270434000.0
2021-06-24,1036.784,1043.149,1018.253,1032.608,964082860,26489666000.0
2021-06-25,1025.942,1036.579,1006.031,1018.213,970620370,24998493000.0
2021-06-28,1021.334,1069.093,1021.334,1047.582,942499970,28159686000.0
2021-06-29,1044.644,1049.653,1022.585,1035.163,830339350,25001532000.0
2021-06-30,1053.746,1097.822,1053.746,1088.873,737435760,24402377000.0
2021-07-01,1091.249,1091.662,1044.534,1044.534,836598930,27251024000.0
2021-07-02,1041.163,1074.066,1034.531,1060.128,753040060,27412681000.0
2021-07-05,1077.705,1095.13,1058.672,1095.13,787813660,31156957000.0
2021-07-06,1092.421,1109.556,1054.268,1078.413,1017438370,37876976000.0
2021-07-07,1052.752,1090.725,1033.626,1089.462,812318830,30494733000.0
2021-07-08,1088.608,1116.519,1084.24,1107.051,763350280,32679509000.0
2021-07-09,1096.597,1109.574,1075.363,1104.218,786712720,27255051000.0
2021-07-12,1109.968,1147.336,1093.738,1146.756,955690260,31566884000.0
2021-07-13,1138.164,1139.864,1098.036,1104.561,816470680,30520826000.0
2021-07-14,1096.117,1114.57,1080.242,1089.331,663521000,23758579000.0
2021-07-15,1082.968,1094.63,1074.152,1091.059,621430510,20407486000.0
2021-07-16,1094.368,1117.342,1092.133,1099.242,566921640,23385936000.0
2021-07-19,1086.787,1111.335,1086.143,1104.11,635807600,22945367000.0
2021-07-20,1096.651,1142.196,1096.583,1141.973,577531610,22194479000.0
2021-07-21,1149.874,1207.153,1146.876,1193.707,845203790,32857880000.0
2021-07-22,1207.745,1241.451,1198.493,1238.623,908710220,37945712000.0
2021-07-23,1233.335,1255.2,1225.549,1245.306,872458640,34858196000.0
2021-07-26,1246.787,1279.682,1221.359,1267.659,911439420,40898185000.0
2021-07-27,1273.649,1352.935,1265.268,1267.37,1071295480,54750009000.0
2021-07-28,1245.367,1264.756,1173.575,1223.799,861358450,39198340000.0
2021-07-29,1252.322,1313.046,1242.14,1304.009,823858370,39708353000.0
2021-07-30,1293.652,1323.871,1285.622,1302.396,761840890,38685957000.0
2021-08-02,1292.894,1300.761,1252.569,1276.972,832849670,41937957000.0
2021-08-03,1270.48,1276.111,1208.003,1213.092,908872950,42642659000.0
2021-08-04,1216.234,1254.755,1215.926,1254.538,734055970,35563731000.0
2021-08-05,1246.706,1274.837,1230.03,1264.527,742823520,33374727000.0
2021-08-06,1271.298,1280.005,1233.436,1255.023,671243520,29844875000.0
2021-08-09,1233.223,1250.693,1212.575,1248.612,680249950,30023325000.0
2021-08-10,1248.53,1254.082,1218.013,1238.875,683608630,29561088000.0
2021-08-11,1235.267,1244.096,1218.122,1243.822,681727040,25432015000.0
2021-08-12,1243.309,1276.545,1241.484,1250.076,793221910,28504334000.0
2021-08-13,1234.114,1234.721,1209.402,1211.497,720631430,27652370000.0
2021-08-16,1208.78,1256.386,1204.335,1238.983,755902850,33779756000.0
2021-08-17,1235.575,1241.81,1197.033,1200.621,743851050,30359907000.0
2021-08-18,1204.199,1215.081,1195.273,1208.472,533695120,23196635000.0
2021-08-19,1204.85,1220.634,1197.157,1208.685,546716730,23422508000.0
2021-08-20,1206.826,1229.218,1196.681,1213.367,595048040,27533298000.0
2021-08-23,1212.638,1233.421,1206.4,1231.483,668475010,25847272000.0
2021-08-24,1231.701,1253.55,1216.353,1243.942,666840880,28993474000.0
2021-08-25,1242.957,1252.679,1224.341,1236.758,563148870,22942007000.0
2021-08-26,1232.782,1249.486,1221.068,1221.545,657775440,26389680000.0
2021-08-27,1214.105,1223.232,1205.444,1212.758,589816950,22794920000.0
2021-08-30,1214.253,1236.088,1192.843,1197.888,727678700,29918938000.0
2021-08-31,1190.184,1190.184,1156.668,1168.376,691124070,29195271000.0
2021-09-01,1170.184,1177.786,1143.118,1171.913,723059900,29443174000.0
2021-09-02,1168.969,1168.969,1147.052,1152.416,627486890,25432745000.0
2021-09-03,1149.023,1171.093,1138.968,1164.527,733075290,25471899000.0
2021-09-06,1167.534,1198.892,1156.209,1196.754,768026600,26985052000.0
2021-09-07,1190.078,1202.35,1184.741,1197.425,659028780,21862909000.0
2021-09-08,1195.573,1199.737,1183.083,1186.781,584791090,19523599000.0
2021-09-09,1181.619,1183.989,1163.735,1173.428,594161380,18315748000.0
2021-09-10,1172.369,1223.364,1168.067,1214.443,704357390,28434621000.0
2021-09-13,1207.977,1211.081,1170.552,1174.326,575918370,24905147000.0
2021-09-14,1170.647,1200.771,1170.647,1183.601,658229290,24312219000.0
2021-09-15,1179.315,1186.076,1163.97,1167.259,544835650,21770101000.0
2021-09-16,1163.789,1173.696,1138.594,1139.759,560050580,21366014000.0
2021-09-17,1139.394,1156.761,1130.537,1149.31,487636400,16166247000.0
2021-09-22,1133.102,1161.655,1131.235,1156.736,404996970,15839899000.0
2021-09-23,1160.879,1185.88,1154.096,1173.974,539266070,21275231000.0
2021-09-24,1169.296,1178.049,1154.847,1155.573,522072920,18319660000.0
2021-09-27,1162.813,1174.226,1135.24,1140.503,539250360,21206892000.0
2021-09-28,1135.908,1168.051,1131.593,1152.491,429782970,19204536000.0
2021-09-29,1139.813,1146.535,1114.507,1117.139,506875820,20257333000.0
2021-09-30,1122.894,1146.687,1122.293,1143.96,408412060,16763999000.0
2021-10-08,1161.856,1171.763,1148.957,1153.267,553697180,22058712000.0
2021-10-11,1154.08,1157.161,1135.324,1138.614,460253690,17515781000.0
2021-10-12,1136.672,1140.357,1094.811,1104.462,469090830,17466173000.0
2021-10-13,1107.667,1129.746,1106.708,1128.321,424415420,15233154000.0
2021-10-14,1122.833,1123.788,1111.513,1117.059,388733500,14027014000.0
2021-10-15,1119.437,1151.221,1111.238,1145.468,638066720,25188059000.0
2021-10-18,1139.594,1139.594,1126.138,1137.499,540054860,22385212000.0
2021-10-19,1138.556,1149.25,1134.446,1141.648,510516190,16619904000.0
