日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1000.44,1028.274,997.948,1026.053,1916039100,13514867000.0
2020-01-03,1028.102,1050.281,1027.906,1043.068,2144750200,14639796000.0
2020-01-06,1027.469,1067.159,1024.42,1061.955,2179253900,14990899000.0
2020-01-07,1066.926,1069.834,1053.76,1065.063,1676263800,11631178000.0
2020-01-08,1065.556,1101.062,1059.261,1075.91,3959913000,24309243000.0
2020-01-09,1085.657,1090.962,1075.287,1082.197,2335884500,15967636000.0
2020-01-10,1081.237,1082.175,1060.076,1064.688,1849814900,14115739000.0
2020-01-13,1061.066,1085.344,1052.983,1085.336,1847829900,14509099000.0
2020-01-14,1084.931,1087.463,1074.63,1076.162,1861313500,13310694900.0
2020-01-15,1072.988,1082.144,1060.071,1080.489,1595760200,12489973800.0
2020-01-16,1079.308,1088.189,1074.05,1076.492,1579432000,12018526900.0
2020-01-17,1078.587,1081.767,1060.749,1065.321,1415065100,10110275700.0
2020-01-20,1062.417,1091.548,1057.31,1090.848,2145470100,14875807000.0
2020-01-21,1081.461,1088.099,1071.575,1072.209,1788139600,13938668000.0
2020-01-22,1064.567,1091.3,1047.033,1088.193,1970052300,14920147000.0
2020-01-23,1070.878,1088.431,1024.161,1037.925,2396792300,17666479000.0
2020-02-03,934.263,936.637,934.167,934.167,733229210,3999258400.0
2020-02-04,863.134,932.404,863.134,926.368,3035478400,19211627000.0
2020-02-05,930.725,970.637,930.135,948.269,2483706800,16338455000.0
2020-02-06,944.834,974.141,938.541,968.284,2922584800,18098893000.0
2020-02-07,966.715,985.115,957.448,984.326,2420825200,16807457000.0
2020-02-10,977.071,989.894,971.957,989.323,2113386400,14710111000.0
2020-02-11,990.198,997.83,973.834,989.401,1818437700,14082983000.0
2020-02-12,990.103,1019.328,986.024,1018.878,2007357400,15062849000.0
2020-02-13,1019.219,1037.869,1010.221,1026.778,2430248700,18100443000.0
2020-02-14,1027.028,1053.334,1025.075,1042.275,2162698000,17303197000.0
2020-02-17,1063.089,1088.787,1059.944,1088.787,2842791900,20601896000.0
2020-02-18,1093.17,1131.866,1091.885,1130.679,3401516000,25532636000.0
2020-02-19,1128.214,1143.523,1116.279,1122.37,2629456000,21630778000.0
2020-02-20,1126.081,1193.431,1118.75,1190.761,4030413700,31317850000.0
2020-02-21,1202.303,1222.57,1198.903,1207.067,4254059900,33142982000.0
2020-02-24,1196.383,1249.075,1190.363,1245.332,4419289200,34681053000.0
2020-02-25,1207.731,1266.365,1179.696,1256.856,4884454500,41527079000.0
2020-02-26,1229.952,1260.957,1201.792,1212.015,4689718600,39461961000.0
2020-02-27,1210.421,1217.534,1165.97,1182.059,3389805500,29309405000.0
2020-02-28,1127.568,1139.838,1087.159,1087.16,4722349000,36136242000.0
2020-03-02,1102.116,1142.692,1093.765,1131.137,4000465100,31347142000.0
2020-03-03,1153.545,1179.657,1128.351,1144.249,3906499100,32150842000.0
2020-03-04,1130.592,1151.187,1112.547,1141.118,2976641200,23701227000.0
2020-03-05,1158.937,1170.87,1143.179,1170.87,2937544400,24907329000.0
2020-03-06,1152.004,1182.549,1148.295,1169.167,3049812000,24451776000.0
2020-03-09,1143.55,1151.331,1102.946,1104.513,3181830800,25747391000.0
2020-03-10,1093.735,1153.179,1084.329,1153.179,3545540400,28764941000.0
2020-03-11,1150.826,1161.156,1116.048,1116.126,3020355900,24888307000.0
2020-03-12,1092.006,1109.242,1082.085,1093.497,3245952600,23440153000.0
2020-03-13,1033.833,1098.396,1032.185,1082.026,3395509100,25213125000.0
2020-03-16,1087.458,1087.458,999.157,1004.743,3375044400,24027853000.0
2020-03-17,1014.827,1023.059,965.435,1006.36,3016558900,20380890000.0
2020-03-18,1015.732,1031.98,981.019,981.019,2642349700,18751215000.0
2020-03-19,981.557,1007.433,967.449,1003.843,2771537100,18713542000.0
2020-03-20,1015.002,1017.334,984.924,1003.124,2195824700,14779203000.0
2020-03-23,970.594,976.811,934.451,939.981,2729307900,17570154000.0
2020-03-24,960.047,962.579,922.201,957.182,2457750500,16333199000.0
2020-03-25,976.949,983.666,968.818,979.9,2521926800,16767438000.0
2020-03-26,971.446,979.478,958.691,960.352,1755012900,11295322900.0
2020-03-27,974.598,974.73,952.637,952.952,1512687200,10294699900.0
2020-03-30,934.824,934.89,899.265,912.11,2188346500,13307839700.0
2020-03-31,923.346,926.583,901.428,901.946,1628892100,9788163000.0
2020-04-01,902.385,933.847,899.586,913.486,2709487500,15952006000.0
2020-04-02,909.839,954.982,909.386,954.982,2446676100,16604020000.0
2020-04-03,951.998,955.141,937.017,943.566,1745044700,12279017200.0
2020-04-07,964.71,975.481,964.172,975.288,2192477500,14719655000.0
2020-04-08,969.186,990.73,966.371,985.225,1786324500,12588872400.0
2020-04-09,992.089,993.025,979.82,984.531,1333293640,9705468000.0
2020-04-10,979.958,982.357,944.076,947.788,1602339100,10987473600.0
2020-04-13,940.212,940.212,921.892,929.908,1057051850,7001045000.0
2020-04-14,935.196,951.339,933.583,951.339,1299352610,8392384800.0
2020-04-15,952.578,956.578,938.388,938.687,1605089700,10831658900.0
2020-04-16,929.488,941.306,920.478,938.247,1171448070,7496930200.0
2020-04-17,945.684,960.119,937.386,938.376,2271078100,14941821000.0
2020-04-20,940.213,943.465,933.871,943.465,1462209400,9621483300.0
2020-04-21,938.942,938.942,915.787,927.213,1382881300,9618592300.0
2020-04-22,919.583,940.92,915.368,940.92,1084468930,7201527700.0
2020-04-23,941.896,942.359,925.393,929.769,1143801030,7355281100.0
2020-04-24,927.511,930.784,899.067,903.366,1262544230,7750736200.0
2020-04-27,904.605,905.982,892.086,896.186,911141840,5825078100.0
2020-04-28,897.313,897.535,846.986,879.007,1829539400,11133939600.0
2020-04-29,874.179,891.952,873.811,884.194,1234341060,7593892600.0
2020-04-30,891.633,928.616,891.633,924.964,2484648200,16417833000.0
2020-05-06,916.033,954.911,915.26,954.533,2361330500,16679733000.0
2020-05-07,957.357,961.301,942.299,942.936,1583692800,11741238900.0
2020-05-08,950.614,964.561,949.36,957.831,1723999200,12491722100.0
2020-05-11,974.632,986.271,967.246,975.65,2187548500,14321054000.0
2020-05-12,975.558,977.946,955.229,977.946,1671843300,12539522200.0
2020-05-13,974.095,986.024,970.103,982.773,1576338000,10398410700.0
2020-05-14,980.359,991.63,976.916,980.414,1615353800,11469108600.0
2020-05-15,989.787,1012.891,987.117,1000.326,2365855800,17381510000.0
2020-05-18,1005.045,1005.045,966.841,969.169,2355533500,18144905000.0
2020-05-19,975.364,1001.278,972.036,1001.278,1724056100,16298670000.0
2020-05-20,995.493,1002.575,983.639,988.654,2258104100,17933476000.0
2020-05-21,990.013,991.391,964.222,965.837,1759343300,13748599000.0
2020-05-22,963.376,967.492,936.5,940.549,1671234500,12814304000.0
2020-05-25,938.626,944.034,922.24,927.544,1096427720,8381420300.0
2020-05-26,929.571,958.162,929.571,958.001,1078528000,8620731500.0
2020-05-27,958.431,958.665,938.28,942.914,991443450,8037750300.0
2020-05-28,939.005,941.539,911.369,929.051,1078855500,8151019100.0
2020-05-29,923.405,943.022,920.671,937.892,1510907200,9697437700.0
2020-06-01,942.129,984.247,942.129,983.15,2328395700,15894539000.0
2020-06-02,988.884,1033.384,987.495,1024.797,4011245500,24775526000.0
2020-06-03,1038.359,1044.749,1025.429,1026.611,3333651700,23193573000.0
2020-06-04,1034.676,1042.841,1022.374,1025.208,2690526900,18718554000.0
2020-06-05,1024.924,1031.864,1014.886,1024.872,2141849900,15218145000.0
2020-06-08,1032.714,1060.661,1032.714,1041.133,4121470100,27278080000.0
2020-06-09,1038.65,1038.65,1022.345,1028.925,2809870200,19304787000.0
2020-06-10,1025.447,1027.059,1012.705,1023.283,2823001500,18995788000.0
2020-06-11,1021.259,1028.736,1002.394,1008.162,2300651900,16458423000.0
2020-06-12,982.737,1006.078,979.751,1000.798,1936432300,14439730000.0
2020-06-15,995.46,1010.665,987.925,987.925,2191492400,16580728000.0
2020-06-16,999.118,1009.747,999.118,1006.782,1633972500,13053483500.0
2020-06-17,1009.08,1009.08,991.519,1002.648,1563777700,11451502900.0
2020-06-18,1000.398,1019.966,999.808,1018.377,2291457200,16752464000.0
