日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-09-08,1020.092,1136.373,1014.936,1128.498,1128248860,8482083800.0
2021-09-09,1068.786,1083.214,1048.763,1052.329,1275496050,7781533700.0
2021-09-10,1040.947,1065.263,1029.891,1046.181,964478500,6094788200.0
2021-09-13,1035.046,1109.828,1028.69,1083.141,1130366640,7497999300.0
2021-09-14,1079.389,1085.755,1044.724,1048.598,952649690,6141095300.0
2021-09-15,1049.615,1066.665,1041.158,1045.325,670151620,4465794400.0
2021-09-16,1045.721,1070.082,1016.451,1017.849,744330530,5054772700.0
2021-09-17,1013.045,1015.501,994.144,1009.973,567852060,3250300400.0
2021-09-22,1002.635,1012.223,998.449,1009.865,437591190,2486669200.0
2021-09-23,1018.158,1027.728,1006.368,1008.423,461474800,2651612900.0
2021-09-24,1007.305,1031.14,1007.305,1011.654,505298410,2857428800.0
2021-09-27,1006.357,1007.181,946.337,958.519,555265300,3099051600.0
2021-09-28,952.848,952.848,940.186,945.275,335902640,1867821300.0
2021-09-29,937.334,941.006,913.139,913.139,316248230,1671859200.0
2021-09-30,919.218,951.905,919.218,947.8,303453050,1592208400.0
2021-10-08,955.534,975.082,955.534,971.09,324454200,1670583300.0
2021-10-11,972.929,978.446,953.12,968.612,348685960,1703936800.0
2021-10-12,963.561,964.001,941.92,948.825,283781820,1481272600.0
2021-10-13,956.601,968.503,950.946,962.379,278964430,1488358700.0
2021-10-14,953.651,964.345,946.203,958.033,276065360,1569372000.0
2021-10-15,959.143,959.143,942.455,943.575,213377590,1182396780.0
2021-10-18,946.405,967.478,938.538,967.478,334250930,1738690700.0
2021-10-19,967.461,967.461,950.353,953.706,403394380,2189936700.0
2021-10-20,950.811,964.792,944.542,955.646,426931220,2218174000.0
2021-10-21,957.121,960.079,944.575,945.867,387820420,1993241300.0
2021-10-22,943.017,977.042,942.567,963.07,652436140,3316793900.0
2021-10-25,958.365,960.716,941.216,953.132,508075950,2557160600.0
2021-10-26,948.565,949.241,925.392,927.077,433196380,2230690700.0
2021-10-27,924.241,924.241,896.859,901.813,356125230,1830399800.0
2021-10-28,897.12,905.289,881.682,895.942,290463070,1629627700.0
2021-10-29,897.399,965.203,897.399,956.13,727787200,3968402700.0
2021-11-01,965.075,1009.451,965.075,988.046,861066400,5292675200.0
2021-11-02,993.484,994.619,949.446,955.205,659876510,4180958900.0
2021-11-03,956.605,1010.83,956.605,991.306,776883360,5039103600.0
2021-11-04,997.235,1044.078,984.766,1038.376,845312820,5752932000.0
2021-11-05,1026.323,1145.651,1023.586,1109.962,1427928000,9711792400.0
2021-11-08,1107.487,1159.697,1104.195,1139.361,1431349500,9168828300.0
2021-11-09,1129.604,1143.821,1108.658,1132.52,1133963840,7491783900.0
2021-11-10,1135.989,1157.568,1124.841,1140.695,1012995980,7101022500.0
2021-11-11,1122.524,1199.21,1116.783,1177.861,1210167000,8780666300.0
2021-11-12,1161.707,1174.482,1151.898,1160.033,1035128910,7570672000.0
2021-11-15,1167.888,1198.387,1141.547,1179.84,887706310,6909434800.0
2021-11-16,1164.413,1207.262,1164.413,1169.176,988578110,7812788200.0
2021-11-17,1158.473,1178.933,1152.608,1160.983,824878540,6379110100.0
2021-11-18,1156.443,1160.934,1107.481,1121.816,944238360,7136234100.0
2021-11-19,1124.393,1151.268,1124.393,1142.338,719540050,5870586100.0
2021-11-22,1139.146,1171.402,1132.016,1167.126,886065180,7340074900.0
2021-11-23,1149.978,1229.639,1134.26,1228.716,973294530,8153311300.0
2021-11-24,1236.433,1285.341,1222.995,1266.918,1237767010,10930140000.0
2021-11-25,1253.898,1253.898,1210.214,1212.496,978792170,8640397200.0
2021-11-26,1193.708,1208.651,1182.781,1191.361,617726600,5600532800.0
2021-11-29,1165.978,1189.014,1164.29,1176.966,506492040,4452875300.0
2021-11-30,1193.737,1215.51,1171.181,1173.007,587549500,5521396400.0
2021-12-01,1166.297,1215.049,1165.137,1206.221,629977780,5862755900.0
2021-12-02,1185.781,1186.902,1135.638,1135.638,634618700,5548046800.0
2021-12-03,1144.373,1147.441,1131.547,1132.961,362026230,3248560600.0
2021-12-06,1130.417,1160.395,1120.124,1147.057,512254240,4524403300.0
2021-12-07,1148.75,1188.976,1142.053,1161.324,641773040,5870109200.0
2021-12-08,1149.956,1215.423,1144.501,1201.521,692699620,6617748400.0
2021-12-09,1202.045,1237.587,1202.045,1222.947,718904290,6794415700.0
2021-12-10,1222.291,1279.674,1216.578,1257.799,1163694210,9540650900.0
2021-12-13,1261.132,1352.068,1261.132,1337.657,1205257980,10630022100.0
2021-12-14,1341.081,1392.501,1333.447,1361.105,1554625300,14389304000.0
2021-12-15,1344.753,1388.877,1333.799,1360.063,1730468300,15069992000.0
2021-12-16,1343.86,1422.708,1342.491,1394.443,1529583400,14141688000.0
2021-12-17,1391.868,1448.173,1357.977,1419.891,2142694800,17992021000.0
2021-12-20,1413.127,1447.119,1394.125,1395.024,1790140200,15228018000.0
2021-12-21,1388.517,1439.736,1388.517,1439.024,1475187300,13703778000.0
2021-12-22,1446.387,1505.619,1436.343,1482.573,1856852000,16428401000.0
2021-12-23,1459.248,1499.36,1454.176,1455.91,1465901300,12944445400.0
2021-12-24,1478.259,1520.599,1472.698,1491.033,1357097600,12392572800.0
2021-12-27,1507.972,1512.754,1420.523,1424.816,1497617500,12609440500.0
2021-12-28,1404.847,1457.422,1398.801,1415.573,1440772200,12091474800.0
2021-12-29,1397.422,1413.721,1364.31,1388.448,1281153510,10118313800.0
2021-12-30,1388.578,1468.16,1388.578,1459.254,1399668500,12326040400.0
2021-12-31,1474.447,1500.914,1460.017,1474.327,1359667100,12365551800.0
2022-01-04,1497.844,1577.015,1484.964,1566.978,1748161900,17106723000.0
2022-01-05,1556.727,1622.808,1554.88,1607.897,2489252800,23571416000.0
2022-01-06,1582.183,1582.194,1527.957,1560.24,1538169100,14064801000.0
2022-01-07,1558.705,1601.177,1504.926,1506.223,1831211400,16806795000.0
2022-01-10,1473.808,1504.325,1440.005,1500.115,1651400900,14176240000.0
2022-01-11,1491.934,1496.777,1441.137,1442.835,1626070000,13576034000.0
2022-01-12,1453.038,1508.862,1445.609,1500.369,1478792200,13002458000.0
2022-01-13,1504.385,1538.784,1492.786,1509.13,1995911200,18003355000.0
2022-01-14,1485.486,1546.162,1485.486,1511.083,1923575800,17401816000.0
2022-01-17,1510.696,1584.516,1510.696,1579.17,1908763000,18159914000.0
2022-01-18,1594.475,1595.096,1506.799,1508.033,2264234900,21012185000.0
2022-01-19,1507.629,1575.463,1507.629,1567.303,2059416600,17859920000.0
2022-01-20,1560.107,1560.718,1497.214,1504.824,2002173500,17231876000.0
2022-01-21,1505.316,1524.97,1459.876,1459.876,1566196700,12943586400.0
2022-01-24,1435.331,1477.442,1435.331,1465.812,1249574690,10465564300.0
2022-01-25,1437.191,1450.114,1383.805,1385.064,1593389100,12519725400.0
2022-01-26,1404.804,1426.982,1377.973,1393.243,1311924600,10729494900.0
2022-01-27,1376.056,1376.056,1302.719,1304.966,988493920,7609058600.0
2022-01-28,1305.021,1333.413,1297.408,1305.865,1034666210,8085778400.0
2022-02-07,1318.686,1321.863,1283.791,1302.615,969223120,7185814500.0
2022-02-08,1303.893,1335.352,1290.607,1335.352,1078819280,7793260100.0
2022-02-09,1338.351,1395.123,1336.249,1393.421,1444599500,10948933800.0
2022-02-10,1389.756,1405.864,1378.634,1395.997,1254503280,9691931100.0
2022-02-11,1404.554,1411.274,1364.663,1368.53,1553071500,13442243000.0
2022-02-14,1350.033,1400.828,1346.207,1385.687,1279279740,11724299800.0
