日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-01-28,1007.265,1021.2,995.462,1009.804,104520015,2793110400.0
2022-02-07,1023.068,1029.332,1007.07,1016.414,96019190,2857236500.0
2022-02-08,1014.134,1019.029,994.917,1010.066,90975197,2385895700.0
2022-02-09,1009.677,1030.495,1004.388,1029.775,89115176,2216982600.0
2022-02-10,1029.666,1036.174,1017.287,1022.072,82254344,2503538100.0
2022-02-11,1017.839,1017.839,988.836,993.319,98075647,2570881900.0
2022-02-14,984.074,1001.297,973.123,989.931,80987534,2074759200.0
2022-02-15,990.201,1009.263,989.221,1008.541,124832750,2565686200.0
2022-02-16,1013.207,1019.165,1005.416,1014.087,139527000,2833188900.0
2022-02-17,1012.232,1018.816,1004.146,1009.504,156966650,3122058600.0
2022-02-18,1002.731,1006.876,995.747,1006.876,108182482,2333562200.0
2022-02-21,1003.848,1016.545,1003.848,1016.537,154640510,3192343500.0
2022-02-22,1008.582,1011.127,993.291,1007.335,139628970,2803105400.0
2022-02-23,1006.578,1035.711,1006.578,1034.837,172171730,3680775500.0
2022-02-24,1031.083,1034.049,993.509,1007.127,180215970,3632037300.0
2022-02-25,1016.911,1034.09,1016.911,1021.766,130220001,2744419500.0
2022-02-28,1020.746,1022.653,1002.567,1012.808,140370140,3695264300.0
2022-03-01,1013.098,1015.834,1009.046,1014.982,135689070,3403789200.0
2022-03-02,1009.884,1009.884,996.894,1001.688,127484404,3006701800.0
2022-03-03,1004.406,1007.148,980.699,981.537,220474730,4743901300.0
2022-03-04,976.192,989.67,971.271,973.333,152301260,3366068400.0
2022-03-07,969.033,969.31,938.413,942.784,188266750,3910758600.0
2022-03-08,943.355,950.001,912.879,922.55,179875560,3688057700.0
2022-03-09,926.119,932.215,874.842,908.712,198268720,3816295400.0
2022-03-10,928.118,931.49,912.703,912.856,164385100,3140056700.0
2022-03-11,898.807,911.504,881.864,910.14,161858620,2975027000.0
2022-03-14,900.753,900.753,878.235,878.235,143416040,2720745600.0
2022-03-15,874.892,881.634,837.241,837.241,187894090,3441921400.0
2022-03-16,851.67,862.38,817.994,861.284,222495200,3792590200.0
2022-03-17,871.785,902.197,871.785,888.26,222286040,4315167900.0
2022-03-18,884.604,892.183,877.908,886.092,182919420,3318918800.0
2022-03-21,888.183,900.211,884.48,896.375,171139990,3003331400.0
2022-03-22,895.163,896.658,885.099,888.438,119980485,2265859400.0
2022-03-23,890.249,900.432,885.329,898.163,137680780,2626959200.0
2022-03-24,898.557,898.557,881.743,882.736,113713356,2076934800.0
2022-03-25,886.563,886.996,872.707,872.707,97728339,1800927900.0
2022-03-28,867.795,878.076,856.329,868.1,99693505,1814676600.0
2022-03-29,871.979,872.886,848.162,850.18,117389662,2205175100.0
2022-03-30,856.796,868.093,855.538,867.92,120040670,2164132900.0
2022-03-31,864.299,864.877,855.953,858.026,109460118,1917061100.0
2022-04-01,854.432,858.33,847.184,856.589,106294007,1924274000.0
2022-04-06,854.577,858.115,847.1,851.081,127908180,2120984200.0
2022-04-07,851.36,853.048,832.462,832.462,171301970,3098299100.0
2022-04-08,835.239,836.183,813.56,822.817,153706320,2649931900.0
2022-04-11,820.89,820.89,779.482,783.089,168330090,2654318400.0
2022-04-12,782.388,796.941,775.256,796.55,139105850,2324049700.0
2022-04-13,791.85,792.314,780.174,780.174,123244576,2100204200.0
2022-04-14,784.35,795.81,783.788,791.833,108848463,1737189800.0
2022-04-15,787.655,793.828,776.695,788.31,130983686,2116846800.0
2022-04-18,785.093,811.174,778.096,810.305,146419140,2445857200.0
2022-04-19,808.833,815.519,801.898,806.147,136501180,2204722200.0
2022-04-20,810.162,815.49,802.228,805.527,143638060,2505971900.0
2022-04-21,804.77,816.734,781.124,782.714,156631270,2655855700.0
2022-04-22,781.014,785.729,768.673,778.428,143556580,2363513800.0
2022-04-25,765.0,765.0,712.857,713.457,203729810,3061710400.0
2022-04-26,714.696,718.525,681.28,682.086,190135060,2772188300.0
2022-04-27,670.44,714.581,665.633,714.581,212485960,3051376500.0
2022-04-28,708.155,712.252,689.477,698.608,174864730,2527536600.0
2022-04-29,706.677,738.883,706.677,735.347,189443620,2875108700.0
2022-05-05,735.822,750.406,732.01,744.436,167460920,2668214300.0
2022-05-06,726.097,740.892,721.003,732.575,123750892,1913514600.0
2022-05-09,729.951,744.939,729.951,738.407,108300471,1660807900.0
2022-05-10,728.669,756.166,726.811,755.151,136697060,2319996500.0
2022-05-11,755.683,786.03,755.683,766.479,201299870,3412226200.0
2022-05-12,761.419,774.958,759.718,767.967,126594512,2102347600.0
2022-05-13,771.325,774.058,765.334,773.253,126595247,2178854000.0
2022-05-16,779.083,790.153,769.961,772.738,128575910,2253275000.0
2022-05-17,772.316,778.958,763.614,778.958,135328460,2339779100.0
2022-05-18,781.122,790.364,778.992,783.691,143001320,2279193000.0
2022-05-19,771.426,788.525,769.74,788.525,126815696,2095276900.0
2022-05-20,792.901,795.579,782.745,791.539,154741510,2550203900.0
2022-05-23,792.525,797.537,786.657,797.167,123664241,2053933100.0
2022-05-24,796.322,801.442,759.467,759.467,197903990,3277555500.0
2022-05-25,759.173,769.623,758.818,769.35,121538207,2012144400.0
2022-05-26,772.674,777.96,753.851,773.477,168434210,2777573300.0
2022-05-27,777.019,781.714,764.022,770.935,143630260,2364136500.0
2022-05-30,772.285,781.892,769.171,781.002,138462470,2391241900.0
2022-05-31,780.469,800.655,770.095,799.593,230754060,4106710400.0
2022-06-01,799.959,807.81,796.53,802.872,197582250,3483886200.0
2022-06-02,801.809,828.388,798.118,827.881,221376420,3470793000.0
2022-06-06,827.714,852.281,827.479,850.825,304212110,5079553500.0
2022-06-07,849.552,849.89,828.473,834.278,211051250,3446092200.0
2022-06-08,833.324,837.44,812.931,827.68,189532160,2885863600.0
2022-06-09,825.673,825.807,800.17,806.039,168395420,2636547700.0
2022-06-10,801.98,827.461,800.11,825.75,218767900,3392313800.0
2022-06-13,823.382,837.416,821.101,837.416,224291310,3591937600.0
2022-06-14,830.067,835.492,810.6,835.492,308202760,4173264600.0
2022-06-15,834.721,849.18,831.516,831.516,287182320,4172525700.0
2022-06-16,829.905,847.08,829.905,843.195,251979530,4033697600.0
2022-06-17,835.878,846.124,824.544,845.111,254489400,3951979500.0
2022-06-20,848.985,853.212,841.436,851.668,289491830,4725742200.0
2022-06-21,852.619,862.684,846.063,856.752,301893350,5236519000.0
2022-06-22,856.68,856.68,835.64,835.874,296983140,4884260500.0
2022-06-23,835.336,870.517,835.336,870.517,316853440,4997449500.0
2022-06-24,873.682,885.193,872.223,882.96,437915530,6917649900.0
2022-06-27,886.737,889.345,875.865,881.663,363421080,6028740800.0
2022-06-28,881.581,911.64,871.867,910.158,477770320,7574372600.0
2022-06-29,907.864,921.446,889.978,890.102,449851500,7369864500.0
2022-06-30,892.093,898.692,883.992,888.181,293396690,4662676800.0
2022-07-01,888.76,896.252,880.584,883.526,257925600,4224695000.0
2022-07-04,881.584,881.655,864.846,876.888,329355700,5519754900.0
2022-07-05,876.76,879.65,847.857,858.181,411907430,6478280500.0
2022-07-06,859.513,873.814,855.001,862.15,331679900,5377426400.0
2022-07-07,861.077,870.052,853.381,867.417,236669900,3645457800.0
2022-07-08,868.298,882.713,866.576,868.782,264753270,4056739700.0
2022-07-11,866.397,866.64,842.529,849.524,279177820,4163807500.0
2022-07-12,848.081,848.35,827.81,828.243,236201390,3365277500.0
2022-07-13,827.899,838.177,826.211,835.073,249531330,3421202700.0
2022-07-14,836.74,859.582,833.241,853.384,303047650,4538410400.0
2022-07-15,852.994,862.101,844.521,847.234,409465370,6251268700.0
2022-07-18,846.885,865.581,845.323,865.24,397972170,5731112400.0
2022-07-19,867.516,881.981,864.458,880.644,396835770,5912042300.0
2022-07-20,881.998,890.223,881.595,888.155,391413670,6198339700.0
2022-07-21,887.937,908.82,885.922,895.901,424402120,6512438800.0
2022-07-22,896.283,903.212,879.563,886.954,322982820,5045739100.0
2022-07-25,883.046,890.215,872.854,875.639,399357510,5820681300.0
2022-07-26,875.356,877.168,858.81,877.168,288674460,4277992400.0
2022-07-27,874.468,883.437,872.423,882.657,300964250,4612805600.0
2022-07-28,888.104,931.559,888.104,926.624,657421900,10549199100.0
2022-07-29,927.86,930.181,909.884,911.546,518899760,8550843100.0
2022-08-01,919.011,954.783,911.977,954.783,695133550,12394304800.0
2022-08-02,943.983,963.285,920.284,950.38,843089040,14368947000.0
2022-08-03,950.811,970.794,940.689,946.228,897996700,13487453000.0
2022-08-04,948.524,960.254,939.826,953.637,650483460,9318773500.0
2022-08-05,954.131,976.733,948.538,976.733,750705140,11460839600.0
2022-08-08,977.308,985.545,962.3,983.497,818678980,12299065300.0
2022-08-09,977.467,988.842,964.226,988.842,701696040,10787169800.0
2022-08-10,979.017,991.233,974.048,986.724,652736440,10527836000.0
2022-08-11,985.562,1010.019,985.55,1005.977,765128940,13078780600.0
2022-08-12,1008.709,1014.404,988.931,989.619,786820210,11823272300.0
2022-08-15,983.937,1002.685,977.412,1000.062,892849840,11338983700.0
2022-08-16,999.95,1006.214,993.011,999.785,809443970,11038950200.0
2022-08-17,999.349,1005.461,989.852,998.728,812459690,13867899000.0
2022-08-18,992.549,1012.27,987.021,1011.604,788710680,13600220000.0
2022-08-19,1010.623,1022.805,981.056,981.056,803802660,13594482000.0
2022-08-22,977.85,995.789,971.643,982.543,694653880,11290437900.0
2022-08-23,981.344,990.172,975.786,983.511,566249150,9494721000.0
2022-08-24,985.191,985.747,932.572,935.204,716501080,11816619000.0
2022-08-25,935.778,940.073,908.076,918.62,467085550,7547396900.0
2022-08-26,920.582,929.578,902.659,905.019,469930520,8243143900.0
2022-08-29,887.4,907.184,884.904,901.841,326722980,5744972800.0
2022-08-30,902.82,908.903,889.433,899.608,357728820,5979355500.0
2022-08-31,896.034,899.842,865.466,866.248,453383770,7212931200.0
2022-09-01,869.275,877.652,859.595,861.715,323350780,4972756500.0
2022-09-02,863.955,889.305,863.667,885.095,381912150,5885144600.0
2022-09-05,888.246,893.318,878.103,887.43,330031310,5269109100.0
2022-09-06,890.275,900.608,885.357,900.608,412081690,6365764600.0
2022-09-07,902.21,916.24,899.334,912.641,491173260,8881820800.0
2022-09-08,912.705,912.705,890.664,890.664,411398760,7923530300.0
2022-09-09,891.473,892.905,873.738,881.64,319783400,5769176600.0
2022-09-13,885.362,898.197,881.239,883.613,300800550,5354519500.0
2022-09-14,868.874,876.674,866.298,874.071,300577780,4915158200.0
2022-09-15,878.193,878.619,831.706,839.74,439339440,6816793900.0
2022-09-16,841.518,845.206,824.216,824.216,296077370,4546579000.0
2022-09-19,824.249,830.92,810.23,813.704,359317740,5353706300.0
