日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-12-20,1039.198,1103.956,1035.712,1053.694,139060000,3417282800.0
2023-12-21,1029.447,1043.052,944.385,971.225,133181427,2847272400.0
2023-12-22,953.286,1070.024,953.286,1049.921,219057840,3988187700.0
2023-12-25,1013.687,1063.282,988.76,1035.219,153816660,2818664800.0
2023-12-26,1034.471,1103.199,1029.087,1046.632,216522160,3772012900.0
2023-12-27,1036.201,1052.374,1013.886,1043.671,175787500,3131305600.0
2023-12-28,1027.852,1066.295,1016.867,1043.936,196491180,3587176400.0
2023-12-29,1028.806,1095.41,1028.806,1084.312,218407000,4073868400.0
2024-01-02,1085.522,1128.738,1074.301,1101.614,229859120,4558478600.0
2024-01-03,1083.043,1091.175,1057.891,1063.392,176807410,3291148000.0
2024-01-04,1055.535,1055.535,1022.266,1023.444,138434790,2463881100.0
2024-01-05,1024.39,1038.293,989.209,997.748,135410670,2316169800.0
2024-01-08,987.07,1000.984,981.216,981.216,109629391,1850837300.0
2024-01-09,980.688,1003.302,958.297,978.079,110446200,2006152400.0
2024-01-10,971.05,976.208,951.217,952.025,90645641,1533558700.0
2024-01-11,945.009,973.548,942.484,973.548,90884033,1551431900.0
2024-01-12,970.499,978.682,940.338,940.902,88825932,1559730800.0
2024-01-15,934.132,938.366,916.441,917.108,72564957,1097819700.0
2024-01-16,917.7,948.667,903.662,946.415,78678709,1271138290.0
2024-01-17,942.686,964.48,927.053,927.053,95396063,1722844900.0
2024-01-18,916.386,956.239,907.872,956.239,135356130,2276885500.0
2024-01-19,949.766,952.235,924.792,924.88,119051981,2134984100.0
2024-01-22,920.587,928.654,878.278,887.51,107643365,1789010300.0
2024-01-23,886.323,889.284,868.011,880.363,89213145,1380507900.0
2024-01-24,882.429,892.911,846.893,873.749,88650976,1341332340.0
2024-01-25,866.04,879.776,847.108,872.792,95802472,1399142600.0
2024-01-26,869.462,937.465,869.102,924.621,111154924,2005594900.0
2024-01-29,916.37,917.092,864.807,884.789,100697815,1728861300.0
2024-01-30,869.952,882.021,838.133,841.207,82190170,1225138230.0
2024-01-31,837.827,849.874,804.956,808.726,81215886,1169262830.0
