日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-11-22,1018.969,1044.562,1006.438,1014.929,503173070,6431633200.0
2022-11-23,1021.869,1054.056,1015.824,1035.569,610978660,8028623100.0
2022-11-24,1028.972,1063.262,1006.959,1052.967,678957930,8909481400.0
2022-11-25,1032.186,1039.381,1006.822,1007.378,521206140,7342031000.0
2022-11-28,990.501,1016.546,989.717,1016.011,388669590,5844875700.0
2022-11-29,1011.45,1036.523,1010.456,1016.498,730212760,7255039700.0
2022-11-30,1013.478,1020.313,1003.806,1005.541,972203030,7545244300.0
2022-12-01,1009.734,1027.99,1007.256,1022.692,684772990,6638337900.0
2022-12-02,1018.705,1030.356,1010.164,1012.372,506523790,5265870400.0
2022-12-05,1014.906,1016.557,997.094,1003.46,471384870,5419584000.0
2022-12-06,1002.158,1009.033,989.711,1001.313,426507930,4652230000.0
2022-12-07,1000.702,1028.91,995.188,1006.991,597524270,6738467300.0
2022-12-08,1001.884,1009.817,990.832,991.139,429546280,4913783900.0
2022-12-09,993.424,1000.483,982.689,985.924,562773980,5008180100.0
2022-12-12,983.0,987.998,973.315,985.57,382791310,3715620100.0
2022-12-13,985.832,985.832,962.482,963.656,338799940,3897146900.0
2022-12-14,966.527,980.752,961.003,963.745,286024470,3386066500.0
2022-12-15,960.509,977.488,957.239,977.398,252239380,3102380900.0
2022-12-16,970.169,972.126,943.704,945.261,252366240,3262952000.0
2022-12-19,943.574,947.64,925.693,928.565,217352350,2504534800.0
2022-12-20,931.264,934.216,925.53,930.179,159131310,1969346200.0
2022-12-21,930.637,930.637,903.181,907.914,168712910,2310225800.0
2022-12-22,910.815,910.958,874.633,875.817,183627630,2352506300.0
2022-12-23,869.43,877.009,857.628,866.333,172342490,2040565300.0
2022-12-26,867.006,901.206,866.639,901.206,205338150,2618123800.0
2022-12-27,902.787,913.939,898.055,911.43,218906260,3046709100.0
2022-12-28,912.714,912.714,893.51,897.106,194329070,2428567100.0
2022-12-29,898.24,911.839,897.022,901.303,163085250,2173824000.0
2022-12-30,906.037,908.056,896.209,897.52,177435910,2383069100.0
2023-01-03,895.405,923.098,891.962,921.013,228574340,2796074900.0
2023-01-04,921.182,927.047,911.847,916.242,195379210,2707588600.0
2023-01-05,920.02,934.844,913.303,931.014,212171700,2901797400.0
2023-01-06,932.562,953.777,929.771,940.98,275100700,3996887600.0
2023-01-09,942.714,951.124,938.228,939.788,226328690,3303937000.0
2023-01-10,942.312,942.312,932.755,937.913,188071920,2826692200.0
2023-01-11,939.223,939.223,916.405,916.968,193266830,3001106900.0
2023-01-12,917.948,925.232,913.279,914.31,174116270,2576100900.0
2023-01-13,915.288,916.765,900.816,904.833,161598920,2496826800.0
2023-01-16,904.22,919.945,904.192,916.301,197016410,2947878000.0
2023-01-17,919.39,924.656,914.84,918.559,184966660,2958413400.0
2023-01-18,918.86,920.448,911.527,918.735,145075710,2158257600.0
2023-01-19,916.755,922.046,912.652,920.891,127582806,1821834300.0
2023-01-20,921.28,927.008,921.28,926.122,184068450,2319707200.0
2023-01-30,936.584,947.026,936.481,942.147,308086780,3635281000.0
2023-01-31,938.13,951.698,934.176,951.69,305936180,4265675800.0
2023-02-01,952.769,982.289,952.769,982.289,292741440,4219627000.0
2023-02-02,981.748,990.276,978.697,982.158,250930680,4059472700.0
2023-02-03,981.212,981.212,960.767,975.496,234792010,3284023200.0
2023-02-06,973.128,974.932,962.662,965.423,185075340,2689134800.0
2023-02-07,968.255,978.154,965.876,972.736,195578180,2916941600.0
2023-02-08,974.244,984.649,970.15,975.494,215655880,3471989600.0
