日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-12-12,1006.41,1006.41,972.923,979.331,143591030,2787101400.0
2022-12-13,977.283,980.392,952.932,955.177,207560990,4237824800.0
2022-12-14,955.293,976.392,953.006,975.723,260049390,4212189900.0
2022-12-15,970.594,1004.596,970.594,988.605,263951220,4482933800.0
2022-12-16,981.25,981.25,957.197,958.177,306853500,5256734300.0
2022-12-19,955.185,958.594,932.057,934.693,240997060,4210181700.0
2022-12-20,932.605,945.396,930.693,939.218,215709110,3766081300.0
2022-12-21,939.684,941.692,927.318,941.692,322630140,4602049200.0
2022-12-22,944.755,947.42,930.446,932.537,290960900,5127792500.0
2022-12-23,929.606,930.813,892.028,896.969,335285940,5003820600.0
2022-12-26,897.731,952.126,897.731,950.503,317557380,5358894000.0
2022-12-27,964.099,989.715,964.099,987.273,325959350,5739309200.0
2022-12-28,993.303,993.978,978.538,989.178,377017830,6474106300.0
2022-12-29,987.732,1008.503,986.525,989.906,334487480,5712870800.0
2022-12-30,990.92,993.176,980.335,982.598,268776110,5050292600.0
2023-01-03,982.601,1006.563,972.108,1004.002,263303600,5421383400.0
2023-01-04,1002.056,1004.325,988.435,993.945,288225210,4824577700.0
2023-01-05,996.467,1022.771,992.749,1013.752,293465370,5810093800.0
2023-01-06,1020.203,1085.625,1020.203,1071.573,486883600,11489510300.0
2023-01-09,1082.868,1109.358,1076.35,1094.42,572449270,11993768000.0
2023-01-10,1093.089,1102.175,1078.348,1081.318,571880350,8941398000.0
2023-01-11,1079.028,1085.183,1069.727,1072.01,327163470,6728760800.0
2023-01-12,1071.136,1084.32,1059.145,1061.056,341001660,6191596900.0
2023-01-13,1063.253,1063.941,1038.317,1045.759,293339110,5591612600.0
2023-01-16,1047.179,1080.968,1045.375,1070.311,341475710,7466606300.0
2023-01-17,1075.586,1101.092,1072.214,1074.621,302747280,6714889700.0
2023-01-18,1074.855,1076.814,1065.218,1066.515,210122000,4664493300.0
2023-01-19,1063.117,1066.375,1055.894,1065.445,209811980,4495041100.0
2023-01-20,1066.623,1078.068,1062.589,1076.515,235798300,5186965600.0
2023-01-30,1089.598,1103.456,1088.063,1090.414,320236370,7414462300.0
2023-01-31,1080.617,1105.007,1080.544,1105.007,402423830,8331157600.0
2023-02-01,1111.73,1123.917,1102.807,1118.704,463642410,8943522500.0
2023-02-02,1117.857,1120.783,1107.233,1114.751,320220270,8440599200.0
2023-02-03,1112.474,1112.771,1081.281,1102.43,302341590,7945681000.0
2023-02-06,1096.379,1096.379,1079.743,1088.295,263838500,6387965000.0
2023-02-07,1090.232,1106.807,1090.038,1097.907,253840660,5427276100.0
2023-02-08,1100.344,1113.618,1096.518,1102.063,435458760,6638633700.0
2023-02-09,1097.502,1125.3,1095.313,1112.569,404193660,7014017000.0
2023-02-10,1108.169,1109.202,1094.061,1100.068,382256480,6652791700.0
2023-02-13,1101.252,1110.863,1100.298,1106.191,373079040,7002877600.0
2023-02-14,1108.562,1116.088,1098.886,1113.075,478156070,8389711400.0
2023-02-15,1115.278,1119.207,1104.939,1109.055,358662880,6631024800.0
2023-02-16,1107.118,1107.995,1066.9,1071.98,395585920,7169780000.0
2023-02-17,1071.311,1077.856,1066.748,1068.062,282108130,6419280200.0
2023-02-20,1068.614,1083.924,1056.12,1083.506,329219320,7192983300.0
2023-02-21,1083.465,1102.112,1079.501,1094.147,308315170,6741817600.0
2023-02-22,1086.526,1093.751,1077.062,1080.122,230470260,5637033600.0
2023-02-23,1077.949,1099.477,1077.949,1094.754,320336940,7442978600.0
2023-02-24,1093.902,1093.902,1073.554,1078.545,217501360,4585757200.0
2023-02-27,1074.834,1105.52,1071.738,1082.156,250773380,6382119500.0
2023-02-28,1078.191,1079.745,1061.794,1072.254,291705310,6675008500.0
2023-03-01,1070.228,1070.228,1062.282,1067.485,269833880,5937709700.0
2023-03-02,1068.316,1069.964,1058.166,1061.056,237062360,5413064000.0
2023-03-03,1060.598,1060.852,1047.644,1051.744,233882320,4606007000.0
2023-03-06,1052.796,1059.251,1032.419,1055.473,312060240,6857299800.0
2023-03-07,1054.884,1055.601,1034.673,1035.197,262642400,5150664500.0
2023-03-08,1030.307,1044.001,1027.044,1033.536,199211190,4532522000.0
2023-03-09,1035.341,1037.236,1027.642,1030.681,161957350,4058006800.0
2023-03-10,1025.197,1025.546,1012.151,1012.949,215530530,4807783700.0
2023-03-13,1011.253,1018.232,1004.266,1008.225,169431130,3800356700.0
2023-03-14,1009.441,1009.475,975.07,987.913,212904470,4583061400.0
2023-03-15,993.051,1005.026,990.687,992.863,197871720,4266652100.0
2023-03-16,987.451,987.451,963.039,964.51,241940010,5245749400.0
2023-03-17,971.014,973.014,957.399,958.423,212275770,4473516800.0
2023-03-20,959.794,970.282,943.843,961.28,227750220,5199137800.0
