日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,705.719,713.317,704.814,712.968,3733297200,25905224000.0
2020-01-03,714.867,718.189,713.017,717.209,3060952200,21131383000.0
2020-01-06,713.807,724.628,711.598,719.446,3724504400,25423759000.0
2020-01-07,720.897,729.448,720.897,729.448,3429232700,23889496000.0
2020-01-08,726.429,727.794,715.687,717.27,3944885000,26199590000.0
2020-01-09,722.528,728.307,722.528,728.307,3088784200,21328511000.0
2020-01-10,730.358,730.922,722.229,725.497,2785780300,19115454000.0
2020-01-13,725.227,730.508,719.323,730.508,2689592500,20759458000.0
2020-01-14,731.822,738.349,731.215,735.42,3491083600,26129521000.0
2020-01-15,734.753,735.552,726.74,730.459,3114580500,23049577000.0
2020-01-16,730.505,731.251,723.68,724.971,2574391400,20695640000.0
2020-01-17,725.448,726.564,718.48,719.671,2547313400,21644719000.0
2020-01-20,719.2,724.024,716.392,724.024,2498796800,19350068000.0
2020-01-21,722.755,722.755,715.003,715.003,2803488800,20909854000.0
2020-01-22,713.323,717.991,703.631,715.705,2468007400,19111987000.0
2020-01-23,709.256,710.89,685.737,691.202,3323237900,23709739000.0
2020-02-03,625.424,627.141,624.87,626.221,2404015600,16016085000.0
2020-02-04,587.739,619.844,587.739,617.893,4355853400,26992364000.0
2020-02-05,620.253,640.251,620.241,633.637,3510395500,24146898000.0
2020-02-06,638.116,655.201,632.997,653.871,3937595000,26879919000.0
2020-02-07,658.445,672.112,653.246,672.112,4591088500,31842754000.0
2020-02-10,674.519,680.527,671.969,680.425,4759366400,34167629000.0
2020-02-11,678.052,678.133,670.138,671.987,3812829700,26999687000.0
2020-02-12,669.696,679.459,669.668,679.388,3195101600,22613155000.0
2020-02-13,679.205,681.222,668.981,674.818,4390748600,30052771000.0
2020-02-14,672.864,678.614,669.607,674.135,3706237400,25725392000.0
2020-02-17,676.99,694.155,676.99,694.155,4205271700,30390957000.0
2020-02-18,695.409,703.725,692.564,703.725,4653704000,32245325000.0
2020-02-19,702.796,707.118,699.998,700.001,4830706100,35140785000.0
2020-02-20,700.986,708.857,695.423,708.793,4722589800,33728109000.0
2020-02-21,708.474,718.657,708.075,714.172,5061938600,38025135000.0
2020-02-24,712.921,719.81,708.102,717.984,5019168600,38435667000.0
2020-02-25,703.032,709.484,685.574,708.726,5811312400,43089887000.0
2020-02-26,700.387,727.585,698.78,715.787,7624705300,52048515000.0
2020-02-27,720.14,729.576,715.731,724.89,6488593100,43915653000.0
2020-02-28,703.719,714.373,689.892,689.929,7119921500,47781560000.0
2020-03-02,697.681,732.254,697.681,730.56,7100129600,49418727000.0
2020-03-03,747.487,749.667,736.179,741.922,8373818300,59423294000.0
2020-03-04,738.908,757.197,738.68,757.197,7022803500,49585128000.0
2020-03-05,765.106,770.526,762.159,769.275,7723226300,53644496000.0
2020-03-06,758.963,767.421,756.309,761.829,6490932300,44793431000.0
2020-03-09,748.687,753.831,736.249,736.249,6110984400,44070189000.0
2020-03-10,725.619,754.481,721.231,754.481,6008735200,43753750000.0
2020-03-11,756.272,763.567,748.936,748.936,5569460300,41842585000.0
2020-03-12,738.664,745.374,731.5,737.882,4853734400,36096874000.0
2020-03-13,700.876,734.266,700.202,728.043,5415769100,39162587000.0
