日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,575.812,582.233,575.723,582.094,1368036400,4079058500.0
2020-01-03,583.808,591.162,583.706,590.869,1441824500,4309850500.0
2020-01-06,590.438,596.289,589.01,595.27,1659865900,4962201100.0
2020-01-07,597.096,604.426,596.724,604.217,1506094200,4479449700.0
2020-01-08,604.636,608.472,601.14,601.712,1869946800,5613555500.0
2020-01-09,603.693,609.34,603.58,608.426,1679283600,4867209600.0
2020-01-10,608.807,609.418,601.772,603.668,1480479000,4184599000.0
2020-01-13,600.89,600.89,597.023,599.378,1310940760,3926666500.0
2020-01-14,598.116,602.061,597.939,598.314,1113445810,3506111500.0
2020-01-15,598.521,600.15,596.039,596.551,1312876080,3955654000.0
2020-01-16,597.811,598.042,590.144,590.165,1352100900,3987265500.0
2020-01-17,589.681,591.156,586.875,587.477,1067451620,3275276500.0
2020-01-20,585.348,585.653,583.296,584.828,1105183350,3456457000.0
2020-01-21,582.215,582.518,578.921,579.197,1111258620,3371386400.0
2020-01-22,575.852,578.598,571.409,576.621,1079874430,3353581300.0
2020-01-23,569.916,573.522,561.062,564.72,1354242700,4120129700.0
2020-02-03,537.945,537.982,536.823,537.762,187978780,554498480.0
2020-02-04,512.35,517.194,512.341,516.688,1540152300,4391296400.0
2020-02-05,511.512,528.317,511.512,520.585,1857937400,5011387600.0
2020-02-06,518.983,522.853,515.971,521.382,1525353700,4142337500.0
2020-02-07,519.713,522.569,516.23,522.569,1356004600,3588600800.0
2020-02-10,520.84,536.917,520.046,536.744,1367058500,3569560600.0
2020-02-11,539.416,542.967,537.768,540.43,1287205990,3715943400.0
2020-02-12,540.529,545.292,540.085,545.053,1075926030,3151512200.0
2020-02-13,545.22,545.22,536.31,536.965,1530734800,4336437700.0
2020-02-14,534.757,537.161,532.186,534.934,1079698100,3079952400.0
2020-02-17,535.743,546.882,535.743,546.881,1263943310,3663235700.0
2020-02-18,547.464,553.095,546.847,552.936,1413461800,4243542900.0
2020-02-19,552.403,553.655,550.252,550.384,1343884300,3968543100.0
2020-02-20,550.414,556.277,550.143,555.747,1295035860,3889059000.0
2020-02-21,555.403,557.968,554.567,555.821,1478013800,4610778500.0
2020-02-24,554.603,555.003,550.041,554.097,1454973300,4271767200.0
2020-02-25,544.108,548.666,538.077,548.14,1711934300,5228509800.0
2020-02-26,543.266,552.407,541.704,547.977,1549603600,4807123600.0
2020-02-27,547.601,550.577,545.92,550.122,1321636540,4180815700.0
2020-02-28,540.25,544.017,532.772,533.2,1723432100,5209838300.0
2020-03-02,531.258,543.956,531.258,543.01,1253438000,3949210700.0
2020-03-03,546.254,551.538,544.851,547.955,1322890670,4388920600.0
2020-03-04,546.854,557.676,546.459,557.676,1339964650,4473397700.0
2020-03-05,562.247,570.92,562.17,570.226,1596436000,4779618900.0
2020-03-06,567.531,574.967,566.598,572.924,1690643600,4871884500.0
2020-03-09,567.557,571.167,560.659,560.659,1735338000,5238676800.0
2020-03-10,549.323,565.525,547.494,565.449,1675467900,4834074800.0
2020-03-11,566.663,574.286,566.252,566.252,1424306900,4187963600.0
2020-03-12,560.698,562.346,554.482,557.616,1353894800,4087527500.0
2020-03-13,534.742,553.091,534.742,552.896,1704289900,5042337900.0
2020-03-16,556.658,558.315,541.095,541.786,1608342800,4785699000.0
2020-03-17,538.141,543.786,523.688,535.925,1392891600,3864692700.0
2020-03-18,537.779,544.212,528.319,528.319,1297791300,3730184300.0
2020-03-19,525.71,527.997,515.2,524.254,1385916500,3596768200.0
2020-03-20,527.768,533.404,524.724,533.404,1022767290,2753321000.0
2020-03-23,525.213,528.681,519.164,519.696,1202194580,3079778700.0
2020-03-24,524.054,527.38,517.243,525.565,1228315970,3057744300.0
2020-03-25,531.657,534.13,530.695,533.666,1084063960,2825618800.0
2020-03-26,532.47,536.419,530.534,531.917,1169001150,3265262200.0
2020-03-27,535.32,539.018,534.429,535.223,1206733590,3172456700.0
2020-03-30,528.82,528.82,522.925,525.031,1137747920,3156181300.0
2020-03-31,525.396,527.992,524.637,525.503,1044744840,2843081900.0
2020-04-01,522.841,526.512,520.266,520.569,1133085030,2988168600.0
2020-04-02,517.894,524.313,516.351,524.313,964933340,2692788700.0
2020-04-03,523.541,526.625,522.938,526.496,892046220,2564892200.0
2020-04-07,531.065,534.091,530.202,533.996,1119033010,3078453100.0
2020-04-08,533.16,538.838,531.461,538.496,1089241610,3310415800.0
2020-04-09,539.708,545.409,539.708,544.12,1134915920,3428838500.0
2020-04-10,544.61,547.359,538.319,541.248,1161446280,3583002000.0
2020-04-13,538.358,538.633,534.545,535.498,962549760,2899974600.0
2020-04-14,534.364,541.747,534.364,541.747,924258650,2733423400.0
2020-04-15,540.874,543.838,539.653,540.003,1089243620,3445587600.0
2020-04-16,537.908,541.188,537.043,539.665,1088501320,3242054200.0
2020-04-17,539.369,540.279,537.19,538.286,1131242250,3359389800.0
2020-04-20,537.609,539.208,537.373,538.91,976127290,2563151500.0
2020-04-21,536.826,536.884,532.062,535.916,1103713510,2953743700.0
2020-04-22,530.902,537.406,529.851,537.027,1245065710,3069424800.0
2020-04-23,536.051,537.27,532.818,533.075,1174281850,3408184800.0
