日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-07-21,997.18,1040.453,989.873,1028.105,306935680,10511410600.0
2022-07-22,1027.743,1062.847,1027.743,1036.279,414705410,13488989000.0
2022-07-25,1038.031,1038.825,1010.223,1011.809,369011010,11296396100.0
2022-07-26,1008.265,1059.333,987.457,1058.736,445168590,13079075500.0
2022-07-27,1054.069,1116.359,1053.208,1116.046,612574940,19787073000.0
2022-07-28,1123.739,1160.49,1118.723,1151.528,666478040,20977639000.0
2022-07-29,1159.078,1172.078,1150.98,1162.276,573363420,16845225000.0
2022-08-01,1154.736,1172.886,1144.831,1171.847,418901010,13619812000.0
2022-08-02,1150.464,1176.697,1136.465,1148.89,501927120,15502712000.0
2022-08-03,1157.06,1177.47,1106.056,1116.087,543912090,16231584000.0
2022-08-04,1116.932,1127.298,1096.728,1122.673,426694420,12606138100.0
2022-08-05,1126.485,1140.269,1105.548,1125.759,528955400,14119902000.0
2022-08-08,1121.117,1183.132,1104.096,1182.178,532607360,15149425000.0
2022-08-09,1187.156,1245.195,1182.011,1231.37,859364520,21351611000.0
2022-08-10,1233.554,1300.429,1233.414,1281.918,1361476700,25040602000.0
2022-08-11,1298.03,1300.241,1274.018,1289.981,1216675940,27474140000.0
2022-08-12,1290.309,1290.997,1253.238,1253.425,1130917520,23315683000.0
2022-08-15,1254.077,1294.779,1254.077,1292.988,1397220300,25952882000.0
2022-08-16,1290.137,1341.814,1290.137,1335.095,1393093800,27630484000.0
2022-08-17,1334.964,1388.617,1332.561,1340.232,1527693200,34161465000.0
2022-08-18,1339.554,1384.248,1339.18,1380.705,1721963800,31464649000.0
2022-08-19,1385.882,1391.586,1325.83,1325.83,2280298600,50474297000.0
2022-08-22,1315.671,1322.727,1295.613,1317.662,1766066700,39520895000.0
2022-08-23,1313.577,1372.133,1313.577,1360.371,1526498300,37874903000.0
2022-08-24,1361.447,1361.447,1300.134,1301.537,1789745900,34540034000.0
2022-08-25,1307.232,1308.797,1254.059,1269.977,1599627800,30971064000.0
2022-08-26,1275.268,1286.664,1229.963,1234.357,1325723630,27650354000.0
2022-08-29,1201.126,1273.339,1201.126,1267.702,1292149570,26649671000.0
2022-08-30,1273.522,1274.629,1233.677,1236.5,1279460060,24856339000.0
2022-08-31,1231.652,1239.401,1156.101,1158.598,1258175670,27556173000.0
2022-09-01,1156.054,1164.347,1132.905,1145.478,938705090,19477552000.0
2022-09-02,1146.838,1169.007,1123.573,1159.632,875808790,18116323000.0
2022-09-05,1161.324,1195.809,1155.438,1166.641,844071550,19083933000.0
2022-09-06,1173.925,1228.255,1154.96,1228.255,1148027000,28033656000.0
2022-09-07,1218.848,1276.009,1216.52,1262.208,1188849660,27647238000.0
2022-09-08,1263.937,1282.645,1244.051,1247.762,998240380,22040847000.0
2022-09-09,1245.593,1249.955,1204.743,1222.597,786665850,19315531000.0
2022-09-13,1227.408,1228.429,1189.74,1213.117,676996480,16434089000.0
2022-09-14,1191.667,1218.504,1180.503,1189.522,666459360,15016981000.0
2022-09-15,1195.536,1195.753,1082.883,1096.765,1084086730,25749776000.0
2022-09-16,1090.99,1123.839,1087.597,1090.297,735137350,17626156000.0
