日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-11-04,1001.418,1022.593,1001.418,1021.662,135859270,2377127100.0
2021-11-05,1022.61,1044.106,1022.61,1035.31,192870580,3110764300.0
2021-11-08,1033.833,1033.833,1018.201,1029.405,127237311,2075127700.0
2021-11-09,1028.772,1039.695,1027.498,1037.763,121844235,2202154900.0
2021-11-10,1056.084,1069.183,1052.806,1067.396,163429410,3082847300.0
2021-11-11,1064.265,1078.601,1053.713,1065.743,187473770,3638025800.0
2021-11-12,1064.098,1079.663,1064.098,1077.784,180396830,3395065400.0
2021-11-15,1080.055,1096.989,1075.005,1091.731,416559730,5966848600.0
2021-11-16,1092.075,1106.773,1084.313,1086.72,442016930,5904691800.0
2021-11-17,1080.59,1091.019,1076.402,1087.713,379074090,5326762500.0
2021-11-18,1086.663,1092.987,1055.659,1055.659,375100870,5041363300.0
2021-11-19,1056.562,1082.602,1056.562,1082.288,328712320,4616548700.0
2021-11-22,1090.603,1101.869,1086.278,1097.109,381688340,5397330500.0
2021-11-23,1094.909,1113.23,1093.05,1106.845,355295250,5260626700.0
2021-11-24,1106.036,1127.453,1098.543,1118.803,432600770,6050786400.0
2021-11-25,1114.344,1115.657,1101.32,1102.13,459236370,7504842800.0
2021-11-26,1100.403,1100.403,1079.186,1082.89,325067970,4920617300.0
2021-11-29,1064.943,1078.248,1063.643,1069.476,248805560,3678234100.0
2021-11-30,1075.176,1094.529,1075.176,1084.032,297003520,4452728600.0
2021-12-01,1086.074,1102.493,1084.078,1102.493,277490020,4360915700.0
2021-12-02,1099.181,1099.254,1071.959,1072.046,291853070,4251506200.0
2021-12-03,1072.071,1083.35,1072.071,1079.262,240633310,3534765000.0
2021-12-06,1081.263,1083.135,1060.814,1062.207,286363140,4393474200.0
2021-12-07,1065.693,1068.151,1035.421,1040.183,263429110,3969115400.0
2021-12-08,1043.649,1058.626,1041.273,1058.016,216901100,3249594800.0
2021-12-09,1059.761,1071.409,1058.312,1066.872,316369460,4539784600.0
2021-12-10,1060.814,1066.308,1054.461,1061.012,271654390,4088950000.0
2021-12-13,1063.118,1076.22,1056.794,1074.645,366824840,5839181200.0
2021-12-14,1078.596,1097.677,1074.006,1088.713,402619740,6115158800.0
2021-12-15,1086.347,1097.271,1082.98,1085.716,390455010,5353615700.0
2021-12-16,1084.051,1096.075,1078.472,1093.228,465502830,6703004200.0
2021-12-17,1088.527,1090.02,1074.467,1074.587,368523930,4949006000.0
2021-12-20,1074.295,1078.809,1050.016,1050.053,303669090,4126151600.0
2021-12-21,1050.104,1068.019,1050.104,1067.495,261398490,3507275800.0
2021-12-22,1070.132,1088.268,1065.007,1086.653,399503010,5371529200.0
2021-12-23,1084.189,1087.611,1073.429,1073.86,347051490,4514491800.0
2021-12-24,1078.043,1085.588,1058.238,1062.835,344533670,4720636600.0
2021-12-27,1062.369,1064.808,1047.505,1060.252,304962770,4348336400.0
2021-12-28,1062.158,1074.561,1061.892,1073.771,255457590,3763680500.0
2021-12-29,1071.742,1072.103,1060.947,1069.014,253558400,3606908600.0
2021-12-30,1070.262,1094.123,1067.907,1086.772,313825760,4842651000.0
2021-12-31,1085.074,1091.377,1078.843,1081.936,260250510,3838215600.0
2022-01-04,1085.429,1112.572,1084.549,1111.83,344657510,4920462400.0
2022-01-05,1112.389,1117.63,1091.143,1101.892,424642320,5747926200.0
2022-01-06,1095.059,1114.187,1091.853,1107.719,413082440,5405430500.0
2022-01-07,1113.134,1119.716,1085.298,1086.54,437960240,5676893400.0
2022-01-10,1082.648,1098.192,1068.624,1095.48,330411010,4773737700.0
2022-01-11,1094.403,1099.693,1079.715,1081.049,317976320,4561551300.0
2022-01-12,1084.332,1094.313,1083.325,1090.623,297383170,3815466200.0
2022-01-13,1109.825,1114.759,1096.987,1098.765,354152220,4980380400.0
2022-01-14,1090.073,1107.982,1087.986,1094.717,359913320,5033310700.0
2022-01-17,1102.495,1145.438,1102.495,1145.126,533215500,8242686200.0
2022-01-18,1148.559,1156.062,1120.914,1122.567,529151940,8712482500.0
2022-01-19,1115.024,1137.355,1113.754,1129.489,354116560,5436323300.0
2022-01-20,1124.901,1128.885,1098.084,1098.278,379597040,5698921200.0
2022-01-21,1093.974,1107.62,1078.961,1081.027,308970680,4840156000.0
2022-01-24,1072.633,1090.231,1072.479,1081.169,228586320,3611458200.0
2022-01-25,1077.637,1081.97,1021.798,1021.798,311583290,4574350500.0
2022-01-26,1025.293,1046.325,1017.02,1031.825,245251600,3892127500.0
2022-01-27,1028.892,1029.89,978.422,978.422,282287440,4033040900.0
2022-01-28,989.926,1020.597,989.926,1009.111,236859060,3374485900.0
2022-02-07,1031.038,1035.551,1012.428,1014.82,259459540,3922963400.0
2022-02-08,1012.84,1031.12,1003.632,1031.12,229370750,3426745500.0
2022-02-09,1028.848,1065.304,1027.372,1064.756,317232830,4924812400.0
2022-02-10,1061.796,1061.796,1044.237,1050.667,260375420,4274150600.0
2022-02-11,1045.517,1048.459,1022.782,1025.05,241119090,3856549200.0
2022-02-14,1016.594,1029.123,1004.526,1021.862,232447100,3203317300.0
2022-02-15,1021.583,1031.656,1013.435,1029.015,237600200,3346481000.0
2022-02-16,1035.473,1041.764,1031.394,1038.325,215479500,3192724000.0
2022-02-17,1035.708,1040.572,1020.478,1022.605,209097040,3078663400.0
2022-02-18,1023.937,1041.373,1022.697,1040.442,270343430,4664647400.0
2022-02-21,1049.25,1081.308,1049.25,1080.829,367934580,6518116200.0
2022-02-22,1064.078,1065.963,1050.909,1055.872,289382020,5215628000.0
2022-02-23,1051.014,1074.823,1049.119,1070.156,327715080,4936408300.0
2022-02-24,1059.61,1064.027,1008.015,1023.953,416911730,6091631700.0
2022-02-25,1033.244,1050.285,1032.028,1035.73,243088660,3746326900.0
2022-02-28,1035.106,1042.507,1019.251,1042.132,243897270,3617911200.0
2022-03-01,1050.011,1056.561,1042.162,1055.78,371902010,4604658400.0
2022-03-02,1045.756,1053.547,1041.043,1053.178,264149350,3624506200.0
2022-03-03,1054.618,1056.135,1031.93,1032.522,244528930,3410249200.0
2022-03-04,1026.792,1032.932,1012.591,1013.628,243347400,3313162100.0
2022-03-07,1009.774,1009.774,976.949,983.552,232055280,3179953900.0
2022-03-08,984.104,988.961,953.854,960.405,234667570,3152564200.0
2022-03-09,963.424,968.946,903.689,947.081,283784710,3664239900.0
2022-03-10,967.042,970.439,954.22,954.733,218236020,3013564200.0
2022-03-11,941.17,961.036,925.356,959.468,194132720,2499925700.0
2022-03-14,949.714,957.024,933.867,933.867,186043690,2520822300.0
2022-03-15,930.266,936.591,886.237,886.237,246270800,3206395000.0
2022-03-16,903.504,922.443,874.051,921.83,261537870,3318737000.0
2022-03-17,932.733,953.49,931.009,936.608,278794110,3676736900.0
2022-03-18,933.519,944.605,932.514,943.1,246189100,2603735200.0
2022-03-21,943.133,949.287,933.721,948.476,240867360,4261456400.0
2022-03-22,944.414,958.011,939.047,947.664,251444730,4680797000.0
2022-03-23,945.986,957.381,940.024,956.153,280321120,5578127900.0
2022-03-24,951.501,951.501,926.268,927.122,223746250,4197999400.0
2022-03-25,928.736,937.334,922.997,923.622,220414190,3804694500.0
2022-03-28,915.369,936.043,906.351,927.848,242120900,3770320800.0
2022-03-29,930.185,931.355,902.108,905.086,211023020,3556861000.0
2022-03-30,911.488,916.525,905.381,915.801,173031790,3092034300.0
2022-03-31,913.474,918.891,906.499,911.215,215950970,3671523300.0
2022-04-01,907.051,910.637,900.142,907.787,218039470,3129544900.0
2022-04-06,908.021,915.217,905.074,910.589,226217620,3157673900.0
2022-04-07,907.377,907.377,880.44,880.44,223488080,3191158900.0
2022-04-08,882.431,882.748,858.006,865.317,199766370,2957323800.0
2022-04-11,861.161,861.161,823.871,829.982,206081060,3009684900.0
2022-04-12,829.804,845.661,820.076,844.95,166910740,2466936100.0
2022-04-13,840.567,840.567,817.079,817.13,152605620,2087963600.0
2022-04-14,825.706,831.905,821.595,825.959,154592360,2674460300.0
2022-04-15,822.744,824.574,809.99,817.602,171910620,2915442700.0
2022-04-18,813.182,833.084,804.943,832.704,158533510,3782513900.0
2022-04-19,828.298,840.389,828.298,833.524,162407020,3279044000.0
2022-04-20,836.627,844.972,821.37,823.94,169887680,3077161100.0
2022-04-21,823.958,830.509,794.836,797.794,220098760,3510457700.0
2022-04-22,792.867,795.06,775.059,777.09,193501250,3182654700.0
2022-04-25,762.811,762.811,708.089,708.089,254941240,3553149300.0
2022-04-26,710.859,716.431,679.191,681.447,235728220,3348263200.0
2022-04-27,672.415,716.254,669.438,716.254,252546650,3821885700.0
2022-04-28,711.656,717.422,697.719,707.687,214899110,3450365400.0
2022-04-29,718.643,746.029,716.718,741.564,277303490,4116342900.0
2022-05-05,739.623,755.625,736.873,747.371,201013180,3140097300.0
2022-05-06,729.506,754.498,726.3,742.969,199756890,3065378600.0
2022-05-09,741.036,758.989,740.909,752.678,156819580,2379153100.0
2022-05-10,744.038,770.223,740.521,769.643,188442300,3641421900.0
2022-05-11,772.355,794.066,770.904,773.439,253599470,4739956200.0
2022-05-12,771.586,788.953,769.576,788.312,214611300,3467586800.0
2022-05-13,792.056,794.068,782.73,789.822,164828460,2676116700.0
2022-05-16,797.356,797.961,778.187,781.445,162641150,2602505800.0
2022-05-17,782.838,782.874,770.849,782.566,141742230,2635266200.0
2022-05-18,787.043,799.043,787.043,788.97,182945740,2814090400.0
2022-05-19,776.884,793.335,775.347,793.335,168819910,3183613900.0
2022-05-20,795.35,801.643,790.649,799.605,162020030,2823383300.0
2022-05-23,803.718,811.122,800.963,810.832,185018510,2554678600.0
2022-05-24,809.745,809.795,767.009,767.009,213969160,3257685200.0
2022-05-25,770.129,780.747,769.741,780.276,151100300,2145082500.0
2022-05-26,782.107,795.084,762.796,791.033,220494660,2979714300.0
