日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1455.526,1477.233,1450.454,1476.107,1043006040,10817289900.0
2020-01-03,1479.743,1485.724,1471.134,1479.707,998510660,11661427800.0
2020-01-06,1469.976,1490.178,1463.966,1482.7,1020604900,11170180700.0
2020-01-07,1483.492,1514.939,1483.492,1513.283,1123389880,11904445900.0
2020-01-08,1500.587,1500.768,1471.623,1476.172,946953880,9347758500.0
2020-01-09,1488.269,1502.346,1488.269,1502.074,908203550,10001774100.0
2020-01-10,1505.451,1508.703,1497.277,1501.217,869683120,9344628500.0
2020-01-13,1496.322,1508.302,1486.103,1508.302,746181780,8625862000.0
2020-01-14,1511.247,1513.068,1501.347,1501.94,669797700,8912725300.0
2020-01-15,1499.109,1504.789,1490.612,1501.809,804239530,10295468800.0
2020-01-16,1506.216,1511.724,1499.101,1503.901,788955820,9134829900.0
2020-01-17,1504.023,1508.659,1494.463,1496.028,738109520,8849931500.0
2020-01-20,1501.693,1514.764,1491.064,1514.65,850656740,9428667000.0
2020-01-21,1518.82,1520.804,1511.08,1515.591,926998210,10030866800.0
2020-01-22,1508.096,1508.096,1484.228,1496.377,1181048560,10240258700.0
2020-01-23,1482.012,1490.781,1434.744,1446.412,1256538180,12412185600.0
2020-02-03,1329.339,1349.875,1329.339,1341.408,736117390,11597014700.0
2020-02-04,1291.302,1372.701,1291.302,1367.221,1597861900,14826723000.0
2020-02-05,1374.747,1417.148,1374.375,1416.203,1567660900,15145779000.0
2020-02-06,1427.294,1480.783,1421.584,1470.694,1644232900,17242596000.0
2020-02-07,1479.923,1495.505,1451.998,1481.103,1739886100,17591254000.0
2020-02-10,1479.285,1482.986,1458.934,1477.826,1506287200,15011646000.0
2020-02-11,1473.563,1474.496,1447.311,1460.905,1204975180,12151598800.0
2020-02-12,1453.678,1480.65,1451.605,1480.65,1039452090,10399228900.0
2020-02-13,1482.549,1482.615,1449.475,1455.896,1095673410,11468987800.0
