日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,2375.588,2403.415,2367.179,2400.461,937790250,10550014800.0
2020-01-03,2401.289,2413.759,2393.619,2406.37,775195480,8771720600.0
2020-01-06,2391.232,2433.53,2385.724,2416.048,793503580,9264698100.0
2020-01-07,2420.446,2439.803,2416.363,2439.803,753319450,8683216500.0
2020-01-08,2427.833,2438.961,2398.946,2407.081,826809910,9213579700.0
2020-01-09,2422.52,2446.343,2422.52,2443.138,659517470,8098306600.0
2020-01-10,2449.233,2454.856,2424.851,2437.723,618043860,7740507200.0
2020-01-13,2434.43,2470.814,2417.28,2470.814,597728800,8102362800.0
2020-01-14,2476.023,2476.72,2459.119,2463.515,647449580,9341192900.0
2020-01-15,2456.845,2463.897,2439.757,2455.503,601733020,8516223700.0
2020-01-16,2461.214,2469.836,2449.443,2455.58,591289690,8641837200.0
2020-01-17,2462.412,2480.461,2455.754,2468.114,575355350,9138687400.0
2020-01-20,2467.962,2496.349,2452.74,2491.839,657083070,11828489600.0
2020-01-21,2481.013,2482.572,2441.804,2441.804,678205290,10913749700.0
2020-01-22,2417.096,2458.99,2383.214,2452.191,629707810,10767177000.0
2020-01-23,2430.409,2445.235,2342.877,2365.572,819282540,11664107300.0
2020-02-03,2136.959,2161.998,2136.959,2147.36,467952470,10015535500.0
2020-02-04,2018.69,2144.302,2018.69,2134.802,1128674230,13930571000.0
2020-02-05,2142.719,2214.313,2140.285,2183.438,931151590,12855178000.0
2020-02-06,2187.491,2248.976,2170.779,2238.246,902035120,12168064800.0
2020-02-07,2241.275,2273.985,2221.267,2273.27,858959760,12633142800.0
2020-02-10,2261.658,2304.091,2256.617,2296.434,754320520,11105425100.0
2020-02-11,2302.365,2308.324,2279.699,2286.374,705490100,9415231400.0
2020-02-12,2280.787,2313.916,2274.677,2313.76,596293300,9294414800.0
2020-02-13,2311.777,2329.497,2289.525,2297.182,662781210,11477481500.0
2020-02-14,2288.26,2328.063,2281.298,2299.554,602318130,10769167800.0
2020-02-17,2327.662,2392.167,2327.662,2392.167,874947730,11981682600.0
2020-02-18,2408.997,2435.075,2401.687,2434.615,877624780,13317331300.0
2020-02-19,2433.627,2453.147,2419.77,2421.091,849572730,12384849100.0
2020-02-20,2425.595,2462.347,2402.81,2462.347,1039615780,14598940000.0
2020-02-21,2461.245,2499.484,2458.075,2480.117,1067027990,14153521000.0
2020-02-24,2476.596,2492.594,2448.28,2482.345,1176320690,16211472000.0
2020-02-25,2426.538,2473.657,2381.26,2469.981,1239163030,18286011000.0
2020-02-26,2428.482,2465.744,2411.777,2421.352,1073247780,14578117000.0
2020-02-27,2427.365,2438.013,2394.198,2414.672,819575430,11882349000.0
