日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-08-18,998.572,1013.946,997.097,1013.946,1230233260,21281434000.0
2021-08-19,1010.614,1022.24,1002.552,1016.049,2067232600,60312373000.0
2021-08-20,1011.683,1018.327,996.406,1012.639,2139369800,62625888000.0
2021-08-23,1017.529,1056.705,1017.529,1056.705,2796470100,76006132000.0
2021-08-24,1057.725,1067.301,1053.889,1065.219,2899688000,82572259000.0
2021-08-25,1062.309,1071.424,1057.256,1071.424,2677596300,79925033000.0
2021-08-26,1069.943,1070.867,1057.725,1059.226,2702965100,79460130000.0
2021-08-27,1053.061,1054.905,1045.847,1053.113,2545205400,72028407000.0
2021-08-30,1050.409,1064.632,1049.187,1053.972,2635339900,75555388000.0
2021-08-31,1051.57,1051.926,1035.092,1042.185,2315146900,64380177000.0
2021-09-01,1041.347,1041.501,1007.405,1021.316,2411108700,66426763000.0
2021-09-02,1017.427,1033.421,1014.271,1033.421,2024798700,57554513000.0
2021-09-03,1033.701,1054.329,1028.493,1036.898,2692438900,68797260000.0
2021-09-06,1038.099,1054.484,1031.321,1054.484,2402172200,60702287000.0
2021-09-07,1053.813,1059.949,1050.899,1059.733,2287872100,59353042000.0
2021-09-08,1058.573,1060.21,1047.047,1051.254,2269785700,58070205000.0
2021-09-09,1048.952,1050.875,1034.662,1042.879,2068944500,52936465000.0
2021-09-10,1042.052,1042.599,1029.361,1038.331,2034424300,55094404000.0
2021-09-13,1038.386,1038.541,1028.337,1031.723,1848779600,50507495000.0
2021-09-14,1030.358,1040.09,1027.486,1031.512,2203694400,58824490000.0
2021-09-15,1029.169,1038.407,1022.426,1038.407,2049572000,55560609000.0
2021-09-16,1038.69,1043.962,1018.252,1018.564,2150708400,57641857000.0
2021-09-17,1018.335,1022.389,1002.943,1015.474,2091802100,54682894000.0
2021-09-22,1003.015,1016.467,1001.828,1015.069,1766316500,44751672000.0
2021-09-23,1018.196,1023.136,1018.069,1019.468,2000794700,49714648000.0
2021-09-24,1017.925,1017.925,999.01,999.01,1974752100,48663858000.0
2021-09-27,999.513,1001.697,958.325,967.96,2075920200,52866768000.0
2021-09-28,966.167,972.627,963.239,969.255,1511385500,41632741000.0
2021-09-29,962.659,962.659,935.142,935.142,1574223000,41348051000.0
2021-09-30,941.663,962.963,941.663,961.076,1357115000,39539499000.0
2021-10-08,971.525,976.492,962.255,966.541,1458255700,39372397000.0
2021-10-11,968.275,968.494,957.204,961.681,1320437200,37002466000.0
2021-10-12,959.849,960.507,932.161,941.438,1406846300,37857557000.0
2021-10-13,941.975,952.76,937.18,952.033,1236899160,34752115000.0
2021-10-14,952.613,968.458,949.755,965.982,1306605740,36879744000.0
2021-10-15,964.157,965.77,959.174,962.28,1387595100,42170040000.0
2021-10-18,960.603,965.625,957.864,965.506,1321486850,41407439000.0
2021-10-19,965.378,971.202,964.402,969.964,1287747270,41241671000.0
