日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-01-26,1006.015,1033.346,987.841,998.813,247951620,5228177800.0
2022-01-27,987.784,988.306,933.802,933.859,254002100,5280354400.0
2022-01-28,940.401,969.641,939.385,949.853,215951170,4887265800.0
2022-02-07,978.009,978.597,941.812,947.44,241379970,5583529500.0
2022-02-08,940.142,961.182,928.03,959.68,230395930,5136781900.0
2022-02-09,957.187,999.001,954.437,994.914,287050030,6673181800.0
2022-02-10,990.982,1005.647,985.229,1000.599,213252790,5153508800.0
2022-02-11,988.735,994.634,970.754,974.39,201877370,4748298800.0
2022-02-14,959.447,972.247,945.058,964.943,165008750,4398752300.0
2022-02-15,964.564,978.128,959.101,977.734,168837910,4111274300.0
2022-02-16,985.448,1003.187,971.35,991.048,176301710,4195180900.0
2022-02-17,985.593,998.335,978.433,978.554,197753440,4433332100.0
2022-02-18,1018.292,1052.925,1018.292,1049.434,399185590,9581176700.0
2022-02-21,1090.208,1138.559,1089.707,1128.564,490352530,11912913400.0
2022-02-22,1118.195,1154.157,1111.149,1142.291,1079280240,17807282000.0
2022-02-23,1151.609,1176.805,1139.314,1159.46,1241363840,19675386000.0
2022-02-24,1146.0,1157.477,1088.967,1108.167,1533392100,21692279000.0
2022-02-25,1116.919,1138.993,1113.143,1118.839,1219157040,16088565000.0
2022-02-28,1111.381,1119.421,1098.81,1116.553,1054746410,14472405000.0
2022-03-01,1113.537,1151.111,1106.126,1147.34,1146207470,17152330000.0
2022-03-02,1133.267,1155.639,1129.813,1144.955,1005304360,15238077000.0
2022-03-03,1145.045,1147.646,1117.638,1121.624,953890480,14072313000.0
2022-03-04,1109.052,1116.367,1094.692,1099.231,1067181560,15321727000.0
2022-03-07,1086.58,1087.932,1065.963,1074.49,1102435360,16314190000.0
2022-03-08,1074.066,1111.682,1074.066,1080.616,1415269900,20441499000.0
2022-03-09,1071.531,1105.31,1019.055,1104.941,1706381700,23720903000.0
2022-03-10,1127.395,1128.463,1098.05,1098.05,1567294200,22156622000.0
2022-03-11,1067.284,1113.763,1064.65,1108.478,1362824300,19581302000.0
2022-03-14,1096.485,1103.061,1070.506,1070.506,1335627670,18434741000.0
2022-03-15,1061.079,1089.836,1036.346,1037.253,1450445100,20914988000.0
