日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-03-10,1037.006,1039.883,1025.427,1031.843,139012310,3153848700.0
2022-03-11,1031.901,1037.947,1006.298,1035.593,97822641,1545104700.0
2022-03-14,1031.673,1036.058,1012.214,1020.29,85118893,1369971600.0
2022-03-15,1007.059,1007.059,955.891,956.028,83261475,1146902850.0
2022-03-16,962.784,983.851,929.69,976.257,82804594,1200116520.0
2022-03-17,985.184,1014.302,980.612,995.025,80584624,1265416620.0
2022-03-18,992.168,1015.663,985.792,1012.789,68902489,1002970010.0
2022-03-21,1029.676,1043.161,1026.425,1041.623,75709036,1389195800.0
2022-03-22,1032.024,1038.154,1027.951,1032.888,62808461,1200789130.0
2022-03-23,1032.522,1040.754,1026.492,1036.068,62928279,1101564160.0
2022-03-24,1035.778,1057.126,1034.461,1048.817,71875079,1392847400.0
2022-03-25,1063.312,1073.618,1038.952,1038.952,81529004,1728195200.0
2022-03-28,1020.761,1020.761,994.596,1005.539,64560018,1165113240.0
2022-03-29,1006.769,1010.401,997.472,1001.228,58230362,964926130.0
2022-03-30,1002.028,1017.327,1002.028,1012.244,53028968,992195270.0
2022-03-31,1010.449,1021.93,1008.688,1013.2,58163784,932252130.0
2022-04-01,1010.083,1012.926,1003.47,1010.439,44342269,806717750.0
2022-04-06,1010.226,1027.397,1008.517,1021.416,46824469,751339290.0
2022-04-07,1030.189,1032.807,1003.522,1003.927,58727305,1111895140.0
2022-04-08,1003.315,1005.639,981.221,988.207,47662970,791251720.0
2022-04-11,983.706,983.706,952.487,957.364,45501863,720492920.0
2022-04-12,955.995,971.307,947.542,971.307,35693244,527500810.0
2022-04-13,968.267,968.267,947.016,952.94,35370961,606919340.0
2022-04-14,950.578,960.161,950.099,951.304,31757923,539847200.0
2022-04-15,951.905,952.326,926.779,930.999,38317386,538789400.0
2022-04-18,930.322,967.209,924.955,966.883,64915342,927929690.0
2022-04-19,970.919,978.666,965.763,973.816,68126055,1010540170.0
2022-04-20,976.329,984.559,964.35,968.921,54570190,717071890.0
2022-04-21,964.091,979.57,940.492,943.46,95354521,993839390.0
2022-04-22,947.606,954.955,935.976,940.837,101720520,1073872300.0
2022-04-25,928.557,928.734,889.557,889.557,101274879,1325821010.0
2022-04-26,886.808,889.889,843.126,844.607,83439938,1093621790.0
2022-04-27,831.241,861.496,809.216,860.952,73272745,929118000.0
2022-04-28,859.246,863.292,832.236,841.996,66426949,835650900.0
2022-04-29,839.273,898.709,839.273,894.718,82450260,1214751440.0
2022-05-05,898.664,933.967,893.778,925.553,74870305,1248460340.0
2022-05-06,901.161,931.762,899.882,922.344,53615137,971021290.0
2022-05-09,921.512,943.758,921.512,942.323,52622454,864278530.0
2022-05-10,932.26,953.153,927.261,953.153,58697426,1045036840.0
2022-05-11,970.121,981.108,954.481,956.449,83832775,1450904900.0
2022-05-12,948.004,963.391,946.541,958.652,57753287,965342600.0
2022-05-13,961.951,969.385,952.915,964.329,51189262,762761610.0
2022-05-16,965.267,968.756,952.496,957.655,43937003,738495940.0
2022-05-17,955.352,967.276,948.053,966.57,50006986,966540680.0
2022-05-18,965.428,1024.572,962.257,1018.723,111597801,1854928800.0
2022-05-19,1006.802,1042.387,1006.802,1032.519,98962420,1598168800.0
2022-05-20,1033.184,1038.981,1025.108,1034.321,107794461,1353008800.0
2022-05-23,1037.302,1044.479,1030.563,1042.027,67729213,991277280.0
2022-05-24,1046.578,1047.94,1000.939,1001.352,102053619,1596100000.0
2022-05-25,1003.851,1022.108,1000.926,1021.256,87560316,1232691080.0
2022-05-26,1035.057,1053.07,1028.467,1036.616,104939944,1474781700.0
2022-05-27,1035.245,1064.617,1035.202,1052.641,130658422,1596280300.0
2022-05-30,1055.563,1078.417,1055.563,1073.606,131931919,1679024600.0
2022-05-31,1067.279,1073.377,1050.577,1070.171,118266190,1622352700.0
2022-06-01,1068.112,1081.298,1062.368,1078.192,100225519,1456421000.0
2022-06-02,1072.498,1111.163,1069.13,1109.286,108180960,1726184200.0
2022-06-06,1118.527,1140.039,1112.053,1131.789,119552973,2066430900.0
2022-06-07,1130.87,1130.87,1107.726,1119.012,87727794,1427283200.0
2022-06-08,1116.724,1123.913,1088.274,1121.85,94365439,1483257000.0
2022-06-09,1121.971,1122.403,1091.999,1093.856,74844230,1336934860.0
2022-06-10,1086.437,1117.323,1085.777,1115.879,101680590,1794265200.0
2022-06-13,1107.272,1136.228,1105.535,1129.669,89378454,1524680300.0
2022-06-14,1117.942,1131.873,1103.783,1131.873,84837003,1392814000.0
2022-06-15,1154.232,1168.826,1128.58,1128.58,109831742,1734543800.0
2022-06-16,1125.45,1147.226,1124.271,1140.803,137552950,1729369100.0
2022-06-17,1132.162,1167.203,1132.162,1166.199,127547008,1610098300.0
2022-06-20,1181.07,1214.794,1180.554,1199.325,117712747,1883163900.0
2022-06-21,1201.832,1202.739,1163.308,1172.137,191854760,2122150700.0
2022-06-22,1167.137,1180.652,1156.118,1167.632,185112420,2014178400.0
2022-06-23,1162.569,1203.702,1162.569,1203.599,173317020,2105362100.0
2022-06-24,1200.537,1219.413,1198.826,1209.806,196418340,2236163400.0
2022-06-27,1207.428,1208.55,1192.976,1201.794,159618340,1942400100.0
2022-06-28,1200.43,1207.226,1188.691,1204.675,141345810,1792572400.0
2022-06-29,1206.536,1206.536,1168.633,1169.52,158514410,2021625500.0
2022-06-30,1170.846,1178.49,1160.233,1170.877,130183656,1771472200.0
2022-07-01,1172.131,1173.739,1161.153,1163.904,111209028,1514343100.0
2022-07-04,1161.261,1166.583,1146.233,1164.958,98706206,1440999000.0
2022-07-05,1173.166,1185.032,1144.747,1161.1,116746849,1847819600.0
2022-07-06,1154.669,1168.112,1151.651,1165.87,97613693,1833531500.0
2022-07-07,1160.158,1178.341,1159.985,1170.924,96977605,1799095600.0
2022-07-08,1170.416,1182.126,1165.152,1166.606,80102549,1512907000.0
2022-07-11,1161.14,1167.648,1138.399,1147.673,75842772,1381378600.0
2022-07-12,1146.441,1146.93,1109.398,1109.882,70876116,1116630720.0
2022-07-13,1108.278,1129.373,1105.26,1128.764,60820184,1080445700.0
2022-07-14,1130.795,1189.809,1130.795,1181.62,117508396,2073477500.0
2022-07-15,1182.92,1195.035,1169.177,1169.177,242552480,2357123700.0
2022-07-18,1170.119,1203.593,1169.702,1203.354,372920910,3153341100.0
2022-07-19,1206.821,1225.99,1205.033,1220.209,316937600,2880119300.0
2022-07-20,1226.304,1258.278,1222.036,1257.953,263503300,3014363800.0
2022-07-21,1256.933,1257.633,1237.984,1239.495,232070910,2455530700.0
2022-07-22,1239.113,1256.104,1232.259,1245.381,215687180,2439234400.0
2022-07-25,1245.123,1246.162,1230.248,1239.407,224007770,2593476000.0
2022-07-26,1236.388,1251.0,1220.293,1249.685,171174120,2016277500.0
2022-07-27,1246.266,1266.493,1245.047,1264.074,181237850,2090719800.0
2022-07-28,1269.933,1285.564,1266.044,1277.634,202446090,2429870200.0
2022-07-29,1275.074,1279.822,1264.892,1267.738,214502140,2068632200.0
2022-08-01,1270.376,1282.089,1253.194,1279.533,209098080,2274323600.0
2022-08-02,1265.006,1265.006,1212.35,1222.794,292875710,2589785300.0
2022-08-03,1226.041,1252.259,1201.466,1204.109,229130320,2450302500.0
2022-08-04,1217.425,1227.232,1202.304,1223.464,224024710,1959490700.0
2022-08-05,1223.991,1233.443,1207.857,1224.454,184070110,1644113600.0
2022-08-08,1224.182,1265.878,1213.828,1264.739,197431670,2098395400.0
2022-08-09,1267.474,1289.736,1266.735,1271.645,236288440,2346021000.0
2022-08-10,1271.36,1280.486,1262.628,1276.696,235370950,2146469600.0
2022-08-11,1279.004,1280.992,1265.031,1275.082,182665320,1659001700.0
2022-08-12,1275.346,1283.935,1267.802,1269.724,188310220,1625210100.0
2022-08-15,1267.464,1294.956,1267.464,1294.821,208552350,1914755500.0
2022-08-16,1295.383,1311.648,1293.645,1299.966,248163770,2282076400.0
2022-08-17,1301.653,1303.141,1287.463,1300.378,237753300,1815228500.0
2022-08-18,1305.329,1317.128,1305.121,1312.886,268952940,1946901500.0
2022-08-19,1319.577,1328.334,1311.502,1316.954,267002750,2315069900.0
2022-08-22,1319.238,1327.985,1308.268,1326.901,216550800,2307896600.0
2022-08-23,1330.896,1368.676,1329.043,1368.676,353792430,3210411700.0
2022-08-24,1371.515,1377.015,1325.479,1326.237,298607510,3189862700.0
2022-08-25,1337.0,1339.898,1308.039,1333.765,280195560,2657061900.0
2022-08-26,1333.602,1343.366,1321.407,1327.577,236103850,2425072800.0
2022-08-29,1312.64,1336.913,1307.234,1325.584,243546870,2478944700.0
2022-08-30,1328.877,1330.893,1304.215,1315.516,189322340,2098534800.0
2022-08-31,1309.156,1309.546,1262.62,1263.981,260814980,2117600400.0
2022-09-01,1266.681,1278.385,1257.346,1266.601,225490090,1897641400.0
2022-09-02,1266.548,1286.45,1260.159,1285.354,195632350,1965276800.0
2022-09-05,1282.521,1293.2,1275.199,1284.614,166030850,1766434800.0
2022-09-06,1288.13,1309.972,1284.906,1308.962,189777260,1744018500.0
2022-09-07,1307.868,1317.042,1304.831,1312.469,176106370,1912331300.0
2022-09-08,1313.235,1324.157,1305.368,1306.357,203315440,1734451900.0
2022-09-09,1303.333,1306.707,1294.26,1298.173,195261070,1657852600.0
2022-09-13,1302.993,1318.733,1302.076,1307.875,148808370,1640548200.0
2022-09-14,1290.354,1299.155,1279.419,1287.482,183640180,1841667400.0
2022-09-15,1291.419,1291.419,1235.965,1249.744,200892470,1869282600.0
2022-09-16,1247.542,1263.086,1236.165,1236.165,170878830,1630062300.0
2022-09-19,1232.995,1234.265,1201.28,1209.942,184056570,1809699200.0
2022-09-20,1218.084,1240.599,1218.084,1235.496,150512190,1358264500.0
2022-09-21,1232.013,1236.155,1210.796,1231.257,129142545,1016802070.0
2022-09-22,1226.016,1252.564,1219.776,1237.566,155942520,1231813460.0
2022-09-23,1240.564,1246.633,1206.256,1207.765,175612100,1400032000.0
2022-09-26,1200.869,1226.854,1191.174,1207.959,165513950,1616039200.0
2022-09-27,1207.844,1234.323,1207.844,1232.581,147182610,1678254900.0
2022-09-28,1230.183,1230.731,1187.319,1188.209,150236970,1551430100.0
2022-09-29,1207.393,1211.624,1175.409,1181.376,159841320,1595464100.0
2022-09-30,1176.328,1180.712,1154.543,1157.382,132584214,1572704000.0
2022-10-10,1161.906,1173.87,1129.272,1133.228,148927000,1620586900.0
2022-10-11,1138.743,1141.535,1122.853,1137.078,106882466,1335256500.0
2022-10-12,1134.556,1184.748,1131.448,1184.748,141396770,1429143600.0
2022-10-13,1191.517,1212.339,1190.095,1205.033,171928200,1901884200.0
2022-10-14,1213.688,1223.463,1206.124,1216.755,147330530,1917005900.0
2022-10-17,1214.345,1248.645,1214.345,1247.579,148392690,1531117300.0
2022-10-18,1250.759,1270.916,1247.196,1260.215,166019150,1908160900.0
2022-10-19,1261.516,1274.104,1257.163,1257.418,415516040,2222369200.0
2022-10-20,1247.69,1258.156,1235.365,1241.359,285066170,1832138900.0
2022-10-21,1248.716,1267.53,1245.845,1251.044,235579440,1986687900.0
2022-10-24,1254.71,1268.181,1235.769,1245.804,215258210,2186919700.0
2022-10-25,1240.207,1250.377,1221.225,1244.677,191329350,2360434000.0
2022-10-26,1247.883,1263.801,1241.754,1256.235,226347840,2312091300.0
2022-10-27,1256.19,1265.397,1236.606,1237.16,221225820,2232811200.0
2022-10-28,1231.742,1238.206,1197.269,1200.695,259462290,2242199400.0
2022-10-31,1201.749,1215.803,1195.041,1202.159,206375750,2078496800.0
2022-11-01,1208.416,1235.02,1201.111,1234.941,185412800,2061773300.0
2022-11-02,1235.591,1250.092,1228.203,1243.724,190990830,2079388500.0
2022-11-03,1236.724,1245.247,1232.878,1243.461,145401430,1819387500.0
2022-11-04,1247.467,1271.208,1245.181,1270.23,199853800,1973024600.0
2022-11-07,1270.527,1286.388,1262.726,1282.891,206600750,1848438500.0
2022-11-08,1280.814,1282.837,1261.391,1272.98,198565850,1848029100.0
2022-11-09,1274.214,1284.209,1270.918,1274.706,212366300,1640994500.0
2022-11-10,1269.956,1271.039,1253.119,1254.858,170747140,1544279100.0
2022-11-11,1277.255,1284.498,1257.442,1260.346,245792610,2170521100.0
2022-11-14,1261.671,1263.212,1235.459,1243.69,212151670,2092945400.0
2022-11-15,1242.434,1255.266,1236.02,1255.266,177892120,1835726500.0
2022-11-16,1258.351,1266.517,1253.357,1257.982,178713840,1541556600.0
2022-11-17,1253.13,1253.771,1239.979,1248.481,173382150,1492109600.0
2022-11-18,1247.63,1253.94,1234.736,1235.779,204814220,1456586600.0
2022-11-21,1232.353,1239.202,1220.381,1239.202,173084220,1408742100.0
2022-11-22,1238.933,1260.525,1234.456,1245.017,202261820,1831321100.0
2022-11-23,1242.012,1251.306,1220.237,1234.889,178160850,1502228200.0
2022-11-24,1235.565,1243.952,1230.601,1233.969,145493340,1220462850.0
2022-11-25,1230.228,1234.925,1220.299,1228.764,131515430,1176888050.0
2022-11-28,1217.114,1224.81,1204.665,1223.702,123360388,1303110350.0
2022-11-29,1228.249,1244.421,1226.975,1244.212,211534670,1497364500.0
2022-11-30,1246.258,1251.426,1230.809,1243.241,262141280,2011161300.0
2022-12-01,1251.334,1256.188,1237.279,1239.373,217327490,1803547400.0
2022-12-02,1241.739,1250.547,1237.967,1243.63,171021830,1552012100.0
2022-12-05,1249.011,1251.353,1233.62,1240.72,189910470,1946540100.0
2022-12-06,1237.344,1240.736,1223.001,1238.078,191956920,1781534200.0
2022-12-07,1233.936,1241.436,1230.276,1232.172,206092210,1602350000.0
2022-12-08,1232.713,1250.249,1232.713,1244.878,198046550,1899366700.0
2022-12-09,1242.679,1245.567,1226.075,1234.29,223790870,2230361300.0
2022-12-12,1229.642,1231.528,1219.241,1221.244,188890520,1820667500.0
2022-12-13,1217.98,1223.949,1212.827,1215.617,156481920,1503723000.0
2022-12-14,1212.629,1218.123,1207.601,1211.218,137473220,1260821560.0
2022-12-15,1211.303,1216.284,1205.687,1215.931,127423211,1214245250.0
2022-12-16,1208.345,1210.774,1194.32,1196.139,123780999,1144352170.0
