日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-02-28,1060.799,1074.998,1030.451,1042.512,548012730,2581839200.0
2022-03-01,1050.432,1063.625,1034.649,1035.807,882743860,4149176700.0
2022-03-02,1030.349,1116.375,1029.978,1115.413,1230125090,5336315300.0
2022-03-03,1152.596,1224.81,1152.33,1224.81,2019094300,10575890400.0
2022-03-04,1248.811,1251.87,1201.588,1201.588,2870337400,16805970000.0
2022-03-07,1194.258,1208.172,1184.566,1190.084,2398918700,16527526000.0
2022-03-08,1174.174,1174.333,1120.953,1123.621,2047713000,13921538000.0
2022-03-09,1111.753,1123.954,1064.993,1107.746,2077242800,13808713000.0
2022-03-10,1117.668,1129.63,1108.995,1121.415,1883528700,13297548800.0
2022-03-11,1105.704,1131.407,1089.193,1130.034,1954733500,13115638500.0
2022-03-14,1111.667,1122.138,1085.9,1085.9,1596094200,10740183500.0
2022-03-15,1074.116,1074.307,1018.326,1018.326,1730619600,10831134200.0
2022-03-16,1030.987,1047.101,997.897,1042.926,1571370700,9893611700.0
2022-03-17,1046.67,1069.524,1045.006,1053.976,1482195900,9983669500.0
2022-03-18,1051.696,1071.218,1049.062,1068.977,1252734850,8472789900.0
2022-03-21,1071.957,1089.003,1071.957,1089.003,1302825140,9127556100.0
2022-03-22,1089.166,1092.373,1080.645,1089.12,1436513200,9981829800.0
2022-03-23,1088.187,1092.024,1080.208,1082.989,1319028400,9689144000.0
2022-03-24,1079.369,1086.749,1075.522,1080.187,1308997930,9380815700.0
2022-03-25,1078.226,1095.228,1078.153,1079.228,1398003400,9734158000.0
2022-03-28,1070.281,1083.037,1057.173,1073.121,1199701460,8230913000.0
2022-03-29,1072.887,1077.336,1064.784,1071.71,1211954680,8880273400.0
2022-03-30,1070.731,1079.522,1066.049,1079.522,1101256730,8015398300.0
2022-03-31,1076.709,1084.515,1069.528,1074.269,1144533260,8174531200.0
2022-04-01,1070.233,1081.521,1066.91,1077.413,1550201500,8907213600.0
2022-04-06,1075.197,1097.711,1074.572,1097.528,1694492900,9961066300.0
2022-04-07,1092.876,1092.876,1068.54,1068.54,1486146800,8997131500.0
2022-04-08,1068.748,1072.2,1049.541,1068.757,1353553800,8535416400.0
2022-04-11,1085.269,1091.017,1058.107,1062.738,1772770500,10917785000.0
2022-04-12,1055.492,1090.265,1043.488,1090.172,2154110800,12606935900.0
2022-04-13,1088.02,1106.182,1084.196,1087.259,2292130800,14784676000.0
2022-04-14,1084.677,1092.278,1078.377,1088.62,1787631200,11410341500.0
2022-04-15,1076.304,1076.304,1047.514,1049.116,1689329700,10592426200.0
2022-04-18,1037.976,1057.646,1025.634,1053.883,1187491870,7744375600.0
2022-04-19,1051.881,1072.205,1051.881,1069.246,1249328990,8560687600.0
2022-04-20,1066.143,1073.948,1051.337,1058.363,1523413700,10318522300.0
2022-04-21,1050.827,1052.119,1007.184,1009.923,1572386300,9743745800.0
2022-04-22,1001.551,1018.893,994.193,1007.044,1341008850,8363509000.0
2022-04-25,986.289,986.289,923.328,923.328,1454952300,8301668800.0
2022-04-26,921.77,928.264,888.059,891.284,1269478300,6966255600.0
2022-04-27,873.631,910.687,861.537,910.687,1264241380,6668081000.0
2022-04-28,910.188,923.278,883.682,895.148,1145708530,6479281000.0
2022-04-29,897.278,936.77,897.278,930.749,1154264030,6895502500.0
2022-05-05,932.167,958.627,929.085,951.467,1100858790,6844957600.0
2022-05-06,929.514,949.249,924.44,942.325,997116550,6337987200.0
2022-05-09,941.144,961.827,941.144,959.726,828557980,5324416300.0
2022-05-10,947.303,972.148,944.32,972.148,993424010,6132098300.0
2022-05-11,974.628,991.196,968.428,968.428,1332652710,8646457100.0
2022-05-12,963.073,981.532,963.073,978.206,1012298800,6616033300.0
2022-05-13,982.124,989.243,974.519,986.242,1067287570,6904589000.0
2022-05-16,989.867,992.884,984.026,990.226,1078560230,6794444700.0
2022-05-17,988.967,989.037,966.026,979.556,911650320,5649229000.0
2022-05-18,977.814,993.761,973.347,985.049,796018450,5194468200.0
2022-05-19,973.953,990.158,970.976,990.158,840480880,5494552600.0
2022-05-20,992.694,1009.787,992.51,1009.579,999646870,6684458100.0
2022-05-23,1013.223,1026.169,1013.105,1025.726,1117879080,7820629400.0
2022-05-24,1026.416,1028.835,983.836,983.836,1288312290,8898916200.0
2022-05-25,983.462,1014.626,983.462,1014.626,1296863350,7982609500.0
2022-05-26,1018.384,1023.932,1003.227,1021.884,1318130640,8506440900.0
2022-05-27,1024.812,1033.868,1015.926,1028.075,1187761060,7743951400.0
2022-05-30,1032.229,1039.932,1022.259,1039.932,1057634050,7142542200.0
2022-05-31,1038.495,1046.84,1033.07,1046.211,1109833590,7716869100.0
2022-06-01,1044.744,1060.405,1042.356,1054.174,1216947270,8919750800.0
2022-06-02,1051.522,1059.049,1043.185,1057.473,1140107760,8527915600.0
