日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-12-31,1000.0,1000.0,1000.0,1000.0,0,0.0
2021-01-04,1004.964,1026.64,1004.964,1026.64,1127075610,34105440000.0
2021-01-05,1020.38,1041.913,1020.38,1041.913,1358716900,37098860000.0
2021-01-06,1042.331,1042.331,1022.304,1022.304,1011165870,31354250000.0
2021-01-07,1018.039,1018.039,981.442,998.602,1029135120,33883780000.0
2021-01-08,997.182,1001.117,992.398,999.004,1069745490,35346930000.0
2021-01-11,1001.035,1022.852,1001.035,1013.258,1249007080,41872090000.0
2021-01-12,1008.35,1018.212,1008.02,1018.212,941290320,32780860000.0
2021-01-13,1013.705,1016.55,1008.294,1014.564,1401806900,44461110000.0
2021-01-14,1011.224,1045.564,1011.224,1032.133,1276123150,42076980000.0
2021-01-15,1030.2,1032.943,1016.912,1024.772,1029960400,35500230000.0
2021-01-18,1024.194,1078.252,1024.194,1078.252,969480960,36113460000.0
2021-01-19,1077.354,1093.779,1076.959,1076.959,969285250,37545390000.0
2021-01-20,1077.726,1104.947,1077.726,1104.947,783431860,28793770000.0
2021-01-21,1106.675,1119.332,1106.675,1117.418,926179940,35591700000.0
2021-01-22,1113.725,1113.725,1094.723,1110.254,1019323680,36958990000.0
2021-01-25,1106.495,1114.959,1100.898,1100.898,1050971880,39808150000.0
2021-01-26,1102.191,1102.191,1063.119,1063.119,831736330,30707020000.0
2021-01-27,1065.49,1065.49,1054.854,1060.592,645871100,23538350000.0
2021-01-28,1047.647,1047.647,1019.9,1019.9,726551570,26693510000.0
2021-01-29,1031.787,1038.161,1019.182,1019.182,704295930,25649650000.0
2021-02-01,1014.313,1028.146,1014.313,1021.229,659232460,23164690000.0
2021-02-02,1022.166,1035.562,1022.166,1035.562,722945790,27314490000.0
2021-02-03,1032.113,1046.432,1032.113,1034.863,789797090,29941730000.0
2021-02-04,1029.762,1029.762,993.257,1000.914,819524300,29527170000.0
2021-02-05,999.579,999.579,976.857,976.857,567989450,21500980000.0
2021-02-08,980.658,997.022,980.658,993.959,523833540,19628450000.0
2021-02-09,995.696,1016.484,995.696,1015.384,615310230,22431160000.0
2021-02-10,1014.362,1031.555,1014.362,1031.555,595084990,23191600000.0
2021-02-18,1042.422,1042.422,1033.942,1034.445,873226930,31598840000.0
2021-02-19,1030.098,1030.098,1013.918,1015.191,827441150,28509730000.0
2021-02-22,1013.735,1013.735,977.161,977.161,1077153270,32306420000.0
2021-02-23,964.654,978.81,964.654,976.413,772350580,24143240000.0
2021-02-24,977.987,977.987,957.862,957.862,904376240,32311720000.0
2021-02-25,964.687,964.687,945.485,945.485,718514490,23709970000.0
2021-02-26,927.009,927.561,922.454,924.25,640862700,22900440000.0
2021-03-01,932.515,933.044,930.572,933.044,700008590,21869220000.0
2021-03-02,940.251,940.251,933.622,935.666,651289800,24522040000.0
2021-03-03,930.04,941.433,930.04,940.875,509188770,18243160000.0
2021-03-04,935.823,935.823,906.655,906.655,615158280,22855290000.0
2021-03-05,893.518,915.766,893.518,915.766,531930640,18552380000.0
2021-03-08,919.985,919.985,866.6,866.6,748975320,22244010000.0
2021-03-09,865.359,865.359,837.426,837.426,742633540,22811720000.0
2021-03-10,855.171,855.171,840.897,845.861,591463640,18457840000.0
2021-03-11,849.238,862.417,849.238,860.611,571766890,18778200000.0
2021-03-12,864.579,864.579,851.52,851.52,614073160,17831910000.0
2021-03-15,842.36,842.36,822.088,822.088,680407660,19669000000.0
2021-03-16,828.841,828.841,821.066,821.066,511428020,14708840000.0
2021-03-17,822.643,833.978,822.643,833.204,529089330,16133470000.0
2021-03-18,836.029,837.923,833.769,833.769,450662580,13739490000.0
2021-03-19,822.833,824.971,822.833,823.93,447843480,13587540000.0
2021-03-22,827.29,837.367,827.29,837.367,396995940,13118790000.0
2021-03-23,836.699,836.699,829.068,829.068,447298900,13223710000.0
2021-03-24,823.931,823.931,815.963,816.313,405069880,12318800000.0
2021-03-25,813.122,829.078,813.122,828.011,362835150,12607260000.0
2021-03-26,833.022,848.465,833.022,848.465,466306220,15647830000.0
2021-03-29,852.574,852.574,840.954,840.954,383741130,13221970000.0
2021-03-30,841.259,851.066,841.259,848.722,374790470,12469110000.0
2021-03-31,848.099,848.099,841.804,845.313,295146160,9470820000.0
2021-04-01,847.989,863.248,847.989,863.248,358501060,12656830000.0
2021-04-02,867.619,883.433,867.619,883.433,439149360,17159390000.0
2021-04-06,887.646,887.646,879.042,879.561,445941040,14277500000.0
2021-04-07,880.936,880.936,870.713,872.737,448337840,14151830000.0
2021-04-08,871.041,883.932,871.041,882.989,492646360,15639750000.0
2021-04-09,879.83,879.83,874.774,874.774,557768940,14599570000.0
2021-04-12,874.109,874.109,855.467,855.467,503513280,14513260000.0
2021-04-13,855.257,857.222,852.458,852.458,373529600,10868450000.0
2021-04-14,854.011,864.606,854.011,864.606,357286350,11520320000.0
2021-04-15,865.485,868.495,861.684,868.495,374259770,12606180000.0
2021-04-16,869.87,869.87,867.123,867.694,367906110,12012860000.0
2021-04-19,867.762,896.986,867.762,896.986,535320290,18327070000.0
2021-04-20,895.361,896.101,895.361,895.565,468016770,17131340000.0
2021-04-21,889.06,901.517,889.06,901.517,417437710,13948820000.0
2021-04-22,904.406,905.142,901.646,904.542,513842940,15870980000.0
2021-04-23,901.328,916.876,901.328,916.853,426160470,13860000000.0
2021-04-26,916.797,916.797,903.665,903.665,603216460,20306390000.0
2021-04-27,897.352,898.622,897.352,898.622,526780240,16834950000.0
2021-04-28,898.284,910.256,898.284,910.226,512338310,15354140000.0
2021-04-29,913.328,913.328,911.744,913.292,525279140,17166250000.0
2021-04-30,921.149,921.149,913.429,913.644,447133550,15392510000.0
2021-05-06,908.614,910.829,908.614,910.572,415293390,13589090000.0
2021-05-07,909.464,909.464,873.727,873.727,417852970,13557980000.0
2021-05-10,870.75,870.75,857.302,857.315,412753570,13369570000.0
2021-05-11,848.995,862.592,848.995,862.478,466722100,15974840000.0
2021-05-12,858.716,874.646,858.716,874.519,413207720,14590270000.0
2021-05-13,870.206,870.206,866.893,867.01,470788480,14329450000.0
2021-05-14,869.124,887.927,869.124,887.895,519835480,16245470000.0
2021-05-17,890.397,919.309,890.397,919.309,641608310,20420740000.0
2021-05-18,919.26,925.528,919.26,925.528,658765770,17852920000.0
2021-05-19,920.387,927.932,920.387,927.499,659951270,16897030000.0
2021-05-20,927.883,930.538,927.883,930.522,590856030,18272370000.0
2021-05-21,935.679,935.679,921.332,921.537,551870330,15944070000.0
2021-05-24,920.049,931.866,920.049,931.846,744857030,21318170000.0
2021-05-25,932.969,963.267,932.969,963.267,898082210,29792170000.0
2021-05-26,963.754,963.754,951.332,951.348,797799040,23924750000.0
