日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,933.877,947.365,933.79,943.329,2750482100,27633801000.0
2020-01-03,945.347,947.678,941.861,944.009,1965141500,20859869000.0
2020-01-06,940.924,952.952,938.367,943.876,2554205400,25047676000.0
2020-01-07,945.266,950.959,945.152,950.93,1744801300,18889538000.0
2020-01-08,947.422,948.265,935.97,939.989,2085968500,22084410000.0
2020-01-09,943.669,948.08,941.78,946.226,1616635800,19060171000.0
2020-01-10,948.21,949.051,939.459,942.244,1206535650,14645476000.0
2020-01-13,941.489,945.377,934.961,945.377,1313025750,18970533000.0
2020-01-14,947.286,951.159,944.036,944.509,1728128900,20637746000.0
2020-01-15,943.883,943.903,933.228,934.611,1340509800,15768068000.0
2020-01-16,937.482,938.034,931.481,932.282,1307034970,17910844000.0
2020-01-17,934.596,937.302,927.743,929.375,1088155730,15779698000.0
2020-01-20,931.089,935.053,927.009,935.052,1518828000,23517108000.0
2020-01-21,932.043,932.043,920.658,921.222,1636543100,21891597000.0
2020-01-22,917.878,922.951,906.907,919.577,1447724500,19235108000.0
2020-01-23,913.666,916.792,889.845,895.344,2056109200,27608654000.0
2020-02-03,813.806,821.141,813.777,816.293,2874599200,35718979000.0
2020-02-04,788.49,820.628,788.49,818.858,2787072700,32838842000.0
2020-02-05,821.338,843.932,819.549,837.445,2170850600,25289262000.0
2020-02-06,841.726,857.318,836.897,855.118,2055963800,23467620000.0
2020-02-07,854.713,856.262,845.356,856.169,1776855200,24046199000.0
2020-02-10,854.853,863.231,850.446,862.738,1744775400,22389570000.0
2020-02-11,864.645,869.859,862.019,864.903,1757158600,21075668000.0
2020-02-12,863.035,870.889,859.668,870.889,1421313300,18166543000.0
2020-02-13,870.012,872.589,859.567,860.918,1586370100,19403830000.0
2020-02-14,859.152,866.314,857.562,865.34,1397077800,17587485000.0
2020-02-17,865.775,884.976,865.775,884.976,2001508600,23735235000.0
2020-02-18,886.652,892.872,883.931,892.75,1951654200,23909433000.0
2020-02-19,890.524,894.163,886.654,887.628,1794033000,21901312000.0
2020-02-20,890.393,903.927,887.042,903.587,2220105500,27841151000.0
2020-02-21,902.086,911.572,901.136,906.222,2163934500,32646060000.0
2020-02-24,901.366,902.52,893.5,899.999,2429102900,31926183000.0
2020-02-25,883.484,886.741,868.323,886.432,2548009600,30841390000.0
2020-02-26,876.73,917.31,875.755,905.884,4480988600,42806866000.0
2020-02-27,905.869,908.935,899.537,901.042,2848904600,30654333000.0
2020-02-28,878.846,891.334,868.69,868.845,3493879300,36088183000.0
2020-03-02,875.883,910.575,875.883,908.359,4008803400,35474825000.0
2020-03-03,921.685,923.761,904.706,909.922,3874143300,36008665000.0
2020-03-04,904.28,917.905,902.855,917.905,2609350700,26609467000.0
2020-03-05,924.814,937.277,922.781,935.497,3406903200,36044250000.0
2020-03-06,924.917,929.713,920.59,920.948,2564934300,25253679000.0
2020-03-09,908.409,911.33,893.188,894.925,3442428300,33777958000.0
2020-03-10,884.012,910.767,879.312,910.592,2864565900,28320723000.0
2020-03-11,910.999,918.841,903.882,903.908,2347739600,26466258000.0
2020-03-12,892.024,893.5,880.204,884.956,2159215200,24838109000.0
2020-03-13,847.862,881.999,846.8,874.466,2584938800,29458688000.0
2020-03-16,880.296,881.416,848.7,849.192,2609792200,28089126000.0
2020-03-17,853.309,862.825,829.323,851.19,2163667600,23987121000.0
2020-03-18,856.518,863.84,838.49,838.572,2173118500,23531062000.0
2020-03-19,835.198,842.084,813.734,829.957,2415135900,26840065000.0
2020-03-20,836.949,842.362,828.061,841.031,1939122500,21566816000.0
2020-03-23,820.556,829.509,812.187,814.939,1652370000,17642524000.0
2020-03-24,826.569,831.543,814.947,830.402,1751813300,19364107000.0
2020-03-25,846.351,848.318,839.185,847.058,2041249700,23882686000.0
2020-03-26,841.937,845.665,835.884,836.938,1524989100,17420630000.0
2020-03-27,844.641,853.737,840.723,844.173,2373771600,22259523000.0
