日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-07-03,1001.134,1016.247,983.765,1004.805,340867910,14709003000.0
2020-07-06,1033.958,1112.258,1033.958,1108.65,560209000,24778552000.0
2020-07-07,1140.803,1168.878,1119.76,1119.811,1371576600,55080399000.0
2020-07-08,1113.387,1159.026,1096.159,1156.55,1236347020,48401651000.0
2020-07-09,1149.546,1209.646,1147.472,1196.173,1287645720,49852995000.0
2020-07-10,1180.701,1211.445,1172.063,1197.33,1188554750,47772936000.0
2020-07-13,1199.268,1245.837,1198.788,1245.837,1211788960,50639296000.0
2020-07-14,1237.679,1241.468,1177.234,1217.302,1223191500,52860987000.0
2020-07-15,1217.502,1223.968,1149.033,1152.249,1337760210,54553196000.0
2020-07-16,1142.597,1143.2,1043.175,1045.671,1149909380,43685597000.0
2020-07-17,1044.094,1060.728,1019.079,1027.86,880659100,31989337000.0
2020-07-20,1041.929,1061.115,1006.529,1061.115,1016746430,45813603000.0
2020-07-21,1052.856,1078.226,1048.253,1053.87,844457940,38511266000.0
2020-07-22,1051.399,1081.464,1046.707,1069.661,834946220,38865271000.0
2020-07-23,1057.72,1069.297,1033.443,1062.673,933571930,38900621000.0
2020-07-24,1053.002,1063.414,988.597,990.131,980187250,41108742000.0
2020-07-27,997.516,1005.007,973.804,986.822,630983830,26217478000.0
2020-07-28,999.338,1007.439,981.952,993.279,600209400,23511269000.0
2020-07-29,990.553,1042.476,988.566,1042.476,794577320,34052282000.0
2020-07-30,1043.361,1048.263,1024.505,1030.457,770916270,33999302000.0
2020-07-31,1027.222,1062.702,1027.084,1061.19,926666940,44406576000.0
2020-08-03,1080.357,1115.369,1080.357,1106.686,1010271770,49171089000.0
2020-08-04,1109.538,1109.538,1075.822,1087.443,846881330,42064441000.0
2020-08-05,1133.86,1133.86,1094.663,1101.935,927657160,48510100000.0
2020-08-06,1089.051,1105.859,1076.518,1097.411,855584820,40494053000.0
2020-08-07,1091.343,1091.343,1040.18,1057.433,863802420,40549392000.0
2020-08-10,1047.563,1074.585,1045.86,1064.245,609282440,29140335000.0
2020-08-11,1062.87,1077.196,1046.13,1047.641,599968810,27135532000.0
2020-08-12,1046.862,1052.492,1018.517,1048.88,603546110,26928907000.0
2020-08-13,1054.125,1056.798,1038.624,1039.834,468693930,20880755000.0
2020-08-14,1036.688,1048.233,1025.672,1047.968,432158550,18160394000.0
2020-08-17,1053.255,1066.225,1042.928,1066.225,604313510,26198124000.0
2020-08-18,1065.738,1066.595,1055.146,1062.557,575227610,25216970000.0
2020-08-19,1058.822,1058.822,1017.432,1017.432,634712030,28316754000.0
2020-08-20,1006.335,1025.864,1001.396,1012.37,548366360,21533605000.0
2020-08-21,1020.982,1025.342,997.717,1006.049,540074520,21283023000.0
2020-08-24,1005.211,1019.261,978.908,1011.119,507900180,21145086000.0
2020-08-25,1012.426,1017.467,1000.268,1004.802,432215400,17577554000.0
2020-08-26,1002.177,1002.177,955.024,955.679,583520650,25261958000.0
2020-08-27,955.905,999.476,946.368,990.37,546963290,24541812000.0
