日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,605.976,615.161,603.12,614.527,2115029800,16693207000.0
2020-01-03,617.346,633.1,617.346,633.1,2472280700,17126041000.0
2020-01-06,635.071,648.021,633.685,643.097,2952041200,19885720000.0
2020-01-07,640.66,647.8,639.437,646.806,2728583000,22065537000.0
2020-01-08,643.845,645.863,630.752,630.932,2557908600,20369155000.0
2020-01-09,635.674,640.067,634.445,637.807,2663348100,21885406000.0
2020-01-10,638.503,638.851,629.956,632.572,2080066000,16366894000.0
2020-01-13,632.582,636.75,627.56,636.718,1767265400,14397408000.0
2020-01-14,637.679,647.123,636.691,643.488,2593340800,21703400000.0
2020-01-15,640.608,640.804,632.705,633.833,1814894000,14636689000.0
2020-01-16,634.544,635.236,631.387,631.506,1672168700,14132670000.0
2020-01-17,631.643,632.934,626.905,628.414,1466728200,11905683500.0
2020-01-20,626.813,628.662,622.931,628.662,1507045400,12181631400.0
2020-01-21,626.019,626.019,616.588,616.821,1565144800,11723617900.0
2020-01-22,614.402,617.905,606.278,615.742,1426763700,11211959800.0
2020-01-23,607.755,610.746,586.966,591.435,1840130400,13417905300.0
2020-02-03,533.518,534.746,532.798,533.056,803701950,5607033000.0
2020-02-04,495.67,523.858,495.67,523.676,2603089800,15590531000.0
2020-02-05,524.78,546.207,524.78,539.638,2212148600,14688242000.0
2020-02-06,545.238,562.848,541.91,562.066,2596403100,17277828000.0
2020-02-07,563.26,567.081,554.167,567.081,2588795400,16487498000.0
2020-02-10,567.115,594.647,566.028,594.452,2974469200,20407599000.0
2020-02-11,600.282,600.282,580.082,580.471,2993167700,20698858000.0
2020-02-12,576.666,593.933,576.666,593.464,2595137300,19015438000.0
2020-02-13,596.12,607.459,595.796,600.585,3536454100,27476447000.0
2020-02-14,596.231,606.563,592.603,602.525,3017266100,24573729000.0
2020-02-17,610.087,629.857,610.087,629.857,3789710800,29979383000.0
2020-02-18,625.657,630.765,621.683,630.765,3370601900,27065081000.0
2020-02-19,627.765,627.864,619.987,621.365,3009878000,24050401000.0
2020-02-20,621.037,627.916,615.113,627.916,2589066200,19660777000.0
2020-02-21,624.861,632.803,623.599,629.322,2493514600,19355295000.0
2020-02-24,628.397,641.756,623.757,639.327,3167113000,24395465000.0
2020-02-25,625.656,631.969,609.648,631.674,3267062200,24038889000.0
2020-02-26,632.462,646.841,632.462,636.587,3954427700,28706330000.0
2020-02-27,637.116,639.336,627.616,634.428,3107471400,22506156000.0
2020-02-28,613.959,620.221,597.46,597.957,3138475800,21534182000.0
2020-03-02,602.213,626.147,602.213,624.141,2684563400,20272199000.0
2020-03-03,634.943,642.799,628.761,636.668,3227327700,24980280000.0
2020-03-04,633.687,643.623,632.149,643.623,2964391800,23572864000.0
2020-03-05,649.341,662.946,647.1,659.95,3957214600,30100751000.0
2020-03-06,654.778,666.601,654.169,662.113,3970326100,28888342000.0
2020-03-09,650.53,655.882,639.301,640.563,3909231900,28963253000.0
2020-03-10,631.327,650.162,619.862,650.009,3154020700,23491632000.0
2020-03-11,652.275,667.237,649.697,653.606,3526152300,25842490000.0
2020-03-12,643.341,646.203,631.508,636.221,3161299300,21941161000.0
2020-03-13,603.059,640.299,602.008,636.756,3637646700,24767429000.0
2020-03-16,642.773,644.803,611.899,612.445,3782779200,25868117000.0
2020-03-17,612.082,619.992,587.995,606.738,2872644000,19160876000.0
2020-03-18,612.149,620.422,596.321,596.321,2854284900,21745358000.0
2020-03-19,593.903,602.263,583.578,600.484,2497952200,18447838000.0
2020-03-20,605.102,611.075,600.717,610.97,2217081600,16680648000.0
2020-03-23,595.224,612.403,593.868,597.934,2659330800,20050463000.0
2020-03-24,606.828,608.3,593.061,608.119,2529353300,19302640000.0
2020-03-25,616.885,625.189,613.231,625.189,2911154500,22088179000.0
2020-03-26,619.646,639.036,616.983,631.06,3580429300,27007993000.0
2020-03-27,634.066,634.438,621.763,622.585,3142529900,22836023000.0
2020-03-30,616.193,625.393,614.783,622.673,3380677300,24905992000.0
2020-03-31,622.245,641.397,620.146,641.397,3998418800,30158175000.0
2020-04-01,637.651,640.366,626.285,627.664,3655425000,28188146000.0
2020-04-02,622.854,630.751,618.389,630.751,2900164200,22625542000.0
2020-04-03,629.858,638.899,628.248,633.231,3069081700,23866139000.0
2020-04-07,640.859,661.54,639.801,661.097,3827443600,29211640000.0
2020-04-08,659.949,664.456,654.427,657.103,4148293500,29549143000.0
2020-04-09,660.654,662.917,651.871,661.286,3898547700,27987781000.0
2020-04-10,658.352,660.142,640.344,642.528,3448884400,25086802000.0
2020-04-13,640.136,641.74,634.427,638.617,2520000900,17793117000.0
2020-04-14,638.67,649.139,638.579,649.139,2632761000,20119298000.0
2020-04-15,646.288,652.153,642.864,643.802,3206750700,24528570000.0
2020-04-16,640.036,645.874,638.233,643.732,2603357700,20587593000.0
2020-04-17,644.576,646.022,638.465,639.319,2591039800,20934064000.0
2020-04-20,642.787,646.852,640.469,646.534,2447526800,19049929000.0
2020-04-21,643.534,645.801,637.117,644.614,2742926900,20833925000.0
2020-04-22,640.502,666.632,639.938,666.548,3865560800,31234466000.0
2020-04-23,670.29,683.683,668.231,673.086,5231112800,39933755000.0
2020-04-24,672.764,673.989,654.651,658.814,4250624000,30720967000.0
2020-04-27,657.451,667.548,654.156,658.592,3992838500,26734876000.0
2020-04-28,653.894,654.316,623.504,648.266,4704569900,32230903000.0
2020-04-29,644.088,651.871,637.941,638.254,3652366300,24040084000.0
2020-04-30,639.312,648.196,639.312,646.666,3162205300,21601844000.0
2020-05-06,641.256,662.78,640.728,662.78,3296005700,24807759000.0
2020-05-07,662.188,672.782,660.818,668.033,4132169800,29941145000.0
2020-05-08,669.604,676.45,668.535,675.866,3586679300,27002629000.0
2020-05-11,677.651,683.593,673.512,678.072,3344163800,26785381000.0
2020-05-12,677.091,681.565,670.444,681.484,3229465700,25242015000.0
2020-05-13,679.972,686.58,677.48,684.99,3244356200,25312705000.0
2020-05-14,680.75,683.905,676.058,676.398,3198912000,24088780000.0
2020-05-15,678.409,683.207,677.039,680.035,2892702000,21709925000.0
2020-05-18,681.004,691.878,676.61,690.101,3532964700,27969563000.0
2020-05-19,692.349,696.615,686.891,695.718,3301510900,26511999000.0
2020-05-20,695.395,699.392,685.388,687.724,3607423200,26927822000.0
2020-05-21,687.918,688.476,671.403,672.97,3305052800,25276199000.0
2020-05-22,669.629,676.045,662.776,665.231,2646586300,19809653000.0
2020-05-25,662.921,667.833,659.166,665.238,2126413600,16489984000.0
2020-05-26,665.587,677.54,665.186,677.54,2368143600,17225544000.0
2020-05-27,677.575,684.079,675.652,676.966,2920766500,21825022000.0
2020-05-28,676.754,677.511,662.676,669.621,2578736000,18773027000.0
2020-05-29,666.707,674.341,665.087,672.034,2499570600,18801164000.0
2020-06-01,672.638,688.33,672.638,688.33,2940901700,21920597000.0
2020-06-02,691.691,695.232,690.32,694.82,3227980600,25861340000.0
2020-06-03,695.334,697.174,691.629,696.052,3475150700,25288042000.0
2020-06-04,696.786,700.281,694.871,698.498,3151585300,22121552000.0
2020-06-05,698.185,698.859,686.158,688.207,3311895300,23381591000.0
2020-06-08,689.035,690.089,684.296,685.126,2564027600,19273434000.0
2020-06-09,684.939,685.22,680.775,685.22,2430704800,17552794000.0
2020-06-10,683.99,687.187,681.862,684.3,2238513700,16175823000.0
2020-06-11,682.793,683.93,675.683,678.616,2374780100,17982736000.0
2020-06-12,665.661,679.556,663.412,677.22,2270396200,16841083000.0
2020-06-15,678.413,690.303,678.413,683.41,2826212200,22199928000.0
2020-06-16,686.285,690.152,683.796,690.152,2300684400,17350140000.0
2020-06-17,689.791,694.006,686.722,693.957,2655127400,21062868000.0
2020-06-18,692.241,696.416,690.52,692.392,2415008700,19764488000.0
2020-06-19,693.548,696.13,692.217,694.621,2306552100,18785696000.0
2020-06-22,695.456,700.854,692.284,697.388,2812096900,24829723000.0
2020-06-23,696.159,697.308,692.912,692.978,2529667800,22253322000.0
2020-06-24,693.611,694.081,683.749,684.303,2112352100,18028402000.0
2020-06-29,683.776,689.972,683.776,686.967,2162938500,19120292000.0
2020-06-30,688.834,694.519,687.861,694.519,2082038200,18746203000.0
2020-07-01,695.618,697.715,693.532,697.533,2484428700,21661201000.0
2020-07-02,697.102,704.184,694.786,704.184,2643504500,22636880000.0
2020-07-03,703.193,710.172,702.933,710.108,2803831100,22728009000.0
2020-07-06,712.501,734.662,712.501,734.662,4272440800,34889878000.0
2020-07-07,739.452,751.124,729.345,743.109,5130649200,42016850000.0
2020-07-08,740.78,754.966,737.278,754.966,4087924400,33935824000.0
2020-07-09,756.739,776.078,756.323,776.078,5091677700,43300063000.0
2020-07-10,773.726,776.77,764.18,768.109,4834216200,41701428000.0
2020-07-13,774.738,806.758,774.738,806.758,5554208000,48256915000.0
2020-07-14,812.13,812.623,790.185,810.52,6374135200,56153769000.0
2020-07-15,810.147,810.447,782.919,783.332,5067768200,45698501000.0
2020-07-16,780.672,784.337,745.689,747.058,4238387900,36565447000.0
2020-07-17,747.301,760.693,742.807,752.966,3240967400,27782548000.0
2020-07-20,760.739,781.146,760.057,781.146,3537016600,30486629000.0
2020-07-21,783.146,786.204,776.79,781.155,3381591200,31497052000.0
