日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1543.567,1559.232,1535.664,1556.509,421069870,5631754800.0
2020-01-03,1558.758,1583.642,1558.758,1581.873,467162870,5063419800.0
2020-01-06,1575.041,1595.872,1568.02,1586.061,512545960,5132173200.0
2020-01-07,1590.99,1612.09,1588.427,1610.89,477030240,7351577300.0
2020-01-08,1608.101,1610.822,1575.344,1577.586,392316690,5503217400.0
2020-01-09,1589.768,1604.311,1587.385,1596.887,275748740,3968097500.0
2020-01-10,1601.618,1602.744,1589.479,1597.776,291344200,4008522400.0
2020-01-13,1595.089,1615.115,1594.22,1615.115,255814940,3726689000.0
2020-01-14,1617.513,1619.943,1606.088,1612.495,256691820,3244307900.0
2020-01-15,1607.735,1612.114,1591.728,1602.25,239477250,3831878700.0
2020-01-16,1604.165,1610.137,1594.653,1602.792,204847420,3048711300.0
2020-01-17,1603.754,1607.868,1587.611,1589.507,204752720,3183579600.0
2020-01-20,1589.857,1590.712,1576.309,1590.712,207266400,3242867600.0
2020-01-21,1586.895,1587.031,1561.128,1561.128,210481490,3303748500.0
2020-01-22,1553.998,1561.393,1530.958,1556.218,215305810,3679251300.0
2020-01-23,1543.691,1543.691,1481.649,1494.487,329053170,5432070500.0
2020-02-03,1345.543,1353.193,1345.543,1347.11,264678550,5718700800.0
2020-02-04,1260.217,1347.355,1260.217,1347.355,464419160,6106163000.0
2020-02-05,1351.237,1396.527,1351.237,1377.585,374352370,4923363200.0
2020-02-06,1387.913,1422.054,1374.332,1421.57,402354430,5570393100.0
2020-02-07,1417.82,1425.062,1401.469,1422.319,319494600,4354118500.0
2020-02-10,1417.186,1477.98,1414.861,1477.035,510944930,5791158800.0
2020-02-11,1483.185,1483.86,1453.758,1459.753,423530010,4541488900.0
2020-02-12,1458.107,1482.109,1452.981,1479.396,317759180,3600298800.0
2020-02-13,1477.588,1485.074,1463.432,1465.031,378870260,4210616000.0
2020-02-14,1461.564,1474.877,1460.264,1470.22,377299990,4828894000.0
2020-02-17,1480.993,1519.366,1480.993,1519.244,439323670,5615833700.0
2020-02-18,1516.824,1528.672,1510.195,1527.855,464096380,5053417200.0
2020-02-19,1522.767,1538.609,1521.185,1528.522,447058660,6322825600.0
2020-02-20,1529.786,1552.729,1528.331,1552.027,411562630,5696146600.0
2020-02-21,1548.858,1564.214,1545.49,1559.81,387046220,5399995600.0
2020-02-24,1551.401,1566.844,1535.89,1563.502,491829760,6319079100.0
2020-02-25,1537.011,1550.101,1503.281,1549.913,478159500,6605270200.0
