日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-02-03,961.225,1041.442,961.225,1017.599,364172920,4955542600.0
2020-02-04,1059.909,1137.826,1048.492,1137.826,315178580,5310270000.0
2020-02-05,1184.316,1238.567,1184.316,1232.327,343116430,6493046200.0
2020-02-06,1278.869,1316.491,1274.434,1308.461,587646130,8782248900.0
2020-02-07,1350.15,1381.784,1332.925,1371.83,1126194460,13744230000.0
2020-02-10,1389.849,1403.116,1311.265,1351.276,1482573100,18199121000.0
2020-02-11,1350.305,1350.442,1301.981,1307.245,1004861520,11951999200.0
2020-02-12,1302.305,1358.861,1301.934,1354.287,1021306070,12520041100.0
2020-02-13,1355.946,1355.946,1314.478,1316.779,1020793750,12401059700.0
2020-02-14,1306.94,1326.702,1286.655,1299.264,808028590,9454617900.0
2020-02-17,1307.903,1345.938,1307.903,1345.938,864505600,10011065700.0
2020-02-18,1349.586,1407.69,1345.903,1406.213,1210271880,13429843000.0
2020-02-19,1394.442,1401.666,1367.95,1368.052,1062371570,12362130100.0
2020-02-20,1372.117,1397.834,1349.203,1397.007,853043630,10608547000.0
2020-02-21,1403.717,1488.748,1403.717,1470.611,1106921900,13092469800.0
2020-02-24,1491.853,1550.783,1491.658,1541.991,1319839690,15334255000.0
2020-02-25,1506.796,1569.423,1464.237,1563.215,1478186600,18101647000.0
2020-02-26,1528.582,1550.692,1472.772,1479.829,1263595320,15955520000.0
2020-02-27,1482.489,1525.34,1438.194,1506.645,1002903720,13001688700.0
2020-02-28,1437.913,1490.795,1421.211,1423.58,1118420540,13942861000.0
2020-03-02,1439.961,1496.234,1422.92,1489.726,975036370,12457019600.0
2020-03-03,1508.878,1568.551,1494.023,1513.45,1191474180,14664150000.0
2020-03-04,1489.778,1525.211,1469.544,1500.589,896024580,11536787300.0
2020-03-05,1535.024,1541.568,1480.544,1497.548,920645780,11301677100.0
2020-03-06,1469.826,1488.991,1464.388,1471.623,785055050,8863145100.0
2020-03-09,1434.928,1445.241,1368.281,1368.281,841112920,9661770500.0
2020-03-10,1342.827,1419.897,1333.681,1419.897,763352000,9465987000.0
2020-03-11,1424.342,1445.87,1382.289,1382.289,700132120,8441584000.0
2020-03-12,1362.047,1391.313,1354.591,1378.975,540166490,6717687500.0
2020-03-13,1304.957,1382.842,1303.535,1371.161,642389030,7910401600.0
2020-03-16,1386.479,1395.835,1278.589,1285.572,696632150,8015388000.0
2020-03-17,1304.246,1317.701,1232.028,1287.988,555550810,6172017200.0
2020-03-18,1301.08,1334.557,1270.724,1271.114,608487210,7856448700.0
2020-03-19,1272.064,1308.715,1255.602,1302.358,564604500,7157869900.0
2020-03-20,1317.719,1322.473,1283.002,1307.863,498357340,6250941200.0
2020-03-23,1269.479,1298.211,1243.592,1249.322,411489180,5230734900.0
2020-03-24,1285.833,1300.264,1239.107,1294.123,518669490,6055011500.0
2020-03-25,1321.144,1326.718,1303.322,1318.057,478308320,6227015700.0
2020-03-26,1308.828,1320.225,1293.775,1294.738,389031070,5077100200.0
