日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1098.484,1154.504,1098.267,1153.749,520287520,6060832000.0
2020-01-03,1164.373,1178.119,1154.956,1162.058,590556760,7063165900.0
2020-01-06,1152.284,1200.48,1147.798,1190.916,608733750,7420900100.0
2020-01-07,1197.513,1259.765,1197.095,1255.121,794760300,8631503800.0
2020-01-08,1241.471,1250.501,1216.002,1216.002,758518200,7400014200.0
2020-01-09,1234.066,1247.945,1223.984,1244.57,537852950,5935599900.0
2020-01-10,1247.212,1249.659,1224.601,1232.222,498425250,5422966100.0
2020-01-13,1233.55,1234.465,1198.989,1229.901,469298280,6003870500.0
2020-01-14,1223.132,1238.189,1222.33,1223.486,485230050,6360496100.0
2020-01-15,1218.498,1220.934,1199.638,1212.802,401173720,5297448300.0
2020-01-16,1214.547,1218.288,1190.76,1193.462,436215970,5199896500.0
2020-01-17,1193.937,1202.896,1181.598,1184.901,390907450,3936602300.0
2020-01-20,1178.201,1185.425,1159.461,1182.095,373444080,5003286500.0
2020-01-21,1178.468,1178.499,1159.336,1162.14,336689860,3933879600.0
2020-01-22,1151.356,1167.21,1134.592,1162.424,335720260,4423911100.0
2020-01-23,1146.785,1184.151,1109.149,1124.24,402102380,5977877200.0
2020-02-03,1015.348,1042.167,1013.662,1017.588,390755510,4905549100.0
2020-02-04,956.333,1031.092,956.333,1022.5,590554230,6422945500.0
2020-02-05,1030.982,1070.106,1028.889,1046.727,516577540,6815353800.0
2020-02-06,1057.748,1123.107,1050.171,1118.858,693517280,8072102800.0
2020-02-07,1127.568,1169.692,1119.053,1169.692,780852620,9048046300.0
2020-02-10,1186.312,1186.656,1144.576,1158.368,885187980,9331239700.0
2020-02-11,1163.834,1166.365,1126.851,1141.801,626733280,6854194400.0
2020-02-12,1141.188,1184.308,1137.918,1182.106,671404460,7425283900.0
2020-02-13,1178.764,1182.25,1154.401,1159.345,603423470,7221397500.0
2020-02-14,1152.466,1165.394,1138.438,1145.317,502594700,5696302700.0
2020-02-17,1153.74,1188.603,1153.74,1188.603,501918380,6131124500.0
2020-02-18,1195.602,1221.538,1194.661,1221.477,561047120,6365302300.0
2020-02-19,1212.884,1216.627,1174.43,1175.495,549250520,7238744500.0
2020-02-20,1180.558,1192.819,1162.952,1191.673,440753560,5640476400.0
2020-02-21,1194.48,1232.695,1192.616,1218.411,571258850,7351814800.0
2020-02-24,1211.09,1242.746,1208.798,1240.821,615887060,8136614100.0
2020-02-25,1207.982,1218.327,1158.314,1214.139,704737270,8403687200.0
2020-02-26,1198.665,1202.154,1162.505,1167.475,603010500,8074740900.0
2020-02-27,1178.75,1213.472,1166.753,1198.341,650456180,7502411100.0
2020-02-28,1158.778,1181.21,1111.735,1116.02,813524640,8488106100.0
2020-03-02,1124.644,1143.761,1101.146,1136.509,733684050,8994519600.0
2020-03-03,1149.91,1177.255,1128.385,1142.041,735069030,9423043300.0
2020-03-04,1133.145,1149.649,1115.259,1140.762,508691330,6259490500.0
2020-03-05,1158.456,1165.657,1137.56,1150.982,492063450,5890509200.0
2020-03-06,1133.267,1157.017,1129.071,1145.777,431970410,5484248900.0
2020-03-09,1125.071,1132.855,1084.606,1085.712,509321960,6318941700.0
2020-03-10,1069.034,1123.959,1062.281,1123.959,510878780,5987387700.0
2020-03-11,1130.869,1146.413,1102.997,1103.882,451095000,5012908200.0
2020-03-12,1085.226,1096.296,1067.459,1079.099,384028810,4784029400.0
2020-03-13,1015.785,1067.745,1014.35,1054.166,417474900,4672810600.0
2020-03-16,1066.748,1077.078,1006.809,1010.222,507442650,5913722300.0
2020-03-17,1026.195,1035.879,972.902,1009.504,426072850,4599192200.0
2020-03-18,1021.631,1036.115,988.92,989.165,409973620,4885076700.0
2020-03-19,991.721,1018.661,984.702,1017.017,411596040,5399153400.0
2020-03-20,1031.638,1037.6,1020.504,1036.399,416681540,5479442800.0
2020-03-23,1008.384,1038.35,1003.115,1007.435,343501800,4026001400.0
2020-03-24,1027.432,1037.679,993.536,1028.726,424955260,5542443000.0
2020-03-25,1048.928,1059.333,1035.841,1057.404,399298290,5113259800.0
2020-03-26,1048.614,1053.355,1033.524,1034.549,301070130,3951463600.0
2020-03-27,1049.903,1049.903,1012.548,1014.068,309023500,3989109300.0
2020-03-30,995.933,996.114,961.346,970.786,369917810,4042497600.0
2020-03-31,980.83,983.117,955.699,957.758,253370490,2766375100.0
2020-04-01,955.498,978.999,953.255,961.334,262899140,2823278300.0
2020-04-02,963.891,994.105,959.439,994.105,295770630,3756290300.0
2020-04-03,992.667,995.444,975.703,980.802,230352160,3007011600.0
2020-04-07,1001.119,1024.839,1000.229,1020.828,324946110,3922632900.0
2020-04-08,1021.215,1040.755,1018.493,1036.517,328074100,4082012200.0
2020-04-09,1039.948,1064.653,1039.948,1061.903,399596140,5044099100.0
2020-04-10,1057.334,1057.334,1008.379,1010.77,346158140,4412607200.0
2020-04-13,999.498,999.661,974.022,979.316,238373710,2810103900.0
2020-04-14,989.966,1020.52,988.558,1020.52,424775560,6010404000.0
2020-04-15,1020.953,1025.631,1008.111,1010.929,370205590,4677123200.0
2020-04-16,1007.252,1029.652,1004.763,1027.862,396466130,5050744800.0
2020-04-17,1035.169,1035.937,1012.684,1014.797,371498990,4574897100.0
2020-04-20,1011.618,1025.097,1010.201,1025.097,306977460,3553913000.0
2020-04-21,1027.433,1037.645,1023.558,1035.829,497841950,4879532100.0
2020-04-22,1026.006,1039.933,1021.322,1039.498,464744600,4868354100.0
2020-04-23,1037.237,1037.933,1016.397,1019.091,402468090,4738881100.0
2020-04-24,1017.842,1018.467,994.381,998.156,341979220,3839028400.0
2020-04-27,1002.342,1004.231,983.657,984.946,289036670,2813122500.0
2020-04-28,981.04,981.296,927.301,957.946,329948920,3384878500.0
2020-04-29,945.102,956.217,943.416,944.471,291521270,2626724700.0
2020-04-30,945.104,972.842,941.726,968.972,461169150,4805760100.0
