日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,2260.355,2311.547,2253.386,2309.253,3471509800,47742408000.0
2020-01-03,2319.068,2335.636,2309.507,2330.436,3347564900,47640939000.0
2020-01-06,2320.02,2368.104,2309.576,2348.685,3567827800,49131292000.0
2020-01-07,2353.582,2396.108,2350.902,2395.295,3614469900,50506284000.0
2020-01-08,2378.947,2391.05,2342.614,2347.383,4248398500,53251214000.0
2020-01-09,2376.849,2427.848,2376.849,2427.214,4132163400,60098038000.0
2020-01-10,2439.809,2443.429,2399.81,2413.841,3498339800,51737152000.0
2020-01-13,2410.115,2455.219,2402.108,2455.219,3343187700,55134700000.0
2020-01-14,2461.716,2463.398,2444.965,2447.051,3520810300,54755540000.0
2020-01-15,2443.246,2470.458,2435.55,2463.772,3227580600,50605532000.0
2020-01-16,2464.801,2479.53,2457.218,2466.445,3389423900,55462907000.0
2020-01-17,2475.034,2505.162,2475.034,2484.112,3385711700,57115765000.0
2020-01-20,2481.331,2507.27,2454.115,2506.671,3809794300,58249536000.0
2020-01-21,2487.417,2489.001,2446.349,2446.395,3198866200,49826502000.0
2020-01-22,2416.399,2474.962,2389.868,2464.883,3388171800,55803321000.0
2020-01-23,2430.46,2451.571,2330.825,2358.418,3828716900,60434645000.0
2020-02-03,2135.284,2149.829,2133.842,2135.192,1814728300,30573868000.0
2020-02-04,2009.091,2161.829,2009.091,2155.095,4776350700,63838307000.0
2020-02-05,2171.237,2266.442,2170.701,2227.401,4138946700,60329123000.0
2020-02-06,2243.253,2348.588,2234.718,2344.574,4731629400,68755774000.0
2020-02-07,2377.544,2466.286,2371.735,2465.428,5761853200,87633005000.0
2020-02-10,2499.963,2515.673,2438.695,2480.954,5625944100,86311251000.0
2020-02-11,2485.833,2489.849,2437.396,2449.442,4396155200,66381446000.0
2020-02-12,2444.067,2554.988,2443.672,2553.426,5030625500,80916611000.0
2020-02-13,2551.843,2576.408,2514.734,2524.921,5433733700,84758019000.0
2020-02-14,2507.005,2567.241,2490.137,2517.828,4542232300,73965507000.0
2020-02-17,2539.247,2620.585,2539.247,2620.585,5181514200,82749139000.0
2020-02-18,2623.98,2711.814,2621.505,2711.814,6117901000,94528525000.0
2020-02-19,2697.76,2711.868,2654.657,2654.657,5552826400,91009350000.0
2020-02-20,2658.015,2700.284,2617.539,2695.262,5364563800,83998289000.0
2020-02-21,2698.77,2811.062,2698.77,2771.54,7013374000,110547468000.0
2020-02-24,2774.56,2883.968,2768.811,2872.652,7176648800,117154435000.0
2020-02-25,2795.624,2893.848,2712.811,2885.334,8314589100,142609220000.0
2020-02-26,2840.927,2886.249,2758.605,2769.201,8053693100,131974133000.0
2020-02-27,2782.072,2856.429,2719.705,2812.134,6767830000,112805409000.0
2020-02-28,2685.177,2740.9,2605.114,2605.909,7123216500,107186280000.0
2020-03-02,2639.217,2758.257,2619.84,2743.051,6380368400,104602151000.0
2020-03-03,2814.994,2902.668,2776.522,2807.592,7777524100,127380340000.0
2020-03-04,2782.809,2842.096,2744.922,2810.159,6330615500,98074668000.0
2020-03-05,2904.843,2913.059,2813.803,2837.762,6448046500,102503248000.0
2020-03-06,2782.057,2833.435,2778.29,2807.937,5525654000,76488288000.0
2020-03-09,2746.458,2766.148,2661.429,2662.28,6165204900,90488051000.0
2020-03-10,2628.641,2790.945,2613.24,2790.945,6797574000,100977024000.0
2020-03-11,2801.142,2845.417,2730.675,2730.675,6244312200,93880738000.0
2020-03-12,2670.203,2715.648,2649.994,2691.96,5254659300,71905425000.0
2020-03-13,2542.512,2711.981,2542.512,2682.038,6002659000,87808916000.0
2020-03-16,2703.233,2708.104,2504.084,2512.921,6116981800,94254025000.0
2020-03-17,2548.943,2571.904,2420.44,2531.973,5176666100,79022581000.0
2020-03-18,2558.149,2617.657,2486.395,2486.395,5344529900,83647272000.0
2020-03-19,2487.968,2567.084,2460.387,2555.454,5253703100,82142827000.0
2020-03-20,2588.361,2596.552,2526.049,2569.53,4557626100,69030221000.0
2020-03-23,2483.854,2544.436,2435.564,2450.076,4505254900,64575151000.0
2020-03-24,2516.411,2542.937,2427.315,2532.699,5254515600,74040597000.0
2020-03-25,2583.446,2584.056,2539.024,2565.712,5159798400,72763998000.0
2020-03-26,2539.313,2560.846,2508.464,2513.34,4043161000,56473137000.0
2020-03-27,2543.566,2547.324,2469.146,2471.136,3748106200,54870613000.0
2020-03-30,2419.894,2419.894,2329.913,2359.996,3870622000,53631742000.0
2020-03-31,2390.945,2396.401,2340.247,2340.353,3132169100,43066523000.0
2020-04-01,2331.157,2379.277,2320.966,2327.249,3636094100,47428253000.0
2020-04-02,2323.523,2427.298,2321.769,2427.298,3933754700,54629489000.0
2020-04-03,2416.049,2418.573,2366.831,2378.15,3168242900,46636064000.0
2020-04-07,2433.0,2473.163,2430.002,2470.639,4033586800,56646725000.0
2020-04-08,2464.563,2500.417,2459.831,2484.535,4072344800,54156967000.0
2020-04-09,2506.269,2544.964,2506.269,2543.399,3987544400,53477719000.0
2020-04-10,2532.933,2532.933,2424.581,2434.116,4404345600,58920271000.0
2020-04-13,2408.826,2408.826,2366.335,2377.586,2775804500,37060466000.0
2020-04-14,2396.715,2445.27,2396.715,2445.27,3059429100,41950748000.0
2020-04-15,2450.556,2462.409,2422.056,2424.805,3650446400,49445391000.0
2020-04-16,2409.129,2468.043,2400.852,2462.501,3390179500,45129588000.0
2020-04-17,2480.364,2507.578,2460.096,2463.004,4697553000,62841694000.0
2020-04-20,2464.274,2510.721,2454.558,2510.721,3614062000,52222492000.0
2020-04-21,2496.828,2552.504,2488.856,2545.836,4563782300,62784516000.0
2020-04-22,2516.018,2555.466,2512.508,2554.8,4102979900,51013816000.0
2020-04-23,2558.194,2559.873,2510.542,2510.542,4037429300,48636825000.0
2020-04-24,2503.719,2518.588,2444.616,2453.8,4099862800,47186472000.0
2020-04-27,2457.669,2463.15,2426.899,2427.512,3267969000,39866841000.0
2020-04-28,2419.757,2420.868,2274.122,2357.757,4017187900,49487170000.0
2020-04-29,2344.498,2372.328,2340.966,2343.566,2981401800,35575063000.0
2020-04-30,2358.276,2453.968,2358.276,2441.807,4622796700,62584632000.0
2020-05-06,2420.699,2520.841,2419.301,2520.533,4706693000,67148836000.0
2020-05-07,2531.368,2544.834,2500.641,2501.587,4176083400,59153136000.0
2020-05-08,2524.45,2574.043,2524.45,2548.552,4431935200,64250773000.0
2020-05-11,2565.697,2574.13,2516.188,2537.014,4466278500,62836691000.0
2020-05-12,2533.108,2534.44,2478.236,2528.8,3664823800,50536488000.0
2020-05-13,2515.426,2540.341,2508.183,2535.847,3475713600,46306029000.0
2020-05-14,2524.644,2546.549,2516.426,2518.095,4010248800,50641482000.0
2020-05-15,2529.391,2559.356,2521.515,2534.414,3982111200,55949433000.0
2020-05-18,2533.187,2533.991,2464.86,2470.778,4614815600,65823116000.0
2020-05-19,2489.469,2505.629,2479.111,2505.471,3696452900,51798182000.0
2020-05-20,2499.971,2499.971,2455.232,2466.46,3996645300,55801006000.0
2020-05-21,2472.101,2479.638,2422.514,2428.832,3842298500,51417057000.0
2020-05-22,2424.334,2434.302,2367.111,2384.973,3522200600,44825476000.0
2020-05-25,2378.946,2379.266,2344.911,2358.181,2744197800,39234754000.0
2020-05-26,2370.263,2425.124,2370.263,2425.124,2920726400,39525835000.0
2020-05-27,2427.856,2428.551,2380.82,2390.067,2872732700,37595240000.0
2020-05-28,2389.71,2402.79,2352.536,2397.735,3192165800,40217444000.0
2020-05-29,2391.091,2426.431,2385.316,2413.865,3605834400,40541280000.0
2020-06-01,2433.955,2515.241,2433.955,2513.295,4376718700,58123782000.0
2020-06-02,2522.55,2534.835,2511.377,2521.965,4766644700,58041502000.0
2020-06-03,2531.623,2545.571,2515.754,2521.494,4931822600,63880319000.0
2020-06-04,2524.198,2528.008,2496.362,2509.596,4013624000,51196911000.0
2020-06-05,2513.909,2526.049,2496.889,2517.459,3423013900,43088881000.0
2020-06-08,2531.206,2542.91,2506.828,2510.355,3820788900,49799652000.0
2020-06-09,2507.212,2524.813,2490.075,2520.557,3794222700,46321116000.0
2020-06-10,2515.725,2515.725,2486.311,2506.15,3491123100,44155528000.0
2020-06-11,2506.376,2550.828,2496.77,2511.699,3806928300,53184335000.0
2020-06-12,2452.207,2516.292,2448.907,2507.478,4017045700,54008879000.0
2020-06-15,2501.741,2543.61,2500.43,2500.43,4209146400,57030693000.0
2020-06-16,2528.822,2559.631,2526.946,2559.631,4059780700,59122388000.0
2020-06-17,2563.604,2572.075,2535.909,2572.058,4211312000,60225715000.0
2020-06-18,2566.996,2594.561,2565.821,2585.067,4603331000,67742627000.0
2020-06-19,2579.64,2588.843,2569.067,2581.52,3999413000,60216713000.0
2020-06-22,2584.974,2605.832,2583.642,2593.34,4101868700,63164391000.0
2020-06-23,2591.547,2607.473,2570.822,2605.922,4239859500,65756933000.0
2020-06-24,2606.095,2611.611,2595.361,2603.272,3783667200,56773761000.0
2020-06-29,2590.846,2593.988,2553.805,2562.976,3804020200,55535745000.0
2020-06-30,2574.836,2621.088,2574.807,2611.347,3886686300,59853653000.0
2020-07-01,2618.856,2618.907,2575.866,2606.263,4802146000,77475353000.0
2020-07-02,2604.557,2646.854,2592.822,2644.169,5224747300,81254075000.0
2020-07-03,2650.717,2678.761,2636.684,2677.401,5474987200,85671121000.0
2020-07-06,2697.36,2806.291,2697.36,2796.506,6977014100,110062330000.0
2020-07-07,2829.069,2911.461,2797.935,2854.124,7922271000,129764273000.0
2020-07-08,2868.299,2936.504,2847.562,2936.204,7000984900,113246228000.0
2020-07-09,2942.697,3041.128,2942.015,3025.06,7685284300,126592399000.0
2020-07-10,3022.251,3059.251,2987.877,2997.046,6508465600,119837385000.0
2020-07-13,3006.567,3085.952,3006.567,3085.952,6498927600,114551802000.0
2020-07-14,3090.555,3095.378,2986.763,3047.72,7032916800,124287665000.0
2020-07-15,3052.165,3059.428,2917.462,2925.784,6382352000,108376251000.0
2020-07-16,2935.342,2957.908,2782.41,2789.602,5814699500,93892840000.0
2020-07-17,2798.299,2822.433,2736.947,2773.126,4398799400,70277934000.0
2020-07-20,2800.519,2852.556,2759.6,2852.556,4180964800,65791802000.0
2020-07-21,2874.967,2894.75,2841.182,2862.028,4756395600,70747960000.0
2020-07-22,2851.409,2916.882,2839.222,2886.972,5029237000,78641986000.0
2020-07-23,2858.224,2863.398,2763.935,2831.288,5062715700,79743720000.0
2020-07-24,2818.136,2841.747,2686.98,2695.85,5116387200,76309403000.0
2020-07-27,2705.331,2717.264,2663.424,2695.357,3374210500,52472359000.0
2020-07-28,2717.509,2731.5,2690.649,2716.161,2902695400,43723554000.0
2020-07-29,2710.846,2793.499,2699.999,2793.499,3698614200,59388586000.0
2020-07-30,2796.92,2800.495,2754.239,2758.619,3245977100,50829255000.0
2020-07-31,2754.367,2812.832,2754.19,2801.428,3664261800,57504531000.0
2020-08-03,2823.148,2909.915,2823.146,2909.915,5140680100,83492022000.0
2020-08-04,2927.197,2927.197,2871.384,2883.133,5040581800,79955246000.0
2020-08-05,2915.629,2924.186,2868.894,2914.242,4532045300,70824608000.0
2020-08-06,2914.292,2931.828,2856.79,2924.238,5345369400,82789854000.0
2020-08-07,2907.823,2907.823,2813.332,2866.85,4585688500,73932715000.0
2020-08-10,2867.784,2916.939,2866.593,2896.625,4166688100,66865298000.0
2020-08-11,2897.712,2899.953,2813.657,2817.765,4152308600,63693530000.0
2020-08-12,2808.799,2817.623,2732.837,2796.878,3812287800,58979044000.0
2020-08-13,2805.338,2822.365,2796.232,2800.983,2952941100,41529988000.0
2020-08-14,2797.878,2838.7,2789.651,2838.308,2738745200,38964057000.0
2020-08-17,2845.626,2896.766,2839.505,2893.79,4083632600,61307159000.0
2020-08-18,2894.575,2913.269,2886.334,2904.504,4011902200,57736094000.0
