日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,862.71,875.758,861.903,871.694,703942460,13264039000.0
2020-01-03,876.739,888.245,874.42,885.621,595693410,10841954400.0
2020-01-06,878.752,892.679,873.155,882.161,658208730,11833839400.0
2020-01-07,883.526,899.277,882.611,898.288,671219500,10061627700.0
2020-01-08,888.869,889.47,868.08,869.172,613493830,10772430700.0
2020-01-09,879.506,901.234,879.506,897.303,754776480,12054310300.0
2020-01-10,905.874,910.727,897.324,898.859,720974320,11403099700.0
2020-01-13,892.133,906.183,890.796,906.183,615271930,12513905600.0
2020-01-14,906.799,910.362,902.572,902.687,577319300,11386982400.0
2020-01-15,902.219,910.095,897.402,905.468,672425020,10870339600.0
2020-01-16,902.685,907.929,897.232,898.165,501907390,8886695000.0
2020-01-17,900.188,905.997,893.581,895.299,465646000,9037133900.0
2020-01-20,893.295,901.613,887.01,901.613,504446010,12679291500.0
2020-01-21,898.945,898.969,881.979,882.044,594006220,11229282200.0
2020-01-22,877.521,887.802,865.077,882.706,530889580,10583215800.0
2020-01-23,872.642,874.662,836.568,845.913,648686150,14383342000.0
2020-02-03,762.052,769.265,762.052,765.582,483240140,19284714000.0
2020-02-04,716.001,768.614,716.001,763.905,877542980,16339748000.0
2020-02-05,767.157,793.515,764.582,782.221,729723080,12100929600.0
2020-02-06,787.067,811.574,778.822,807.415,811855910,12287689800.0
2020-02-07,805.175,823.887,801.975,823.887,710499520,10095870300.0
2020-02-10,822.727,834.312,820.122,827.7,678297340,11170511500.0
2020-02-11,827.922,831.146,819.552,821.275,545365200,9689395600.0
2020-02-12,817.526,835.859,816.33,835.859,535612750,9161554300.0
2020-02-13,839.016,845.311,828.112,829.476,728081020,12384708800.0
2020-02-14,829.649,845.127,826.959,835.271,701902170,10355861200.0
2020-02-17,843.068,869.927,843.068,869.927,761457030,13624187000.0
2020-02-18,870.957,882.969,865.275,882.969,1166417800,13203459500.0
2020-02-19,877.803,890.949,875.388,877.935,1139988410,12310496700.0
2020-02-20,878.374,909.768,872.47,908.513,1358848900,18443274000.0
2020-02-21,904.909,927.33,903.983,915.979,1349640900,21188059000.0
2020-02-24,911.684,930.938,907.297,925.533,1173745310,18723616000.0
2020-02-25,904.317,917.097,876.386,915.577,1229956790,17644813000.0
2020-02-26,899.109,928.757,896.928,910.294,1212493570,17162894000.0
2020-02-27,912.373,927.344,904.398,915.791,941607940,14219995000.0
2020-02-28,881.669,895.145,861.002,863.01,1022968250,17645051000.0
2020-03-02,869.989,904.527,869.989,898.183,795265370,12800295500.0
2020-03-03,915.272,931.803,902.385,910.627,976283990,15048673000.0
2020-03-04,903.75,915.474,895.897,915.273,923977670,14665059000.0
2020-03-05,926.595,928.214,910.595,924.473,1061757040,18567826000.0
2020-03-06,911.827,920.134,905.573,913.311,795395750,12365377100.0
2020-03-09,897.547,902.488,880.375,880.615,888360960,16090038000.0
2020-03-10,869.154,910.009,865.171,910.009,848907040,13031340300.0
2020-03-11,909.643,914.446,889.133,889.368,721405610,11136558500.0
2020-03-12,874.377,887.727,870.608,881.762,680118370,12770616000.0
2020-03-13,836.863,882.051,836.443,873.511,814308690,15374738000.0
2020-03-16,879.1,882.029,827.571,830.827,736947360,13531577000.0
2020-03-17,836.695,846.523,805.776,833.574,635904660,12507520700.0
2020-03-18,840.474,845.336,808.093,808.093,619468820,11668403500.0
2020-03-19,806.307,823.067,796.47,820.243,653040840,13626238000.0
2020-03-20,826.008,830.12,812.87,828.76,584577110,10822825200.0
2020-03-23,806.383,823.717,798.275,802.327,557145530,8940597900.0
2020-03-24,817.019,828.787,801.814,828.787,653207960,10418677600.0
2020-03-25,841.755,844.337,832.367,840.456,687902790,12093012200.0
2020-03-26,834.167,839.813,825.579,826.157,500077350,8037125300.0
2020-03-27,835.206,836.732,817.878,818.36,473877670,8579145700.0
2020-03-30,804.464,804.509,786.007,794.831,437987100,6835483900.0
2020-03-31,802.886,805.117,786.456,786.966,340696400,5749958200.0
2020-04-01,782.289,795.22,778.624,780.391,380930320,6748744500.0
2020-04-02,775.681,799.061,775.241,799.061,347910430,6177328500.0
2020-04-03,796.104,798.527,786.006,790.594,318757010,5446111900.0
2020-04-07,806.981,824.701,806.37,822.202,531624530,8506379900.0
2020-04-08,823.074,835.317,822.646,832.971,588152020,7189114600.0
2020-04-09,838.725,857.857,838.725,856.689,694653410,8447967100.0
2020-04-10,854.518,854.518,831.503,833.389,798992420,11114595400.0
2020-04-13,823.606,828.858,813.551,816.94,491679200,6139253000.0
2020-04-14,821.464,835.601,821.033,835.402,491896960,7050171100.0
2020-04-15,836.616,840.009,825.077,826.109,667825360,7684824500.0
2020-04-16,820.316,837.805,820.071,835.339,748425920,7436989400.0
2020-04-17,842.179,846.019,828.012,829.644,860898420,12467487500.0
2020-04-20,827.378,841.783,825.991,841.63,598241310,9431991800.0
2020-04-21,837.527,839.314,827.927,837.389,627111600,8754009200.0
2020-04-22,824.383,835.815,820.878,834.606,532091390,6879790700.0
2020-04-23,832.109,833.424,817.084,820.975,605155590,6581327700.0
2020-04-24,812.363,814.844,795.932,798.964,627551360,9008769000.0
2020-04-27,799.452,803.915,788.185,788.91,562098660,7411967000.0
2020-04-28,790.693,790.732,749.803,769.818,616724040,8632633600.0
2020-04-29,767.178,782.467,767.178,776.352,403278000,7154230300.0
2020-04-30,777.927,799.012,777.927,796.351,494881040,7304995900.0
2020-05-06,783.115,809.15,783.007,809.15,503189680,8501789200.0
2020-05-07,808.983,809.997,802.628,803.884,528784220,6775891300.0
2020-05-08,810.551,820.353,808.328,817.49,557045980,7274951200.0
2020-05-11,819.246,822.507,807.377,813.03,477780240,7179164400.0
2020-05-12,812.36,816.219,797.441,809.653,471569800,6752662600.0
2020-05-13,804.603,812.244,802.265,811.903,376062510,5305068100.0
2020-05-14,810.036,813.251,801.422,801.678,554599160,7149879500.0
2020-05-15,806.172,816.911,806.172,809.431,484882760,6455565500.0
2020-05-18,806.525,808.306,794.211,795.176,443536960,5582469800.0
2020-05-19,803.751,805.872,799.22,802.104,398140660,5620127800.0
2020-05-20,798.916,799.593,789.366,792.661,379665360,5074970900.0
2020-05-21,792.739,795.02,781.819,783.02,402322290,5036905400.0
2020-05-22,780.111,785.458,767.533,773.325,381467300,6703946400.0
2020-05-25,770.695,773.88,761.635,767.835,327260990,5236805400.0
2020-05-26,770.92,783.0,770.806,782.307,326075410,4085019500.0
2020-05-27,781.481,786.947,774.63,777.855,416799200,4794515600.0
2020-05-28,775.707,786.573,770.867,783.543,473643540,5794599100.0
2020-05-29,779.68,788.581,776.604,784.106,424709090,4678239700.0
2020-06-01,791.615,808.848,791.534,806.683,519637010,7263542300.0
2020-06-02,808.046,815.433,805.195,813.311,551416460,10142248200.0
2020-06-03,816.001,818.018,805.143,805.446,535840030,11558539500.0
2020-06-04,807.685,809.673,798.376,804.876,421597560,6298484300.0
2020-06-05,804.231,814.218,801.233,814.09,462378020,6500443400.0
2020-06-08,815.408,819.116,809.776,811.575,438790950,9357245900.0
2020-06-09,812.122,823.64,809.995,822.042,416882890,6465965200.0
2020-06-10,824.408,824.418,815.363,821.877,405690220,5782265000.0
2020-06-11,820.148,836.367,818.737,824.44,540861640,8757650000.0
2020-06-12,806.352,831.288,804.242,826.565,587946090,7925763000.0
2020-06-15,817.368,834.657,817.368,821.081,671164500,9197617200.0
2020-06-16,825.292,831.174,822.497,830.691,541833950,6429050700.0
2020-06-17,827.935,831.227,821.556,830.813,595186140,6426492400.0
2020-06-18,827.15,835.954,825.395,833.541,648033990,7957469300.0
2020-06-19,829.084,838.082,827.854,834.105,684911030,9935149900.0
2020-06-22,834.071,846.878,833.142,839.512,717449620,10211984300.0
2020-06-23,837.248,839.014,832.201,837.691,657903980,10925437400.0
2020-06-24,837.85,841.305,832.336,835.478,604772210,9160086900.0
2020-06-29,840.827,840.924,824.934,828.048,664678080,10061387300.0
2020-06-30,830.186,856.72,830.0,854.116,665538180,9152327700.0
2020-07-01,856.135,858.103,844.594,858.103,797061440,14130570000.0
2020-07-02,856.741,877.993,853.615,875.403,1109207250,20440383000.0
2020-07-03,875.48,904.993,875.48,903.979,1284868850,24865114000.0
2020-07-06,921.01,963.365,921.01,962.782,1656297700,37767150000.0
2020-07-07,978.951,994.873,959.529,968.528,1765683500,36029886000.0
2020-07-08,972.935,1007.563,972.098,1000.324,1673745800,29724241000.0
2020-07-09,1000.443,1036.337,999.197,1032.396,1709449300,28193486000.0
2020-07-10,1029.355,1045.803,1022.167,1029.604,1855024300,28990758000.0
2020-07-13,1032.853,1068.622,1032.853,1062.33,1642065600,26458790000.0
2020-07-14,1060.763,1062.792,1028.889,1049.668,1625448900,24521998000.0
2020-07-15,1058.896,1067.124,1024.895,1027.986,1665887600,23632764000.0
2020-07-16,1034.063,1044.191,989.383,990.773,2263851200,29370719000.0
2020-07-17,983.774,993.552,965.596,976.364,1501126900,19316026000.0
2020-07-20,984.321,1012.521,980.385,1012.137,1448862700,23975405000.0
2020-07-21,1027.554,1032.568,998.959,1005.981,1259554200,20633091000.0
2020-07-22,997.415,1015.984,992.443,1001.674,1127807530,17874191000.0
2020-07-23,988.612,991.859,960.123,984.301,1134363700,16339218000.0
2020-07-24,982.345,984.503,929.049,933.992,1096580160,18113322000.0
2020-07-27,937.332,941.242,920.121,930.374,636235360,11192634600.0
2020-07-28,937.063,942.525,927.199,936.23,638309530,10210254300.0
2020-07-29,933.515,959.738,928.872,959.509,789298420,12457236400.0
2020-07-30,959.457,961.162,947.192,950.353,844243980,12637650300.0
2020-07-31,947.558,969.366,947.558,962.872,889953850,14468586000.0
2020-08-03,968.417,994.285,967.779,994.285,1096041820,16536996000.0
2020-08-04,997.214,1001.613,985.858,989.831,1102948540,22800028000.0
2020-08-05,987.889,995.133,972.411,994.463,794975670,13918971000.0
2020-08-06,995.541,1002.753,976.765,999.797,965898600,14550838000.0
2020-08-07,992.644,992.644,965.128,983.3,841728850,12637368700.0
2020-08-10,979.385,998.669,976.066,991.78,804382750,13724032000.0
2020-08-11,990.927,993.981,968.324,969.207,757949950,13519805000.0
2020-08-12,964.623,969.821,947.749,969.821,660484920,11465256300.0
2020-08-13,977.321,980.04,968.465,973.715,571235150,8402719400.0
2020-08-14,967.384,993.646,967.216,991.395,748558180,12737707700.0
2020-08-17,989.271,1014.928,988.942,1007.06,1333757850,27211258000.0
2020-08-18,996.386,1005.536,993.473,1003.605,949652010,15497651000.0
2020-08-19,999.98,999.994,979.264,979.928,822392930,12241697600.0
2020-08-20,971.078,982.564,965.707,970.645,562560800,9463563000.0
2020-08-21,974.175,982.318,967.062,977.415,490888330,8271687000.0
2020-08-24,978.215,991.912,968.41,985.825,570830630,9577089300.0
2020-08-25,984.661,1002.639,983.639,999.231,734326410,11014819700.0
2020-08-26,996.802,1000.286,970.973,973.624,769693880,12241574800.0
2020-08-27,970.064,993.321,961.727,987.51,592448700,8708519500.0
2020-08-28,980.494,1009.907,977.158,1006.109,750280860,12832180300.0
2020-08-31,1008.417,1025.823,1005.826,1006.331,709013770,13102466900.0
2020-09-01,1004.538,1019.99,999.799,1019.99,621201940,9898784900.0
