日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,3369.516,3428.859,3365.052,3422.287,4630740800,46330431000.0
2020-01-03,3429.974,3473.383,3426.124,3471.159,4146253100,40760881000.0
2020-01-06,3452.215,3523.923,3436.112,3490.807,4573080400,46834147000.0
2020-01-07,3501.15,3574.373,3501.15,3572.233,4730754400,46466924000.0
2020-01-08,3553.172,3570.477,3497.786,3503.722,4910252400,48496648000.0
2020-01-09,3542.853,3590.575,3542.853,3573.129,5062114600,50231413000.0
2020-01-10,3599.991,3606.348,3548.958,3566.432,4595483300,44617191000.0
2020-01-13,3560.164,3603.77,3532.397,3603.77,4389526200,43620585000.0
2020-01-14,3605.373,3613.725,3581.685,3583.206,4483026500,42882896000.0
2020-01-15,3572.7,3594.705,3561.961,3587.336,4050037800,39214578000.0
2020-01-16,3584.907,3590.046,3550.984,3555.24,3597185000,35890304000.0
2020-01-17,3561.933,3579.452,3535.21,3541.33,3461453300,37356811000.0
2020-01-20,3536.478,3564.238,3511.629,3564.205,3394095900,36667844000.0
2020-01-21,3551.239,3551.239,3491.825,3491.825,3479039200,35121566000.0
2020-01-22,3462.352,3504.714,3409.525,3488.139,3400545000,35795276000.0
2020-01-23,3436.267,3462.316,3313.956,3346.173,4083648300,42476193000.0
2020-02-03,3030.53,3039.555,3027.101,3034.996,1383408700,15322276000.0
2020-02-04,2817.371,2997.898,2817.371,2978.581,5574133200,48638147000.0
2020-02-05,2985.808,3100.703,2985.808,3051.822,4651615900,42714375000.0
2020-02-06,3058.52,3152.446,3036.052,3140.007,4974482100,47597058000.0
2020-02-07,3141.473,3211.529,3129.952,3211.529,4729975400,47050981000.0
2020-02-10,3210.517,3259.506,3206.011,3258.33,4198723700,43842627000.0
2020-02-11,3261.322,3262.943,3212.389,3226.219,4046295000,38033062000.0
2020-02-12,3212.415,3299.933,3209.436,3299.933,4280729700,44653062000.0
2020-02-13,3306.891,3327.884,3267.145,3275.079,4612102600,46845576000.0
2020-02-14,3260.448,3334.62,3259.074,3301.916,4641011000,50246505000.0
2020-02-17,3326.576,3425.672,3326.479,3425.672,5683647500,59917723000.0
2020-02-18,3423.686,3476.316,3404.2,3476.316,6094738400,58648354000.0
2020-02-19,3459.063,3496.633,3446.178,3446.178,5846989900,58482619000.0
2020-02-20,3446.462,3545.614,3419.507,3545.277,6628413700,72435668000.0
2020-02-21,3543.538,3637.976,3539.733,3594.364,7387229600,86067027000.0
2020-02-24,3580.632,3667.883,3569.138,3649.24,6918681500,78424486000.0
2020-02-25,3553.486,3641.07,3464.482,3633.496,8300210900,89401291000.0
2020-02-26,3580.585,3639.361,3544.014,3556.522,7597778300,78385261000.0
2020-02-27,3573.247,3624.763,3531.981,3594.657,5980897500,69862625000.0
2020-02-28,3462.142,3509.38,3358.91,3362.538,6587537700,72034640000.0
2020-03-02,3385.313,3515.867,3385.313,3501.861,5495579100,60582895000.0
2020-03-03,3561.585,3619.676,3507.077,3544.013,6189165500,70042231000.0
2020-03-04,3518.319,3605.697,3518.319,3605.697,6020385000,65872042000.0
2020-03-05,3652.977,3669.525,3611.394,3663.945,7163691600,77706188000.0
2020-03-06,3617.935,3666.986,3609.701,3636.594,6285802200,61325759000.0
2020-03-09,3572.654,3588.153,3478.185,3479.391,6559869300,67926952000.0
2020-03-10,3427.395,3572.113,3394.244,3572.113,6037728800,62695994000.0
2020-03-11,3575.722,3606.941,3506.596,3506.772,5042857400,50911955000.0
2020-03-12,3451.256,3488.375,3415.707,3452.571,4094659100,41214436000.0
2020-03-13,3272.011,3442.673,3271.422,3420.295,5086817700,50806414000.0
2020-03-16,3449.287,3452.692,3237.811,3246.546,4761083100,48259122000.0
2020-03-17,3272.101,3301.105,3131.877,3237.329,3836950300,38235369000.0
2020-03-18,3267.593,3297.902,3158.342,3158.342,3735636000,37997563000.0
2020-03-19,3154.193,3217.838,3108.633,3201.771,3915447700,38199467000.0
2020-03-20,3230.059,3236.925,3173.201,3228.311,3175627300,30035966000.0
2020-03-23,3141.679,3183.651,3084.536,3095.992,3090501800,28366169000.0
2020-03-24,3157.281,3176.881,3084.903,3176.218,3371637700,32241511000.0
2020-03-25,3236.387,3250.724,3207.969,3245.392,3800443000,35972910000.0
2020-03-26,3220.844,3245.463,3194.875,3196.533,2987793700,27487516000.0
2020-03-27,3229.189,3236.022,3172.131,3175.082,2843284200,27164669000.0
2020-03-30,3127.598,3127.598,3056.023,3084.089,2838817600,26142452000.0
2020-03-31,3113.171,3119.649,3063.912,3069.428,2522404900,22821879000.0
2020-04-01,3057.767,3100.103,3043.355,3049.753,2516718200,23219685000.0
2020-04-02,3033.327,3123.853,3032.072,3123.853,2613625400,25127340000.0
2020-04-03,3113.54,3119.797,3067.855,3082.236,2258695200,21268863000.0
2020-04-07,3143.771,3205.96,3143.771,3203.112,3608272900,33150577000.0
2020-04-08,3207.279,3238.925,3202.557,3223.503,3254793300,29793650000.0
2020-04-09,3252.123,3298.99,3252.123,3288.3,3777586900,38821812000.0
2020-04-10,3288.066,3288.066,3186.429,3199.397,3850876600,37969147000.0
2020-04-13,3169.172,3185.06,3146.121,3164.55,2565329100,25139945000.0
2020-04-14,3175.937,3234.264,3175.432,3234.264,3123727000,31665394000.0
2020-04-15,3234.676,3249.743,3204.617,3206.244,3601518100,34712304000.0
2020-04-16,3186.384,3263.893,3186.366,3258.345,4002145600,36297552000.0
2020-04-17,3277.787,3300.105,3239.616,3240.015,4457092700,42826571000.0
2020-04-20,3232.085,3284.567,3226.765,3284.567,3395937200,31425890000.0
2020-04-21,3264.257,3271.644,3226.733,3261.502,3830762600,33854733000.0
2020-04-22,3220.289,3290.122,3215.765,3285.658,3733636200,31134139000.0
2020-04-23,3287.682,3288.906,3237.193,3252.464,4362097900,34994454000.0
2020-04-24,3233.137,3235.187,3144.854,3157.299,3621569200,30096589000.0
2020-04-27,3151.105,3173.635,3131.115,3133.364,2908980000,26192969000.0
2020-04-28,3128.111,3133.081,2972.142,3046.913,3610269600,33839895000.0
2020-04-29,3021.432,3066.794,3020.472,3047.006,2697929600,24203442000.0
2020-04-30,3053.156,3135.002,3053.156,3123.187,3141640400,33590587000.0
2020-05-06,3085.157,3171.969,3083.07,3171.946,3133800500,32145766000.0
2020-05-07,3170.942,3180.173,3146.963,3147.229,2945977000,29125784000.0
2020-05-08,3169.833,3215.842,3169.833,3197.244,3630988900,37316142000.0
2020-05-11,3203.988,3221.71,3162.48,3184.369,3265934800,32757494000.0
2020-05-12,3175.942,3175.942,3113.187,3157.158,2645295100,24813303000.0
2020-05-13,3141.12,3180.052,3132.714,3179.148,2475512900,24366014000.0
2020-05-14,3164.172,3200.145,3159.672,3164.15,2867836900,28851234000.0
2020-05-15,3179.647,3197.205,3169.731,3174.961,2745353300,28060716000.0
2020-05-18,3169.83,3170.645,3112.197,3116.873,2817591300,29373219000.0
2020-05-19,3141.171,3155.976,3134.663,3155.969,2577714600,26917964000.0
2020-05-20,3147.942,3148.685,3117.22,3127.786,2837031300,27955456000.0
2020-05-21,3133.395,3144.43,3098.702,3103.436,2767764500,26719325000.0
2020-05-22,3096.262,3100.597,3036.789,3048.01,2585696100,24020148000.0
2020-05-25,3038.923,3048.958,3014.249,3028.247,2009992100,18357601000.0
2020-05-26,3035.582,3087.155,3035.582,3086.697,2139140000,19745734000.0
2020-05-27,3085.797,3090.878,3055.372,3064.651,2210476400,19870784000.0
2020-05-28,3065.406,3085.282,3024.322,3067.399,2596918700,24356714000.0
2020-05-29,3052.406,3093.575,3047.849,3072.905,2391001600,21828708000.0
2020-06-01,3103.605,3200.473,3103.605,3200.2,3831046800,39158054000.0
2020-06-02,3211.571,3231.222,3201.874,3218.726,3357210900,32298142000.0
2020-06-03,3230.002,3246.239,3215.7,3218.464,3447830700,32114537000.0
2020-06-04,3228.853,3234.545,3204.049,3223.282,2869331100,25252952000.0
2020-06-05,3231.202,3241.88,3204.087,3240.482,3162909600,28567793000.0
2020-06-08,3249.466,3251.871,3215.843,3220.194,2697000400,26630559000.0
2020-06-09,3216.163,3251.499,3203.81,3248.905,3093459400,31628674000.0
2020-06-10,3245.368,3245.858,3211.271,3229.587,2586471900,26113349000.0
2020-06-11,3229.259,3279.51,3212.042,3226.945,3118641600,35208473000.0
2020-06-12,3154.631,3239.429,3148.262,3222.927,3222479600,34536371000.0
2020-06-15,3212.809,3261.185,3212.809,3213.623,3691614400,39622791000.0
2020-06-16,3235.001,3255.787,3223.8,3255.323,3174618300,32362953000.0
2020-06-17,3249.34,3263.067,3221.514,3263.067,3339722100,31412726000.0
2020-06-18,3256.976,3277.066,3250.861,3263.609,3288325100,34391992000.0
2020-06-19,3259.885,3291.589,3256.973,3280.58,3944599900,43709765000.0
2020-06-22,3281.832,3320.554,3279.462,3294.41,4453306700,50181600000.0
2020-06-23,3290.689,3295.415,3268.497,3291.599,3738708400,44373203000.0
2020-06-24,3293.662,3302.175,3282.966,3290.662,3331348000,39998046000.0
2020-06-29,3285.526,3291.672,3237.978,3247.147,3276726500,38907459000.0
2020-06-30,3261.885,3351.774,3261.849,3341.867,3927459400,48161532000.0
2020-07-01,3347.686,3350.154,3309.83,3347.866,4286019300,48552064000.0
2020-07-02,3346.408,3433.152,3330.946,3428.175,5942203100,66177212000.0
2020-07-03,3441.376,3515.234,3441.351,3511.003,7605886400,86152291000.0
2020-07-06,3557.854,3704.76,3557.854,3703.23,9162974200,106465801000.0
2020-07-07,3740.408,3785.28,3664.644,3716.667,10538912000,120805366000.0
2020-07-08,3708.741,3845.435,3701.506,3837.334,9414163700,108389422000.0
2020-07-09,3837.038,3949.562,3830.633,3930.198,10077849100,119777970000.0
2020-07-10,3911.368,3947.097,3862.629,3873.482,8657598000,100517649000.0
2020-07-13,3880.1,3991.498,3880.1,3982.971,9090420700,108644721000.0
2020-07-14,3983.737,3994.638,3876.258,3948.528,8805685600,105546903000.0
2020-07-15,3958.509,3972.95,3811.471,3820.909,7829888300,90885543000.0
2020-07-16,3830.771,3865.914,3656.032,3661.189,9191761900,96971436000.0
2020-07-17,3656.403,3694.117,3583.118,3624.699,6816713100,73141740000.0
2020-07-20,3660.941,3749.546,3641.889,3749.546,6083676700,66294157000.0
2020-07-21,3788.517,3809.304,3725.3,3751.477,5438314800,65650784000.0
2020-07-22,3743.212,3818.63,3731.171,3779.006,6173962500,72369353000.0
2020-07-23,3739.085,3755.364,3644.289,3731.474,6642553700,67708354000.0
2020-07-24,3712.053,3733.083,3536.495,3551.904,7148971700,73344595000.0
2020-07-27,3566.075,3584.66,3514.994,3555.183,4750748400,48783309000.0
