日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,695.497,711.715,694.089,710.768,4072140500,56514414000.0
2020-01-03,712.982,716.516,708.09,714.424,3731962300,54400221000.0
2020-01-06,709.207,727.127,707.393,720.591,4266037600,60689471000.0
2020-01-07,721.093,731.162,720.424,731.162,4108578600,54501438000.0
2020-01-08,725.605,729.809,715.569,717.967,4244629200,55982433000.0
2020-01-09,725.352,736.619,725.352,736.619,4098557400,60130927000.0
2020-01-10,739.561,740.509,730.813,735.304,3491134800,54712859000.0
2020-01-13,734.727,751.551,733.133,751.551,3917817600,62361467000.0
2020-01-14,753.335,754.275,747.241,747.655,3769801600,59702543000.0
2020-01-15,747.029,755.311,746.101,753.929,3456986400,55138015000.0
2020-01-16,754.847,759.159,752.689,755.255,3743628800,59333051000.0
2020-01-17,756.78,763.376,752.521,755.559,4004692700,62379365000.0
2020-01-20,755.147,765.351,750.124,765.303,3747986100,61937656000.0
2020-01-21,761.109,762.878,753.207,753.345,3346585000,58483648000.0
2020-01-22,746.946,765.44,739.268,762.653,3609034100,63581837000.0
2020-01-23,751.192,757.944,721.853,730.69,4212875500,70233887000.0
2020-02-03,657.987,663.701,657.987,659.405,1723316400,37149268000.0
2020-02-04,621.108,669.465,621.108,666.877,4904301600,72820490000.0
2020-02-05,670.495,697.948,670.255,687.731,4252027400,72397401000.0
2020-02-06,690.721,718.895,687.426,715.909,4619056800,75047773000.0
2020-02-07,719.934,738.551,717.513,737.519,5155495400,84545877000.0
2020-02-10,739.012,745.964,730.814,742.705,4917109400,78731668000.0
2020-02-11,743.07,744.169,729.091,734.744,3802984600,60987257000.0
2020-02-12,733.326,757.08,732.81,756.887,4251243800,72786187000.0
2020-02-13,757.475,765.43,749.74,752.826,4379945100,80817247000.0
2020-02-14,748.393,764.586,743.701,752.18,4064450500,75654876000.0
2020-02-17,757.578,780.317,757.578,780.317,4735257300,81091347000.0
2020-02-18,781.094,801.489,781.008,801.489,5391971000,87552203000.0
2020-02-19,796.946,809.536,791.693,795.692,5332868900,91723934000.0
2020-02-20,796.646,812.479,786.411,811.618,5344332800,90533506000.0
2020-02-21,812.351,840.776,812.208,830.96,6759310200,115586891000.0
2020-02-24,831.715,857.863,830.006,855.904,7216461300,123468060000.0
2020-02-25,833.583,857.352,807.049,854.942,7920329600,142815280000.0
2020-02-26,840.134,852.347,815.676,819.465,7902187000,129730144000.0
2020-02-27,823.931,835.28,801.295,820.914,6367082200,112874594000.0
2020-02-28,789.366,800.517,763.828,764.604,6687884500,111216300000.0
2020-03-02,775.952,802.11,769.366,796.518,5689593300,99272619000.0
2020-03-03,813.386,837.158,802.425,811.89,6953187300,124266709000.0
2020-03-04,805.646,821.697,797.877,816.154,5845105600,100605895000.0
2020-03-05,832.78,835.047,810.354,820.572,5745288200,98348359000.0
2020-03-06,808.394,823.077,806.344,815.992,4764851100,71120960000.0
2020-03-09,799.139,804.843,773.748,773.748,5333140400,86330762000.0
2020-03-10,764.112,807.519,759.225,807.519,5713734900,91942515000.0
2020-03-11,809.584,820.158,792.177,792.494,5234052300,80302461000.0
2020-03-12,777.557,790.191,771.225,781.461,4029522900,60933316000.0
2020-03-13,739.94,787.746,739.94,780.824,5433080100,79173514000.0
2020-03-16,785.895,786.982,733.156,735.864,5227701400,83636453000.0
2020-03-17,747.272,752.57,713.079,741.959,4459532000,70913236000.0
2020-03-18,750.643,765.081,730.342,730.342,4798991000,74612500000.0
2020-03-19,730.43,748.332,719.361,743.772,4560022400,72143835000.0
