日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2024-02-27,1020.632,1059.567,1019.5,1059.567,373517660,6217567700.0
2024-02-28,1071.506,1077.745,980.409,980.409,620906640,10167668400.0
2024-02-29,966.616,1038.887,966.616,1038.887,458072200,7588748500.0
2024-03-01,1040.12,1060.98,1037.088,1057.792,507196310,8438320800.0
2024-03-04,1054.809,1060.254,1028.031,1058.707,497437810,7884151400.0
2024-03-05,1047.314,1062.095,1033.737,1036.315,499523660,7544172800.0
2024-03-06,1027.81,1095.398,1027.719,1093.455,600724710,9868607300.0
2024-03-07,1123.644,1133.028,1067.12,1067.12,587546760,10178543800.0
2024-03-08,1061.603,1088.921,1053.364,1084.364,537091500,8343388400.0
2024-03-11,1072.344,1090.474,1066.663,1090.453,442806250,6696016800.0
2024-03-12,1091.049,1122.737,1084.581,1109.813,570012950,9114991000.0
2024-03-13,1102.475,1125.688,1098.441,1114.587,485926880,7753895200.0
2024-03-14,1121.143,1141.345,1080.86,1103.044,504714520,8910920000.0
2024-03-15,1098.881,1161.714,1096.174,1161.714,595197340,10851591100.0
2024-03-18,1166.326,1190.058,1158.274,1189.419,749790760,12535277900.0
2024-03-19,1175.67,1184.414,1162.593,1163.059,627558370,10336264800.0
2024-03-20,1158.047,1170.789,1155.238,1168.852,474365720,8362766800.0
2024-03-21,1168.892,1170.826,1150.801,1161.463,450467080,7851177000.0
2024-03-22,1156.337,1161.54,1135.267,1150.288,546724650,8909596200.0
2024-03-25,1144.407,1153.212,1102.997,1103.552,475451650,7925800100.0
2024-03-26,1098.3,1107.186,1069.227,1086.198,390577370,6606816300.0
2024-03-27,1082.791,1084.293,1041.221,1042.425,350349520,5575156600.0
2024-03-28,1041.691,1100.1,1041.691,1089.234,443869920,7400880900.0
2024-03-29,1083.96,1096.08,1069.169,1095.46,368662420,5906834900.0
2024-04-01,1099.039,1116.418,1096.616,1116.418,381010270,6085761100.0
2024-04-02,1113.324,1113.324,1081.618,1087.764,332065660,5472645800.0
2024-04-03,1083.565,1083.565,1047.345,1056.412,292649760,4798732000.0
2024-04-08,1049.551,1052.085,1028.963,1029.4,252983380,3797200700.0
2024-04-09,1029.395,1046.124,1027.096,1040.593,216184030,3533952400.0
2024-04-10,1040.729,1042.349,1007.856,1015.147,274907500,4114998500.0
2024-04-11,1007.971,1026.558,1005.735,1008.013,231231210,3466522100.0
2024-04-12,1009.271,1019.433,998.09,998.773,221733940,3259468000.0
2024-04-15,994.173,1003.369,951.602,968.843,308661970,4407968900.0
2024-04-16,961.922,964.725,901.079,902.369,336901050,4409805600.0
2024-04-17,917.447,963.504,917.447,963.504,316076760,4649256500.0
2024-04-18,962.916,998.549,950.855,980.719,305435890,4946382500.0
2024-04-19,973.529,977.795,957.703,965.747,239532320,3803720800.0
2024-04-22,957.348,971.121,937.844,957.873,191778540,2896592900.0
2024-04-23,963.04,996.853,963.032,989.613,257459200,4750239300.0
2024-04-24,989.76,1014.188,989.76,1014.188,281150640,5096178100.0
2024-04-25,1007.082,1014.84,1001.073,1005.588,254659790,4268248300.0
2024-04-26,1008.152,1035.824,1007.812,1031.12,329529860,5755499500.0
2024-04-29,1058.127,1077.277,1058.127,1069.317,555028040,9168554400.0
2024-04-30,1065.332,1070.989,1044.964,1046.845,539257280,8086489100.0
2024-05-06,1061.699,1073.923,1061.699,1070.395,479938280,7365257000.0
