日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,927.319,953.179,925.909,951.177,1009090410,17190016000.0
2020-01-03,954.597,961.843,949.307,961.843,893923510,13898925000.0
2020-01-06,958.185,982.634,955.915,972.178,1205679020,20327890000.0
2020-01-07,972.814,1000.067,972.814,998.884,1071525940,16520201000.0
2020-01-08,993.869,1002.944,981.091,982.987,1319626250,20935968000.0
2020-01-09,994.079,1006.888,993.993,1004.432,1097440230,17153592000.0
2020-01-10,1010.726,1012.204,998.335,1006.178,998687100,16570730000.0
2020-01-13,1004.758,1025.155,1003.545,1025.155,1088441050,19287893000.0
2020-01-14,1028.573,1030.807,1017.635,1019.58,982193670,17785729000.0
2020-01-15,1018.123,1035.448,1017.409,1034.061,1097236240,18885218000.0
2020-01-16,1033.782,1040.609,1030.067,1033.281,1104404130,19728233000.0
2020-01-17,1035.495,1039.784,1022.42,1028.333,928012020,16500965000.0
2020-01-20,1026.367,1039.267,1012.805,1038.57,1091810970,19199061000.0
2020-01-21,1035.561,1037.414,1016.642,1016.642,936487950,16753880000.0
2020-01-22,1004.488,1031.771,994.676,1027.539,984758770,18918320000.0
2020-01-23,1012.361,1024.221,975.454,990.675,1157260050,21537628000.0
2020-02-03,894.1,906.911,894.1,896.07,485039610,11986697100.0
2020-02-04,848.701,907.657,848.701,903.032,1390996300,23914546000.0
2020-02-05,907.804,946.554,906.853,934.557,1314806090,25063113000.0
2020-02-06,936.048,969.941,931.871,969.123,1397623400,24790193000.0
2020-02-07,976.384,993.017,964.012,989.608,1323965280,23297932000.0
2020-02-10,993.571,999.225,973.671,989.2,1174715860,21420576000.0
2020-02-11,990.106,991.415,967.094,974.674,1118132660,20766164000.0
2020-02-12,973.138,1001.498,971.227,1001.382,1191074990,21960296000.0
2020-02-13,1001.957,1008.865,986.008,991.863,1197215140,22235270000.0
2020-02-14,986.619,1007.475,981.157,991.136,1093738170,20513109000.0
2020-02-17,996.8,1034.192,996.8,1034.192,1277679680,24280415000.0
2020-02-18,1036.712,1060.508,1032.131,1060.508,1381841100,25478485000.0
2020-02-19,1055.446,1063.934,1044.704,1045.782,1324738270,26506708000.0
2020-02-20,1047.647,1067.445,1031.452,1065.672,1225773320,24027698000.0
2020-02-21,1065.723,1106.961,1065.723,1093.193,1641786900,32793490000.0
2020-02-24,1092.901,1131.73,1089.627,1127.375,1702334300,32977666000.0
2020-02-25,1098.957,1125.305,1059.3,1124.358,2048089200,38776261000.0
2020-02-26,1106.854,1127.281,1077.916,1082.343,1826046100,34680875000.0
2020-02-27,1091.948,1113.591,1063.252,1089.445,1484190100,28730122000.0
2020-02-28,1047.763,1059.871,1009.37,1011.374,1627426100,29486029000.0
2020-03-02,1020.378,1052.493,1009.947,1045.034,1396628100,26494776000.0
2020-03-03,1063.518,1099.123,1053.368,1068.845,1772229000,35581790000.0
2020-03-04,1064.442,1080.785,1046.271,1067.764,1415226000,27014258000.0
2020-03-05,1088.828,1091.328,1058.187,1071.986,1342866900,24707799000.0
2020-03-06,1055.351,1070.771,1052.98,1061.785,944239830,16927505000.0
2020-03-09,1037.978,1043.64,999.376,999.376,1241812300,22346027000.0
2020-03-10,989.515,1043.093,986.23,1043.093,1237031920,21425581000.0
2020-03-11,1050.619,1063.679,1025.241,1026.163,1122657250,18708784000.0
2020-03-12,1009.508,1022.812,998.833,1012.942,990025240,17239620000.0
2020-03-13,959.812,1014.279,958.563,1001.112,1302627930,20259043000.0
2020-03-16,1007.376,1009.744,935.122,940.243,1255740780,20091609000.0
2020-03-17,951.682,957.197,905.261,939.07,1015623800,16939164000.0
2020-03-18,947.745,965.031,923.087,923.087,1066073190,17255133000.0
2020-03-19,924.167,943.667,909.054,939.448,1023310120,16765803000.0
2020-03-20,950.783,953.688,924.039,940.798,838638330,13811719000.0
2020-03-23,912.687,923.085,888.898,894.208,851919440,13550240000.0
2020-03-24,914.289,919.248,886.423,918.464,871221740,13260750400.0
2020-03-25,939.612,942.596,926.314,936.796,874972620,14081501000.0
2020-03-26,931.45,935.773,917.111,918.887,661699140,10589902000.0
2020-03-27,930.992,932.438,906.554,907.78,686715440,11140877000.0
2020-03-30,891.501,891.501,862.415,874.678,780380570,12060938200.0
2020-03-31,884.093,886.768,869.093,870.047,581169700,8892596800.0
2020-04-01,870.311,886.985,866.879,870.67,654626620,10507737500.0
2020-04-02,866.189,899.348,866.099,899.348,733740730,12311951100.0
2020-04-03,897.616,898.392,880.345,883.867,611326150,10117045700.0
2020-04-07,904.782,919.849,904.782,919.356,923445050,14166568000.0
2020-04-08,917.313,928.289,914.549,924.935,916550450,13056703500.0
2020-04-09,929.457,937.772,923.354,936.721,971000250,14187587000.0
2020-04-10,935.025,935.025,896.112,898.95,869960700,12394903300.0
2020-04-13,890.376,890.449,869.638,873.021,626225210,8574389900.0
2020-04-14,877.061,889.473,877.061,889.473,652653600,9990253400.0
2020-04-15,892.311,902.392,887.771,888.02,970011840,14354730000.0
2020-04-16,881.977,904.511,881.281,902.585,912935200,12779848700.0
2020-04-17,914.381,924.089,903.898,905.339,1214981210,17263988000.0
2020-04-20,905.013,919.691,902.095,919.493,958254740,13397232600.0
2020-04-21,914.408,919.713,904.094,916.639,1067050490,15868588000.0
2020-04-22,905.848,927.054,904.348,926.798,993363710,12944948300.0
2020-04-23,925.785,926.758,909.413,916.17,1079213320,14650721000.0
2020-04-24,911.777,915.883,888.558,892.897,886328310,12465798700.0
2020-04-27,889.775,892.189,880.398,881.57,913921770,15006807000.0
2020-04-28,880.88,881.394,830.392,852.298,1048260390,14991451000.0
2020-04-29,843.28,853.239,841.803,842.858,633177140,9955932200.0
2020-04-30,849.294,881.73,849.294,877.479,967832760,16131937000.0
2020-05-06,867.197,901.346,866.044,901.226,989754210,16606816000.0
2020-05-07,903.98,906.925,889.717,891.139,801534370,13169308100.0
2020-05-08,900.429,919.039,900.429,909.175,1083389380,17410629000.0
