日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1040.535,1055.564,1038.096,1053.343,668236840,5791100700.0
2020-01-03,1063.726,1072.713,1063.416,1070.221,879027080,7371749000.0
2020-01-06,1073.091,1098.569,1070.953,1089.608,1000912710,8178648100.0
2020-01-07,1089.29,1105.927,1087.353,1105.193,924831930,8277235700.0
2020-01-08,1098.924,1102.578,1080.352,1080.631,1001611960,8842266500.0
2020-01-09,1087.833,1096.153,1086.149,1095.208,1438646900,11839185800.0
2020-01-10,1101.174,1102.418,1090.428,1094.974,1138507520,9204135600.0
2020-01-13,1094.138,1099.779,1087.614,1099.779,860361530,6788596600.0
2020-01-14,1107.689,1108.63,1096.351,1098.834,1160657230,9477589400.0
2020-01-15,1091.828,1093.634,1081.279,1083.916,806219010,6574388900.0
2020-01-16,1083.813,1086.172,1080.822,1082.121,681108540,5587196400.0
2020-01-17,1082.625,1086.094,1077.641,1078.84,613035670,5223306300.0
2020-01-20,1079.716,1086.101,1073.771,1083.854,663079510,5730242600.0
2020-01-21,1084.772,1088.315,1079.336,1081.962,754208810,7042708400.0
2020-01-22,1083.567,1083.567,1062.743,1072.441,670822450,6088698100.0
2020-01-23,1061.148,1064.087,1020.136,1026.906,767939210,6172764300.0
2020-02-03,940.973,949.597,935.797,938.965,417196180,4357923900.0
2020-02-04,895.581,954.48,895.581,954.018,994310080,7508459800.0
2020-02-05,953.63,988.658,953.623,985.829,1095876520,8901372100.0
2020-02-06,991.407,1021.052,982.356,1015.421,1201609180,10572021200.0
2020-02-07,1020.561,1024.804,999.567,1012.507,950351520,8186987400.0
2020-02-10,1008.231,1037.861,1005.154,1036.88,976644540,7483815300.0
2020-02-11,1045.732,1045.732,1017.002,1021.382,1215367440,9164366600.0
2020-02-12,1015.442,1043.324,1015.219,1042.099,1182207650,9222883500.0
2020-02-13,1042.29,1046.465,1028.217,1034.4,1408833700,11373171200.0
2020-02-14,1033.62,1042.967,1031.205,1041.514,1135226840,9587961400.0
2020-02-17,1052.684,1083.065,1052.684,1082.796,1368528100,11670399900.0
2020-02-18,1078.656,1090.432,1074.226,1090.353,1197711480,10593337000.0
2020-02-19,1086.705,1089.185,1075.025,1075.642,1011007530,9122241800.0
2020-02-20,1077.03,1096.702,1076.787,1096.227,933192820,8318650600.0
2020-02-21,1093.532,1103.665,1090.193,1099.349,938497630,8569828100.0
2020-02-24,1108.215,1125.52,1100.896,1122.371,1319415380,11758489300.0
2020-02-25,1101.392,1125.254,1086.317,1123.845,1385093400,14491689000.0
2020-02-26,1113.207,1126.794,1102.663,1107.938,1501018900,12565285400.0
2020-02-27,1111.606,1125.975,1098.111,1117.564,1172147360,9309730200.0
2020-02-28,1095.347,1115.761,1078.401,1081.787,1269663610,9977850900.0
2020-03-02,1087.116,1115.039,1087.116,1113.147,1121654500,8648199200.0
2020-03-03,1120.266,1140.261,1117.249,1130.314,1262199750,10539691900.0
2020-03-04,1122.589,1138.926,1120.342,1138.926,1191856040,10868106500.0
2020-03-05,1147.277,1183.773,1143.593,1175.848,1529340300,12738526900.0
2020-03-06,1168.084,1184.998,1165.843,1173.744,1800008700,13781472000.0
2020-03-09,1166.093,1179.197,1156.808,1160.82,1642678200,13269502700.0
2020-03-10,1140.229,1156.854,1113.715,1156.547,1449363300,11202734600.0
2020-03-11,1154.04,1180.854,1148.89,1161.529,1411333200,11216989000.0
2020-03-12,1149.096,1153.764,1134.41,1144.885,1179985000,8944849700.0
2020-03-13,1089.082,1135.148,1087.455,1127.823,1341673290,9692716900.0
2020-03-16,1136.666,1151.831,1092.921,1096.356,1246136990,10155379800.0
2020-03-17,1094.296,1105.448,1045.722,1080.678,1086019500,9247236700.0
2020-03-18,1087.186,1102.506,1066.656,1066.656,1108829870,10294965900.0
2020-03-19,1065.997,1072.863,1041.486,1066.781,1007657020,8886893300.0
2020-03-20,1073.269,1086.3,1065.23,1085.881,842635880,7721889100.0
2020-03-23,1060.024,1082.311,1050.988,1055.803,1026482230,8699761600.0
2020-03-24,1070.36,1082.556,1055.935,1082.556,1030564330,9535912000.0
2020-03-25,1097.371,1122.723,1088.887,1122.621,1302311770,11684934800.0
2020-03-26,1115.008,1150.019,1111.402,1145.048,1625621000,14935770000.0
2020-03-27,1151.131,1153.073,1120.938,1121.822,1225163370,12203172000.0
2020-03-30,1116.659,1133.958,1116.626,1121.924,1379299700,12665501300.0
2020-03-31,1123.245,1165.204,1117.979,1165.204,1801198900,15384014000.0
2020-04-01,1157.724,1160.767,1135.131,1140.657,1587536300,13788696000.0
2020-04-02,1130.365,1135.033,1112.973,1135.033,1249201910,11235959200.0
2020-04-03,1126.078,1155.725,1123.238,1142.327,1361260900,11820481600.0
2020-04-07,1147.731,1192.399,1142.41,1192.399,1761466300,15429590000.0
2020-04-08,1187.636,1199.687,1176.931,1184.125,1846100500,15054594000.0
2020-04-09,1184.928,1210.543,1174.122,1206.182,1637323200,13496560000.0
2020-04-10,1196.537,1205.621,1166.813,1171.536,1103487520,11044021000.0
