日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-08-14,971.263,971.263,940.581,947.872,456231170,4183600700.0
2020-08-17,936.043,963.091,935.139,952.746,421088890,4163252700.0
2020-08-18,952.997,986.914,951.408,984.696,468634680,5121357600.0
2020-08-19,978.643,985.241,960.391,961.817,529694600,5128103200.0
2020-08-20,948.462,964.991,945.451,951.191,380723520,3677896500.0
2020-08-21,956.914,970.349,955.424,964.949,309859080,3352494700.0
2020-08-24,965.477,965.611,948.569,960.242,285081270,3089569900.0
2020-08-25,959.32,963.8,940.491,941.703,265234400,2772256300.0
2020-08-26,941.297,944.624,911.046,914.213,239144460,2579809800.0
2020-08-27,916.138,926.405,911.462,924.942,182017180,2117318700.0
2020-08-28,922.355,938.188,913.045,937.374,189255230,2151804800.0
2020-08-31,941.43,947.692,934.961,935.33,196153630,2307475600.0
2020-09-01,936.529,942.26,929.479,942.26,172282730,1918854100.0
2020-09-02,943.219,949.003,931.267,944.223,204417490,2058630100.0
2020-09-03,940.388,948.93,931.225,934.583,194691190,2080014300.0
2020-09-04,917.093,925.256,914.662,923.771,145863100,1612124900.0
2020-09-07,922.314,928.646,897.922,899.245,167458920,1876259200.0
2020-09-08,898.969,903.44,885.514,897.909,144121370,1617785600.0
2020-09-09,887.588,888.865,863.773,864.76,190296100,2124376500.0
2020-09-10,872.41,874.464,847.808,849.679,175099730,1745046100.0
2020-09-11,848.07,860.921,846.76,860.223,117525540,1280136310.0
2020-09-14,861.826,872.247,858.96,869.789,127930844,1392906900.0
2020-09-15,868.232,877.167,859.13,875.677,125436074,1371092700.0
2020-09-16,875.406,876.488,859.575,862.438,117356967,1281618120.0
2020-09-17,860.152,867.64,851.043,860.006,117650904,1094467680.0
2020-09-18,859.806,881.814,858.638,879.975,135671750,1444217500.0
2020-09-21,882.124,882.124,874.617,876.44,128326739,1356913500.0
2020-09-22,869.213,879.748,865.596,868.88,125544641,1191177750.0
2020-09-23,872.245,880.636,870.453,877.883,108879673,1218222890.0
2020-09-24,872.791,873.053,861.22,863.573,131900739,1398811000.0
2020-09-25,864.307,872.243,859.56,864.382,113981223,1186914590.0
2020-09-28,860.076,860.076,844.182,844.842,88524563,1063359350.0
2020-09-29,842.163,851.843,837.155,843.918,88544946,1108337380.0
2020-09-30,839.565,841.3,827.535,831.619,123432678,1143172030.0
2020-10-09,840.606,857.219,839.961,855.148,143084730,1416714200.0
2020-10-12,859.344,874.195,857.35,873.655,194289280,2068664800.0
2020-10-13,873.433,875.494,865.771,874.544,162280590,1809238300.0
2020-10-14,873.427,878.966,866.895,869.613,135770520,1579639100.0
2020-10-15,864.58,865.732,853.418,854.413,130298512,1393007800.0
2020-10-16,854.065,859.55,849.459,859.126,114693225,1179555720.0
2020-10-19,863.692,865.543,848.485,849.719,123920418,1194786440.0
2020-10-20,845.677,855.545,841.795,855.545,77402123,816623900.0
2020-10-21,856.399,856.462,841.832,844.989,95209781,1016969320.0
2020-10-22,843.867,843.953,832.112,840.735,92913139,1006694040.0
2020-10-23,839.765,846.01,824.206,824.651,82477663,904583880.0
2020-10-26,823.023,823.255,812.382,820.149,99028680,1037724460.0
2020-10-27,817.148,826.018,815.262,825.374,97162995,1111037260.0
2020-10-28,827.457,827.457,816.639,825.548,110379441,1045901580.0
2020-10-29,812.213,826.283,809.941,822.592,160529330,1776889400.0
2020-10-30,821.523,822.269,790.882,791.762,165501770,1803138400.0
2020-11-02,791.374,802.122,786.599,798.959,165111410,1784671000.0
2020-11-03,803.553,816.884,798.907,815.83,132059664,1449085000.0
2020-11-04,815.935,816.5,801.606,806.029,116521900,1341205980.0
2020-11-05,812.77,823.996,812.322,822.421,134446120,1470782900.0
2020-11-06,825.975,826.989,812.301,817.103,122190157,1377610500.0
2020-11-09,826.361,841.115,826.361,836.647,226021790,2204423600.0
2020-11-10,839.314,843.152,830.405,835.135,195504420,2179887500.0
2020-11-11,833.383,837.347,824.167,824.734,137498180,1513459700.0
2020-11-12,826.563,831.761,824.033,828.334,93123382,1073145050.0
2020-11-13,826.629,826.629,819.424,825.502,83697571,976528770.0
2020-11-16,831.827,853.196,831.511,853.196,170057660,1895944700.0
2020-11-17,855.031,858.673,847.769,853.12,142420520,1481587900.0
2020-11-18,855.04,857.234,846.134,849.828,170368570,1594851800.0
2020-11-19,845.07,853.141,839.861,852.269,145950800,1381732300.0
2020-11-20,851.369,854.078,844.206,853.435,143642150,1383689000.0
2020-11-23,854.186,862.204,848.906,857.335,212128510,2037596400.0
2020-11-24,855.207,860.624,849.823,851.451,144949870,1551839100.0
2020-11-25,853.281,855.522,839.297,839.372,165413580,1680691600.0
2020-11-26,840.55,843.509,825.765,831.803,146290500,1461275200.0
2020-11-27,831.376,831.9,816.423,826.431,132262504,1297157410.0
2020-11-30,825.857,829.375,818.642,818.642,135826710,1399286400.0
2020-12-01,818.89,833.021,818.097,831.836,121598126,1265401500.0
2020-12-02,832.384,836.566,827.884,835.967,126247990,1225426480.0
2020-12-03,835.967,844.445,831.186,842.489,176927730,1633576600.0
2020-12-04,843.13,850.893,838.711,846.975,157603960,1616261600.0
2020-12-07,844.105,846.04,835.419,836.537,162816410,1532201300.0
2020-12-08,834.608,839.554,828.511,828.581,131069703,1367159700.0
2020-12-09,827.969,829.871,811.114,811.668,128002317,1200203820.0
2020-12-10,810.005,814.844,806.758,809.496,128342268,1064859930.0
2020-12-11,808.618,811.139,786.832,792.781,159817710,1304103060.0
2020-12-14,793.692,805.877,788.603,805.151,168454240,1331040500.0
2020-12-15,806.877,822.49,805.644,821.237,161262700,1547814500.0
2020-12-16,825.019,829.04,812.12,823.943,230715110,2169994300.0
2020-12-17,819.839,831.95,818.227,831.174,223772060,2213958200.0
2020-12-18,829.117,829.855,822.558,823.761,180424430,1680522600.0
2020-12-21,823.115,831.311,817.987,829.964,220050120,1751495500.0
2020-12-22,828.004,835.63,817.154,818.152,252230090,2157398400.0
2020-12-23,816.542,826.317,813.052,824.428,290565730,2115043200.0
2020-12-24,820.532,823.199,805.899,808.848,320599050,2403024100.0
2020-12-25,804.201,811.651,802.513,810.288,200174860,1643885300.0
2020-12-28,804.902,823.945,795.974,820.395,355568470,2922804700.0
2020-12-29,821.31,828.71,813.583,815.452,316286940,2816334000.0
2020-12-30,815.09,826.323,808.467,822.074,207816720,1860661300.0
2020-12-31,823.029,839.813,823.029,838.569,231461470,2067979000.0
2021-01-04,838.911,849.372,834.237,845.978,264674830,2299544100.0
2021-01-05,841.317,852.076,834.975,846.537,293517660,2980786200.0
2021-01-06,847.322,849.368,835.45,836.648,245727230,2653216400.0
2021-01-07,837.839,840.029,814.805,821.605,258556920,2540125900.0
2021-01-08,818.096,822.499,804.833,810.235,200142600,2170800500.0
2021-01-11,799.981,801.046,784.829,788.673,227958310,2285149500.0
2021-01-12,785.125,794.588,782.504,793.807,163551730,1837588100.0
2021-01-13,793.349,793.349,767.986,770.949,215961620,2236268200.0
2021-01-14,764.276,776.448,761.762,769.522,172521740,1712695500.0
2021-01-15,768.612,775.004,764.152,771.127,129282114,1421268100.0
2021-01-18,775.306,783.481,773.893,781.629,183493720,2109660600.0
2021-01-19,780.809,787.0,777.392,781.444,165795370,2012673200.0
2021-01-20,779.486,782.123,772.476,778.028,126610067,1547544800.0
2021-01-21,778.724,788.256,778.389,785.359,129592845,1552199400.0
2021-01-22,784.534,787.383,777.87,779.948,155660210,1834811400.0
2021-01-25,781.716,781.941,770.461,775.845,159807890,1907051600.0
2021-01-26,772.69,773.864,756.653,758.293,124058765,1450514200.0
2021-01-27,759.171,761.888,754.117,756.757,96098553,1185437900.0
2021-01-28,749.155,761.34,746.922,748.424,107327384,1112714390.0
2021-01-29,749.074,753.308,735.159,742.768,125703248,1417731500.0
2021-02-01,731.81,751.144,730.157,751.144,125206498,1343039600.0
2021-02-02,745.04,753.613,740.745,753.198,134358220,1548711800.0
2021-02-03,745.893,750.185,736.876,739.332,176066950,1969269200.0
2021-02-04,736.876,737.54,717.091,729.25,135634860,1435667000.0
2021-02-05,730.638,737.421,720.163,720.568,115437907,1330367150.0
2021-02-08,727.056,733.941,722.447,730.83,116703213,1340674860.0
2021-02-09,731.868,751.357,730.159,750.11,106596393,1355703700.0
2021-02-10,751.452,754.468,747.185,751.793,107995524,1370488500.0
2021-02-18,763.989,774.375,763.989,772.594,144868590,1713856500.0
2021-02-19,777.295,804.435,776.963,804.435,177330290,2175968900.0
2021-02-22,812.9,840.115,811.782,824.355,283206490,3203962900.0
2021-02-23,822.5,830.592,816.229,821.717,200518980,3795361200.0
2021-02-24,824.543,827.802,803.983,806.547,165098660,3537939000.0
2021-02-25,821.362,821.466,794.328,797.14,280458870,3580748000.0
2021-02-26,776.956,785.333,773.309,775.807,226024490,2947397200.0
2021-03-01,783.246,794.43,781.62,793.769,175606670,2653719400.0
2021-03-02,795.303,797.131,768.788,774.921,156687200,2436069000.0
2021-03-03,776.154,788.23,774.64,787.32,149322220,1991715700.0
2021-03-04,782.263,782.953,771.136,774.392,151960120,2076956600.0
2021-03-05,769.376,782.843,768.977,776.668,135480610,1701707000.0
2021-03-08,780.92,788.063,769.524,769.97,178268640,2209200300.0
2021-03-09,765.956,766.917,735.756,748.393,171315450,2034660400.0
2021-03-10,753.596,755.965,740.775,743.453,114006938,1607805100.0
2021-03-11,742.16,757.709,737.253,757.709,110133087,1377489500.0
2021-03-12,758.962,759.609,745.526,750.006,107302323,1296146860.0
2021-03-15,746.899,752.364,739.719,744.945,107270920,1386186300.0
2021-03-16,745.66,751.705,741.424,750.815,92968171,1195739730.0
2021-03-17,749.38,759.647,746.645,758.699,120600261,1183931220.0
2021-03-18,754.74,768.256,753.026,767.111,174960480,1929016900.0
2021-03-19,761.882,769.996,752.816,755.283,178690480,1831950500.0
2021-03-22,752.266,762.501,748.94,762.05,121987886,1272683670.0
2021-03-23,761.339,763.012,749.433,751.899,146331360,1617021200.0
2021-03-24,749.692,759.491,741.064,755.103,173572630,2244988600.0
2021-03-25,752.814,763.02,751.407,757.489,168192120,1598134000.0
2021-03-26,759.398,771.3,757.053,768.182,164577020,1617107100.0
2021-03-29,765.977,773.849,763.803,773.268,148405330,1556041200.0
2021-03-30,770.409,778.627,763.667,774.922,149478900,1607885700.0
2021-03-31,772.546,775.278,767.047,774.656,134040007,1443484800.0
2021-04-01,777.155,780.027,774.087,778.489,226881900,1783069700.0
2021-04-02,777.52,783.242,774.037,778.749,263467940,2378176400.0
2021-04-06,777.551,786.68,775.233,783.917,216597200,2326563300.0
2021-04-07,783.5,791.268,783.129,790.733,168841660,1869432100.0
2021-04-08,789.379,789.429,780.896,782.991,196711580,2143412600.0
2021-04-09,779.83,789.82,776.603,789.179,175915570,2187841000.0
2021-04-12,789.137,794.147,782.147,787.37,210692530,2832232600.0
2021-04-13,784.281,795.936,780.468,782.398,240814760,2866854500.0
2021-04-14,780.355,782.256,777.446,780.774,150491150,1751066300.0
2021-04-15,775.791,783.15,770.802,777.334,147867380,1855161400.0
2021-04-16,775.106,781.935,773.726,779.419,135631830,1668211200.0
2021-04-19,780.393,786.313,774.384,785.175,176760710,2059353300.0
2021-04-20,785.684,792.734,782.22,788.788,158835860,1853058000.0
2021-04-21,786.958,794.53,782.995,791.509,150129680,1791403900.0
2021-04-22,789.885,794.51,786.888,788.593,130167535,1549408700.0
2021-04-23,788.94,791.433,780.947,780.947,126225370,1630798600.0
2021-04-26,781.952,792.406,775.117,775.117,167001810,2163278600.0
2021-04-27,775.138,778.722,771.43,777.604,126246051,1589619300.0
2021-04-28,768.321,772.066,760.204,771.079,122613960,1471970600.0
2021-04-29,767.674,767.682,757.795,759.972,142605630,2063711100.0
2021-04-30,756.267,758.615,745.629,751.015,153859260,2047098400.0
2021-05-06,746.785,751.983,743.083,745.739,175742770,1865090800.0
2021-05-07,744.745,760.976,743.518,758.418,216080450,2404619900.0
2021-05-10,757.37,760.842,751.951,757.0,211318820,2158851200.0
2021-05-11,752.377,766.883,750.768,764.743,172961920,1961537100.0
2021-05-12,763.999,776.963,762.442,776.158,180227540,1872969300.0
2021-05-13,770.46,777.21,767.491,768.169,184670110,2019194100.0
2021-05-14,767.275,783.359,767.275,781.667,161892160,2027071300.0
2021-05-17,782.999,790.903,777.726,787.475,161786570,2162161600.0
2021-05-18,792.288,797.56,789.226,796.269,156232920,2294131400.0
2021-05-19,794.573,802.093,793.091,797.33,143004120,2100262500.0
2021-05-20,792.734,795.389,785.261,786.72,173944000,2368991700.0
2021-05-21,789.189,802.654,789.189,792.996,172788950,1956709500.0
2021-05-24,800.122,814.118,797.329,812.321,224934760,3015618600.0
2021-05-25,810.52,826.128,809.66,824.995,187566760,2677024600.0
2021-05-26,825.566,833.77,825.147,830.198,230427360,3075925900.0
2021-05-27,825.494,837.046,825.494,835.98,245222210,3116071000.0
2021-05-28,838.649,839.237,827.085,830.114,256718210,3442570800.0
2021-05-31,827.355,831.242,823.199,831.199,173528880,2216442000.0
2021-06-01,830.732,835.892,827.79,835.478,190984250,2443213100.0
2021-06-02,839.811,843.803,820.101,820.131,187229910,2726038000.0
2021-06-03,820.1,830.225,816.997,823.244,149868170,2067882300.0
2021-06-04,826.891,829.681,820.312,823.775,151588960,1813180800.0
2021-06-07,824.925,839.757,820.464,839.741,178653330,2229795500.0
2021-06-08,839.268,843.892,835.781,841.73,214984440,2263245100.0
2021-06-09,836.422,838.591,830.73,832.289,150251510,1633185300.0
2021-06-10,827.967,830.621,820.789,823.881,158966550,1907910100.0
2021-06-11,823.579,824.12,806.727,807.057,183303160,2110536800.0
2021-06-15,803.706,804.809,792.134,793.724,174528240,1934825100.0
2021-06-16,792.61,796.365,784.973,786.98,136285580,1647620500.0
2021-06-17,786.955,791.881,785.624,790.445,129909081,1442356600.0
2021-06-18,789.267,789.456,783.996,788.215,150745260,1553861300.0
2021-06-21,785.36,802.629,784.467,802.158,141802310,1621899600.0
2021-06-22,803.889,821.101,802.228,818.743,196570350,2229513300.0
2021-06-23,818.597,818.786,811.497,815.483,147596320,1743608100.0
2021-06-24,814.532,815.593,809.152,810.087,143301740,1737309600.0
2021-06-25,810.779,816.633,807.498,813.092,129207138,1441449500.0
2021-06-28,811.907,823.717,808.903,822.834,130055693,1589426900.0
2021-06-29,823.545,830.297,821.121,822.979,167090340,1974307000.0
2021-06-30,822.403,825.711,818.461,823.207,152931880,1805421400.0
2021-07-01,825.277,830.743,815.762,817.489,158832230,1918544900.0
2021-07-02,815.652,821.286,803.865,805.01,141988890,1687274200.0
2021-07-05,804.025,809.959,802.624,808.574,152818720,1864573500.0
2021-07-06,806.541,808.581,797.21,804.862,147023500,1663809900.0
2021-07-07,801.728,817.188,799.469,815.652,130191654,1609550200.0
2021-07-08,815.32,817.845,805.904,806.051,152053950,1853687100.0
2021-07-09,807.421,811.34,800.47,809.141,189575640,2164714400.0
2021-07-12,812.921,826.359,812.921,824.273,177605700,2073938500.0
2021-07-13,823.301,826.316,820.069,825.452,128921804,1676517300.0
2021-07-14,827.592,832.124,823.234,823.234,157573820,1843925800.0
2021-07-15,821.702,821.702,805.002,812.123,146197960,1623871500.0
2021-07-16,812.813,822.756,810.3,818.909,173844960,1922511000.0
2021-07-19,818.534,820.04,810.94,818.399,171177110,1821421100.0
2021-07-20,814.765,814.765,807.583,812.47,138033740,1428095100.0
2021-07-21,814.633,819.386,807.958,813.021,175050180,1813777900.0
2021-07-22,812.831,812.831,807.18,809.172,148544060,1503728900.0
2021-07-23,808.199,809.301,798.976,800.76,199428070,1890497900.0
2021-07-26,797.623,802.354,783.317,792.496,253243910,2156696000.0
2021-07-27,790.762,795.763,770.571,770.571,234999150,2132924500.0
2021-07-28,766.529,766.529,741.602,757.487,221475530,2024619600.0
2021-07-29,764.416,774.987,764.033,773.096,280672300,2211814700.0
2021-07-30,770.518,770.518,759.713,769.366,217190280,1685271300.0
2021-08-02,764.631,790.759,761.413,790.152,256209410,2167121700.0
2021-08-03,784.505,793.173,782.542,787.652,212133760,1860981300.0
2021-08-04,789.136,789.826,781.432,789.087,177830910,1679396300.0
2021-08-05,784.297,787.849,778.815,779.602,192995300,1803917300.0
2021-08-06,778.85,778.85,767.953,775.883,177107470,1548206800.0
2021-08-09,774.457,792.708,773.24,791.506,176295030,1790401700.0
2021-08-10,788.621,803.057,786.147,802.234,198364790,1963062900.0
2021-08-11,800.337,812.063,799.421,811.236,177325850,1841816600.0
2021-08-12,813.717,826.16,813.437,825.541,201419410,2484703800.0
2021-08-13,823.07,829.648,818.993,828.671,188141800,2508419300.0
2021-08-16,833.596,841.898,831.295,832.636,189932780,2168256200.0
2021-08-17,828.445,832.931,812.369,813.153,217661240,2983866400.0
2021-08-18,806.719,813.374,804.318,810.859,185664340,2335321400.0
2021-08-19,809.491,817.712,807.494,815.881,178522820,2342172200.0
2021-08-20,813.64,813.64,799.834,806.42,196753710,2637385600.0
2021-08-23,804.373,817.61,804.15,814.76,177529990,2192769600.0
2021-08-24,814.988,821.609,812.859,821.18,175725900,2390953600.0
2021-08-25,822.82,832.053,822.004,828.413,153132480,2180214600.0
2021-08-26,828.831,828.831,819.38,819.7,175181600,2366585500.0
2021-08-27,817.655,826.115,813.737,824.302,178384690,2325484100.0
2021-08-30,823.464,835.209,822.192,835.134,261837480,3400369000.0
2021-08-31,839.081,846.887,838.76,845.315,433080790,5556577500.0
2021-09-01,845.75,854.85,840.79,845.978,493446370,5877679300.0
2021-09-02,846.557,849.836,836.529,848.803,334951210,4086946700.0
2021-09-03,853.635,856.959,844.63,847.523,359334780,4452738200.0
2021-09-06,848.985,878.912,848.985,878.616,333088870,4329599600.0
2021-09-07,879.678,903.051,878.433,899.726,405113940,5850027100.0
2021-09-08,906.708,917.406,903.8,912.548,439946990,7428120900.0
2021-09-09,905.398,922.549,903.969,917.671,391671970,5831388200.0
2021-09-10,919.079,920.764,906.904,911.143,357379320,5400667100.0
2021-09-13,910.438,917.911,903.409,908.358,333247690,4841468400.0
2021-09-14,910.731,915.663,892.915,894.937,331350110,4692261000.0
2021-09-15,891.242,910.497,887.645,910.068,318707420,4317163200.0
2021-09-16,912.337,921.777,906.346,911.203,345863970,5118856400.0
2021-09-17,908.534,922.228,898.074,915.426,344472660,5116735300.0
2021-09-22,904.992,913.774,903.872,912.395,260946520,3877546700.0
2021-09-23,913.293,927.263,913.056,921.059,306285320,4405867700.0
2021-09-24,918.735,920.366,907.264,908.185,332017210,4739853800.0
2021-09-27,907.712,912.274,878.747,882.721,335711990,4558291600.0
2021-09-28,874.932,879.253,870.369,870.509,208351940,2719984200.0
2021-09-29,865.447,865.447,836.353,836.353,242351180,3297190100.0
2021-09-30,843.032,862.1,843.032,859.632,198211830,2521596400.0
2021-10-08,866.818,882.424,866.749,873.993,208873000,2422471300.0
2021-10-11,877.21,879.506,870.42,877.197,343755020,3380674600.0
2021-10-12,872.107,872.352,855.63,864.097,270097070,3003360300.0
2021-10-13,864.573,866.306,842.791,860.517,221914020,2564365400.0
2021-10-14,868.425,874.577,860.818,868.681,191025160,2229934600.0
2021-10-15,872.807,877.412,849.677,849.879,340310980,3290482400.0
2021-10-18,846.188,855.353,838.859,854.879,270237850,2624656400.0
2021-10-19,853.163,856.412,846.886,855.276,224795730,2458372300.0
2021-10-20,854.632,865.905,849.288,865.841,229145420,2578295600.0
2021-10-21,862.308,869.022,858.19,864.269,235669290,2750734300.0
2021-10-22,861.522,865.577,855.705,856.001,216017850,2522561400.0
2021-10-25,854.538,859.121,850.339,857.935,174797000,2358636900.0
2021-10-26,856.92,858.904,846.623,851.222,157572450,1811445600.0
2021-10-27,849.155,849.539,832.422,836.724,170924800,2133982500.0
2021-10-28,832.115,838.014,814.635,821.718,193704650,2189527700.0
2021-10-29,818.863,840.841,818.74,839.756,193938120,2886957000.0
2021-11-01,839.232,846.578,831.8,845.521,257869510,3092211200.0
2021-11-02,844.81,849.432,828.502,834.293,342718300,3099759100.0
2021-11-03,833.703,840.118,832.545,838.886,260216210,2471359700.0
2021-11-04,838.432,860.703,838.432,859.878,288387780,2820609700.0
2021-11-05,860.463,871.731,858.501,865.376,357377980,3749981000.0
2021-11-08,866.257,869.689,859.31,867.94,281819830,2934711400.0
2021-11-09,868.192,878.784,864.852,877.52,233159220,2386464700.0
2021-11-10,879.01,885.457,871.613,884.551,267354580,2756516500.0
2021-11-11,878.992,882.025,874.217,876.49,243609380,2457391300.0
2021-11-12,878.788,886.693,875.121,884.085,218460300,2320684400.0
2021-11-15,883.47,887.886,877.532,886.306,306424620,3167578800.0
2021-11-16,886.072,887.619,877.259,880.162,224884800,2502084400.0
2021-11-17,879.235,888.205,876.385,887.262,182271790,2198807300.0
2021-11-18,885.448,888.535,880.797,881.906,210238140,2461441100.0
2021-11-19,888.079,895.662,886.046,894.567,177974330,2181553600.0
2021-11-22,898.49,898.834,888.222,897.497,349013160,3597762100.0
2021-11-23,895.287,901.873,894.509,896.928,280482510,2995032000.0
2021-11-24,897.656,907.186,894.003,903.678,240902070,2738228100.0
2021-11-25,903.807,912.877,900.389,908.211,204606160,2436814700.0
2021-11-26,908.515,910.44,904.493,905.844,193110570,2276414200.0
2021-11-29,893.381,900.242,893.376,897.049,196749930,2201796400.0
2021-11-30,898.786,906.053,895.813,901.566,229322730,2212639500.0
2021-12-01,898.944,909.008,898.253,908.026,209032520,2429678800.0
2021-12-02,908.52,911.478,892.23,892.23,202818970,2436523800.0
2021-12-03,892.845,895.852,882.599,893.109,201201020,2293550000.0
2021-12-06,891.697,892.169,874.644,875.958,180897520,1946380600.0
2021-12-07,877.917,880.787,864.549,880.004,168535590,1995601300.0
2021-12-08,881.489,889.23,877.172,887.899,152453110,1732543800.0
2021-12-09,888.072,895.902,886.017,893.61,197408870,2059738600.0
2021-12-10,893.764,900.657,891.875,897.004,205640300,2247273400.0
2021-12-13,901.086,901.375,895.392,898.127,206946430,2265240200.0
2021-12-14,894.492,904.549,891.665,903.665,171934070,2142465100.0
2021-12-15,903.572,904.233,893.076,894.253,177841330,2029498200.0
2021-12-16,892.338,894.609,887.234,889.313,146176530,1627616500.0
2021-12-17,889.142,889.142,878.365,878.365,147352900,1603959600.0
2021-12-20,877.398,880.701,868.19,868.81,186779260,1766672800.0
2021-12-21,868.681,877.326,867.663,876.791,157950050,1556015500.0
2021-12-22,878.866,887.9,876.482,887.228,145032360,1600690100.0
2021-12-23,891.144,893.365,884.543,886.571,134026973,1598320500.0
2021-12-24,883.435,890.223,874.567,883.392,203984840,2185337100.0
2021-12-27,884.556,903.911,884.556,903.802,200531080,2181889200.0
2021-12-28,902.139,907.628,897.746,906.056,173348690,1929290000.0
2021-12-29,908.069,913.724,902.459,902.669,148590280,1767207900.0
2021-12-30,903.49,913.421,898.811,913.119,149169530,1896481700.0
2021-12-31,913.718,928.526,909.107,924.852,188425600,2278006600.0
2022-01-04,926.556,935.214,926.391,929.791,224254690,2943167700.0
2022-01-05,929.242,929.242,909.888,915.884,219103430,2541264200.0
2022-01-06,913.415,931.256,911.076,931.008,201518100,2877518200.0
2022-01-07,933.354,937.505,921.691,921.752,233792430,2997191300.0
2022-01-10,920.539,929.351,910.806,926.289,178903540,2281780000.0
2022-01-11,924.599,929.559,907.532,910.297,172931260,2123243400.0
2022-01-12,913.992,922.649,911.585,922.413,163560030,2015574500.0
2022-01-13,923.343,924.779,907.626,907.888,165483870,1828625700.0
2022-01-14,909.346,928.315,903.886,922.051,225144910,2632024800.0
2022-01-17,928.98,934.568,919.559,933.822,246238590,3230427100.0
2022-01-18,932.108,933.04,909.702,910.995,228284520,2746738200.0
2022-01-19,906.889,914.533,903.771,909.129,165825770,2058417800.0
2022-01-20,908.787,913.404,888.319,889.54,197692380,2562552400.0
2022-01-21,885.368,890.309,871.675,872.974,147795630,1913824200.0
2022-01-24,867.055,870.605,862.066,864.455,110174468,1450944700.0
