日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-12-10,999.952,1017.079,997.361,1015.91,690767770,18760590000.0
2021-12-13,1019.471,1021.805,1009.57,1021.805,693088560,19761236000.0
2021-12-14,1017.798,1026.319,1013.501,1026.319,680181590,18590574000.0
2021-12-15,1023.114,1026.343,1016.345,1018.691,588484820,15659112000.0
2021-12-16,1021.523,1026.884,1017.877,1025.066,634690280,14998844000.0
2021-12-17,1023.918,1023.918,1000.255,1000.858,705696770,17615749000.0
2021-12-20,1000.643,1006.592,983.638,984.024,614398200,18132816000.0
2021-12-21,985.198,1003.641,985.198,1003.635,529228240,14354015000.0
2021-12-22,1004.834,1015.232,1001.924,1012.769,729397380,19690143000.0
2021-12-23,1012.927,1020.368,1007.335,1015.572,676731770,15760733000.0
2021-12-24,1019.421,1019.61,993.654,994.658,650978100,15172767000.0
2021-12-27,994.673,1000.479,988.027,992.994,483131920,11860996500.0
2021-12-28,995.577,1008.892,995.577,1008.582,532800740,13538642000.0
2021-12-29,1007.625,1007.625,995.151,1001.088,471926680,11517005200.0
2021-12-30,998.033,1024.194,997.832,1017.007,560151810,13887433000.0
2021-12-31,1018.329,1024.342,1014.323,1021.679,489577640,12152810200.0
2022-01-04,1022.561,1025.916,1018.213,1024.402,617535060,15859124000.0
2022-01-05,1022.707,1024.161,987.319,997.244,696174400,19052739000.0
2022-01-06,990.792,1014.527,990.18,1007.407,479034400,13517693000.0
2022-01-07,1007.165,1010.06,982.462,982.462,496282770,12165576100.0
2022-01-10,980.527,993.221,969.294,988.16,414920570,11915719000.0
2022-01-11,988.575,996.848,976.089,978.278,490479040,11164313400.0
2022-01-12,981.965,1000.524,981.866,1000.524,505225150,11184115200.0
2022-01-13,1000.5,1000.5,986.754,986.754,434510610,10603289800.0
2022-01-14,983.979,1003.949,979.783,995.428,477291020,12121167600.0
2022-01-17,994.96,1020.028,994.96,1019.966,513304980,13831393000.0
2022-01-18,1019.034,1019.778,1002.691,1004.995,467693130,11927828800.0
2022-01-19,1000.034,1007.127,993.396,1001.815,406953960,10312638700.0
2022-01-20,1001.688,1001.772,965.455,965.82,483825790,11528955800.0
2022-01-21,961.338,969.678,954.222,957.425,382476090,9721506300.0
2022-01-24,953.749,962.475,951.787,953.315,341078890,9414709600.0
2022-01-25,951.537,956.01,909.022,909.022,418135230,10648706400.0
2022-01-26,912.704,921.694,904.483,916.398,306399920,8964555800.0
2022-01-27,918.991,919.782,884.919,884.919,369651830,10125168000.0
2022-01-28,892.541,906.867,878.683,895.389,359099310,9631707800.0
2022-02-07,907.242,910.381,891.138,894.512,521150360,12818236200.0
2022-02-08,892.993,896.521,879.965,896.521,440256380,12027570400.0
2022-02-09,897.709,911.97,892.972,911.97,470879670,11108735600.0
2022-02-10,914.083,914.083,901.112,905.579,493577080,10959691800.0
2022-02-11,902.25,902.25,878.841,880.274,516486910,11629880600.0
2022-02-14,876.608,887.224,868.56,877.615,382161390,8495471700.0
2022-02-15,878.808,890.077,875.894,889.795,405366330,10906969300.0
2022-02-16,896.693,902.403,892.249,899.391,414529330,9483779500.0
2022-02-17,898.671,907.745,895.316,900.419,436936360,10335162200.0
2022-02-18,894.007,898.751,889.111,898.751,393692490,8023363200.0
2022-02-21,899.498,909.178,898.706,909.161,496924430,9141868500.0
2022-02-22,903.644,903.644,889.103,900.227,508357030,11091385800.0
2022-02-23,902.236,929.175,902.147,928.429,604678980,15214054000.0
2022-02-24,924.965,933.503,897.404,910.305,724408530,16073989000.0
2022-02-25,918.27,930.551,917.289,920.381,473931100,11758865500.0
2022-02-28,920.021,923.198,907.82,916.187,408015960,9886291000.0
2022-03-01,919.23,920.655,911.703,918.376,348103680,8703660200.0
2022-03-02,913.038,914.399,906.628,913.31,339696020,9185889900.0
2022-03-03,917.736,919.106,897.35,898.717,393462710,9753200200.0
2022-03-04,894.789,902.158,881.505,884.368,400830640,9985016400.0
2022-03-07,880.776,880.793,855.452,859.462,421850000,10895131800.0
2022-03-08,859.321,864.659,833.638,839.539,449301550,11379587300.0
2022-03-09,842.451,849.53,796.988,829.323,520190950,12764374900.0
2022-03-10,847.589,853.629,840.486,840.788,451449760,12233861000.0
2022-03-11,830.171,845.919,820.109,845.263,451729330,11644440600.0
2022-03-14,837.839,838.82,818.71,818.71,346513150,8931385000.0
2022-03-15,814.384,819.475,778.34,778.34,519330010,12525757700.0
2022-03-16,791.984,807.358,765.265,806.561,571659540,14409710000.0
2022-03-17,817.641,836.243,817.641,824.38,567628050,16476461000.0
2022-03-18,822.05,829.348,819.942,829.336,354229890,9159848200.0
2022-03-21,830.415,839.048,826.309,836.796,373616270,9431346300.0
2022-03-22,835.898,840.542,829.824,834.639,330510010,8239623800.0
2022-03-23,837.605,843.87,830.85,840.825,349949000,9032045100.0
2022-03-24,835.688,835.688,823.249,824.765,327342530,7959831800.0
2022-03-25,827.335,833.523,821.287,821.368,320859890,7102950600.0
2022-03-28,815.824,823.632,805.682,815.527,302945050,6946086100.0
2022-03-29,817.481,818.755,796.756,799.065,465918650,12341385000.0
2022-03-30,804.439,813.639,801.19,813.639,414495550,10678684900.0
2022-03-31,810.774,810.79,803.56,805.485,370715910,9878300800.0
2022-04-01,801.351,802.928,794.226,798.291,348582950,8273543800.0
2022-04-06,796.77,799.216,791.0,795.108,377887770,9855059700.0
2022-04-07,795.712,799.659,779.858,779.858,465785420,9705189400.0
2022-04-08,779.561,780.674,758.629,767.209,421082490,8179089000.0
2022-04-11,765.194,765.195,729.559,732.739,447954290,9503614600.0
2022-04-12,732.109,746.591,726.367,746.289,366215120,8109843800.0
2022-04-13,743.164,743.164,729.622,729.622,306124130,6376456900.0
2022-04-14,734.128,740.135,729.522,735.882,347193390,8004885500.0
2022-04-15,732.163,734.8,717.838,728.825,386992060,7758539500.0
2022-04-18,727.409,748.778,721.429,748.745,454309000,10480510300.0
2022-04-19,746.432,752.911,738.374,743.269,399959240,10486389100.0
2022-04-20,742.705,752.421,734.21,737.256,452985110,8688894900.0
2022-04-21,734.727,741.092,710.313,712.264,546560740,10023725700.0
2022-04-22,707.42,708.018,692.984,698.495,502724950,12665118500.0
2022-04-25,686.953,686.953,637.935,637.935,620033440,11734014300.0
2022-04-26,638.658,642.178,607.173,608.606,546214280,9554266400.0
2022-04-27,599.984,637.115,593.103,636.903,629568590,11753678800.0
2022-04-28,627.28,632.831,613.738,621.211,525608910,11387871100.0
2022-04-29,626.487,655.758,626.487,652.775,626207440,12988299800.0
2022-05-05,650.748,665.797,646.517,659.046,456154460,9583979900.0
2022-05-06,643.315,660.333,640.333,652.451,389698900,7392851800.0
2022-05-09,652.275,665.912,651.577,658.113,313874960,6223964600.0
2022-05-10,650.19,675.345,648.432,674.549,485271110,11320922300.0
2022-05-11,675.559,703.173,675.559,685.212,641950640,14816295000.0
2022-05-12,681.339,695.739,680.56,691.252,396931780,8982491500.0
2022-05-13,694.35,698.576,688.766,698.22,403434030,7876209600.0
2022-05-16,703.065,705.494,688.838,691.951,393100700,8009319500.0
2022-05-17,692.065,704.337,687.828,704.337,476383210,11344312400.0
2022-05-18,705.032,717.634,703.391,712.837,541532780,10775020400.0
2022-05-19,701.76,718.753,700.516,718.753,484022600,10137466400.0
2022-05-20,720.246,726.923,715.39,726.923,482048670,9779742500.0
2022-05-23,729.919,736.734,723.935,736.636,448961030,9681685300.0
2022-05-24,737.859,742.67,702.661,702.661,638309220,12197950300.0
2022-05-25,701.73,712.939,700.883,712.145,420135130,7919860200.0
2022-05-26,714.269,717.763,697.129,713.888,506134320,10260203200.0
2022-05-27,717.617,726.717,705.915,713.645,495912230,9600911200.0
2022-05-30,714.198,723.874,709.688,723.078,471859200,10025462200.0
2022-05-31,723.731,738.995,715.039,738.426,770832850,16156627000.0
2022-06-01,738.18,749.356,735.361,744.622,618523090,12691059900.0
2022-06-02,741.838,766.319,739.309,766.19,626809530,13909656000.0
2022-06-06,770.49,787.453,770.461,785.888,762758430,17524208000.0
2022-06-07,787.528,787.528,766.272,772.012,639590550,14838542000.0
2022-06-08,769.922,777.307,750.629,768.643,602054670,13157830300.0
2022-06-09,767.009,767.009,740.999,744.551,538579040,11223337800.0
2022-06-10,741.631,763.948,740.194,763.364,578782000,13323970700.0
2022-06-13,759.321,772.079,757.344,770.429,596418840,12690423500.0
2022-06-14,763.606,765.119,741.12,765.022,666492400,14501277000.0
2022-06-15,766.632,778.345,765.349,765.349,800147040,15682685000.0
2022-06-16,766.015,785.661,766.015,778.441,651378920,13564475000.0
2022-06-17,774.014,784.277,766.348,783.967,600519000,12756482000.0
2022-06-20,785.754,793.792,781.584,793.223,721427810,15532584000.0
2022-06-21,794.219,798.829,779.598,788.57,840669750,16326030000.0
2022-06-22,790.627,790.661,778.197,778.35,947487180,19340445000.0
2022-06-23,778.865,810.995,778.865,810.995,1111400100,22899009000.0
2022-06-24,813.918,823.837,812.698,821.304,1028860400,20989340000.0
2022-06-27,827.83,831.386,819.2,829.503,928457810,19892870000.0
2022-06-28,828.803,858.87,822.635,856.774,1280907140,26941635000.0
2022-06-29,855.159,863.528,835.205,835.646,1384211000,30915106000.0
2022-06-30,834.5,845.456,831.073,837.379,1196680200,24401317000.0
2022-07-01,835.328,839.081,826.768,828.336,838094530,17188431000.0
2022-07-04,825.811,825.917,810.651,824.322,827646770,19247470000.0
2022-07-05,825.265,828.592,799.734,810.234,772297770,16155075000.0
2022-07-06,809.469,825.553,804.497,814.977,823385750,17296106000.0
2022-07-07,815.428,829.591,812.946,829.355,802782860,15628792000.0
2022-07-08,830.022,839.289,827.492,829.43,972439850,20169948000.0
2022-07-11,827.247,827.247,809.343,817.164,672767610,14427634000.0
2022-07-12,815.026,815.026,790.798,791.097,619532460,12732528100.0
2022-07-13,790.736,799.531,788.418,796.012,523693780,11131333400.0
2022-07-14,794.953,814.673,793.133,809.568,548109680,11333393200.0
2022-07-15,805.081,815.998,797.946,799.74,757849660,14210906000.0
2022-07-18,802.044,822.819,802.044,822.819,831776580,14321526000.0
2022-07-19,824.315,839.426,823.122,835.876,901226650,15329472000.0
2022-07-20,837.619,842.659,835.741,838.714,865050820,15680391000.0
2022-07-21,836.509,853.761,834.109,847.124,982728370,19152639000.0
2022-07-22,847.1,852.828,834.806,842.526,755703740,14528670000.0
2022-07-25,843.287,845.908,825.679,827.733,575999970,10746875500.0
2022-07-26,830.692,837.062,816.274,837.062,483369410,9023361500.0
2022-07-27,834.642,853.258,833.04,852.36,601973180,11420835300.0
2022-07-28,857.743,880.747,857.743,878.783,1031191220,19550711000.0
2022-07-29,881.287,881.863,873.962,875.607,957950490,18369429000.0
2022-08-01,876.621,887.265,866.928,886.961,886858770,17002453000.0
2022-08-02,878.987,878.987,851.868,863.478,939936810,17207641000.0
2022-08-03,867.159,890.2,863.117,867.631,1136354310,22224847000.0
2022-08-04,874.087,882.403,865.985,882.102,863008230,18098276000.0
2022-08-05,884.056,905.805,881.458,905.805,1183162870,26668296000.0
2022-08-08,909.869,920.733,900.034,920.724,1258586910,28306542000.0
2022-08-09,918.831,925.324,910.965,925.324,1132120950,25101004000.0
2022-08-10,919.656,930.253,916.113,927.513,1178808310,26082630000.0
2022-08-11,931.712,941.462,930.393,937.781,1616930000,35306053000.0
2022-08-12,937.562,943.986,921.491,921.895,1682874700,33914782000.0
2022-08-15,915.537,918.714,909.406,915.113,1343015100,24240316000.0
2022-08-16,913.029,924.142,908.856,919.162,1271435860,22632789000.0
2022-08-17,917.64,922.5,913.27,920.062,1227794110,24635676000.0
2022-08-18,915.727,936.819,913.236,935.524,1327883750,24987958000.0
2022-08-19,936.161,942.95,908.162,908.162,1189064460,22709137000.0
2022-08-22,906.229,911.707,898.791,904.132,998795300,17605466000.0
2022-08-23,901.255,911.672,898.799,906.004,844495730,16119360000.0
2022-08-24,903.747,905.608,856.738,856.738,1091702990,21056126000.0
