日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2024-01-26,1004.555,1019.095,994.729,997.257,413874880,4268645600.0
2024-01-29,997.988,1005.5,964.128,964.128,406295600,4050219900.0
2024-01-30,957.233,965.306,936.557,940.025,328143330,3264686100.0
2024-01-31,921.502,926.961,889.743,891.575,455591840,4253513000.0
2024-02-01,876.04,889.953,855.296,868.289,448210400,3943658600.0
2024-02-02,868.241,885.369,802.653,829.571,452548870,4014023700.0
2024-02-05,820.453,820.453,736.57,749.093,516497590,4297367500.0
2024-02-06,729.141,794.439,707.76,775.348,497859760,4150874000.0
2024-02-07,779.372,803.444,765.296,775.266,479354250,4397755400.0
2024-02-08,781.413,828.313,777.36,828.115,645442150,5584058500.0
2024-02-19,836.617,861.062,836.617,861.035,626472030,5264859500.0
2024-02-20,855.855,873.824,845.817,871.355,478529640,4027785600.0
2024-02-21,864.398,906.602,861.223,882.012,619321810,5637515700.0
2024-02-22,876.121,907.658,876.121,907.658,546119860,4809394700.0
2024-02-23,909.839,934.066,904.212,932.513,531416480,4898649200.0
2024-02-26,947.601,965.954,936.8,965.559,651629190,6200239600.0
2024-02-27,954.445,983.35,949.153,983.35,638165630,6178244500.0
2024-02-28,982.923,996.766,913.766,913.923,761117320,7389228200.0
2024-02-29,906.752,958.186,906.752,958.186,658540380,6228814700.0
2024-03-01,963.952,974.311,957.907,972.986,652298560,6726166300.0
2024-03-04,976.008,979.356,959.058,977.525,578416350,6014683200.0
2024-03-05,972.476,1011.827,966.783,1004.986,869119470,9261107700.0
2024-03-06,1000.063,1050.608,999.507,1039.289,1076861480,11492954000.0
2024-03-07,1045.793,1059.759,1031.169,1032.992,948659270,10189426400.0
2024-03-08,1031.562,1058.287,1026.866,1055.393,937086340,9863144800.0
2024-03-11,1061.336,1099.99,1055.996,1092.047,1078758310,11912578900.0
2024-03-12,1095.285,1155.37,1091.865,1153.801,1545997000,21908095000.0
2024-03-13,1148.336,1178.718,1138.72,1154.344,2216613900,28383285000.0
2024-03-14,1145.732,1150.718,1113.172,1124.828,1626022300,21590153000.0
2024-03-15,1129.643,1160.903,1129.643,1159.991,1569148500,21285541000.0
2024-03-18,1171.451,1232.583,1171.451,1232.583,1693492300,25105631000.0
2024-03-19,1230.254,1256.282,1227.768,1227.863,2309842900,33498840000.0
2024-03-20,1239.013,1279.945,1239.013,1279.945,2247705100,32994463000.0
2024-03-21,1280.562,1350.699,1273.527,1335.874,2980080000,41580070000.0
2024-03-22,1324.646,1328.176,1299.633,1309.175,3335973500,44013385000.0
2024-03-25,1298.038,1321.763,1264.569,1264.957,2929272000,38453545000.0
2024-03-26,1254.591,1268.557,1241.774,1256.435,2737602000,36066774000.0
2024-03-27,1245.176,1253.54,1199.166,1213.215,2893414400,38311743000.0
2024-03-28,1236.522,1329.158,1236.522,1319.077,4102326800,55252188000.0
2024-03-29,1316.895,1340.735,1301.147,1329.714,4808961500,61062819000.0
2024-04-01,1331.557,1352.071,1319.846,1348.825,4770580700,62162998000.0
2024-04-02,1340.957,1370.601,1326.207,1336.701,5793757700,71431184000.0
2024-04-03,1314.588,1322.578,1284.635,1304.269,4794110200,56112413000.0
2024-04-08,1296.151,1297.366,1261.716,1262.724,4025350500,50044117000.0
2024-04-09,1260.769,1284.863,1258.445,1273.809,3770327100,45977314000.0
2024-04-10,1266.915,1285.64,1235.64,1277.422,5099792900,59347829000.0
2024-04-11,1250.699,1263.677,1239.919,1240.845,4186583800,49100212000.0
2024-04-12,1234.608,1247.387,1217.529,1217.977,3569655000,41306650000.0
2024-04-15,1209.785,1222.152,1168.869,1187.631,4150882300,48662462000.0
2024-04-16,1174.019,1174.019,1108.056,1108.056,4269689700,47950519000.0
2024-04-17,1124.935,1201.67,1124.935,1201.67,4252493400,49606984000.0
2024-04-18,1206.777,1264.318,1200.265,1234.14,5812641500,70320676000.0
2024-04-19,1224.294,1268.089,1224.294,1267.01,6079222400,75632610000.0
2024-04-22,1257.739,1262.575,1229.291,1243.865,5135289300,66025228000.0
2024-04-23,1240.932,1274.037,1240.932,1259.33,4420844900,57166196000.0
2024-04-24,1251.479,1322.215,1251.479,1322.215,5585214900,72589801000.0
2024-04-25,1320.847,1331.92,1313.626,1322.804,5657214800,76033391000.0
2024-04-26,1320.754,1363.63,1320.754,1337.866,7202617000,98035320000.0
2024-04-29,1329.58,1363.003,1329.58,1362.29,6892117800,92498496000.0
2024-04-30,1359.417,1359.417,1314.751,1318.533,6248226700,75246933000.0
2024-05-06,1328.991,1346.935,1328.991,1339.178,5795748300,68602569000.0
2024-05-07,1339.428,1370.994,1334.623,1369.573,6117695500,78510072000.0
2024-05-08,1357.689,1360.127,1337.895,1342.359,5617968800,71302597000.0
2024-05-09,1336.354,1362.346,1336.354,1362.346,5238445400,66195032000.0
2024-05-10,1360.722,1366.357,1332.005,1332.774,5115241200,61356680000.0
2024-05-13,1316.285,1316.285,1291.541,1296.234,4455083200,53893738000.0
2024-05-14,1299.245,1310.327,1290.668,1304.52,3767860700,47609144000.0
2024-05-15,1299.921,1319.773,1290.429,1304.144,4552895100,52865216000.0
2024-05-16,1306.258,1333.844,1306.258,1315.578,5657021000,61715119000.0
2024-05-17,1330.622,1369.133,1321.236,1369.126,7628665900,82772100000.0
2024-05-20,1362.639,1383.123,1361.748,1371.48,7348200100,80328770000.0
2024-05-21,1360.164,1360.164,1338.928,1344.034,5485153400,61724944000.0
2024-05-22,1340.061,1353.105,1334.5,1353.105,5220179500,57496610000.0
2024-05-23,1361.212,1367.784,1343.624,1344.309,6084767300,67960677000.0
2024-05-24,1330.084,1330.084,1297.317,1297.317,5099354200,57594353000.0
2024-05-27,1295.652,1298.306,1271.729,1298.07,4208179500,46868360000.0
2024-05-28,1290.85,1298.609,1276.499,1277.127,3771752500,40633703000.0
2024-05-29,1274.464,1286.574,1266.625,1273.666,3809148400,38631145000.0
2024-05-30,1268.326,1277.393,1257.594,1267.569,3595627800,39494587000.0
2024-05-31,1266.636,1290.593,1266.636,1286.488,3751574600,44037695000.0
2024-06-03,1288.507,1292.319,1259.157,1270.102,4150750800,47047084000.0
2024-06-04,1262.11,1265.019,1246.981,1263.892,3751320500,43283897000.0
2024-06-05,1260.271,1269.898,1245.894,1245.894,3695882300,42532964000.0
2024-06-06,1242.466,1246.929,1186.047,1189.894,4635705000,50577323000.0
