日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,681.516,696.725,681.303,695.399,1395936700,13260428100.0
2020-01-03,698.796,700.856,694.579,700.516,1429359400,12640482300.0
2020-01-06,694.9,707.823,691.411,702.34,1417243300,12685868900.0
2020-01-07,703.799,714.794,703.799,714.489,1280313820,11183362100.0
2020-01-08,712.008,713.747,700.061,701.314,1388400400,11358623800.0
2020-01-09,706.696,712.575,705.446,711.827,1356979500,12585354000.0
2020-01-10,714.494,714.889,707.955,711.395,1261105370,11178935700.0
2020-01-13,710.726,717.006,704.72,717.006,1117586170,10554873900.0
2020-01-14,717.961,722.711,717.307,719.594,974089250,9419175900.0
2020-01-15,717.872,717.872,709.244,713.514,1078756250,11083502400.0
2020-01-16,712.912,716.836,709.272,710.756,1071585040,10485539500.0
2020-01-17,709.459,713.059,705.827,706.962,969413780,9355440600.0
2020-01-20,706.253,710.54,703.833,710.54,1043893590,10512746000.0
2020-01-21,708.107,708.107,696.784,697.0,1177159270,10923093400.0
2020-01-22,691.547,694.8,681.057,691.019,1044109830,10020389200.0
2020-01-23,683.485,683.485,656.426,661.309,1316285580,11987225100.0
2020-02-03,595.362,598.339,595.362,597.821,782401030,8222579700.0
2020-02-04,557.195,588.423,557.195,585.884,1839692900,13569215000.0
2020-02-05,588.317,609.255,588.317,602.487,1350558600,10706474700.0
2020-02-06,606.251,619.295,600.56,617.167,1357442400,11000762100.0
2020-02-07,617.231,629.716,613.385,629.716,1229370960,10280722600.0
2020-02-10,629.426,644.91,628.391,644.891,1494152900,12601828500.0
2020-02-11,644.286,644.906,637.636,640.351,1379149800,11083738200.0
2020-02-12,640.455,651.149,639.443,650.883,1092791820,8955211800.0
2020-02-13,652.058,653.105,641.621,645.118,1216442740,10885298700.0
2020-02-14,643.216,648.311,639.887,644.798,1107085730,10500889300.0
2020-02-17,645.686,664.322,645.686,664.322,1246231570,11469218800.0
2020-02-18,667.601,677.11,664.844,677.055,1274447470,11410610200.0
2020-02-19,675.697,677.441,670.16,670.16,1134395650,9772374200.0
2020-02-20,672.203,685.753,671.605,685.737,1364890600,11734830800.0
2020-02-21,687.213,695.253,685.757,692.103,1444758900,13533771000.0
2020-02-24,688.979,694.226,682.093,692.882,1616212200,14132733000.0
2020-02-25,676.968,684.423,658.732,683.959,1691143300,14518034000.0
2020-02-26,674.68,691.947,674.016,680.942,1821547000,16409366000.0
2020-02-27,682.747,688.345,676.84,683.981,1325500460,11328435200.0
2020-02-28,664.076,671.551,648.649,648.825,1588817300,13478444000.0
2020-03-02,654.305,676.24,654.305,674.523,1396054000,13264778900.0
2020-03-03,681.872,692.363,678.697,683.748,1510103300,13270203100.0
2020-03-04,678.519,694.365,677.365,694.365,1407105200,13175782400.0
2020-03-05,699.138,705.419,696.53,704.383,1560218400,13792280000.0
2020-03-06,696.363,707.199,694.013,704.861,1295548850,11335290000.0
2020-03-09,695.734,697.667,683.002,683.423,1462530700,13162558800.0
2020-03-10,669.672,693.457,664.28,693.457,1339001330,11766484700.0
2020-03-11,693.065,702.194,690.824,690.824,1251443430,10410353000.0
2020-03-12,682.252,685.494,671.528,675.828,1074459800,8899844900.0
2020-03-13,642.415,669.09,641.526,663.502,1318577270,10274140800.0
2020-03-16,672.317,673.055,638.641,641.27,1103658960,9129425000.0
2020-03-17,644.599,650.106,616.672,634.008,1213122320,9038930100.0
2020-03-18,637.542,645.906,623.624,623.624,1284541350,11966534800.0
2020-03-19,621.4,627.763,609.776,624.47,1248947030,10186972500.0
2020-03-20,629.413,633.212,620.447,633.136,955785800,7848077900.0
2020-03-23,616.799,618.544,601.541,602.999,878759290,6763782900.0
2020-03-24,613.358,617.182,598.901,613.968,918068200,7155304600.0
2020-03-25,625.148,629.27,621.992,628.287,1140226940,9553706500.0
2020-03-26,625.311,628.882,621.135,621.463,769568310,5939883800.0
2020-03-27,627.841,634.592,625.121,625.269,834966760,7201568300.0
2020-03-30,618.514,618.514,606.153,612.901,932186270,7510715100.0
2020-03-31,616.479,617.659,609.114,610.273,880739930,6515298200.0
2020-04-01,608.714,615.223,604.728,605.622,836049910,7540247300.0
2020-04-02,602.015,616.264,601.625,616.264,692202600,5818172600.0
2020-04-03,617.104,618.854,611.742,614.321,917389260,6560329100.0
2020-04-07,622.739,634.229,622.739,632.78,990978310,7456684700.0
2020-04-08,632.616,641.57,630.013,639.703,935463590,6459837100.0
2020-04-09,641.504,645.974,640.227,643.759,1222530650,7670970500.0
2020-04-10,641.831,643.094,627.006,629.008,1191134500,8129689600.0
2020-04-13,625.833,625.95,620.396,621.503,1247937090,7240055300.0
2020-04-14,625.847,633.523,625.2,633.476,980370300,7036158500.0
2020-04-15,633.494,635.486,628.823,629.46,1333342550,9015408800.0
2020-04-16,626.875,631.715,625.424,630.729,924701560,6674508500.0
2020-04-17,634.098,636.489,630.782,631.219,1486905700,10402264600.0
2020-04-20,632.714,635.919,630.318,635.858,1381063400,9575725800.0
2020-04-21,632.894,632.894,624.734,630.735,1149169570,8743653200.0
2020-04-22,628.114,638.348,624.977,638.029,924095310,7004026300.0
2020-04-23,640.081,641.742,634.604,636.955,1367588300,9951983400.0
2020-04-24,637.373,637.426,623.08,625.473,1389717100,9748603700.0
2020-04-27,625.123,625.123,615.882,616.526,1216941780,8671403000.0
2020-04-28,613.701,614.121,585.868,598.141,1330901040,9195013000.0
2020-04-29,595.194,603.836,593.81,598.139,1186939930,8379764200.0
2020-04-30,599.254,608.313,599.254,607.192,1201160730,8578835100.0
2020-05-06,599.025,612.906,598.73,612.862,1250653630,9628612000.0
2020-05-07,609.651,611.981,606.835,607.055,1096566030,7663561100.0
2020-05-08,607.649,613.516,606.91,612.472,1130632690,8644815700.0
2020-05-11,613.532,616.737,607.958,610.807,1302534190,9957314700.0
2020-05-12,609.909,609.909,599.959,607.264,1133762740,8544159900.0
2020-05-13,604.582,609.662,601.873,609.53,1088716250,8394996000.0
2020-05-14,607.32,610.001,604.601,604.63,1427094100,10969880700.0
2020-05-15,606.191,609.17,605.024,606.025,1115757600,8264103200.0
2020-05-18,608.449,608.512,600.976,602.622,1386348900,12364861800.0
2020-05-19,604.249,605.471,601.63,605.471,1179319760,9404084100.0
2020-05-20,602.72,603.671,596.328,598.481,1231107400,10266470400.0
2020-05-21,597.486,598.012,592.06,593.148,1252840990,9050935200.0
2020-05-22,591.188,591.663,580.015,581.776,1073222430,7656461500.0
2020-05-25,579.702,583.698,577.932,583.297,914102140,6698848500.0
2020-05-26,584.294,594.81,584.294,594.679,1111899700,8046676300.0
2020-05-27,595.741,598.341,593.984,596.588,1332293680,10005464800.0
2020-05-28,596.951,597.917,587.586,594.501,1386454000,11005855600.0
2020-05-29,594.261,606.281,591.841,604.953,1318042080,10859039000.0
2020-06-01,609.126,623.701,609.126,623.701,1394647800,11154413400.0
2020-06-02,628.229,633.071,627.278,630.73,1838739900,16934654000.0
2020-06-03,633.436,640.83,632.5,637.899,1770508400,15325412000.0
2020-06-04,641.774,647.828,640.424,647.152,1704014100,15239341000.0
2020-06-05,650.541,650.814,643.987,648.742,1836241000,14642006000.0
2020-06-08,649.141,649.984,644.937,647.821,1536188800,12793031900.0
2020-06-09,644.536,653.774,642.031,653.774,1630671300,14828106000.0
2020-06-10,653.067,654.32,648.58,653.019,1510299300,13303938300.0
2020-06-11,653.57,657.792,647.731,649.809,1277543770,11460451900.0
2020-06-12,634.323,653.865,633.508,652.26,1531120500,13109177700.0
2020-06-15,651.456,658.144,647.498,647.498,1780748200,15650184000.0
2020-06-16,650.345,654.081,647.597,654.081,1400222200,12107215100.0
2020-06-17,654.027,656.345,649.089,655.721,1469095800,13267544800.0
2020-06-18,655.736,655.736,650.471,651.829,1417235300,13082277100.0
2020-06-19,649.853,659.406,649.394,658.058,1416869100,12619139500.0
2020-06-22,656.313,657.289,651.188,651.543,1263738230,11137959600.0
2020-06-23,651.525,651.824,648.864,648.991,1229579630,10889630800.0
2020-06-24,648.683,649.711,644.266,644.778,1136013300,11440809500.0
2020-06-29,641.801,641.801,634.784,635.923,1170036810,11203105300.0
2020-06-30,637.559,644.672,637.555,643.297,1011238820,9793233300.0
2020-07-01,644.661,649.268,643.415,649.268,1732930100,20258295000.0
2020-07-02,648.217,660.241,647.806,660.113,1802703300,18691517000.0
2020-07-03,661.208,666.863,660.014,666.526,1728873600,17821132000.0
2020-07-06,669.027,689.587,669.027,689.384,2307451700,23862961000.0
2020-07-07,694.829,701.232,687.27,694.677,2332504500,23257248000.0
2020-07-08,695.66,709.689,693.497,708.968,2235324300,22396535000.0
2020-07-09,710.558,734.049,710.449,734.049,2407874900,24282277000.0
2020-07-10,734.822,741.318,729.759,732.968,2465935800,26290930000.0
2020-07-13,737.1,754.514,733.759,754.514,2277310200,25799946000.0
2020-07-14,755.873,758.823,738.806,750.63,2458107300,25078364000.0
2020-07-15,751.875,754.941,729.902,733.116,2255636200,23025859000.0
2020-07-16,734.019,736.026,704.83,706.011,2254156900,25469326000.0
2020-07-17,704.83,714.45,699.1,705.64,1670398600,18155805000.0
2020-07-20,709.544,727.308,709.544,727.308,1790380400,19710243000.0
2020-07-21,728.832,730.851,723.005,727.98,1474297300,16089585000.0
2020-07-22,727.53,738.36,725.146,734.401,1759096900,17659905000.0
2020-07-23,729.53,732.996,712.342,729.288,1667930300,19334259000.0
2020-07-24,725.881,730.714,696.49,697.866,1777154600,20815717000.0
2020-07-27,698.411,700.805,683.61,690.279,1207139670,14138341000.0
2020-07-28,695.8,703.077,695.8,702.216,1045953660,12296723900.0
2020-07-29,702.201,717.995,695.677,717.639,1362411200,15241161000.0
2020-07-30,717.233,722.267,715.215,718.155,1384235900,15766495000.0
2020-07-31,715.048,726.718,711.9,726.357,1747874900,18258169000.0
2020-08-03,729.34,742.94,729.34,742.398,2125150000,24538052000.0
2020-08-04,742.891,743.971,734.807,737.802,2003054100,23393364000.0
2020-08-05,735.211,746.548,730.844,746.3,1701238100,18439992000.0
2020-08-06,747.346,749.217,735.371,741.82,1639353600,18192273000.0
2020-08-07,741.481,742.041,725.484,735.248,1595311800,16848994000.0
2020-08-10,733.613,748.845,732.28,745.366,1607502600,16974636000.0
2020-08-11,744.048,747.611,732.414,733.763,1657419800,16958375000.0
2020-08-12,730.379,730.973,715.288,729.468,1395733600,15658970000.0
2020-08-13,731.324,738.122,731.236,733.56,1154474650,13171733500.0
2020-08-14,731.524,741.891,728.728,741.156,1258262030,13267914700.0
2020-08-17,742.139,753.089,742.089,752.124,1712448000,17466302000.0
2020-08-18,752.358,759.812,750.834,759.543,1599431100,16380781000.0
2020-08-19,759.407,759.407,747.644,748.212,1629843100,17520384000.0
2020-08-20,742.194,751.15,739.125,746.283,1254471490,12294209500.0
2020-08-21,750.919,755.225,746.859,751.487,1495584400,14348284000.0
2020-08-24,752.548,757.365,744.374,756.332,1497822500,13836224000.0
2020-08-25,757.601,764.604,754.81,758.39,1487766000,14430550000.0
2020-08-26,758.244,758.244,741.01,743.805,1541175000,15407003000.0
2020-08-27,741.745,747.814,735.715,747.246,1165768030,11085671700.0
2020-08-28,746.062,754.511,742.898,754.022,1239802790,12881216800.0
2020-08-31,756.466,764.226,756.466,757.289,1337316710,14002499000.0
2020-09-01,755.653,760.659,752.011,760.659,1086130270,10576845900.0
2020-09-02,761.659,770.215,758.641,768.365,1313949490,12978020300.0
2020-09-03,767.756,770.535,762.51,766.897,1287905380,13179089200.0
2020-09-04,754.16,770.408,752.608,769.312,1207300480,12414131700.0
2020-09-07,768.182,779.135,763.043,767.735,1556680800,16168304000.0
2020-09-08,766.241,774.635,760.673,774.608,1442701600,13892232000.0
2020-09-09,766.949,775.544,755.747,755.747,1621433200,14002124000.0
2020-09-10,759.009,760.381,728.704,729.582,1380953800,12610572000.0
2020-09-11,726.316,741.508,724.133,740.82,981627440,9285651400.0
