日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-11-01,1071.619,1085.22,1070.444,1085.01,341399520,3214863200.0
2022-11-02,1140.336,1175.888,1140.336,1171.596,626909920,5604175000.0
2022-11-03,1197.468,1240.494,1185.782,1186.016,783023670,7989535900.0
2022-11-04,1178.351,1227.824,1167.251,1213.407,1318801160,8101788700.0
2022-11-07,1202.376,1273.137,1197.347,1249.836,930265330,7527688000.0
2022-11-08,1251.033,1271.862,1232.959,1236.756,566824070,5555056300.0
2022-11-09,1232.581,1310.945,1232.422,1310.703,613229570,6489709900.0
2022-11-10,1317.186,1399.307,1316.76,1369.309,831591830,9007076400.0
2022-11-11,1390.076,1418.523,1361.564,1370.793,1834069800,11133236100.0
2022-11-14,1358.683,1370.923,1309.42,1323.998,1453488600,8294989200.0
2022-11-15,1307.906,1357.999,1286.399,1350.334,1266123540,7048157300.0
2022-11-16,1335.895,1338.489,1305.294,1311.058,596604250,4794113000.0
2022-11-17,1309.226,1327.747,1302.367,1322.855,345560580,3670526900.0
2022-11-18,1315.523,1316.6,1288.809,1292.961,1402934500,5662084900.0
2022-11-21,1280.66,1350.103,1278.923,1348.204,926093760,6127167600.0
2022-11-22,1317.797,1325.508,1280.496,1285.898,1120591240,5521274300.0
2022-11-23,1273.894,1295.688,1273.105,1295.688,1036162320,4655249900.0
2022-11-24,1280.191,1308.508,1278.599,1293.559,779047560,4843949100.0
2022-11-25,1287.088,1287.924,1268.873,1268.873,489696840,3467514400.0
2022-11-28,1257.917,1276.767,1254.18,1272.046,385573700,2945735300.0
2022-11-29,1277.539,1302.984,1276.385,1293.808,300357430,3241678600.0
2022-11-30,1290.519,1365.731,1289.314,1362.956,509538700,5534120900.0
2022-12-01,1352.563,1365.575,1328.944,1330.586,503845840,6018664900.0
2022-12-02,1321.595,1332.72,1316.256,1321.915,343787820,3646315000.0
2022-12-05,1321.837,1337.51,1312.321,1335.097,368182330,3674609200.0
2022-12-06,1330.352,1370.804,1330.352,1370.188,442856700,5047329500.0
2022-12-07,1354.703,1377.433,1344.719,1361.948,376199050,4310485300.0
2022-12-08,1349.915,1350.374,1315.043,1315.043,1164406530,5565197400.0
2022-12-09,1298.745,1303.73,1284.826,1287.787,305855260,2904770800.0
2022-12-12,1281.736,1290.563,1272.187,1286.938,270686750,2688875000.0
2022-12-13,1277.713,1289.863,1271.756,1273.978,247594620,2307802200.0
2022-12-14,1268.76,1296.101,1265.114,1296.013,1155663210,4163515700.0
2022-12-15,1287.175,1310.011,1287.175,1290.58,1044038400,4635095700.0
2022-12-16,1277.555,1279.418,1263.496,1267.66,758071230,3403862200.0
2022-12-19,1262.1,1271.819,1245.817,1263.068,715997430,3814333600.0
2022-12-20,1253.416,1306.949,1248.308,1295.594,995221090,5328449800.0
2022-12-21,1272.572,1308.903,1252.111,1283.512,942161770,4942412100.0
2022-12-22,1277.393,1333.705,1275.574,1315.032,821701760,5018257000.0
2022-12-23,1303.078,1311.966,1275.225,1293.071,732700080,4287979100.0
2022-12-26,1293.117,1323.152,1289.61,1298.457,626824690,3992900700.0
2022-12-27,1291.95,1307.134,1276.376,1302.088,846807120,4206374000.0
2022-12-28,1288.613,1289.174,1261.066,1264.128,703552890,3398963100.0
2022-12-29,1254.41,1280.319,1241.17,1265.141,822510700,3541371000.0
2022-12-30,1253.558,1279.473,1253.114,1256.383,689816270,3621889200.0
2023-01-03,1245.752,1267.874,1241.72,1267.798,659253020,3227576000.0
2023-01-04,1264.112,1292.767,1258.093,1283.709,661239760,3847270400.0
2023-01-05,1281.095,1283.17,1262.2,1270.39,507951930,2899575300.0
2023-01-06,1264.006,1303.865,1261.609,1288.98,579224410,3958633600.0
2023-01-09,1279.524,1292.573,1279.416,1283.265,417854910,2859640300.0
2023-01-10,1281.175,1281.175,1266.911,1270.711,399313990,2455408700.0
2023-01-11,1269.466,1269.835,1236.738,1236.738,591733260,2677898200.0
2023-01-12,1231.61,1234.337,1211.853,1213.993,479814860,2224469100.0
2023-01-13,1215.934,1232.093,1214.517,1225.703,322453140,1773622000.0
2023-01-16,1226.001,1237.712,1225.121,1232.088,518725820,2036341400.0
2023-01-17,1236.545,1249.334,1236.13,1241.517,493839070,2034050200.0
2023-01-18,1239.614,1257.294,1239.348,1250.422,295604910,1945338500.0
2023-01-19,1250.854,1250.854,1237.54,1244.675,774639680,2549210000.0
2023-01-20,1247.342,1262.54,1247.342,1260.786,524469840,2178419800.0
2023-01-30,1267.081,1279.887,1267.081,1277.575,688742240,2989413400.0
2023-01-31,1272.031,1292.562,1265.29,1292.562,613529130,3488464300.0
2023-02-01,1293.922,1309.402,1289.794,1309.402,543992920,3242277400.0
2023-02-02,1310.74,1315.585,1297.018,1311.659,589637000,3145779800.0
2023-02-03,1309.092,1343.685,1301.112,1339.992,617794450,4268791100.0
2023-02-06,1331.089,1348.479,1321.6,1328.014,516719090,4071945900.0
2023-02-07,1324.958,1328.045,1316.452,1327.097,381948500,2791652800.0
2023-02-08,1323.885,1337.732,1320.789,1326.993,347888580,2977808200.0
2023-02-09,1319.027,1339.728,1313.322,1337.794,461298190,2719982700.0
2023-02-10,1334.992,1344.939,1330.51,1335.039,386389620,3077651500.0
2023-02-13,1338.044,1343.218,1335.556,1342.855,376317520,2806180400.0
2023-02-14,1349.421,1350.023,1322.937,1325.163,407684640,3415389600.0
2023-02-15,1321.737,1322.719,1308.013,1311.287,357901630,2397037300.0
2023-02-16,1310.697,1316.36,1274.52,1285.253,442400300,2745052000.0
2023-02-17,1286.071,1293.784,1276.549,1287.238,403818060,1990698000.0
2023-02-20,1285.568,1295.733,1274.314,1294.904,294938880,1753915400.0
2023-02-21,1294.697,1303.94,1289.162,1300.293,269594540,1902315100.0
2023-02-22,1294.41,1297.835,1288.921,1292.319,247202920,1619207800.0
2023-02-23,1290.785,1299.296,1282.14,1287.908,286077240,1713742300.0
2023-02-24,1289.879,1291.464,1273.519,1290.836,272688140,1656808000.0
2023-02-27,1287.16,1294.359,1277.788,1286.501,261485150,1846448600.0
2023-02-28,1284.434,1289.94,1278.592,1289.67,298631990,1705594700.0
2023-03-01,1288.086,1296.244,1284.47,1296.244,256472450,1629547700.0
2023-03-02,1294.61,1301.779,1290.951,1294.398,317739140,1854660900.0
2023-03-03,1294.547,1306.407,1292.153,1304.075,419437660,2061711200.0
2023-03-06,1302.551,1302.988,1287.313,1295.976,366151710,2056875600.0
2023-03-07,1296.206,1297.019,1271.336,1273.24,299615590,1964732500.0
2023-03-08,1266.798,1273.111,1263.789,1271.436,213336050,1267210700.0
2023-03-09,1273.201,1273.201,1255.784,1257.238,210186020,1355142100.0
2023-03-10,1251.531,1254.411,1243.94,1245.1,346245920,1541412300.0
2023-03-13,1241.222,1245.931,1231.404,1243.121,262534410,1457269100.0
2023-03-14,1240.774,1259.609,1235.649,1240.372,284649010,1993741900.0
2023-03-15,1241.405,1252.808,1241.217,1245.481,193718950,1497272600.0
2023-03-16,1242.345,1282.266,1240.949,1263.022,445245920,2682381800.0
2023-03-17,1256.563,1264.897,1250.551,1260.864,298648560,1950298700.0
2023-03-20,1262.37,1262.37,1241.613,1243.365,171723960,1455197200.0
2023-03-21,1250.094,1262.799,1247.77,1262.434,113559620,1154683910.0
2023-03-22,1265.946,1266.032,1257.083,1261.738,759928770,2189525300.0
2023-03-23,1260.019,1260.019,1247.867,1251.304,513740240,1735410100.0
2023-03-24,1253.523,1253.962,1245.604,1246.993,286007600,1215819680.0
2023-03-27,1249.968,1249.968,1235.671,1241.91,326303230,1376993400.0
2023-03-28,1242.164,1244.2,1235.519,1238.533,268036420,1278005370.0
2023-03-29,1235.832,1236.029,1210.667,1213.005,232217710,1380175800.0
2023-03-30,1213.503,1213.674,1194.456,1204.701,223120470,1124500300.0
2023-03-31,1205.812,1216.393,1205.812,1212.749,185795410,981369240.0
2023-04-03,1212.302,1214.641,1207.883,1214.112,221185220,1349101600.0
2023-04-04,1212.332,1212.332,1192.47,1197.045,214869050,1462025700.0
