日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-02-25,987.437,1009.498,983.24,996.083,3366633200,32611431000.0
2022-02-28,1010.688,1022.12,1002.811,1006.837,3608480000,36432790000.0
2022-03-01,999.408,1004.678,984.304,996.911,3442891100,31981215000.0
2022-03-02,1028.181,1036.579,1017.989,1032.521,4939334300,42102732000.0
2022-03-03,1046.341,1074.247,1046.341,1073.473,6000955300,50423658000.0
2022-03-04,1057.053,1057.053,1026.856,1029.366,5396183800,43709388000.0
2022-03-07,1047.168,1048.769,1018.565,1024.363,4535323300,40344975000.0
2022-03-08,1013.182,1013.182,964.843,989.946,4926297400,43329852000.0
2022-03-09,978.637,978.983,919.798,957.215,4553336200,37556949000.0
2022-03-10,942.151,954.814,936.53,949.235,3641717200,32990883000.0
2022-03-11,935.331,948.879,919.373,946.353,3766557600,32708833000.0
2022-03-14,931.087,939.649,905.301,905.344,3026983400,28286661000.0
2022-03-15,892.871,892.871,841.59,841.59,3878883900,33920830000.0
2022-03-16,852.648,869.063,821.969,867.849,3313576900,28788468000.0
2022-03-17,870.039,892.683,869.905,885.767,3244150300,28274426000.0
2022-03-18,890.328,900.335,886.651,897.255,2923101700,26068659000.0
2022-03-21,897.096,919.957,897.096,917.228,3161384400,29649807000.0
2022-03-22,925.04,933.78,921.126,928.036,3151603200,28944048000.0
2022-03-23,926.373,930.639,922.542,923.508,2450088000,21535933000.0
2022-03-24,934.523,937.17,919.662,920.418,2714571400,24582447000.0
2022-03-25,911.394,931.774,911.394,922.513,2768831800,25594938000.0
2022-03-28,917.585,933.014,902.32,923.963,2998023400,27404525000.0
2022-03-29,920.055,926.615,915.496,921.899,2688253500,25021809000.0
2022-03-30,913.96,914.432,904.687,914.171,2773242200,24442604000.0
2022-03-31,910.559,912.516,898.823,902.791,2406450700,21913160000.0
2022-04-01,901.792,906.782,899.366,906.454,2390136600,23178582000.0
2022-04-06,902.524,920.482,900.961,919.968,2595862600,24607714000.0
2022-04-07,912.323,913.719,895.633,895.794,2123307600,19176611000.0
2022-04-08,895.893,897.233,870.893,883.747,1908161900,17789972000.0
2022-04-11,882.716,885.96,863.721,868.497,2774243700,26876580000.0
2022-04-12,862.798,883.462,859.202,883.462,2351502100,21429405000.0
2022-04-13,883.466,904.766,883.451,893.844,2791434300,25309757000.0
2022-04-14,896.962,904.907,890.442,903.005,2452432400,22570920000.0
2022-04-15,903.029,908.542,882.022,882.784,2481632800,23257735000.0
2022-04-18,873.656,882.894,867.506,880.561,1998012400,18348311000.0
2022-04-19,882.976,909.136,879.417,908.304,2687619300,24067632000.0
2022-04-20,895.653,905.744,884.438,888.079,2730771100,25301253000.0
2022-04-21,884.259,892.689,846.095,848.866,2902635000,25910498000.0
2022-04-22,840.516,857.95,826.697,848.798,2358995000,20658679000.0
2022-04-25,831.667,831.667,779.047,779.047,2852235200,23508538000.0
2022-04-26,772.194,778.573,736.387,738.276,2492977400,19646135000.0
2022-04-27,729.466,773.183,719.388,773.156,2419476600,19724099000.0
2022-04-28,764.837,769.471,744.28,754.532,1981528800,17335381000.0
2022-04-29,761.036,790.264,761.036,786.546,2174834600,17916834000.0
2022-05-05,789.462,810.386,789.333,805.508,2154517000,18492531000.0
2022-05-06,786.635,808.156,782.153,799.426,2584123100,17618007000.0
2022-05-09,792.86,813.858,792.86,812.874,2189640400,14671207000.0
2022-05-10,790.946,809.836,783.686,809.681,2524125500,18402610000.0
2022-05-11,808.319,828.334,808.319,815.084,2418458600,20488591000.0
2022-05-12,813.567,828.928,802.54,814.643,1953160900,15486653000.0
2022-05-13,819.471,825.92,812.72,822.693,2035191100,17795000000.0
2022-05-16,832.199,842.201,830.908,837.803,2462734200,21706932000.0
2022-05-17,841.864,857.841,841.455,849.613,2794614100,22358361000.0
2022-05-18,840.409,849.944,835.007,844.988,2183718500,17331478000.0
2022-05-19,829.216,844.106,828.461,843.904,2103534700,17938818000.0
2022-05-20,845.627,861.369,845.627,861.207,2730897700,23484695000.0
2022-05-23,863.333,876.142,862.173,874.383,2930311100,25626691000.0
2022-05-24,874.257,876.81,840.208,840.255,2778611200,24398667000.0
2022-05-25,841.695,864.115,841.695,864.115,2481595000,19491532000.0
2022-05-26,864.654,872.426,847.048,868.41,2142790500,17699348000.0
2022-05-27,874.58,890.361,872.656,881.829,3077101300,23782336000.0
2022-05-30,889.217,893.342,882.467,891.906,2603812500,22014931000.0
2022-05-31,893.611,907.707,893.611,907.707,2955917500,26528720000.0
2022-06-01,897.189,905.751,892.633,902.652,2723072400,24789312000.0
2022-06-02,896.822,902.26,892.607,900.217,2473497600,22861222000.0
2022-06-06,909.512,917.949,909.228,916.253,2606816600,25085964000.0
2022-06-07,915.695,920.835,903.187,915.152,2914701700,26132026000.0
2022-06-08,916.784,928.506,905.247,924.631,3332411900,27016946000.0
2022-06-09,928.587,943.771,925.315,930.302,3991051800,33186903000.0
2022-06-10,919.362,949.7,916.135,946.548,3834112800,32023576000.0
2022-06-13,935.466,953.355,932.395,942.461,3680986500,29830932000.0
2022-06-14,932.17,962.473,929.694,962.473,4112655900,31617466000.0
2022-06-15,962.234,965.133,945.264,945.264,3763320300,31762211000.0
2022-06-16,942.436,947.193,923.025,929.135,3546545400,29693529000.0
2022-06-17,922.745,930.587,914.003,928.252,2873523200,25945329000.0
2022-06-20,917.657,917.868,900.71,905.835,3251698200,27054782000.0
2022-06-21,906.297,907.747,886.868,895.74,2450595600,21634106000.0
2022-06-22,895.94,897.063,879.978,879.978,2142480900,18508512000.0
2022-06-23,876.66,894.636,873.49,894.636,2267887300,18514479000.0
2022-06-24,894.711,896.43,889.491,895.106,2101954200,18660719000.0
2022-06-27,898.581,910.646,897.478,910.415,2371183000,22246290000.0
2022-06-28,913.673,929.246,913.673,929.246,2865968500,25552584000.0
2022-06-29,929.244,932.139,904.883,904.883,2941800700,23879064000.0
2022-06-30,902.816,907.226,897.145,904.188,1950659200,16792977000.0
2022-07-01,901.627,902.119,894.598,899.161,1693425000,14898069000.0
2022-07-04,900.369,916.833,898.6,916.833,2262257800,19470553000.0
2022-07-05,919.771,925.095,908.265,918.831,2920886900,26336667000.0
2022-07-06,905.055,905.055,885.247,890.511,2871816200,24945925000.0
2022-07-07,889.998,898.586,884.795,894.148,2747711600,24296772000.0
2022-07-08,902.349,904.667,891.898,893.057,2153977200,18330049000.0
2022-07-11,891.722,891.722,879.462,885.89,2162809600,19508545000.0
2022-07-12,885.58,886.384,875.293,877.937,1801815100,17627953000.0
2022-07-13,872.503,885.752,868.867,885.596,1906113800,16006921000.0
2022-07-14,884.98,887.156,878.159,882.459,1665045500,15700648000.0
2022-07-15,878.95,879.546,863.504,863.504,1774404700,15918079000.0
2022-07-18,866.12,892.715,866.12,892.715,2069210700,17095761000.0
2022-07-19,896.279,903.866,893.816,903.488,1871224100,15416663000.0
2022-07-20,906.999,909.548,903.356,909.124,1731441800,14394839000.0
2022-07-21,908.298,910.885,902.038,903.176,1707873500,15184124000.0
2022-07-22,902.269,910.59,895.501,903.243,1583571400,14073074000.0
2022-07-25,903.753,908.429,893.919,896.364,1539717600,13816542000.0
2022-07-26,901.848,911.017,893.391,911.017,1452030000,13161844300.0
2022-07-27,908.22,924.045,907.831,923.274,1450886800,13619174000.0
2022-07-28,927.746,930.521,924.988,927.499,1540969000,14761534000.0
2022-07-29,928.84,932.036,923.478,924.416,1745867500,15774630000.0
2022-08-01,926.433,935.371,922.426,934.222,1766568900,19463107000.0
2022-08-02,926.808,926.808,900.327,908.601,2862389000,25805339000.0
2022-08-03,904.376,920.665,900.01,903.509,2174652500,20715690000.0
2022-08-04,905.229,908.77,894.349,906.584,1594574500,14688362000.0
2022-08-05,907.714,914.002,895.793,913.9,1665766800,14979868000.0
2022-08-08,911.431,922.117,904.858,922.117,1329658920,12297265400.0
2022-08-09,921.863,933.982,920.2,932.609,1697385900,17043334000.0
2022-08-10,931.857,936.625,928.329,933.114,1691826500,18702466000.0
2022-08-11,936.591,942.584,934.266,942.401,1492022700,15140866000.0
2022-08-12,945.06,970.589,944.983,962.336,2225163600,19875350000.0
