日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-09-19,1002.472,1003.266,966.03,966.685,820953530,16959251000.0
2022-09-20,969.265,977.804,961.697,968.179,624863230,12019166500.0
2022-09-21,962.131,974.97,936.971,969.018,753882060,13271531900.0
2022-09-22,962.105,1000.759,960.798,990.777,738542820,13576636000.0
2022-09-23,990.655,993.101,961.107,961.516,851721600,15009275000.0
2022-09-26,954.395,954.849,932.104,934.329,740851100,12464316600.0
2022-09-27,936.313,958.174,935.183,958.174,679722500,12498910100.0
2022-09-28,956.508,956.508,924.165,924.165,629200430,10645851800.0
2022-09-29,933.882,946.959,920.231,925.425,786492360,11716204700.0
2022-09-30,926.974,936.49,916.049,916.049,753084900,11243885900.0
2022-10-10,918.093,919.732,897.813,899.488,898197680,14312716000.0
2022-10-11,899.846,913.302,896.927,907.682,871327250,14351699000.0
2022-10-12,903.008,961.205,900.351,961.205,1308384970,20364714000.0
2022-10-13,966.501,1027.621,966.407,1014.897,2152868800,32697132000.0
2022-10-14,1015.183,1039.414,1010.758,1036.485,2221467000,32010215000.0
2022-10-17,1036.542,1081.317,1036.108,1080.178,2377739500,33994348000.0
2022-10-18,1082.429,1082.847,1065.075,1077.046,2317120100,29789190000.0
2022-10-19,1075.312,1088.772,1060.627,1077.272,2410416800,34000357000.0
2022-10-20,1071.138,1105.117,1068.4,1086.753,2974346900,43968112000.0
2022-10-21,1083.257,1094.145,1062.038,1085.807,3055017000,37438838000.0
2022-10-24,1087.674,1115.394,1076.709,1082.394,2990294500,43150376000.0
2022-10-25,1072.272,1081.13,1051.329,1061.302,2621155900,37623616000.0
2022-10-26,1062.226,1128.482,1062.226,1119.713,3475707300,52810545000.0
2022-10-27,1127.37,1156.139,1121.336,1137.245,3982324100,59838379000.0
2022-10-28,1127.316,1147.96,1109.262,1112.441,3937350300,56469263000.0
2022-10-31,1124.571,1188.472,1124.571,1178.042,4259116400,67775827000.0
2022-11-01,1182.287,1188.205,1163.118,1184.393,4431412400,67128007000.0
2022-11-02,1183.056,1194.993,1174.143,1192.191,4264103800,63532982000.0
2022-11-03,1178.104,1186.845,1157.991,1171.338,3920823300,60699967000.0
2022-11-04,1168.801,1183.028,1160.037,1179.09,3310650900,51312234000.0
2022-11-07,1176.622,1204.705,1175.411,1182.01,3563286900,53253142000.0
2022-11-08,1177.687,1205.676,1158.484,1205.676,4219449600,61388846000.0
2022-11-09,1202.059,1206.327,1177.963,1190.934,3670865000,52114460000.0
2022-11-10,1181.012,1207.234,1180.406,1196.093,3809235600,51952936000.0
2022-11-11,1220.702,1222.969,1185.166,1185.166,4823429200,65664922000.0
2022-11-14,1177.613,1202.016,1169.225,1200.75,4254896000,55908560000.0
2022-11-15,1195.432,1236.925,1194.504,1222.033,4587364000,65783845000.0
2022-11-16,1217.799,1240.61,1210.214,1216.462,4433004200,57398993000.0
2022-11-17,1219.352,1258.083,1209.111,1258.083,4877700400,71205795000.0
2022-11-18,1255.191,1272.829,1228.714,1230.444,5336359700,78566775000.0
2022-11-21,1222.792,1239.188,1208.69,1237.711,4213527900,59843922000.0
2022-11-22,1229.341,1239.229,1206.515,1211.946,4010819600,55431008000.0
2022-11-23,1208.031,1209.202,1171.398,1188.708,3574602100,49518128000.0
2022-11-24,1186.493,1197.452,1176.627,1179.323,2873270900,42472172000.0
2022-11-25,1176.46,1184.252,1158.902,1158.902,2483743100,36169704000.0
2022-11-28,1139.574,1160.195,1138.02,1146.995,2388746800,35859304000.0
2022-11-29,1146.006,1167.128,1144.824,1165.187,2535554600,37185269000.0
2022-11-30,1162.695,1162.828,1143.623,1154.904,2502841200,35324980000.0
2022-12-01,1159.967,1192.223,1159.967,1192.082,3393054500,50624539000.0
2022-12-02,1186.541,1221.425,1186.451,1204.605,3653403000,53895103000.0
2022-12-05,1209.876,1221.259,1205.153,1218.277,3129052000,44914608000.0
2022-12-06,1213.826,1220.2,1202.866,1207.328,2806807500,40192809000.0
2022-12-07,1206.428,1210.337,1195.53,1199.276,2582447000,36544102000.0
2022-12-08,1197.104,1197.104,1171.173,1171.835,2647956800,35591213000.0
2022-12-09,1171.709,1172.06,1155.882,1159.188,2262008300,31871740000.0
2022-12-12,1160.747,1183.713,1160.747,1179.833,2432060700,34864842000.0
2022-12-13,1180.508,1182.505,1148.547,1148.762,2457095900,33026537000.0
2022-12-14,1150.708,1168.154,1150.125,1153.556,2281557300,30351130000.0
2022-12-15,1152.135,1180.405,1144.128,1169.429,2673799700,35444015000.0
2022-12-16,1160.497,1161.786,1135.328,1137.066,2499375700,30013473000.0
2022-12-19,1135.651,1140.272,1113.032,1117.509,2169378000,25462045000.0
2022-12-20,1126.043,1133.093,1100.046,1103.016,2227532600,28730773000.0
2022-12-21,1098.411,1106.507,1083.283,1088.045,1884513300,22202669000.0
2022-12-22,1091.737,1097.282,1071.563,1072.693,1946512900,21819328000.0
2022-12-23,1066.2,1102.746,1066.2,1092.065,2172722200,25029649000.0
2022-12-26,1092.194,1109.659,1091.129,1108.971,1930950700,23466743000.0
2022-12-27,1111.43,1112.926,1093.347,1103.474,2129911000,25281487000.0
2022-12-28,1100.072,1102.379,1080.267,1082.498,2142417600,25598163000.0
2022-12-29,1080.769,1107.736,1080.306,1090.789,2229536100,29221294000.0
2022-12-30,1093.108,1112.734,1090.477,1106.364,2332835800,26092526000.0
2023-01-03,1106.778,1173.871,1106.698,1173.158,3759525100,48963992000.0
2023-01-04,1179.985,1188.998,1175.328,1188.998,4008036400,50999353000.0
2023-01-05,1189.947,1189.947,1178.807,1185.989,3293375600,43831628000.0
2023-01-06,1183.122,1185.811,1170.783,1171.789,3133439200,41637871000.0
2023-01-09,1175.006,1188.452,1171.082,1177.174,2871516600,37573170000.0
2023-01-10,1177.06,1184.991,1166.126,1176.926,2783366200,36430510000.0
2023-01-11,1176.653,1179.908,1151.598,1152.261,2738207400,36423073000.0
2023-01-12,1154.828,1170.099,1149.134,1159.807,2670758800,35895346000.0
2023-01-13,1160.135,1160.366,1142.586,1150.784,2381210200,29417318000.0
2023-01-16,1155.003,1185.445,1155.003,1176.621,3011480000,42400378000.0
2023-01-17,1179.398,1182.522,1164.322,1168.487,2576200200,33725502000.0
2023-01-18,1170.995,1199.521,1164.897,1196.666,3002093000,42520677000.0
2023-01-19,1194.233,1229.575,1193.71,1229.065,3718717300,54397037000.0
2023-01-20,1229.783,1254.848,1227.33,1241.694,3840277000,55507777000.0
2023-01-30,1263.064,1271.82,1252.632,1268.411,4684614500,68921765000.0
2023-01-31,1263.525,1266.89,1255.079,1256.809,4233848700,59045142000.0
2023-02-01,1260.079,1307.186,1258.159,1307.186,4972065300,67545857000.0
2023-02-02,1308.583,1330.032,1304.925,1307.27,4975565800,76080964000.0
2023-02-03,1304.368,1339.85,1304.029,1338.403,5355640100,78571706000.0
