日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,856.852,861.969,853.464,855.174,600528860,3691915900.0
2020-01-03,857.115,861.201,853.596,858.528,513904090,3071322800.0
2020-01-06,854.288,867.154,852.525,860.2,531886620,3169214000.0
2020-01-07,862.984,869.666,859.545,869.628,456625840,2660592400.0
2020-01-08,864.965,866.637,847.981,849.244,545729430,3076719500.0
2020-01-09,855.921,862.218,855.115,860.782,395891150,2446640900.0
2020-01-10,862.749,865.519,858.205,861.833,382546760,2409255600.0
2020-01-13,860.645,869.666,857.015,869.666,424891350,2476403800.0
2020-01-14,873.503,882.833,873.503,878.211,491919390,3033055900.0
2020-01-15,877.865,877.865,866.071,868.943,547346690,3315603100.0
2020-01-16,869.66,870.992,863.051,863.865,434524610,2533380900.0
2020-01-17,864.221,873.128,864.221,868.393,411539560,2424990600.0
2020-01-20,872.796,878.178,868.129,877.684,506875940,3178344800.0
2020-01-21,873.95,873.95,859.0,859.0,481796420,3001073100.0
2020-01-22,853.899,857.834,840.318,854.318,465854520,3043639600.0
2020-01-23,845.15,845.15,816.001,822.676,519983170,3248635400.0
2020-02-03,748.382,750.602,745.222,749.465,280390690,1960485100.0
2020-02-04,704.084,741.666,704.084,737.766,637519020,3401429000.0
2020-02-05,737.168,758.904,733.903,749.94,668128970,3173887100.0
2020-02-06,749.044,767.436,743.482,763.464,666183350,3196348600.0
2020-02-07,762.664,767.576,754.421,767.576,541737740,2775446700.0
2020-02-10,763.038,780.465,759.968,779.946,560048640,2900144800.0
2020-02-11,781.35,786.842,775.931,777.469,535594250,2773412600.0
2020-02-12,774.986,784.345,772.224,784.035,440333210,2211254100.0
2020-02-13,781.975,784.4,768.126,768.931,412610480,2068564300.0
2020-02-14,768.528,782.395,767.677,777.48,606868410,2904047000.0
2020-02-17,780.373,799.126,780.373,799.126,657776340,3444970200.0
2020-02-18,798.568,803.724,792.317,803.039,539666430,2842364800.0
2020-02-19,801.188,814.245,798.673,805.372,638992310,3435118000.0
2020-02-20,804.575,829.156,796.78,826.326,864462170,4645837400.0
2020-02-21,825.663,842.235,824.58,832.32,844072660,4879771400.0
2020-02-24,830.637,833.7,819.823,829.278,730328750,4470552800.0
2020-02-25,810.177,822.665,796.428,821.248,802786720,4649974500.0
2020-02-26,811.934,833.081,809.928,817.077,736652020,4183397000.0
2020-02-27,818.684,826.528,815.38,817.322,525881000,2836070700.0
2020-02-28,797.686,805.412,780.241,781.039,709402380,3816224500.0
2020-03-02,785.894,812.057,785.894,809.913,527836000,2935769300.0
2020-03-03,818.773,826.693,808.606,815.681,573225460,3320963400.0
2020-03-04,809.839,826.823,809.058,826.823,509100450,2817710100.0
2020-03-05,834.091,852.84,830.505,851.077,1023022170,5858327000.0
2020-03-06,840.158,846.999,836.92,841.104,717961280,4416427200.0
2020-03-09,830.591,834.906,814.029,814.453,677676320,4064356500.0
2020-03-10,803.497,826.138,790.36,825.983,625173820,3637054400.0
2020-03-11,826.874,832.534,816.218,816.286,539852560,3062449000.0
2020-03-12,807.117,812.224,797.788,805.013,466585350,2658292500.0
2020-03-13,765.918,799.008,765.918,793.238,576038070,3407219900.0
2020-03-16,800.385,802.369,765.597,766.241,522120060,3110382800.0
