日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-04-23,999.361,1015.745,995.693,1009.747,1709035700,27918926000.0
2021-04-26,1009.005,1018.057,998.868,999.693,2734572000,44378202000.0
2021-04-27,993.356,994.688,975.115,983.763,1926011600,31015280000.0
2021-04-28,979.082,990.854,978.713,987.498,1850780300,34251224000.0
2021-04-29,982.607,984.926,978.314,978.736,1693319600,32217502000.0
2021-04-30,975.301,981.261,969.453,973.508,1833725300,40178504000.0
2021-05-06,970.834,978.125,969.321,976.3,1797545900,37115569000.0
2021-05-07,975.768,979.248,966.619,967.511,2136262000,36140790000.0
2021-05-10,965.577,968.056,959.559,965.643,1915687600,30194414000.0
2021-05-11,961.71,964.714,951.813,963.806,1675966100,26952524000.0
2021-05-12,963.571,977.49,962.486,977.319,1410164100,26822811000.0
2021-05-13,969.609,973.758,963.397,963.782,1473967300,24228718000.0
2021-05-14,968.315,987.074,967.547,986.846,1609565100,32745322000.0
2021-05-17,988.89,995.446,985.032,990.547,1726946300,38543729000.0
2021-05-18,988.176,992.157,984.568,990.994,1477475300,25179619000.0
2021-05-19,991.971,1011.242,989.082,1010.529,1900829200,39582280000.0
2021-05-20,1008.851,1020.576,1007.036,1015.029,1872029400,37414007000.0
2021-05-21,1019.965,1028.37,1017.661,1022.018,1890149200,35599258000.0
2021-05-24,1021.989,1033.156,1021.989,1027.56,1671361900,31819777000.0
2021-05-25,1027.048,1031.148,1021.294,1030.34,1657585600,34204541000.0
2021-05-26,1028.486,1031.931,1025.631,1031.088,1640383900,31311475000.0
2021-05-27,1029.231,1040.368,1027.658,1036.769,1622949000,29905805000.0
2021-05-28,1037.109,1061.205,1037.109,1047.713,2116380800,49001011000.0
2021-05-31,1046.78,1072.023,1046.78,1072.014,2071839000,46446225000.0
2021-06-01,1068.838,1068.838,1057.959,1066.945,2072010700,42988913000.0
2021-06-02,1065.892,1070.286,1053.02,1057.206,1840318100,33415187000.0
2021-06-03,1055.901,1062.216,1049.712,1050.172,1715841200,32126072000.0
2021-06-04,1046.311,1075.753,1045.993,1068.947,2233477300,45823287000.0
2021-06-07,1070.065,1074.755,1065.797,1073.679,2367428500,44974032000.0
2021-06-08,1076.332,1088.445,1074.72,1079.897,2359637500,48219256000.0
2021-06-09,1078.512,1080.558,1071.375,1077.401,2062459500,35193623000.0
2021-06-10,1077.18,1096.972,1076.571,1095.513,2157360800,50740234000.0
2021-06-11,1098.903,1102.229,1089.825,1090.8,2300719000,57107533000.0
2021-06-15,1093.653,1098.536,1082.312,1086.445,2110915000,45002742000.0
2021-06-16,1083.517,1083.517,1055.096,1055.853,1956291300,48089093000.0
2021-06-17,1056.999,1072.27,1056.999,1072.238,1693294700,38769599000.0
2021-06-18,1074.917,1099.954,1069.608,1098.598,1978415400,48478431000.0
2021-06-21,1096.069,1119.202,1092.567,1118.39,2286735000,49417236000.0
2021-06-22,1119.356,1124.544,1111.333,1122.268,2158147100,37887010000.0
2021-06-23,1123.592,1144.259,1123.592,1140.849,2326940700,45932096000.0
2021-06-24,1148.921,1161.586,1137.285,1157.252,2430324400,46548079000.0
2021-06-25,1156.774,1165.717,1152.495,1160.634,2243184000,45218872000.0
2021-06-28,1159.937,1184.062,1159.701,1180.97,2280569100,51957256000.0
2021-06-29,1187.393,1189.377,1176.276,1178.778,2032549800,49172441000.0
2021-06-30,1176.96,1186.778,1170.591,1186.091,1834929100,45256071000.0
2021-07-01,1187.45,1187.59,1145.33,1145.33,1868328900,45388607000.0
2021-07-02,1142.668,1167.774,1139.167,1162.178,1972247800,47135628000.0
2021-07-05,1167.449,1189.779,1167.449,1189.779,2147712800,49045610000.0
2021-07-06,1192.349,1205.76,1171.983,1189.167,2333147100,60463094000.0
2021-07-07,1181.811,1231.445,1180.271,1230.016,2730341000,66607573000.0
2021-07-08,1238.125,1251.726,1236.358,1239.159,2912016300,68309941000.0
2021-07-09,1233.228,1261.018,1226.89,1257.251,3190696600,66288763000.0
2021-07-12,1272.179,1284.741,1265.288,1278.037,3704421700,82698067000.0
2021-07-13,1274.745,1300.617,1270.97,1300.617,3528793700,70892552000.0
2021-07-14,1295.743,1306.54,1278.995,1284.308,4051390300,81458244000.0
2021-07-15,1270.347,1290.67,1255.703,1290.574,3373414100,70899670000.0
2021-07-16,1295.206,1321.983,1294.811,1297.785,3763571100,72888455000.0
2021-07-19,1298.871,1312.515,1277.934,1279.807,3421269500,65275484000.0
2021-07-20,1262.466,1296.388,1261.111,1296.388,2968465300,53255585000.0
2021-07-21,1301.926,1330.797,1301.926,1327.811,3852277800,76420980000.0
2021-07-22,1327.891,1357.335,1326.247,1357.335,3780523700,71017189000.0
2021-07-23,1357.24,1377.942,1349.479,1365.437,4437360600,86755456000.0
2021-07-26,1368.246,1388.349,1346.101,1382.084,4757720500,88998290000.0
2021-07-27,1381.95,1394.752,1321.35,1321.35,4898933100,97922148000.0
2021-07-28,1296.268,1321.247,1248.854,1302.76,3984489700,80468062000.0
2021-07-29,1333.412,1397.034,1333.412,1395.537,4134177700,94412550000.0
2021-07-30,1419.487,1482.542,1419.434,1466.056,5189220700,113967050000.0
2021-08-02,1494.423,1526.056,1484.356,1507.271,5390404800,123628269000.0
2021-08-03,1504.402,1509.81,1451.829,1459.024,5251295600,107807643000.0
2021-08-04,1451.474,1519.979,1451.474,1519.852,4625610000,110052385000.0
2021-08-05,1518.079,1518.393,1494.3,1507.164,4205427200,97199829000.0
2021-08-06,1515.533,1537.596,1509.897,1532.268,4790227700,109336690000.0
2021-08-09,1528.432,1538.442,1500.976,1535.857,4191045300,97304013000.0
2021-08-10,1533.309,1594.762,1533.309,1572.253,5650034300,115529344000.0
2021-08-11,1573.461,1666.904,1564.414,1664.859,6878855400,118658887000.0
2021-08-12,1671.059,1689.014,1655.286,1675.659,7142309300,133727245000.0
2021-08-13,1660.957,1693.173,1654.437,1670.956,6538429200,133569370000.0
2021-08-16,1655.37,1655.37,1616.717,1636.755,5713755200,117881070000.0
2021-08-17,1623.925,1635.893,1566.001,1574.14,5620247200,107201795000.0
