日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-09-09,970.615,985.873,947.141,948.122,1678510400,23555661000.0
2021-09-10,937.705,967.658,937.705,952.163,1232160460,14669501000.0
2021-09-13,947.499,1033.759,934.057,1011.346,1614781400,18824517000.0
2021-09-14,1011.265,1020.426,984.416,990.858,1521653700,17403973000.0
2021-09-15,985.333,1006.313,982.401,984.871,1104452130,14216933000.0
2021-09-16,985.212,1013.745,969.314,979.229,1171387020,14512387000.0
2021-09-17,974.523,974.523,937.646,951.493,965901210,10885894400.0
2021-09-22,935.571,940.19,928.286,933.656,721637170,8628117800.0
2021-09-23,941.754,956.27,936.86,937.599,859579660,10077301300.0
2021-09-24,935.889,959.886,935.889,939.381,916026520,10180605600.0
2021-09-27,938.846,942.342,893.095,904.263,1086397530,12191322500.0
2021-09-28,899.069,903.497,893.625,897.591,669113660,7801358700.0
2021-09-29,891.688,896.721,867.031,867.031,741142210,8235793500.0
2021-09-30,874.114,899.526,874.114,897.369,735437030,7991076800.0
2021-10-08,905.656,918.508,903.579,910.376,768370210,8638670700.0
2021-10-11,913.277,925.78,901.337,919.194,869346860,9408058900.0
2021-10-12,912.479,912.505,885.221,891.171,790702860,10452590300.0
2021-10-13,892.513,899.903,888.629,897.002,641898560,7310742800.0
2021-10-14,891.534,893.92,885.737,891.175,583629140,7208559500.0
2021-10-15,891.111,893.8,882.425,882.834,607078220,7699397100.0
2021-10-18,881.71,881.759,867.1,881.759,781190370,9211937900.0
2021-10-19,879.198,896.233,876.726,890.061,860205780,9415731100.0
2021-10-20,889.406,901.782,880.662,895.666,814069130,8306237500.0
2021-10-21,896.866,904.051,887.062,890.104,706626690,7497855400.0
2021-10-22,889.561,930.426,889.561,922.291,1125940330,12042481400.0
2021-10-25,928.212,948.49,918.889,939.563,1287829550,14353049000.0
2021-10-26,932.87,943.997,925.575,934.319,1491995300,18930295000.0
2021-10-27,930.555,930.81,908.84,921.297,1169100680,14970206000.0
2021-10-28,916.805,922.331,907.819,910.309,899722060,11800999400.0
2021-10-29,913.849,968.448,913.849,962.715,1658222500,20439247000.0
2021-11-01,974.007,1024.036,973.777,1006.722,2120671200,28107522000.0
2021-11-02,1006.613,1008.665,976.122,983.284,1685789000,21715286000.0
2021-11-03,985.789,1046.183,985.789,1022.646,1803832600,21706546000.0
2021-11-04,1032.099,1077.997,1031.025,1076.684,2110275800,27610808000.0
2021-11-05,1067.917,1158.843,1064.217,1124.805,3507909900,46611971000.0
2021-11-08,1130.128,1169.704,1118.731,1152.274,3219441000,41858992000.0
2021-11-09,1140.982,1164.322,1131.06,1149.679,2578596600,37221298000.0
2021-11-10,1161.146,1199.069,1161.146,1181.056,4148286500,53820375000.0
2021-11-11,1170.08,1235.636,1167.066,1216.159,4697345200,61381520000.0
2021-11-12,1209.361,1236.063,1206.623,1227.935,4372816400,55624180000.0
2021-11-15,1233.661,1275.9,1213.748,1267.406,4401476500,56687209000.0
2021-11-16,1260.457,1298.628,1259.448,1273.759,4852857000,64414880000.0
2021-11-17,1265.047,1283.717,1263.551,1271.932,4388276000,54563598000.0
2021-11-18,1269.043,1269.043,1218.56,1229.43,4774602400,58763679000.0
2021-11-19,1226.884,1267.896,1226.487,1246.524,4091302900,53925829000.0
2021-11-22,1246.65,1269.096,1244.586,1265.06,4015822400,53075787000.0
2021-11-23,1254.256,1288.176,1243.481,1282.447,4202474800,53558241000.0
2021-11-24,1283.195,1330.208,1282.383,1314.595,4779120600,59787825000.0
2021-11-25,1309.298,1309.298,1260.412,1260.412,4281695000,54355129000.0
2021-11-26,1250.198,1260.613,1239.529,1241.213,3334669100,41185878000.0
2021-11-29,1218.086,1239.948,1217.391,1234.476,2808215500,36335517000.0
2021-11-30,1247.507,1252.499,1223.098,1232.199,2797105600,35993329000.0
2021-12-01,1228.629,1252.933,1228.629,1250.391,2991196500,34574591000.0
2021-12-02,1239.548,1240.302,1203.335,1203.335,2958733600,34966807000.0
2021-12-03,1206.012,1217.007,1204.983,1206.598,1932570400,24305486000.0
2021-12-06,1204.655,1212.877,1187.965,1194.253,2459600600,29929035000.0
2021-12-07,1197.86,1201.104,1180.485,1187.077,2570332600,33167970000.0
2021-12-08,1186.309,1231.967,1181.941,1228.759,2881391800,40183868000.0
2021-12-09,1229.023,1252.832,1228.803,1244.005,3061124100,42398253000.0
2021-12-10,1237.343,1290.01,1237.343,1279.239,3759254700,48202315000.0
2021-12-13,1293.388,1353.308,1293.388,1352.447,4899423900,64249639000.0
2021-12-14,1358.849,1393.246,1357.246,1364.678,4850160100,65861542000.0
2021-12-15,1360.773,1389.45,1357.101,1366.02,4667026500,59354393000.0
2021-12-16,1371.011,1414.933,1363.499,1400.78,4600525500,58406979000.0
