日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,2122.261,2155.828,2118.631,2155.61,1305504580,11297034900.0
2020-01-03,2158.471,2165.346,2144.865,2161.715,1154332840,9783722200.0
2020-01-06,2152.613,2215.445,2146.654,2199.613,1467280800,13127043900.0
2020-01-07,2208.461,2230.614,2204.751,2230.614,1663623800,14193037000.0
2020-01-08,2224.46,2278.01,2219.086,2238.656,2305157700,17413379000.0
2020-01-09,2262.51,2269.305,2245.019,2269.305,1820669100,15568533000.0
2020-01-10,2267.321,2269.091,2229.116,2235.256,1306273090,11642772900.0
2020-01-13,2247.82,2273.876,2234.521,2273.876,1329916590,15290376000.0
2020-01-14,2285.586,2303.668,2277.726,2279.751,1485852300,17083735000.0
2020-01-15,2276.144,2276.144,2242.892,2262.679,1220886980,12996545300.0
2020-01-16,2265.718,2266.299,2238.207,2243.025,1013592330,11523044400.0
2020-01-17,2247.632,2252.395,2232.043,2240.857,1118434280,15260340000.0
2020-01-20,2238.139,2265.957,2228.261,2265.957,1178085340,14213737000.0
2020-01-21,2254.481,2254.481,2221.32,2221.758,1124663840,12898149100.0
2020-01-22,2207.489,2256.962,2181.162,2245.324,1255935070,14558968000.0
2020-01-23,2228.789,2257.536,2166.011,2186.087,1452534800,17534040000.0
2020-02-03,1974.342,1976.182,1969.997,1972.842,557809570,6300346500.0
2020-02-04,1838.193,1958.019,1838.193,1944.675,1851088800,18177530000.0
2020-02-05,1958.026,2025.311,1953.603,1991.647,1599956900,18749753000.0
2020-02-06,1979.742,2035.562,1967.003,2027.099,1533551000,17132210000.0
2020-02-07,2020.914,2051.92,2009.305,2051.347,1378016000,16237418000.0
2020-02-10,2051.854,2100.506,2045.609,2100.506,1399596200,16440186000.0
2020-02-11,2103.408,2105.333,2073.2,2078.377,1324936060,13969373000.0
2020-02-12,2075.011,2130.318,2073.478,2129.64,1588037800,15183917000.0
2020-02-13,2124.878,2139.477,2100.426,2106.413,1883187800,15682208000.0
2020-02-14,2109.193,2136.3,2099.539,2116.885,1545027100,14211535000.0
2020-02-17,2128.843,2193.052,2128.843,2193.052,1747456000,16439084000.0
2020-02-18,2200.236,2237.163,2192.55,2237.163,1952309200,19129306000.0
2020-02-19,2248.148,2276.64,2246.657,2250.83,2262022300,24777347000.0
2020-02-20,2265.896,2307.679,2264.275,2307.651,2239963800,24394981000.0
2020-02-21,2307.455,2357.492,2305.668,2338.34,2427804300,25281982000.0
2020-02-24,2333.398,2379.762,2325.706,2374.41,2407744400,26145310000.0
2020-02-25,2311.577,2382.025,2257.093,2377.183,3040092800,32573679000.0
2020-02-26,2338.43,2402.535,2333.444,2348.212,2835391400,30480549000.0
2020-02-27,2364.768,2388.506,2332.871,2369.684,2273301100,21785905000.0
2020-02-28,2280.958,2313.547,2224.095,2224.095,2810578900,23815736000.0
2020-03-02,2248.596,2337.556,2248.596,2329.726,2139970500,20007833000.0
2020-03-03,2387.957,2418.317,2351.117,2379.755,2529271300,24945853000.0
2020-03-04,2365.551,2402.961,2360.408,2402.961,1939881800,18035105000.0
2020-03-05,2473.972,2502.472,2465.196,2501.571,2887505100,26337706000.0
2020-03-06,2489.876,2545.326,2485.082,2521.517,3148674900,26687937000.0
2020-03-09,2486.087,2548.888,2464.089,2464.089,3187821600,28945289000.0
2020-03-10,2426.181,2552.313,2394.219,2552.313,3583541700,35292166000.0
2020-03-11,2568.139,2624.487,2540.323,2540.323,3658987000,39331134000.0
2020-03-12,2482.809,2524.292,2459.665,2496.153,3148911600,31811848000.0
2020-03-13,2359.824,2530.487,2359.824,2519.743,3417598500,33795058000.0
2020-03-16,2552.435,2553.369,2379.904,2382.924,3330019400,33092403000.0
2020-03-17,2386.228,2437.82,2301.493,2408.528,3073243400,28485240000.0
2020-03-18,2429.589,2496.15,2392.545,2392.545,3244936200,31827306000.0
2020-03-19,2378.928,2449.93,2340.394,2434.656,2964630100,28131867000.0
2020-03-20,2463.402,2470.8,2428.225,2460.803,2754656400,25817946000.0
2020-03-23,2385.434,2447.961,2342.181,2354.661,2521260000,23546548000.0
2020-03-24,2405.276,2413.922,2303.331,2388.789,2727548900,25629260000.0
2020-03-25,2435.728,2460.004,2427.765,2459.629,2557678500,24726027000.0
2020-03-26,2446.575,2446.575,2396.029,2398.478,2061057100,20778334000.0
2020-03-27,2427.988,2432.081,2363.261,2366.043,2031764500,19270407000.0
2020-03-30,2323.228,2327.697,2271.019,2299.383,2109325800,21087229000.0
2020-03-31,2316.751,2321.742,2267.925,2267.925,1672429500,17750678000.0
2020-04-01,2267.969,2313.244,2262.886,2269.664,1953384700,19968687000.0
2020-04-02,2252.888,2331.529,2249.344,2331.529,1896480200,18728440000.0
2020-04-03,2322.161,2326.474,2281.757,2291.788,1612635800,15939193000.0
2020-04-07,2333.977,2362.711,2326.371,2361.623,1945110100,20002059000.0
2020-04-08,2346.465,2365.136,2342.281,2356.71,1925855600,18767471000.0
2020-04-09,2361.452,2383.337,2353.923,2371.934,1888335000,17669764000.0
2020-04-10,2378.113,2378.905,2300.278,2311.563,1825369300,17714430000.0
2020-04-13,2289.244,2302.227,2263.315,2283.361,1302505150,13056179300.0
2020-04-14,2296.985,2344.171,2294.186,2344.171,1575530300,16203846000.0
2020-04-15,2351.453,2359.717,2327.776,2328.781,1662212200,17549821000.0
2020-04-16,2313.154,2382.956,2311.406,2379.35,1962672800,20159412000.0
2020-04-17,2395.402,2400.171,2366.769,2368.751,2101676300,21834368000.0
