日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-08-08,1058.901,1076.878,1030.742,1063.515,873373160,18222148000.0
2022-08-09,1049.974,1130.74,1047.869,1130.676,1238472410,25155443000.0
2022-08-10,1109.726,1165.167,1104.922,1129.645,1273405090,25364317000.0
2022-08-11,1140.449,1186.617,1140.175,1168.786,1420771400,27690563000.0
2022-08-12,1161.199,1194.225,1141.082,1141.401,1358412300,25702666000.0
2022-08-15,1136.32,1156.156,1127.025,1145.06,1199574920,21382907000.0
2022-08-16,1147.44,1162.469,1137.506,1150.983,1179536660,21144793000.0
2022-08-17,1146.579,1169.59,1133.335,1155.57,1230418480,22175377000.0
2022-08-18,1134.881,1161.496,1122.682,1156.471,1073519290,19668359000.0
2022-08-19,1152.405,1177.269,1114.271,1114.506,981442620,18193793000.0
2022-08-22,1097.14,1119.256,1091.884,1099.108,709923180,11765223700.0
2022-08-23,1090.57,1104.175,1079.782,1090.885,651303440,11094327000.0
2022-08-24,1091.019,1091.23,1031.356,1033.107,779424680,13416932400.0
2022-08-25,1035.257,1040.414,1002.173,1012.494,564013120,9156437500.0
2022-08-26,1014.897,1018.272,982.798,984.34,540068320,11103894700.0
2022-08-29,968.948,999.545,968.948,992.121,400067400,7695183000.0
2022-08-30,993.313,1004.526,980.759,987.03,398218880,7277679200.0
2022-08-31,982.331,990.194,958.676,964.976,505413750,8618351600.0
2022-09-01,974.552,987.99,960.544,961.981,427331010,8417831500.0
2022-09-02,963.273,1009.318,963.102,1007.117,526595330,10062690800.0
2022-09-05,1002.6,1011.399,985.949,1001.351,468832270,8914483200.0
2022-09-06,1000.955,1006.564,991.493,1006.564,415453800,7529791300.0
2022-09-07,1006.649,1043.768,1005.849,1030.441,680977100,12577504800.0
2022-09-08,1024.384,1025.388,1002.537,1002.537,458569620,8380303000.0
2022-09-09,1002.224,1004.294,982.267,989.946,329122970,6058526800.0
2022-09-13,991.516,1007.053,982.681,984.844,279899120,5183796700.0
2022-09-14,967.322,985.634,964.729,979.885,321833980,5753844300.0
2022-09-15,981.339,982.476,929.505,941.644,353208780,6085482700.0
2022-09-16,940.148,949.604,924.277,924.277,241456400,4578729400.0
2022-09-19,923.528,934.371,901.882,905.466,236932250,4523116100.0
2022-09-20,910.983,925.325,907.276,920.646,219367640,3710858200.0
2022-09-21,916.17,924.333,901.391,919.133,200292600,3374617700.0
2022-09-22,911.503,930.336,911.503,920.955,176471160,3106514300.0
2022-09-23,920.883,924.391,887.726,891.29,228412600,3801127100.0
2022-09-26,884.93,895.206,879.596,881.511,180348200,3011127000.0
2022-09-27,883.707,902.836,883.707,902.836,181398760,3025877000.0
2022-09-28,902.712,902.712,873.723,873.879,200473660,3296525500.0
2022-09-29,883.015,884.918,865.329,869.899,157229210,2662255500.0
2022-09-30,869.76,873.234,847.687,847.687,153696350,2612238000.0
2022-10-10,847.018,847.604,811.317,813.297,198928910,3487764700.0
2022-10-11,817.762,817.868,803.639,808.275,159530740,2679342100.0
2022-10-12,808.666,850.028,806.753,849.692,260855150,3991817800.0
2022-10-13,847.108,864.783,844.566,855.317,234940970,3733409600.0
2022-10-14,864.701,879.258,858.967,876.469,237916450,3841039600.0
2022-10-17,872.045,895.606,869.704,894.308,226289920,3666583100.0
2022-10-18,897.849,897.849,883.139,888.327,210783000,4216519300.0
2022-10-19,885.32,890.096,875.957,875.957,212680400,3642537600.0
2022-10-20,871.104,927.582,866.257,918.414,494973010,8456267400.0
2022-10-21,913.367,920.785,891.883,906.595,475793330,7918902000.0
2022-10-24,905.464,930.095,898.021,906.417,396628840,6710569900.0
2022-10-25,898.031,906.675,883.577,889.757,297813080,5006972600.0
2022-10-26,886.681,919.714,876.416,916.597,464126140,7725794500.0
2022-10-27,913.272,944.866,913.077,930.096,605314090,10775067900.0
2022-10-28,927.193,953.111,909.455,911.681,553507430,10040843200.0
2022-10-31,902.345,945.896,902.345,940.004,515297840,9451661500.0
2022-11-01,936.646,953.98,928.639,953.98,491027760,9068555600.0
2022-11-02,954.777,977.053,954.532,956.085,628686150,11326995100.0
2022-11-03,945.626,981.595,945.454,976.66,616621760,11075572800.0
2022-11-04,971.657,984.932,962.765,979.226,629934690,10982945400.0
2022-11-07,976.548,986.336,968.227,973.964,483743320,8672510700.0
2022-11-08,973.529,974.692,956.76,966.653,383448990,6718223200.0
2022-11-09,964.716,982.381,957.349,982.065,434134600,7965736900.0
2022-11-10,970.644,983.232,950.267,950.41,500315450,8922235000.0
2022-11-11,973.738,983.345,954.539,954.79,514827230,9006197600.0
2022-11-14,949.729,964.89,939.478,955.01,389094190,6861045500.0
2022-11-15,950.618,1004.273,949.765,1001.022,777833450,14179402000.0
2022-11-16,1001.837,1003.281,986.328,988.784,561133100,10339081600.0
2022-11-17,983.217,1007.402,970.289,1007.39,662857690,11502516400.0
2022-11-18,1002.082,1008.676,976.791,978.544,520092220,8988628300.0
2022-11-21,971.946,984.016,965.361,977.769,347100900,5928064800.0
2022-11-22,974.444,995.175,967.867,969.655,418137880,7273810400.0
2022-11-23,967.953,970.732,935.755,950.483,503580430,7925149000.0
2022-11-24,951.742,957.714,943.367,944.033,310150500,4954465600.0
2022-11-25,942.412,956.2,928.335,928.335,304893900,4922508700.0
2022-11-28,911.635,924.237,909.908,918.878,257998650,4280761800.0
2022-11-29,920.106,938.126,919.107,936.367,308690460,5137429300.0
2022-11-30,934.756,939.636,928.499,931.055,325275310,5251080400.0
2022-12-01,939.528,949.883,933.258,935.667,320656120,5423736400.0
2022-12-02,934.628,946.134,932.485,935.886,265841920,4429291600.0
2022-12-05,939.689,944.317,932.166,939.479,273132180,4669895100.0
2022-12-06,937.849,960.733,935.43,951.087,431346790,7311631000.0
2022-12-07,946.345,946.491,934.737,936.932,343365660,5601124700.0
2022-12-08,935.362,935.414,916.33,916.347,308071010,5105338000.0
2022-12-09,916.287,929.704,916.052,917.631,273960030,4749179500.0
2022-12-12,914.86,937.644,908.295,932.865,308674420,5545819600.0
2022-12-13,931.274,932.0,916.848,917.501,227984900,4016755200.0
2022-12-14,946.423,981.055,946.423,965.788,698684810,12200045500.0
2022-12-15,954.061,1021.672,948.922,999.938,975866790,16710764000.0
2022-12-16,989.602,990.688,971.124,982.599,737748790,12251078500.0
2022-12-19,976.412,980.84,956.167,958.657,613480200,10039075300.0
2022-12-20,951.542,978.782,951.542,970.14,576972910,9740317500.0
2022-12-21,963.84,971.735,941.249,951.688,574151520,9578311300.0
2022-12-22,952.672,952.852,930.091,930.67,547224390,8709774800.0
2022-12-23,920.435,928.032,900.143,907.586,534050270,8569695300.0
2022-12-26,905.449,940.944,905.449,938.404,499424390,8036745300.0
2022-12-27,938.198,943.917,925.89,940.659,440833890,7140805100.0
2022-12-28,937.085,937.085,915.966,918.532,366017990,5641422100.0
2022-12-29,913.269,924.771,910.864,911.358,371187950,5584808600.0
2022-12-30,915.755,919.687,905.018,906.914,395004580,5956574300.0
2023-01-03,905.919,936.434,900.078,935.593,411703450,6434578400.0
2023-01-04,939.933,966.454,939.933,950.419,528549360,8884534700.0
2023-01-05,944.674,954.156,939.692,951.976,406413400,6929595000.0
2023-01-06,948.644,961.187,944.436,950.485,442597680,7476084000.0
2023-01-09,953.061,964.153,947.984,952.371,370611370,6155597900.0
2023-01-10,953.579,970.053,951.956,962.599,571327520,9800412900.0
2023-01-11,963.015,976.933,949.884,950.023,638834510,11468989800.0
2023-01-12,950.106,961.638,941.176,957.204,493977420,8347441900.0
2023-01-13,958.165,959.319,944.289,950.682,356630170,6101658000.0
2023-01-16,946.58,970.462,946.538,964.5,385000460,7150924200.0
2023-01-17,966.369,993.843,965.871,982.099,428433840,7889754200.0
2023-01-18,981.054,988.222,975.833,984.406,340580190,5976118500.0
2023-01-19,981.989,997.055,977.187,996.278,352986520,6815802000.0
2023-01-20,998.441,1003.109,992.277,999.2,315435470,5936633300.0
2023-01-30,1011.3,1018.365,1005.885,1016.576,494739120,9030227600.0
2023-01-31,1008.743,1010.54,998.646,1007.299,426865690,7833660100.0
2023-02-01,1006.55,1038.257,1006.55,1034.815,563713460,10362769400.0
2023-02-02,1039.584,1066.475,1039.584,1051.166,673587870,12862725000.0
2023-02-03,1046.397,1057.696,1036.324,1054.622,528931830,10318220600.0
2023-02-06,1049.93,1058.451,1044.352,1047.109,415010140,8403171700.0
2023-02-07,1048.752,1059.403,1045.995,1057.633,405330700,8544673400.0
2023-02-08,1058.325,1071.967,1045.728,1045.866,482945310,9578042100.0
2023-02-09,1039.713,1079.759,1036.984,1079.759,708444630,14502958000.0
2023-02-10,1077.731,1091.077,1069.92,1076.251,592168740,12283807100.0
2023-02-13,1074.618,1093.778,1071.769,1090.393,592456090,12442565900.0
2023-02-14,1091.491,1117.18,1089.097,1092.824,792353750,16608257000.0
2023-02-15,1086.993,1101.147,1080.775,1101.147,649275850,13811647000.0
2023-02-16,1098.134,1099.249,1047.632,1053.846,724650160,14969027000.0
2023-02-17,1054.609,1060.173,1029.458,1029.458,473388610,9701261900.0
2023-02-20,1029.031,1051.21,1020.997,1050.668,473450230,9678216900.0
2023-02-21,1048.452,1060.061,1037.691,1047.156,413686880,8636205700.0
2023-02-22,1041.611,1059.148,1040.239,1054.159,343738670,7100682400.0
2023-02-23,1055.929,1058.685,1046.404,1051.919,346039520,7237517100.0
2023-02-24,1058.408,1068.67,1049.683,1057.234,445741650,9835998300.0
2023-02-27,1050.662,1052.464,1028.423,1030.587,390009890,8330237200.0
2023-02-28,1033.027,1045.869,1022.959,1036.686,364318810,7729138100.0
2023-03-01,1033.961,1056.266,1033.772,1056.266,483597570,10887828800.0
2023-03-02,1056.699,1061.738,1047.771,1048.792,458674480,9531722900.0
2023-03-03,1066.258,1083.406,1060.622,1078.015,770891450,16951406000.0
2023-03-06,1076.16,1085.826,1062.311,1079.583,647295890,14011805000.0
2023-03-07,1077.717,1080.57,1043.903,1044.228,585230490,11973829000.0
2023-03-08,1042.231,1068.398,1041.794,1067.039,477876160,9881369800.0
2023-03-09,1067.476,1090.266,1067.447,1083.012,499785420,11099143000.0
2023-03-10,1071.739,1086.711,1067.612,1070.308,470971850,11013776400.0
2023-03-13,1065.489,1072.422,1051.976,1071.54,430767270,9616658000.0
2023-03-14,1068.813,1101.08,1054.258,1098.974,696972340,16688059000.0
2023-03-15,1099.201,1125.857,1096.028,1100.104,696930250,16611936000.0
2023-03-16,1091.989,1111.167,1082.41,1086.612,746798590,17304155000.0
2023-03-17,1095.576,1119.272,1089.225,1108.273,760569680,20329930000.0
2023-03-20,1109.073,1127.182,1102.969,1117.286,880909810,23145139000.0
2023-03-21,1113.408,1119.08,1105.918,1117.657,612767360,15449883000.0
2023-03-22,1115.852,1134.12,1111.684,1134.12,642838370,16672239000.0
2023-03-23,1128.836,1166.374,1128.113,1166.374,1053881300,28370650000.0
2023-03-24,1163.572,1165.159,1143.35,1157.857,944820650,24876670000.0
2023-03-27,1153.921,1167.045,1138.397,1149.698,764056990,21221371000.0
