日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1387.276,1409.951,1385.232,1409.192,2933028000,29118283000.0
2020-01-03,1411.105,1416.819,1404.693,1415.423,2576587400,25584830000.0
2020-01-06,1410.424,1443.748,1406.703,1437.441,3400464800,32899389000.0
2020-01-07,1447.741,1472.861,1447.741,1472.861,3658103800,33665890000.0
2020-01-08,1478.147,1495.281,1466.347,1470.875,4441524600,39870607000.0
2020-01-09,1482.881,1488.753,1476.053,1488.753,3734218500,35703106000.0
2020-01-10,1492.34,1492.912,1476.234,1482.797,3316267900,33115543000.0
2020-01-13,1481.462,1500.12,1475.873,1500.12,3380311300,35467867000.0
2020-01-14,1503.984,1507.352,1496.511,1498.178,3500938600,35043642000.0
2020-01-15,1494.332,1494.332,1475.629,1489.423,3139416300,31787244000.0
2020-01-16,1490.979,1491.865,1478.403,1479.997,2832725000,31110367000.0
2020-01-17,1479.497,1483.74,1464.639,1469.848,2449155500,27169483000.0
2020-01-20,1468.419,1481.645,1462.563,1481.645,2508379400,28473519000.0
2020-01-21,1474.639,1474.639,1460.683,1460.989,2540134800,29075363000.0
2020-01-22,1454.834,1476.748,1431.758,1469.824,2859186000,32800875000.0
2020-01-23,1456.696,1467.198,1404.294,1416.6,3121891700,35915734000.0
2020-02-03,1279.257,1282.334,1278.216,1279.257,1418015600,15591435000.0
2020-02-04,1191.345,1268.698,1191.345,1261.471,4005078400,37631889000.0
2020-02-05,1265.645,1309.862,1265.645,1286.753,3531866800,36379608000.0
2020-02-06,1283.639,1315.974,1273.975,1313.979,3340170300,33115929000.0
2020-02-07,1311.665,1332.545,1304.808,1332.35,3370288500,36301093000.0
2020-02-10,1330.362,1361.221,1327.272,1360.926,3320142900,35162894000.0
2020-02-11,1361.663,1366.927,1350.769,1357.699,2918250300,30886321000.0
2020-02-12,1373.808,1415.617,1373.808,1415.521,4153908700,43021272000.0
2020-02-13,1424.004,1436.172,1409.751,1413.955,5046154800,52935046000.0
2020-02-14,1406.951,1429.868,1403.157,1415.283,4023604800,44006073000.0
2020-02-17,1424.482,1462.756,1424.482,1462.756,4180971800,44332066000.0
2020-02-18,1466.928,1504.599,1465.159,1504.581,4692127100,51338670000.0
2020-02-19,1506.845,1520.778,1501.658,1501.658,5342762500,58563327000.0
2020-02-20,1508.996,1536.307,1497.971,1536.307,5056808500,55593734000.0
2020-02-21,1535.212,1564.397,1534.412,1551.202,5411110000,59229703000.0
2020-02-24,1546.445,1579.007,1539.956,1574.999,5594453900,61659865000.0
2020-02-25,1537.423,1575.342,1501.9,1572.905,6579664200,74791490000.0
