日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-09-08,1019.03,1073.867,1019.03,1051.991,401633230,11569243500.0
2023-09-11,1057.93,1071.729,1030.878,1045.991,1135920400,20590037000.0
2023-09-12,1034.226,1086.073,1028.409,1074.189,691263420,18111151000.0
2023-09-13,1053.571,1075.07,1049.426,1068.17,720861930,18253023000.0
2023-09-14,1058.059,1070.455,1038.334,1066.213,632355290,16645089000.0
2023-09-15,1059.537,1100.094,1054.341,1095.104,850528470,22068714000.0
2023-09-18,1081.641,1081.641,1059.862,1061.546,844948320,20765302000.0
2023-09-19,1051.528,1051.528,1027.444,1028.853,620457210,14948170000.0
2023-09-20,1015.487,1019.124,998.118,1000.652,558781820,12781245300.0
2023-09-21,992.215,1007.302,991.37,995.819,428535810,9752803300.0
2023-09-22,990.023,1014.073,980.283,1011.795,484172090,11266344100.0
2023-09-25,1009.149,1042.584,1008.508,1023.114,618446950,15043581000.0
2023-09-26,1009.242,1024.445,993.026,1008.946,562363350,13042142000.0
2023-09-27,1002.033,1009.095,992.424,992.492,374781180,8945365000.0
2023-09-28,996.714,1033.785,996.229,1023.147,434337380,10453532000.0
2023-10-09,1013.217,1030.965,1012.959,1022.64,412390870,9705461100.0
2023-10-10,1023.405,1044.4,1017.378,1024.872,499819070,12477871500.0
2023-10-11,1023.488,1062.1,1023.488,1062.1,497568540,12302773800.0
2023-10-12,1067.379,1067.483,1030.491,1040.885,569236060,14388175000.0
2023-10-13,1033.399,1052.816,1032.825,1051.852,612648510,14619897000.0
2023-10-16,1048.673,1048.673,1014.636,1020.473,482698180,11465920900.0
2023-10-17,1014.824,1020.145,1002.112,1019.067,431162110,9938386200.0
2023-10-18,1025.475,1040.26,1016.719,1017.452,477804320,11274757800.0
2023-10-19,1004.423,1045.89,1004.423,1019.763,637088740,14486884000.0
2023-10-20,1008.341,1012.129,978.589,982.164,455698520,9425599700.0
2023-10-23,975.338,975.448,946.863,952.289,403845430,8760406700.0
2023-10-24,955.394,985.528,943.932,976.759,505192630,10985816500.0
2023-10-25,978.086,989.292,973.714,985.473,472218240,10363878000.0
2023-10-26,979.37,985.883,971.44,984.765,388821790,8773261300.0
2023-10-27,983.511,1030.453,973.307,1022.603,588294550,13241209500.0
2023-10-30,1016.382,1057.797,1015.789,1052.148,563168850,13547531000.0
2023-10-31,1051.764,1066.252,1036.783,1062.47,555490470,12859540400.0
2023-11-01,1057.104,1060.977,1047.121,1049.433,392903330,8865289700.0
2023-11-02,1047.34,1053.14,1029.56,1029.625,350816300,8039065400.0
2023-11-03,1030.362,1060.696,1030.09,1056.555,369934820,9009116000.0
2023-11-06,1057.799,1089.103,1057.799,1088.283,475089550,10976783600.0
2023-11-07,1086.957,1124.286,1084.803,1116.839,674693310,15574717000.0
2023-11-08,1113.594,1148.477,1113.089,1134.9,663313260,16288490000.0
2023-11-09,1146.171,1162.653,1133.33,1138.34,654818780,16025942000.0
2023-11-10,1130.256,1152.354,1125.163,1128.729,635882140,14653046000.0
2023-11-13,1139.437,1144.47,1121.421,1136.99,528194440,12068915700.0
2023-11-14,1120.878,1153.778,1116.65,1148.756,573739200,13251110500.0
2023-11-15,1152.712,1153.697,1125.37,1132.082,480032300,11764517900.0
2023-11-16,1125.244,1146.074,1122.7,1136.015,573483120,13503370000.0
2023-11-17,1128.434,1139.405,1124.995,1135.881,402425000,10069496300.0
2023-11-20,1138.532,1154.614,1138.532,1151.861,429529890,10684094900.0
2023-11-21,1147.757,1148.03,1116.968,1118.987,429510630,10595118500.0
2023-11-22,1112.126,1122.224,1095.571,1095.802,386023820,8892960600.0
2023-11-23,1095.23,1115.258,1088.213,1112.575,309818000,7738602100.0
2023-11-24,1112.345,1112.571,1091.332,1093.154,366253460,8753226700.0
2023-11-27,1090.34,1133.228,1090.204,1128.168,592288760,13420290000.0
2023-11-28,1120.512,1129.024,1107.184,1117.501,463904170,10127342800.0
2023-11-29,1114.973,1127.451,1110.692,1111.9,335397870,7911155200.0
2023-11-30,1108.193,1108.554,1078.011,1090.006,337530340,7603961000.0
2023-12-01,1089.872,1095.419,1081.492,1093.009,238956260,5757037200.0
2023-12-04,1094.836,1102.008,1087.662,1090.952,235302620,5939837100.0
2023-12-05,1088.608,1088.608,1054.821,1054.821,275877890,6346025600.0
2023-12-06,1052.257,1063.626,1048.041,1049.75,199337310,4569303900.0
2023-12-07,1050.253,1053.903,1040.956,1046.947,249995860,5539281600.0
2023-12-08,1048.591,1074.193,1048.591,1069.432,314381240,7756876500.0
2023-12-11,1066.479,1087.666,1055.741,1087.593,269665700,6720719300.0
2023-12-12,1086.78,1088.165,1074.125,1079.032,228455540,5491889000.0
2023-12-13,1077.755,1077.755,1063.758,1063.964,180920170,4377144500.0
2023-12-14,1068.468,1074.414,1052.901,1054.116,189737590,4389948200.0
2023-12-15,1055.76,1060.972,1048.406,1055.885,208440170,4695344700.0
2023-12-18,1052.312,1052.312,1031.81,1034.208,195031760,4578192900.0
2023-12-19,1035.698,1045.747,1029.554,1041.032,161412490,3863134400.0
2023-12-20,1041.453,1057.782,1031.948,1040.618,328889740,6948207400.0
2023-12-21,1029.389,1052.118,1020.639,1044.756,254346570,5385137300.0
2023-12-22,1043.71,1045.994,1018.723,1024.998,237404920,5176108100.0
2023-12-25,1026.516,1035.753,1020.23,1026.841,190712890,4382449600.0
2023-12-26,1025.081,1025.25,998.201,1001.434,210162620,4694850800.0
2023-12-27,1002.163,1020.527,999.151,1017.523,215819160,4820870000.0
2023-12-28,1013.088,1039.848,1008.44,1033.603,221894780,5096035100.0
2023-12-29,1032.356,1059.502,1032.134,1059.011,235545200,5684646800.0
2024-01-02,1060.192,1060.192,1042.346,1042.389,213956020,5111224400.0
2024-01-03,1039.373,1051.365,1018.986,1029.87,268668530,6242979800.0
2024-01-04,1025.494,1026.734,1009.757,1012.892,204515640,5041935600.0
2024-01-05,1010.43,1015.077,980.485,986.859,204111080,4757970900.0
2024-01-08,984.293,984.461,959.589,959.642,174280360,3938271800.0
2024-01-09,963.381,973.623,949.733,957.526,167151590,3811236300.0
2024-01-10,954.811,956.821,933.005,938.844,142906190,3227774900.0
2024-01-11,938.147,964.269,937.699,961.647,156466420,3651583800.0
2024-01-12,959.113,963.504,944.374,944.533,138952800,3144707200.0
2024-01-15,943.513,955.041,932.446,940.381,131206750,3078175900.0
2024-01-16,940.155,940.876,919.851,933.325,135279980,3098229300.0
2024-01-17,932.062,933.045,902.691,902.691,114775124,2539302200.0
2024-01-18,899.435,906.045,874.665,903.522,200531540,4141407100.0
2024-01-19,903.037,914.373,888.326,888.326,136967960,3130655900.0
2024-01-22,888.653,893.21,831.644,836.377,198887010,4046853500.0
2024-01-23,833.887,851.514,826.221,847.502,188162790,3818841300.0
2024-01-24,849.72,854.655,813.583,845.389,220348600,4255357800.0
2024-01-25,845.832,878.734,836.03,876.63,265745870,5056243200.0
2024-01-26,873.398,877.141,857.112,860.101,267617140,5216698600.0
2024-01-29,860.283,865.812,824.601,828.741,230339750,4344253900.0
2024-01-30,821.268,827.252,792.749,793.289,185802180,3460032500.0
2024-01-31,790.092,794.087,748.193,748.669,217376200,3920655200.0
2024-02-01,744.426,760.994,728.69,742.385,183078530,3373018000.0
2024-02-02,744.721,755.005,675.791,700.648,245777750,4201692700.0
2024-02-05,693.141,693.141,618.067,632.206,310770090,4932076100.0
2024-02-06,617.915,677.821,596.05,664.792,305660800,4694525000.0
2024-02-07,668.002,691.016,649.466,660.582,326461040,5537258500.0
2024-02-08,667.449,726.749,663.81,725.807,382398460,6665078500.0
2024-02-19,738.791,753.701,731.223,751.583,326346180,5864860000.0
2024-02-20,746.471,763.274,734.616,761.278,240482190,4457491600.0
2024-02-21,754.641,788.023,748.5,765.734,321784380,5779797600.0
2024-02-22,767.964,797.936,767.964,797.703,333235500,6321700900.0
2024-02-23,803.606,819.154,794.25,818.18,321027270,6034005300.0
2024-02-26,821.754,853.2,818.784,839.01,363654510,7185661700.0
2024-02-27,833.834,872.253,831.008,872.253,358833590,7338211100.0
2024-02-28,877.805,885.582,796.307,796.307,468480720,9315230900.0
2024-02-29,791.27,868.54,791.27,868.54,499069090,9250623100.0
2024-03-01,892.015,903.034,882.304,898.568,567544380,11070192900.0
2024-03-04,899.599,900.542,872.235,894.845,561700590,11673543800.0
2024-03-05,884.508,896.488,872.123,879.48,526695940,10815842300.0
2024-03-06,871.353,884.485,854.72,874.492,384305220,7887408500.0
2024-03-07,883.846,899.48,864.105,864.105,409387460,8872242600.0
2024-03-08,862.195,879.869,854.842,877.331,298401250,6324752200.0
2024-03-11,870.162,885.894,863.293,885.894,294038220,6455031700.0
2024-03-12,887.753,900.027,881.048,892.65,298118670,6332546900.0
2024-03-13,895.491,904.518,889.37,894.171,299997060,6662437100.0
2024-03-14,888.764,892.92,865.033,876.804,265102550,5595112500.0
2024-03-15,875.782,891.113,868.678,891.113,250570450,5242364000.0
2024-03-18,895.18,910.275,889.945,910.275,294316480,6256606300.0
2024-03-19,907.866,920.318,902.097,916.338,346346250,7492721600.0
2024-03-20,915.732,932.101,911.011,925.294,388948340,8346884400.0
2024-03-21,922.3,930.942,910.536,917.08,308398080,6651847500.0
2024-03-22,915.831,926.629,908.442,912.043,329788630,7075322000.0
2024-03-25,908.203,937.444,902.77,905.061,402171090,8592727100.0
2024-03-26,900.659,910.114,879.32,896.181,375320990,7624990000.0
2024-03-27,888.349,889.331,840.606,840.606,329563560,6495588300.0
2024-03-28,838.464,875.714,838.464,863.878,288791910,5754484300.0
2024-03-29,862.383,868.885,845.105,861.822,236837470,4567842600.0
2024-04-01,864.362,887.104,864.362,883.388,266926290,5189583300.0
2024-04-02,882.622,882.622,862.577,868.539,257506110,5017611200.0
2024-04-03,866.998,870.605,840.809,848.894,205888320,4113063700.0
2024-04-08,847.787,850.513,826.562,826.562,186278650,3647891200.0
2024-04-09,825.339,836.3,820.611,835.071,167951850,3226273900.0
2024-04-10,834.075,834.075,800.014,806.487,192647700,3462703700.0
2024-04-11,798.902,817.022,797.159,802.562,155356170,2993732200.0
2024-04-12,802.714,813.557,796.905,798.177,155627290,2947194900.0
2024-04-15,798.504,805.447,758.368,771.289,241598800,4151471700.0
2024-04-16,763.588,765.065,716.643,717.395,251971280,4333248300.0
2024-04-17,729.827,770.399,729.827,770.215,228062060,4072040700.0
2024-04-18,769.585,781.76,754.818,767.083,203998530,3771025400.0
2024-04-19,764.729,774.087,746.927,760.395,215103360,4052838400.0
2024-04-22,748.103,761.367,733.997,753.262,163731210,3035206400.0
2024-04-23,756.939,765.687,752.904,758.793,132199340,2447913000.0
2024-04-24,761.272,781.241,760.493,781.241,167743340,3143269100.0
2024-04-25,778.805,794.26,774.482,787.213,209921570,3967710700.0
2024-04-26,783.029,809.358,779.582,806.774,295459660,5787079400.0
2024-04-29,806.049,837.923,806.049,837.923,288427980,6055453100.0
2024-04-30,841.949,842.146,823.741,829.669,229975920,4645040000.0
2024-05-06,842.993,846.797,839.654,844.683,213328290,4446346700.0
