日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1194.992,1224.96,1189.711,1221.343,379983000,5706848300.0
2020-01-03,1216.811,1228.522,1206.742,1216.032,372239650,5704553400.0
2020-01-06,1193.093,1221.646,1183.262,1213.727,429024270,5250879300.0
2020-01-07,1217.823,1226.783,1207.434,1226.783,360593860,4809528500.0
2020-01-08,1216.722,1216.722,1187.016,1189.464,380112230,4522682900.0
2020-01-09,1202.777,1217.284,1202.777,1215.771,275144560,3731612300.0
2020-01-10,1220.288,1229.094,1211.582,1224.666,280501510,3767339400.0
2020-01-13,1221.176,1270.583,1216.809,1270.454,334367300,5473637600.0
2020-01-14,1274.174,1298.543,1268.392,1280.434,377096070,6116350700.0
2020-01-15,1270.823,1272.765,1250.391,1270.112,301242850,4773589800.0
2020-01-16,1271.635,1326.335,1269.204,1313.752,372560830,6515926900.0
2020-01-17,1316.307,1325.872,1298.07,1304.317,374383580,6619561500.0
2020-01-20,1294.376,1335.107,1285.743,1329.798,399075670,6415085700.0
2020-01-21,1324.27,1353.69,1318.362,1342.452,370247350,6270783900.0
2020-01-22,1324.26,1407.413,1313.924,1404.657,487058790,8096171300.0
2020-01-23,1378.693,1409.142,1327.229,1356.875,532265180,9291926100.0
2020-02-03,1231.471,1256.266,1229.857,1250.574,157874200,2286273300.0
2020-02-04,1181.869,1277.009,1181.869,1266.217,694881920,9184690800.0
2020-02-05,1271.631,1330.204,1270.688,1287.254,574831550,9209606100.0
2020-02-06,1279.373,1333.085,1274.728,1324.74,457191590,7260051000.0
2020-02-07,1324.508,1379.883,1317.539,1376.636,574812490,9593231300.0
2020-02-10,1366.399,1374.909,1342.477,1363.433,454764730,8038108200.0
2020-02-11,1354.434,1385.24,1351.285,1365.41,376535380,7040306700.0
2020-02-12,1347.115,1407.746,1347.028,1403.067,563516040,10176271500.0
2020-02-13,1401.504,1442.037,1382.59,1402.025,695362360,12124329300.0
2020-02-14,1394.702,1460.527,1392.807,1435.675,746769640,11865430900.0
2020-02-17,1443.638,1501.714,1441.249,1501.714,728540190,11395490300.0
2020-02-18,1509.701,1600.089,1504.727,1595.213,811469440,14264129000.0
2020-02-19,1605.599,1679.553,1585.97,1613.313,960288130,16062636000.0
2020-02-20,1613.636,1626.363,1555.526,1616.826,824628500,13893849000.0
2020-02-21,1596.91,1667.687,1596.91,1663.432,939520860,14532066000.0
2020-02-24,1642.421,1743.455,1641.42,1720.78,873957400,14520260000.0
