日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-08-18,1010.254,1033.784,1006.46,1007.775,1372590200,11158459300.0
2022-08-19,1007.623,1020.098,997.787,1006.41,1358647800,11984066100.0
2022-08-22,989.077,1003.975,978.37,1001.86,1109824490,9322899800.0
2022-08-23,989.655,1040.203,983.036,1037.162,1561847500,14093150000.0
2022-08-24,1033.999,1033.999,987.693,987.81,1431652700,13579050000.0
2022-08-25,989.685,993.148,957.001,971.588,1137732300,11003649200.0
2022-08-26,971.481,994.124,969.906,973.137,1091558080,10946486700.0
2022-08-29,956.843,998.55,951.946,996.932,959950500,9295252600.0
2022-08-30,997.115,997.115,958.441,960.28,1083074860,9734770000.0
2022-08-31,954.289,956.02,900.328,903.552,1036842200,9608434700.0
2022-09-01,901.741,908.862,885.487,887.417,731594050,6399118800.0
2022-09-02,890.703,902.187,878.097,901.042,691774710,6025464500.0
2022-09-05,905.163,928.889,902.366,919.659,638328350,6233992800.0
2022-09-06,922.866,940.638,909.14,940.638,863147220,8185809700.0
2022-09-07,933.314,961.585,931.091,959.014,835683070,8208348300.0
2022-09-08,958.851,1008.427,958.289,988.762,1082649200,10987788400.0
2022-09-09,984.735,987.668,961.679,962.403,863635980,8769978600.0
2022-09-13,958.88,966.883,950.761,960.463,611862200,6374634700.0
2022-09-14,940.025,959.585,936.947,948.772,571218750,6101074200.0
2022-09-15,962.895,967.791,906.642,916.517,849554860,8265457500.0
2022-09-16,912.569,921.179,886.744,886.83,615567720,5871931700.0
2022-09-19,885.923,896.04,867.012,871.769,458384240,4491739000.0
2022-09-20,878.427,903.017,878.427,896.961,472100640,4487246600.0
2022-09-21,893.334,897.904,876.37,894.978,762517980,5484207300.0
2022-09-22,887.908,908.234,883.843,897.358,679684080,5380656100.0
2022-09-23,901.624,907.107,868.389,876.445,608439240,5424632500.0
2022-09-26,870.759,886.957,865.752,869.624,561579710,5478668200.0
2022-09-27,871.085,886.496,865.621,885.645,631285920,5615940900.0
2022-09-28,883.419,885.157,838.327,838.327,664019040,5679761100.0
2022-09-29,844.887,847.345,826.429,832.395,480693970,4019866300.0
2022-09-30,830.283,830.98,803.908,804.958,462419070,3713200300.0
2022-10-10,807.512,822.222,792.991,797.317,532901730,3546779400.0
2022-10-11,798.332,816.06,791.34,814.968,509817090,3922629200.0
2022-10-12,814.901,844.172,801.94,844.172,562353910,5006887600.0
