日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2024-08-08,1027.677,1041.101,994.243,996.438,777868300,8537650700.0
2024-08-09,992.549,1008.805,982.714,982.751,794036810,9328119400.0
2024-08-12,975.308,978.104,956.674,960.648,606114850,6508648200.0
2024-08-13,960.854,968.476,954.186,968.476,452066730,5421430200.0
2024-08-14,976.84,980.883,968.953,973.878,613332710,6953357100.0
2024-08-15,966.42,990.739,962.216,989.501,751924840,8202666900.0
2024-08-16,993.969,1009.161,993.969,999.434,845391020,10419481800.0
2024-08-19,995.5,1001.814,985.237,988.497,708639410,8524557500.0
2024-08-20,984.438,985.14,968.418,970.604,636733030,8235751900.0
2024-08-21,966.465,976.088,962.318,963.971,491343210,6529198200.0
2024-08-22,962.474,968.517,945.473,946.073,530172120,6713037100.0
2024-08-23,942.413,956.055,935.83,949.913,569210450,7048754600.0
2024-08-26,952.24,959.945,945.285,955.305,529662930,7324397400.0
2024-08-27,949.351,950.283,923.885,925.713,546356160,6529730000.0
2024-08-28,924.137,939.284,922.738,933.579,587239530,6808143200.0
2024-08-29,927.898,951.676,922.721,947.696,649644510,9024590300.0
2024-08-30,947.831,982.887,947.831,970.735,895712820,11322064800.0
2024-09-02,969.716,973.62,947.518,947.82,660956680,8719506400.0
2024-09-03,947.92,961.999,946.998,958.642,562701370,6971148700.0
2024-09-04,948.482,957.482,943.498,951.523,519589970,6860433400.0
2024-09-05,951.461,963.181,950.552,957.637,438444320,5342262300.0
2024-09-06,956.736,958.163,933.391,934.06,497365800,5533962700.0
2024-09-09,929.127,936.2,922.734,930.333,430058190,5511230900.0
2024-09-10,931.389,952.798,921.512,948.856,501826820,6891962500.0
2024-09-11,945.293,951.032,938.399,942.73,420420520,5695977000.0
2024-09-12,948.106,954.886,938.726,938.726,417832720,5630095000.0
2024-09-13,938.932,942.218,925.436,925.715,476473550,7272211600.0
2024-09-18,926.517,928.406,905.267,920.098,407309510,5184244400.0
2024-09-19,925.437,941.024,918.219,937.224,515989040,6520041600.0
2024-09-20,938.697,941.748,934.165,939.349,530741640,5981711300.0
2024-09-23,938.848,950.881,933.68,943.6,551177100,6631138200.0
2024-09-24,945.39,971.779,936.571,971.779,850850290,11050222400.0
2024-09-25,979.622,1000.39,978.654,980.594,973184220,12216168600.0
2024-09-26,978.892,1008.473,977.765,1008.473,905651450,11372685600.0
2024-09-27,1021.835,1073.788,1018.437,1068.22,1224228800,16441400000.0
2024-09-30,1116.303,1214.941,1098.944,1205.478,2128331600,30523327000.0
2024-10-08,1389.505,1389.505,1250.143,1352.438,2632006300,43595137000.0
2024-10-09,1302.187,1307.065,1204.879,1204.879,1921474300,32922252000.0
2024-10-10,1219.966,1244.787,1182.842,1199.293,1297003280,21002093000.0
2024-10-11,1191.861,1191.861,1123.767,1138.862,1019113310,16156891000.0
2024-10-14,1143.852,1187.866,1130.634,1187.836,1015002590,16373415000.0
2024-10-15,1180.929,1216.739,1169.326,1169.881,1085959590,16999990000.0
2024-10-16,1147.466,1182.231,1147.406,1170.559,950689180,13254181400.0
2024-10-17,1179.184,1204.918,1179.184,1181.273,1034728480,15070391000.0
2024-10-18,1182.543,1266.721,1182.543,1243.351,1493366200,25453022000.0
2024-10-21,1265.102,1323.683,1264.776,1302.796,1820406600,34690655000.0
2024-10-22,1322.432,1327.136,1289.098,1304.12,1869320600,36290159000.0
2024-10-23,1294.396,1343.516,1294.396,1319.481,1689423100,34229302000.0
2024-10-24,1313.596,1347.788,1302.389,1330.814,1626867700,32598935000.0
2024-10-25,1335.573,1371.718,1330.964,1363.708,1694673200,31373348000.0
2024-10-28,1369.742,1398.071,1364.332,1394.496,1887440700,32945119000.0
2024-10-29,1393.141,1393.837,1358.97,1359.899,1998639400,33290517000.0
2024-10-30,1351.687,1392.408,1351.687,1377.752,1684556400,31529869000.0
2024-10-31,1380.548,1409.042,1368.549,1398.805,1733356600,34042732000.0
2024-11-01,1390.317,1397.738,1324.431,1325.07,1925895000,32243662000.0
2024-11-04,1325.716,1361.557,1325.716,1361.472,1345972800,24352055000.0
2024-11-05,1359.846,1421.091,1359.218,1416.057,1669169200,30095915000.0
2024-11-06,1427.756,1453.347,1416.055,1438.329,1996262600,36603039000.0
2024-11-07,1425.537,1466.5,1421.584,1466.483,1827697700,32835173000.0
2024-11-08,1475.99,1511.368,1475.823,1480.111,1894846500,36700492000.0
2024-11-11,1484.406,1538.587,1484.339,1538.495,1762535300,37807498000.0
2024-11-12,1545.367,1545.394,1481.01,1497.929,1852619300,34339573000.0
2024-11-13,1487.073,1507.555,1461.534,1507.555,1255466030,25264233000.0
2024-11-14,1504.748,1509.497,1450.522,1453.078,1168312720,22195488000.0
2024-11-15,1449.009,1465.675,1417.77,1417.9,1211065900,24847259000.0
2024-11-18,1424.015,1431.727,1358.984,1369.645,1226430920,23545859000.0
2024-11-19,1373.803,1407.76,1358.449,1407.76,998290230,19011254000.0
2024-11-20,1404.538,1442.411,1404.02,1440.22,1051879210,20613176000.0
2024-11-21,1435.139,1462.491,1429.266,1450.518,1125658990,20275689000.0
2024-11-22,1449.223,1460.679,1384.855,1385.294,1298118880,21850003000.0
2024-11-25,1388.04,1393.407,1356.802,1388.326,1338028290,20838084000.0
2024-11-26,1390.158,1409.395,1377.938,1380.146,1269486860,19477557000.0
2024-11-27,1367.562,1414.441,1341.328,1414.301,1278679240,20054848000.0
2024-11-28,1412.416,1429.358,1401.772,1405.027,1153891990,18168543000.0
2024-11-29,1402.047,1447.048,1387.62,1431.265,1202552750,19804762000.0
2024-12-02,1431.446,1462.748,1431.29,1462.156,1334142530,22880243000.0
2024-12-03,1460.663,1470.225,1444.484,1461.252,1294949220,20183806000.0
2024-12-04,1464.221,1468.268,1433.99,1442.604,1430074000,19477309000.0
2024-12-05,1439.165,1466.146,1439.165,1458.628,1326558820,20016179000.0
2024-12-06,1461.472,1470.322,1437.417,1460.525,1171530260,17880025000.0
2024-12-09,1457.337,1464.662,1434.946,1448.373,1148405510,17385072000.0
2024-12-10,1492.407,1495.603,1460.212,1463.451,1545325800,23306932000.0
2024-12-11,1459.766,1491.448,1459.766,1491.448,1386530500,20648193000.0
2024-12-12,1492.237,1499.937,1471.173,1492.056,1213995180,20944887000.0
2024-12-13,1481.401,1487.939,1457.893,1458.676,1347534900,23501064000.0
2024-12-16,1466.731,1471.437,1443.926,1452.375,1164374550,22861264000.0
2024-12-17,1450.361,1454.945,1401.467,1405.139,1274542270,23738922000.0
2024-12-18,1414.019,1437.287,1389.385,1422.768,1054254250,19888468000.0
2024-12-19,1405.322,1458.182,1404.172,1456.371,1326823710,24616592000.0
2024-12-20,1452.86,1495.431,1445.74,1478.633,1507846100,29897372000.0
2024-12-23,1477.291,1483.135,1411.849,1413.514,1418294100,28172216000.0
2024-12-24,1423.41,1440.59,1399.305,1436.001,1662522700,26558904000.0
2024-12-25,1428.309,1428.962,1390.922,1408.859,1660567700,25945778000.0
2024-12-26,1404.037,1475.814,1400.707,1471.89,1480862800,31950838000.0
2024-12-27,1472.549,1491.382,1459.496,1466.099,1963155300,32768307000.0
2024-12-30,1462.881,1479.038,1438.782,1463.361,1620765200,31007102000.0
2024-12-31,1463.055,1469.385,1405.33,1405.33,1490152000,27915411000.0
2025-01-02,1397.785,1422.29,1352.093,1368.03,1362974900,25500132000.0
2025-01-03,1371.416,1376.637,1292.21,1294.081,1292532720,21965814000.0
2025-01-06,1288.468,1298.631,1258.146,1271.176,1000216260,17677218000.0
2025-01-07,1275.621,1340.74,1275.621,1340.319,1187359670,24155893000.0
2025-01-08,1334.146,1348.566,1288.853,1337.404,1332200380,25485702000.0
2025-01-09,1326.512,1355.196,1325.043,1338.383,989089300,20508194000.0
2025-01-10,1334.423,1348.996,1289.578,1289.578,1059905170,20324863000.0
2025-01-13,1273.411,1305.648,1251.706,1295.681,862630170,16219202000.0
2025-01-14,1305.375,1370.881,1300.966,1370.881,1296627100,23608327000.0
2025-01-15,1370.624,1372.865,1348.852,1357.818,978578810,18746433000.0
2025-01-16,1368.036,1391.005,1356.368,1381.728,1227974550,28454453000.0
2025-01-17,1377.804,1399.402,1371.182,1385.635,1050089160,26521046000.0
2025-01-20,1398.738,1413.508,1389.794,1401.698,1121518370,24586785000.0
2025-01-21,1415.667,1419.97,1392.939,1419.846,1100554260,24749210000.0
2025-01-22,1418.262,1440.106,1417.928,1424.564,1089701550,25658062000.0
2025-01-23,1445.671,1474.885,1418.683,1418.683,1387150100,29589857000.0
2025-01-24,1411.313,1458.899,1411.313,1457.896,1346670100,28560216000.0
2025-01-27,1445.697,1449.368,1397.13,1397.13,1239391520,26195738000.0
2025-02-05,1399.929,1401.579,1373.586,1391.258,1181168430,25956510000.0
2025-02-06,1388.642,1438.477,1381.711,1438.477,1346443900,27518826000.0
2025-02-07,1437.633,1485.762,1437.364,1467.459,1575139000,31816402000.0
2025-02-10,1475.975,1497.712,1473.876,1497.472,1372857000,26754718000.0
2025-02-11,1495.329,1516.229,1484.17,1507.201,1426271500,27466493000.0
2025-02-12,1498.506,1526.351,1497.714,1525.856,1370504600,26416102000.0
2025-02-13,1526.625,1526.625,1502.331,1504.472,1367591500,28286666000.0
2025-02-14,1500.96,1519.563,1497.448,1508.402,1274757090,27440136000.0
2025-02-17,1512.533,1541.853,1512.533,1535.309,1549318500,34907209000.0
2025-02-18,1530.127,1544.222,1490.096,1495.547,1559717700,31589876000.0
2025-02-19,1493.273,1541.792,1493.273,1541.792,1252775930,26713135000.0
2025-02-20,1547.394,1564.667,1540.621,1562.519,1749130000,35406921000.0
2025-02-21,1567.804,1612.798,1561.745,1605.94,2022049600,42858098000.0
2025-02-24,1603.668,1618.342,1580.425,1611.397,1853243600,38611867000.0
2025-02-25,1578.996,1617.399,1577.348,1603.484,1579683800,31040339000.0
2025-02-26,1605.644,1623.895,1590.253,1623.873,1675761100,32893351000.0
2025-02-27,1619.801,1623.608,1568.731,1603.561,1707630600,34951128000.0
2025-02-28,1596.827,1599.303,1526.205,1529.071,1738806200,33222458000.0
2025-03-03,1538.408,1552.448,1511.772,1523.441,1859092400,31723346000.0
2025-03-04,1497.998,1550.088,1497.998,1549.24,1401039900,22363878000.0
2025-03-05,1551.639,1576.525,1545.301,1576.41,1646756300,29540974000.0
2025-03-06,1585.55,1618.757,1585.55,1613.342,1869638500,33921054000.0
