日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-07-06,1025.107,1078.804,1025.107,1073.943,1018822960,11854135300.0
2020-07-07,1116.963,1140.867,1101.039,1111.651,1417560700,25824076000.0
2020-07-08,1123.588,1168.522,1107.843,1167.76,1390060300,22480547000.0
2020-07-09,1201.865,1237.486,1198.381,1220.756,1269994950,20869664000.0
2020-07-10,1227.589,1305.86,1222.262,1293.576,1574015600,25005939000.0
2020-07-13,1331.315,1333.286,1267.648,1316.321,2207262900,32316189000.0
2020-07-14,1289.459,1303.805,1245.832,1257.55,2086045600,25339165000.0
2020-07-15,1257.685,1269.15,1208.674,1209.883,1649586400,22875847000.0
2020-07-16,1196.311,1199.257,1129.514,1129.627,1328946700,19363840000.0
2020-07-17,1132.1,1159.056,1122.842,1131.558,1636189500,26016752000.0
2020-07-20,1124.997,1146.037,1113.268,1146.037,1311252570,21067043000.0
2020-07-21,1140.36,1152.572,1133.859,1146.906,1166392890,17410697000.0
2020-07-22,1140.382,1204.523,1134.307,1175.585,1460829700,27149080000.0
2020-07-23,1153.678,1190.97,1133.72,1187.903,1403969000,26132084000.0
2020-07-24,1175.47,1179.51,1107.199,1107.199,1264670030,24296765000.0
2020-07-27,1092.76,1098.445,1065.397,1074.547,1342042080,19403085000.0
2020-07-28,1077.811,1090.915,1064.527,1083.361,1204128070,17909067000.0
2020-07-29,1073.314,1108.916,1068.913,1108.56,1159207550,17267802000.0
2020-07-30,1106.433,1126.864,1096.257,1123.008,1567033000,22152652000.0
2020-07-31,1112.198,1140.547,1107.523,1137.573,1484766900,21859081000.0
2020-08-03,1139.275,1173.495,1136.861,1168.974,1611620500,24831503000.0
2020-08-04,1164.508,1168.928,1141.923,1144.588,1518919500,23035048000.0
2020-08-05,1131.911,1160.011,1121.611,1154.032,1116334380,15954691000.0
2020-08-06,1155.78,1156.045,1133.264,1147.405,1215614930,17596772000.0
2020-08-07,1145.24,1164.142,1137.445,1158.478,1580708600,19885695000.0
2020-08-10,1147.071,1160.565,1130.568,1151.742,1539891800,19641732000.0
2020-08-11,1148.608,1157.184,1129.129,1130.274,1276942400,16561596000.0
2020-08-12,1127.676,1141.448,1108.412,1134.632,1125688180,16777668000.0
2020-08-13,1132.403,1156.006,1130.824,1144.663,1224568140,16440373000.0
2020-08-14,1130.804,1135.826,1115.078,1134.68,920508520,12552660200.0
2020-08-17,1128.613,1154.179,1126.27,1146.913,1011867020,14302261000.0
2020-08-18,1145.437,1175.579,1144.229,1168.566,1166906920,16635815000.0
2020-08-19,1165.38,1165.38,1126.576,1128.299,1165432450,16155987000.0
2020-08-20,1119.244,1121.338,1095.648,1101.039,828957250,13005502100.0
2020-08-21,1101.564,1110.854,1091.063,1105.649,692280660,10918351100.0
2020-08-24,1103.564,1103.663,1085.14,1099.625,636761550,9630295600.0
2020-08-25,1100.321,1100.76,1077.39,1083.405,758279300,11718473500.0
2020-08-26,1079.943,1079.944,1049.961,1056.251,798322000,10632799800.0
2020-08-27,1053.405,1055.794,1037.891,1050.892,620859760,8066413700.0
2020-08-28,1051.416,1075.079,1047.519,1072.62,755430830,11422135200.0
2020-08-31,1073.706,1080.936,1063.948,1064.394,738775210,11421219200.0
2020-09-01,1062.041,1067.023,1055.526,1067.009,601159810,8790460900.0
2020-09-02,1070.572,1078.852,1063.803,1072.774,726616700,10180439500.0
2020-09-03,1072.655,1075.056,1060.262,1062.49,753326600,9183172200.0
2020-09-04,1043.662,1061.085,1036.191,1058.942,616103280,8344574500.0
2020-09-07,1057.532,1066.516,1042.648,1048.031,815070030,11140209200.0
2020-09-08,1053.466,1058.057,1040.001,1053.034,795419880,9383951800.0
2020-09-09,1041.214,1045.438,1015.06,1016.006,953710130,10358170000.0
2020-09-10,1021.814,1032.502,1001.596,1004.486,806286810,10027678000.0
2020-09-11,997.107,1018.687,993.662,1018.597,639518140,9084643200.0
2020-09-14,1021.417,1034.323,1020.632,1031.964,694219800,9456724000.0
2020-09-15,1037.046,1045.911,1033.91,1045.259,892193680,11830737100.0
2020-09-16,1043.749,1047.091,1035.19,1042.08,818259960,10529660700.0
2020-09-17,1040.347,1040.808,1024.409,1032.667,651015840,8685402600.0
2020-09-18,1028.768,1066.769,1025.488,1066.455,946434200,12420474500.0
