日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,820.123,842.759,820.123,842.759,261536950,1972355000.0
2020-01-03,844.55,861.357,844.139,858.429,288812970,2101273000.0
2020-01-06,857.497,880.954,851.268,870.375,295551790,2258351600.0
2020-01-07,873.204,897.767,873.204,896.334,273747760,2265638400.0
2020-01-08,892.903,903.544,886.229,890.547,262102840,2087060000.0
2020-01-09,901.831,906.205,885.901,898.869,230133920,1904073000.0
2020-01-10,912.478,921.763,898.944,921.548,294152480,2308842800.0
2020-01-13,923.273,946.006,909.828,941.502,225036420,2151424100.0
2020-01-14,956.105,963.904,951.426,955.621,215637540,2085767000.0
2020-01-15,956.38,960.467,943.976,957.491,290614200,3266542300.0
2020-01-16,951.872,951.924,927.641,929.49,224714950,2517913200.0
2020-01-17,925.399,934.016,919.465,920.507,172140150,2146777500.0
2020-01-20,922.3,929.243,913.353,928.484,186718490,2390417300.0
2020-01-21,925.66,927.169,906.482,906.482,166018870,1943933500.0
2020-01-22,903.921,913.063,887.582,905.763,168187540,2184869500.0
2020-01-23,888.79,898.263,857.578,863.099,132957056,1864179100.0
2020-02-03,776.795,790.442,776.795,781.387,61152784,1047952140.0
2020-02-04,733.352,786.847,733.352,781.739,287786050,2108421100.0
2020-02-05,783.686,813.7,783.686,803.018,229976380,2411816300.0
2020-02-06,803.282,835.306,796.419,829.489,227438340,2545547700.0
2020-02-07,826.575,846.851,820.623,845.56,225073680,2458923000.0
2020-02-10,841.78,856.639,839.712,855.897,190918560,2218290900.0
2020-02-11,857.017,860.43,843.698,854.498,163653650,1781111500.0
2020-02-12,855.825,868.409,851.392,868.409,165940080,1707276700.0
2020-02-13,868.555,869.492,848.509,850.731,187055000,1715378700.0
2020-02-14,848.398,856.159,842.4,849.903,149061360,1546917400.0
2020-02-17,851.384,877.474,851.384,877.144,184079510,1747826500.0
2020-02-18,883.236,897.708,878.121,897.15,220196670,2321926400.0
2020-02-19,896.998,907.38,887.972,898.922,312377020,3080481600.0
2020-02-20,900.556,923.591,900.353,920.622,376930230,2797992300.0
2020-02-21,923.712,945.91,918.396,937.512,342794810,3268916700.0
2020-02-24,934.822,941.217,926.794,935.894,309809820,3062033200.0
2020-02-25,912.5,921.035,885.154,919.732,321023600,3056889000.0
2020-02-26,907.493,929.09,900.517,908.75,332068410,2882971900.0
2020-02-27,913.275,926.896,907.791,918.934,255860190,2617184600.0
2020-02-28,888.537,903.944,865.316,865.746,284281430,2768885800.0
2020-03-02,883.231,898.484,869.002,894.14,250245200,2776387200.0
2020-03-03,906.335,911.892,892.35,898.274,271396510,2693090700.0
2020-03-04,889.933,901.455,886.585,900.474,202304690,2005872700.0
2020-03-05,907.628,920.634,899.678,912.68,271758220,2481054800.0
2020-03-06,902.102,930.805,902.102,926.297,254157710,2435608200.0
2020-03-09,921.017,921.017,888.206,890.391,336071870,3053714600.0
